Type,Emitter
Maker,"OLYMPUS"
ProductName,"BA575IF(U-FGW)"
Comment,""
Public,1
wavedataset
300,3.56903
301,4.13095
302,5.2189
303,7.34243
304,8.54163
305,9.62901
306,12.6486
307,14.2824
308,14.2463
309,16.9121
310,20.4541
311,20.7141
312,22.1205
313,27.581
314,29.6256
315,27.1288
316,28.5771
317,35.0515
318,36.9277
319,33.4729
320,34.4106
321,42.137
322,46.0658
323,42.0036
324,40.0037
325,45.0842
326,51.0103
327,49.8596
328,47.1484
329,49.2927
330,53.3693
331,53.345
332,50.3135
333,50.1228
334,54.7621
335,58.8767
336,56.9285
337,53.1566
338,53.4364
339,57.4863
340,60.4848
341,58.4025
342,54.0812
343,51.0409
344,51.0631
345,53.4815
346,56.4627
347,59.7775
348,62.1474
349,62.4143
350,61.1051
351,61.0912
352,63.4527
353,65.4075
354,64.8008
355,61.723
356,59.5788
357,61.618
358,67.7949
359,71.3034
360,67.7364
361,59.8775
362,55.822
363,59.7842
364,69.5963
365,76.5016
366,69.8416
367,57.5286
368,51.0607
369,53.882
370,65.8186
371,78.8392
372,75.9893
373,60.4145
374,49.6006
375,49.0309
376,58.4318
377,74.2471
378,76.8784
379,60.0345
380,44.8579
381,40.2225
382,45.704
383,63.473
384,81.7249
385,71.817
386,48.3854
387,36.0087
388,34.5229
389,43.8458
390,66.3671
391,81.5714
392,59.847
393,35.8211
394,26.2985
395,26.0179
396,36.0248
397,63.3027
398,79.1026
399,48.1799
400,24.3443
401,16.1773
402,14.8535
403,19.1587
404,36.6277
405,71.9024
406,59.5829
407,25.817
408,14.0773
409,11.3694
410,13.3292
411,24.0638
412,59.7267
413,64.7378
414,24.9451
415,11.1233
416,7.93003
417,8.47034
418,14.7397
419,44.2542
420,59.988
421,17.2404
422,6.96098
423,4.55025
424,4.79734
425,9.39358
426,39.6288
427,36.1499
428,6.63729
429,2.3083
430,1.55943
431,1.7464
432,4.82533
433,30.3887
434,14.1489
435,1.28216
436,0.524465
437,0.439292
438,1.06285
439,12.0048
440,4.84234
441,0.185191
442,0.0762335
443,0.422453
444,1.94216
445,0.0771179
446,0.00238067
447,0.000416656
448,0.000161045
449,-2.09E-05
450,-4.04E-05
451,-2.44E-05
452,7.3E-05
453,1.76E-05
454,-2.62E-05
455,1.63E-05
456,-4.06E-05
457,-4.47E-05
458,1.12E-05
459,-2.22E-05
460,-7.56E-06
461,-4.81E-05
462,3.1E-05
463,4.99E-05
464,9.23E-05
465,-1.79E-05
466,6.51E-05
467,-6.47E-05
468,-1.49E-05
469,-9.01E-05
470,4.66E-05
471,2.24E-05
472,1.4E-05
473,-6.67E-06
474,3.88E-05
475,-1.08E-05
476,4.28E-05
477,4.65E-05
478,3.29E-05
479,0.000100197
480,2.3079E-05
481,4.05E-05
482,3.42E-05
