Type,Emitter
Maker,"OLYMPUS"
ProductName,"BA575IF(U-MWIG3)"
Comment,""
Public,1
wavedataset
300,2.812924
301,2.449638
302,3.7462
303,4.794962
304,3.350605
305,3.527814
306,4.219114
307,6.39044
308,3.973491
309,2.897132
310,6.642485
311,2.907201
312,4.387963
313,7.299389
314,4.078666
315,0.753679
316,1.580632
317,6.349055
318,4.731888
319,0.686625
320,0.311513
321,2.616837
322,5.539028
323,2.842603
324,0.22559
325,0.176852
326,1.972292
327,4.747877
328,2.406096
329,0.154592
330,0.084662
331,0.137477
332,2.355171
333,3.828174
334,1.542643
335,0.113103
336,0.073986
337,0.103996
338,0.621533
339,5.0161
340,3.274919
341,0.550069
342,0.139887
343,0.131991
344,0.217735
345,0.987318
346,8.395081
347,7.006191
348,2.023914
349,0.584847
350,0.565426
351,0.940228
352,3.391929
353,22.91285
354,12.113746
355,10.119933
356,3.93118
357,4.146118
358,7.665373
359,23.066628
360,50.438113
361,46.339701
362,31.595799
363,27.984945
364,31.377838
365,32.018479
366,28.210181
367,25.69586
368,29.68444
369,43.100601
370,55.724959
371,47.781956
372,32.233011
373,24.651224
374,26.038225
375,38.346336
376,60.630656
377,62.441939
378,41.507898
379,26.162924
380,21.776794
381,24.954709
382,38.85041
383,64.967867
384,69.980803
385,47.371271
386,30.21399
387,24.095307
388,25.223211
389,34.618084
390,55.945711
391,79.518036
392,74.440119
393,52.019501
394,37.996676
395,33.633518
396,36.69005
397,47.833102
398,68.598341
399,88.704721
400,86.958262
401,69.871267
402,55.369287
403,49.474056
404,50.98194
405,59.42774
406,73.549426
407,87.709975
408,91.528521
409,83.839759
410,74.511874
411,68.745484
412,68.216561
413,70.608579
414,73.669436
415,74.960206
416,74.566827
417,74.72823
418,77.434166
419,81.425246
420,81.491986
421,74.303624
422,62.938685
423,54.804163
424,53.038529
425,59.304647
426,74.656745
427,89.688027
428,82.997424
429,61.345691
430,46.709491
431,43.092203
432,51.577175
433,73.520808
434,85.623504
435,61.199601
436,38.695552
437,34.933203
438,52.005134
439,68.741684
440,33.007032
441,8.698008
442,5.192183
443,8.582098
444,18.768786
445,1.847182
446,0.116798
447,0.024133
448,0.006764
449,0.002332
450,0.000993
451,0.000441
452,0.000235
453,0.000154
454,0.000102
455,9.5E-05
456,8E-05
457,7.1E-05
458,3.1E-05
459,8.4E-05
460,0.000102
461,7.4E-05
462,1E-05
463,2.1E-05
464,6.1E-05
465,4.4E-05
466,5.6E-05
467,5.7E-05
468,7.5E-05
469,7.5E-05
470,8.1E-05
471,5.6E-05
472,6.7E-05
473,6.2E-05
474,5.6E-05
475,7.9E-05
476,6.1E-05
477,6E-05
478,4.2E-05
479,6.6E-05
480,6.8E-05
481,6.1E-05
482,7.8E-05
483,6.2E-05
484,5E-05
485,5.5E-05
486,4.3E-05
487,4.8E-05
488,4.5E-05
489,6.5E-05
490,4.5E-05
491,6.3E-05
492,4.8E-05
493,5.5E-05
494,8.1E-05
495,9.4E-05
496,6.7E-05
497,8.9E-05
498,0.000115
499,5.3E-05
500,7.3E-05
501,6.2E-05
502,3.4E-05
503,3.8E-05
504,8.2E-05
505,6.3E-05
506,4.7E-05
507,6E-05
508,3.3E-05
509,4.1E-05
510,8.2E-05
511,6.7E-05
512,5.4E-05
513,7.1E-05
514,4.8E-05
515,4.7E-05
516,6.2E-05
517,5.6E-05
518,4.3E-05
519,2E-05
520,-7E-06
521,3E-06
522,3E-05
523,1.1E-05
524,3E-05
525,6.5E-05
526,8.4E-05
527,4.5E-05
528,4.2E-05
529,5.6E-05
530,4.5E-05
531,4.8E-05
532,5.5E-05
533,5.5E-05
534,6.7E-05
535,5.9E-05
536,4.8E-05
537,7.7E-05
538,9.3E-05
539,0.0001
540,8.7E-05
541,4.6E-05
542,6.1E-05
543,8.5E-05
544,7E-05
545,8.7E-05
546,9.2E-05
547,6.4E-05
548,7.7E-05
549,9.7E-05
550,7.9E-05
551,6.7E-05
552,8E-05
553,0.000158
554,0.000248
555,0.000268
556,0.000387
557,0.000665
558,0.001014
559,0.001615
560,0.002685
561,0.004602
562,0.008085
563,0.014543
564,0.02633
565,0.048612
566,0.091978
567,0.178199
568,0.353405
569,0.718696
570,1.513757
571,3.293659
572,7.373047
573,16.504506
574,34.043026
575,58.69689
576,81.421657
577,94.223813
578,98.388033
579,99.125029
580,99.110098
581,99.132259
582,99.146972
583,99.163602
584,99.155469
585,98.928942
586,98.909348
587,98.846782
588,98.84584
589,98.997157
590,99.053332
591,99.082803
592,99.019896
593,99.018915
594,99.059439
595,99.049189
596,99.149554
597,99.166195
598,99.191394
599,99.276673
600,99.29209
601,99.298028
602,99.229624
603,99.15041
604,99.177796
605,99.069333
606,99.14553
607,99.18493
608,99.048186
609,98.996245
610,99.096787
611,99.200151
612,99.141628
613,99.119177
614,99.175657
615,99.217858
616,99.235895
617,99.207031
618,99.146601
619,99.017866
620,99.004529
621,99.168578
622,99.197015
623,99.127998
624,99.087694
625,99.186229
626,99.280355
627,99.267614
628,99.163421
629,99.089382
630,99.062609
631,98.985514
632,98.892238
633,98.765925
634,98.895453
635,98.811633
636,98.737214
637,98.880667
638,98.99143
639,98.983344
640,98.897532
641,99.200785
642,99.174692
643,99.010533
644,99.119104
645,99.207897
646,99.086276
647,98.963357
648,99.015375
649,98.913966
650,98.759973
651,98.786018
652,98.555715
653,98.548141
654,98.601882
655,98.749226
656,98.736223
657,98.466207
658,98.672251
659,98.646163
660,98.797023
661,98.629172
662,99.018149
663,98.850481
664,98.762819
665,99.091313
666,99.049406
667,98.702782
668,98.604708
669,98.723142
670,98.926331
671,98.868871
672,98.406864
673,98.698486
674,99.255835
675,98.863425
676,98.678589
677,98.376981
678,98.870997
679,98.954656
680,98.646054
681,98.605496
682,98.961765
683,98.458432
684,98.93106
685,98.722259
686,98.548914
687,98.731865
688,98.453191
689,98.850298
690,98.293201
691,98.06598
692,98.519997
693,98.859796
694,98.232717
695,98.15225
696,98.439273
697,98.41129
698,98.615091
699,98.364754
700,97.886476
701,98.415912
702,98.757283
703,98.582078
704,98.283393
705,98.634962
706,98.292533
707,98.390064
708,98.454076
709,98.51654
710,98.504773
711,98.475659
712,98.128234
713,98.045854
714,98.101583
715,97.854189
716,97.951083
717,98.090486
718,97.870798
719,98.012637
720,98.090267
721,98.01068
722,97.81461
723,97.921496
724,97.834724
725,97.800421
726,97.740774
727,98.104319
728,98.166311
729,98.228437
730,97.998309
731,98.110066
732,97.926641
733,97.454505
734,97.41894
735,97.494854
736,97.513083
737,97.623427
738,97.261886
739,97.286793
740,97.359622
741,97.294273
742,97.354802
743,97.118187
744,97.094181
745,97.329895
746,97.355538
747,97.392345
748,97.245482
749,97.171837
750,97.064165
751,97.232952
752,97.132676
753,96.927761
754,96.79911
755,96.74849
756,96.72598
757,96.736203
758,96.661246
759,96.476086
760,96.566872
761,96.47939
762,96.237193
763,96.25584
764,96.499729
765,96.489055
766,96.425702
767,96.300787
768,96.181793
769,96.022751
770,96.041649
771,96.018712
772,95.980858
773,96.118823
774,96.218074
775,96.040034
776,95.899198
777,95.92585
778,96.060888
779,96.175453
780,96.00848
781,95.692461
782,95.66961
783,95.869961
784,95.860166
785,95.583591
786,95.41317
787,95.332019
788,95.218533
789,95.184113
790,95.192618
791,95.105264
792,95.178211
793,95.215589
794,95.107088
795,95.056512
796,94.884615
797,94.737452
798,94.967157
799,94.851014
800,94.623037
801,94.62803
802,94.604841
803,94.63504
804,94.386058
805,94.214056
806,94.208289
807,93.842145
808,93.818092
809,93.922816
810,93.929319
811,93.932465
812,93.708112
813,93.425585
814,93.394595
815,93.406935
816,93.299315
817,93.224997
818,93.213533
819,93.250503
820,93.439972
821,93.583027
822,93.719215
823,93.748517
824,93.653322
825,93.709042
826,93.591984
827,93.512782
828,93.67202
829,93.62276
830,93.389322
831,92.918155
832,92.653288
833,92.018225
834,91.694184
835,91.193192
836,90.414648
837,89.586361
838,88.890054
839,88.130398
840,87.411822
841,86.368983
842,85.282248
843,84.44726
844,83.712141
845,82.997007
846,82.23198
847,81.37901
848,80.472411
849,79.92612
850,79.410961
851,79.18348
852,78.668508
853,78.868525
854,78.756424
855,78.586714
856,78.943911
857,79.298125
858,79.764946
859,80.087954
860,81.198916
861,82.096905
862,82.742088
863,83.805306
864,84.457681
865,86.304545
866,87.197681
867,88.414329
868,89.06314
869,89.869404
870,90.807579
871,91.252367
872,91.701924
873,91.670214
874,91.38563
875,90.486918
876,89.664939
877,88.328912
878,87.103756
879,85.091083
880,83.137977
881,81.406039
882,79.195144
883,76.735663
884,74.020954
885,71.767187
886,69.2615
887,66.761119
888,64.638762
889,63.988758
890,61.833815
891,59.974004
892,58.211756
893,56.718318
894,55.739146
895,54.091936
896,54.121157
897,53.136072
898,52.26277
899,52.913288
