Type,Emitter
Maker,"OLYMPUS"
ProductName,"BA600IF"
Comment,""
Public,1
wavedataset
300,0.492861
301,0.75106
302,1.23051
303,1.63846
304,2.29907
305,2.93828
306,3.83688
307,4.93808
308,5.23383
309,6.20384
310,7.70741
311,8.0285
312,10.2684
313,12.025
314,12.6237
315,15.7113
316,15.8009
317,16.2294
318,17.8092
319,13.4493
320,18.7867
321,8.25606
322,16.9729
323,5.38239
324,8.9713
325,9.22574
326,1.52355
327,8.89637
328,4.35252
329,1.05043
330,7.9801
331,2.36961
332,1.02201
333,7.22063
334,1.47594
335,0.943347
336,6.20592
337,0.965506
338,0.547753
339,5.02653
340,0.9335
341,0.152489
342,2.77628
343,2.134
344,0.103529
345,0.584562
346,3.78186
347,0.473413
348,0.101303
349,1.75909
350,3.25179
351,0.169911
352,0.168904
353,3.34044
354,2.79851
355,0.199592
356,0.382003
357,5.83971
358,2.64231
359,0.25053
360,0.435027
361,7.96409
362,7.41116
363,0.736008
364,1.09536
365,14.0069
366,16.3654
367,2.29431
368,2.75835
369,19.5472
370,36.6372
371,10.8476
372,10.759
373,27.3979
374,41.9627
375,33.0586
376,28.361
377,24.8368
378,28.1443
379,43.8457
380,34.6557
381,17.0008
382,15.9629
383,34.0884
384,45.0304
385,21.3937
386,15.4704
387,28.7464
388,51.1175
389,30.1732
390,17.6849
391,26.5934
392,56.6767
393,44.3978
394,22.0122
395,25.0026
396,53.5686
397,56.1652
398,26.1177
399,20.6482
400,37.3914
401,65.9907
402,40.6869
403,21.5724
404,24.1867
405,50.661
406,63.2305
407,32.556
408,20.7024
409,26.4933
410,54.9012
411,68.5005
412,38.3662
413,26.1527
414,32.6523
415,61.4305
416,76.5413
417,48.0864
418,33.9857
419,40.7043
420,69.2773
421,82.9951
422,56.6703
423,41.6549
424,49.0919
425,75.9197
426,84.8426
427,59.7984
428,46.6123
429,53.9881
430,77.4392
431,84.7203
432,64.2061
433,51.6808
434,55.7331
435,71.1341
436,79.7564
437,71.7393
438,63.1559
439,61.8567
440,66.127
441,72.9271
442,79.1628
443,76.8198
444,65.8831
445,60.2842
446,69.773
447,85.4812
