Type,Emitter
Maker,"Semrock"
ProductName,"BLP01-488R-25"
Comment,""
Public,1
wavedataset
250,12.053
250.2,11.761
250.4,11.423
250.6,11.092
250.8,10.771
251,10.519
251.2,10.32
251.4,10.125
251.6,9.912
251.8,9.581
252,9.262
252.2,8.953
252.4,8.671
252.6,8.403
252.8,8.144
253,7.869
253.2,7.561
253.4,7.264
253.6,6.98
253.8,0.881
254,0.098751
254.2,0.102
254.4,0.121
254.6,0.046659
254.8,0.021312
255,0.097082
255.2,0.136
255.4,0.042236
255.6,0.055544
255.8,0.116
256,0.085631
256.2,0.07964
256.4,0.116
256.6,0.131
256.8,0.128
257,0.101
257.2,0.079254
257.4,0.062823
257.6,0.06609
257.8,0.088919
258,0.052446
258.2,0.031284
258.4,0.056978
258.6,0.094569
258.8,0.139
259,0.13
259.2,0.101
259.4,0.046058
259.6,0.030054
259.8,0.040195
260,0.053758
260.2,0.04924
260.4,0.045102
260.6,0.041382
260.8,0.037986
261,0.034868
261.2,0.032006
261.4,0.02938
261.6,0.026969
261.8,0.024755
262,0.022724
262.2,0.020859
262.4,0.019147
262.6,0.017575
262.8,0.016133
263,0.014809
263.2,0.013594
263.4,0.012478
263.6,0.011649
263.8,0.011068
264,0.010517
264.2,0.0099923
264.4,0.0094942
264.6,0.0090209
264.8,0.0085712
265,0.0081438
265.2,0.0077464
265.4,0.0073683
265.6,0.0070087
265.8,0.0066666
266,0.0063413
266.2,0.0060318
266.4,0.0061287
266.6,0.0062357
266.8,0.0063445
267,0.0064551
267.2,0.0065678
267.4,0.0066823
267.6,0.0067989
267.8,0.0069175
268,0.0070382
268.2,0.007161
268.4,0.007286
268.6,0.0074131
268.8,0.0075424
269,0.007674
269.2,0.0078079
269.4,0.0068642
269.6,0.0056246
269.8,0.0046088
270,0.0037765
270.2,0.0030945
270.4,0.0025357
270.6,0.0020778
270.8,0.0017025
271,0.0013951
271.2,0.0011431
271.4,0.0009367
271.6,0.00076754
271.8,0.00062893
272,0.00051535
272.2,0.00042229
272.4,0.00037854
272.6,0.00039287
272.8,0.00040774
273,0.00042317
273.2,0.00043919
273.4,0.00045582
273.6,0.00047307
273.8,0.00049098
274,0.00050956
274.2,0.00052885
274.4,0.00054887
274.6,0.00056964
274.8,0.00059121
275,0.00061359
275.2,0.00057806
275.4,0.00054459
275.6,0.0005125
275.8,0.00048176
276,0.00045287
276.2,0.00042571
276.4,0.00040018
276.6,0.00037618
276.8,0.00035362
277,0.00033241
277.2,0.00031248
277.4,0.00029374
277.6,0.00027612
277.8,0.00025956
278,0.00024399
278.2,0.00022936
278.4,0.00021561
278.6,0.00020496
278.8,0.00020435
279,0.00020374
279.2,0.00020314
279.4,0.00020254
279.6,0.00020194
279.8,0.00020134
280,0.00020074
280.2,0.00020015
280.4,0.00019956
280.6,0.00019897
280.8,0.00019838
281,0.00019779
281.2,0.0001972
281.4,0.00019662
281.6,0.00019604
281.8,0.00019028
282,0.00018409
282.2,0.00017809
282.4,0.0001723
282.6,0.00016669
282.8,0.00016126
283,0.00015601
283.2,0.00015093
283.4,0.00014601
283.6,0.00014126
283.8,0.00013666
284,0.00013221
284.2,0.00012791
284.4,0.00012374
284.6,0.00011971
284.8,0.00011902
285,0.00012054
285.2,0.00012209
285.4,0.00012366
285.6,0.00012524
285.8,0.00012685
286,0.00012848
286.2,0.00013012
286.4,0.00013179
286.6,0.00013348
286.8,0.0001352
287,0.00013693
287.2,0.00013869
287.4,0.00014047
287.6,0.00014227
287.8,0.00014916
288,0.00016921
288.2,0.00019196
288.4,0.00021776
288.6,0.00024703
288.8,0.00028023
289,0.00031789
289.2,0.00036062
289.4,0.00040909
289.6,0.00046408
289.8,0.00052646
290,0.00059722
290.2,0.00067749
290.4,0.00076855
290.6,0.00087185
290.8,0.00098604
291,0.00096131
291.2,0.00093719
291.4,0.00091368
291.6,0.00089076
291.8,0.00086841
292,0.00084662
292.2,0.00082538
292.4,0.00080467
292.6,0.00078449
292.8,0.00076481
293,0.00074562
293.2,0.00072691
293.4,0.00070868
293.6,0.0006909
293.8,0.00067356
294,0.00066918
294.2,0.00066924
294.4,0.00066931
294.6,0.00066937
294.8,0.00066944
295,0.00066951
295.2,0.00064744
295.4,0.0006261
295.6,0.00060546
295.8,0.00058551
296,0.00056621
296.2,0.00054755
296.4,0.0005295
296.6,0.00051205
296.8,0.00049517
297,0.00047885
297.2,0.00046263
297.4,0.00044497
297.6,0.00042798
297.8,0.00041164
298,0.00039593
298.2,0.00038082
298.4,0.00036628
298.6,0.0003523
298.8,0.00033885
299,0.00032591
299.2,0.00031347
299.4,0.00030151
299.6,0.00029
299.8,0.00027893
300,0.00026828
300.2,0.00025804
300.4,0.00026246
300.6,0.00026881
300.8,0.00027531
301,0.00028197
301.2,0.00028879
301.4,0.00029577
301.6,0.00030292
301.8,0.00031025
302,0.00031776
302.2,0.00032544
302.4,0.00033331
302.6,0.00034137
302.8,0.00034963
303,0.00035809
303.2,0.00036675
303.4,0.0003898
303.6,0.00042403
303.8,0.00046126
304,0.00050176
304.2,0.00054582
304.4,0.00059375
304.6,0.00064589
304.8,0.0007026
305,0.00076429
305.2,0.0001124
305.4,0.0001117
305.6,0.000111
305.8,0.00011031
306,0.00010962
306.2,0.00010893
306.4,0.00010825
306.6,0.00010758
306.8,0.0001069
307,0.00010624
307.2,0.00010557
307.4,0.00010491
307.6,0.00010426
307.8,0.00010361
308,0.00010296
308.2,0.00010238
308.4,0.00010291
308.6,0.00010344
308.8,0.00010397
309,0.0001045
309.2,0.00010504
309.4,0.00010558
309.6,0.00010612
309.8,0.00010666
310,0.00010721
310.2,0.00010776
310.4,0.00010832
310.6,0.00010887
310.8,0.00010943
311,0.00010999
311.2,0.00011056
311.4,0.00012383
311.6,0.0001442
311.8,0.00016793
312,0.00019556
312.2,0.00022774
312.4,0.00026521
312.6,0.00030885
312.8,0.00035967
313,0.00041886
313.2,0.00048778
313.4,0.00056804
313.6,0.00066151
313.8,0.00077036
314,0.00089712
314.2,0.0010447
314.4,0.0011522
314.6,0.0011787
314.8,0.0012058
315,0.0012335
315.2,0.0012618
315.4,0.0012908
315.6,0.0013205
315.8,0.0013508
316,0.0013819
316.2,0.0014136
316.4,0.0014461
316.6,0.0014794
316.8,0.0015134
317,0.0015481
317.2,0.0015837
317.4,0.0016217
317.6,0.0016737
317.8,0.0017274
318,0.0017827
318.2,0.0018399
318.4,0.0018989
318.6,0.0019598
318.8,0.0020226
319,0.0020875
319.2,0.0021544
319.4,0.0022235
319.6,0.0022948
319.8,0.0023683
320,0.0024443
320.2,0.0025227
320.4,0.0026035
320.6,0.0026823
320.8,0.0027624
321,0.0028448
321.2,0.0029296
321.4,0.003017
321.6,0.003107
321.8,0.0031997
322,0.0032952
322.2,0.0033935
322.4,0.0034947
322.6,0.003599
322.8,0.0037063
323,0.0038169
323.2,0.0039308
323.4,0.004048
323.6,0.0040772
323.8,0.0040182
324,0.00396
324.2,0.0039027
324.4,0.0038462
324.6,0.0037905
324.8,0.0037356
325,0.0036815
325.2,0.0036282
325.4,0.0035757
325.6,0.0035239
325.8,0.0034729
326,0.0034226
326.2,0.003373
326.4,0.0033242
326.6,0.0032411
326.8,0.0030354
327,0.0028427
327.2,0.0026623
327.4,0.0024933
327.6,0.002335
327.8,0.0021868
328,0.002048
328.2,0.001918
328.4,0.0017963
328.6,0.0016823
328.8,0.0015755
329,0.0014755
329.2,0.0013818
329.4,0.0012941
329.6,0.001212
329.8,0.0011567
330,0.0011059
330.2,0.0010572
330.4,0.0010107
330.6,0.00096625
330.8,0.00092374
331,0.00088311
331.2,0.00084426
331.4,0.00080713
331.6,0.00077162
331.8,0.00073768
332,0.00070523
332.2,0.00067421
332.4,0.00064455
332.6,0.0006162
332.8,0.00059854
333,0.00058673
333.2,0.00057515
333.4,0.0005638
333.6,0.00055268
333.8,0.00054177
334,0.00053108
