Type,Emitter
Maker,"Chroma"
ProductName,"D800/50m"
Comment,""
Public,1
wavedataset
300,1.14464E-05
301,9.8E-07
302,8.53384E-06
303,9.8E-07
304,9.8E-07
305,9.8E-07
306,9.41976E-06
307,5.1499E-05
308,1.39846E-05
309,6.25828E-05
310,3.20166E-05
311,1.83162E-05
312,1.37004E-05
313,9.8E-07
314,9.8E-07
315,2.29222E-05
316,8.7514E-06
317,1.6121E-05
318,4.4296E-05
319,2.14032E-07
320,4.22282E-06
321,9.8E-07
322,4.25516E-06
323,2.25204E-05
324,9.8E-07
325,1.08682E-05
326,9.8E-07
327,9.8E-07
328,9.8E-07
329,5.30768E-06
330,9.8E-07
331,9.8E-07
332,9.8E-07
333,8.25944E-06
334,4.36198E-05
335,9.8E-07
336,9.8E-07
337,2.82926E-06
338,9.8E-07
339,9.8E-07
340,9.8E-07
341,2.13738E-05
342,2.13542E-05
343,9.8E-07
344,9.8E-07
345,1.70618E-05
346,9.8E-07
347,1.00646E-05
348,9.8E-07
349,1.38474E-05
350,9.8E-07
351,9.8E-07
352,9.8E-07
353,9.8E-07
354,9.8E-07
355,9.8E-07
356,9.8E-07
357,3.01448E-05
358,1.5925E-05
359,9.8E-07
360,6.53758E-06
361,9.8E-07
362,9.8E-07
363,9.8E-07
364,9.8E-07
365,9.8E-07
366,9.8E-07
367,9.8E-07
368,3.14482E-06
369,9.8E-07
370,9.8E-07
371,9.8E-07
372,5.2185E-06
373,9.8E-07
374,9.8E-07
375,9.8E-07
376,7.17556E-06
377,8.22122E-06
378,9.8E-07
379,9.8E-07
380,2.79594E-05
381,1.86494E-05
382,9.8E-07
383,9.8E-07
384,7.1148E-07
385,9.8E-07
386,9.8E-07
387,9.8E-07
388,8.30158E-06
389,9.8E-07
390,9.8E-07
391,9.8E-07
392,9.8E-07
393,9.8E-07
394,9.8E-07
395,9.8E-07
396,9.8E-07
397,9.8E-07
398,9.8E-07
399,2.36768E-06
400,9.8E-07
401,4.0131E-06
402,9.8E-07
403,6.46212E-06
404,2.24224E-05
405,1.2985E-05
406,9.8E-07
407,9.8E-07
408,9.09244E-06
409,9.8E-07
410,9.8E-07
411,1.16816E-05
412,9.8E-07
413,7.9821E-06
414,9.8E-07
415,7.40292E-06
416,6.94526E-06
417,9.8E-07
418,1.33084E-05
419,9.8E-07
420,9.8E-07
421,9.8E-07
422,2.73518E-06
423,9.8E-07
424,2.18344E-05
425,1.06232E-05
426,3.9886E-06
427,3.19578E-06
428,1.21618E-06
429,9.8E-07
430,2.36082E-05
431,2.13248E-05
432,1.2936E-05
433,9.8E-07
434,1.67482E-05
435,5.16852E-06
436,1.77674E-05
437,4.29338E-06
438,2.37944E-05
439,5.33022E-06
440,1.08192E-05
441,1.65718E-05
442,1.41512E-05
443,2.11484E-05
444,8.7759E-06
445,1.10838E-05
446,3.0674E-05
447,2.744E-05
448,1.50136E-05
449,2.5186E-05
450,2.40492E-05
451,3.1409E-06
452,2.4059E-05
453,2.81946E-05
454,7.35784E-06
455,1.56898E-05
456,1.81104E-05
457,1.08192E-05
458,1.80026E-05
459,4.16696E-06
460,1.21716E-05
461,2.80084E-06
462,9.8E-07
463,2.07368E-07
464,6.6199E-06
465,6.41802E-06
466,1.81692E-05
467,1.90806E-05
468,1.88846E-05
469,1.43374E-05
470,6.11324E-06
471,7.0952E-06
472,8.3447E-06
473,4.57072E-06
474,2.2638E-06
475,1.30732E-05
476,9.8E-07
477,1.99332E-06
478,9.8E-07
479,9.8E-07
480,9.8E-07
481,4.2924E-06
482,5.10972E-06
483,1.34848E-05
484,1.4063E-05
485,2.23146E-05
486,1.8718E-05
487,2.84102E-05
488,2.66756E-05
489,1.93256E-05
490,3.73478E-05
491,1.323E-05
