Type,Emitter
Maker,"Chroma"
ProductName,"E455LPv2"
Comment,""
Public,1
wavedataset
300,0.0002984
301,0.0001589
302,0.0002133
303,1E-06
304,0.0006325
305,0.001452
306,1E-06
307,0.0006271
308,1E-06
309,1E-06
310,0.0001099
311,0.0008152
312,1E-06
313,0.0004038
314,1.175E-05
315,1E-06
316,0.001164
317,1E-06
318,1E-06
319,1E-06
320,1E-06
321,7.318E-05
322,1E-06
323,0.0001265
324,0.0009219
325,0.000542
326,9.937E-05
327,0.0007664
328,1E-06
329,0.001382
330,0.0004562
331,0.0004629
332,0.0004607
333,0.0005389
334,0.0001048
335,0.0005847
336,0.0004905
337,7.559E-07
338,1E-06
339,1E-06
340,1E-06
341,0.0003406
342,0.0002209
343,4.733E-05
344,0.0004226
345,0.0002375
346,0.0005931
347,0.0003074
348,0.0004451
349,0.0002223
350,8.219E-05
351,0.0004308
352,0.0002735
353,3.366E-05
354,0.0009176
355,1E-06
356,1E-06
357,0.0003526
358,5.268E-05
359,0.0003082
360,4.369E-05
361,1E-06
362,9.777E-05
363,0.0003365
364,0.0002608
365,0.0002222
366,0.0004098
367,1E-06
368,0.0001039
369,0.0001469
370,1.995E-05
371,1E-06
372,0.000185
373,1E-06
374,0.0003465
375,0.0001234
376,0.0003184
377,9.61E-06
378,5.184E-07
379,8.962E-05
380,0.0001424
381,1E-06
382,0.0004378
383,0.0002664
384,0.0001952
385,0.0002518
386,0.0001986
387,2.498E-05
388,3.504E-05
389,1E-06
390,7.487E-05
391,0.0002074
392,0.0003093
393,8.565E-05
394,0.0001018
395,1.971E-05
396,0.0001063
397,8.734E-05
398,0.0001474
399,6.671E-05
400,7.756E-05
401,0.0001261
402,9.802E-05
403,0.0001404
404,2E-05
405,0.0001388
406,0.0001401
407,9.951E-05
408,0.0002441
409,7.924E-05
410,0.0001667
411,8.9E-05
412,3.099E-05
413,0.000182
414,5.274E-05
415,0.0001372
416,0.0001386
417,8.569E-05
418,9.531E-05
419,0.0001456
420,3.161E-05
421,2.604E-05
422,1.598E-05
423,2.175E-05
424,3.182E-05
425,3.698E-05
426,6.894E-05
427,5.294E-05
428,8.858E-05
429,0.0001427
430,0.0001077
431,8.553E-05
432,7.451E-05
433,4.281E-05
434,5.322E-05
435,2.746E-05
436,8.901E-05
437,0.0001756
438,0.0002851
439,0.0006613
440,0.001657
441,0.00392
442,0.007467
443,0.01564
444,0.03113
445,0.05943
446,0.1082
447,0.1954
448,0.3415
449,0.5824
450,0.985
451,1.703
452,2.781
453,4.473
454,7.139
455,11.21
456,17.03
457,24.93
458,34.59
459,44.88
460,54.3
461,61.71
462,66.82
463,70.18
464,72.18
465,73.52
466,74.71
467,75.8
468,76.87
469,78.17
470,79.41
471,80.79
472,81.95
473,83.1
474,84.24
475,85.15
476,85.89
477,86.45
478,86.83
479,87.15
480,87.35
481,87.56
482,87.6
483,87.63
484,87.77
485,87.8
486,88.05
487,88.17
488,88.32
489,88.66
490,88.92
491,89.24
492,89.61
493,89.96
494,90.16
495,90.54
496,91
497,91.13
498,91.48
499,91.59
500,91.76
501,91.84
502,91.95
503,91.87
504,91.84
505,91.73
506,91.71
507,91.52
508,91.41
509,91.24
510,91.16
511,90.92
512,90.76
513,90.61
514,90.63
515,90.47
516,90.34
517,90.38
518,90.27
519,90.4
520,90.51
521,90.58
522,90.63
523,90.72
524,90.92
525,91.06
526,91.29
527,91.43
528,91.68
529,91.88
530,92.02
531,92.22
532,92.47
533,92.55
534,92.72
535,92.85
536,93.02
537,93.11
538,93.22
539,93.38
540,93.35
541,93.2
542,93.39
543,93.4
544,93.33
545,93.26
546,93.27
547,93.21
548,93.22
549,93.11
550,93.11
551,93.04
