Type,Emitter
Maker,"Chroma"
ProductName,"E480LP"
Comment,""
Public,1
wavedataset
300,0.00095
301,0.00095
302,0.00095
303,0.00095
304,0.00095
305,0.00095
306,0.00095
307,0.00095
308,0.00095
309,0.00095
310,0.00095
311,0.00095
312,0.00095
313,0.00095
314,0.00095
315,0.00095
316,0.00095
317,0.00095
318,0.00095
319,0.00095
320,0.00095
321,0.00095
322,0.00095
323,0.00095
324,0.00095
325,0.00095
326,0.00095
327,0.00095
328,0.00095
329,0.00095
330,0.00095
331,0.00095
332,0.00095
333,0.00095
334,0.00095
335,0.00095
336,0.00095
337,0.00095
338,0.00095
339,0.00095
340,0.00095
341,0.00095
342,0.00095
343,0.00095
344,0.00095
345,0.00095
346,0.00095
347,0.00095
348,0.00095
349,0.00095
350,0.00095
351,0.00095
352,0.00095
353,0.00095
354,0.00095
355,0.00095
356,0.00095
357,0.00095
358,0.00095
359,0.00095
360,0.00095
361,0.00095
362,0.00095
363,0.00095
364,0.00095
365,0.00095
366,0.00095
367,0.00095
368,0.00095
369,0.00095
370,0.00095
371,0.00095
372,0.00095
373,0.00095
374,0.00095
375,0.00095
376,0.00095
377,0.00095
378,0.00095
379,0.00095
380,0.00095
381,0.00095
382,0.00095
383,0.00095
384,0.00095
385,0.00095
386,0.00095
387,0.00095
388,0.00095
389,0.00095
390,0.00095
391,0.00095
392,0.00095
393,0.00095
394,0.00095
395,0.00095
396,0.00095
397,0.00095
398,0.00095
399,0.00095
400,0.00095
401,0.00095
402,0.00095
403,0.00095
404,0.00095
405,0.00095
406,0.00095
407,0.00095
408,0.00095
409,0.00095
410,0.00095
411,0.00095
412,0.00095
413,0.00095
414,0.00095
415,0.00095
416,0.00095
417,0.00095
418,0.00095
419,0.00095
420,0.00095
421,0.00095
422,0.00095
423,0.00095
424,0.00095
425,0.00095
426,0.00095
427,0.00095
428,0.00095
429,0.00095
430,0.00095
431,0.00095
432,0.00095
433,0.00095
434,0.00095
435,0.00095
436,0.00095
437,0.00095
438,0.00095
439,0.00095
440,0.00095
441,0.00095
442,0.00095
443,0.00095
444,0.00095
445,0.00095
446,0.00095
447,0.00095
448,0.00095
449,0.00095
450,0.00095
451,0.00095
452,0.00095
453,0.00095
454,0.00095
455,0.00095
456,0.00095
457,0.00095
458,0.00095
459,0.00095
460,0.00095
461,0.00095
462,0.00095
463,0.00095
464,0.00095
465,0.00095
466,0.00095
467,0.00095
468,0.00095
469,0.00095
470,0.00095
471,0.00095
472,0.00095
473,0.00095
474,0.00095
475,0.00640767
476,0.0406316
477,0.214236
478,1.11348
479,6.54449
480,30.4121
481,64.2413
482,77.5082
483,81.2004
484,81.7294
485,80.8646
486,80.8527
487,82.0078
488,83.4897
489,84.4461
490,84.7641
491,84.6902
492,84.6002
493,84.599
494,84.6746
495,84.6858
496,84.6727
497,84.6632
498,84.8245
499,85.1446
500,85.5975
501,86.1401
502,86.6283
503,86.9921
504,87.1859
505,87.1368
506,86.884
507,86.5662
508,86.2085
509,85.9713
510,85.7582
511,85.628
512,85.5829
513,85.5983
514,85.6641
515,85.7542
516,85.8373
517,86.0212
518,86.217
519,86.4491
520,86.6847
521,86.9174
522,87.1484
523,87.3198
524,87.4374
525,87.5009
526,87.4539
527,87.3814
528,87.2897
529,87.1934
530,87.1534
531,87.1521
532,87.1747
533,87.3267
534,87.5074
535,87.7112
536,87.8978
537,88.1433
538,88.2773
539,88.3868
540,88.3998
541,88.3814
542,88.2924
543,88.1245
544,87.8701
545,87.6096
546,87.3756
