Type,Emitter
Maker,"Chroma"
ProductName,"ET620/60m"
Comment,""
Public,1
wavedataset
200,8.422E-06
201,2.926E-05
202,1E-06
203,1E-06
204,1.005E-06
205,2.399E-05
206,1E-06
207,1.512E-06
208,1E-06
209,1E-06
210,1E-06
211,8.896E-06
212,4.409E-05
213,1.992E-05
214,2.536E-05
215,3.509E-05
216,8.958E-06
217,4.017E-05
218,1E-06
219,5.977E-06
220,7.565E-06
221,5.971E-06
222,2.284E-06
223,2.727E-05
224,2.258E-05
225,1E-06
226,1E-06
227,1.51E-05
228,1.808E-05
229,5.821E-06
230,1.614E-05
231,1E-06
232,7.876E-06
233,6.081E-06
234,4.558E-06
235,2.948E-05
236,9.636E-06
237,1E-06
238,2.311E-05
239,3.32E-05
240,1.205E-05
241,1.945E-05
242,3.898E-05
243,3.353E-05
244,1E-06
245,2.052E-05
246,1E-06
247,1.34E-05
248,1.13E-05
249,1.763E-05
250,2.077E-05
251,2.571E-05
252,2.901E-06
253,8.893E-06
254,2.713E-05
255,1.733E-05
256,2.453E-05
257,1E-06
258,8.481E-06
259,1.56E-05
260,6.63E-06
261,9.187E-06
262,1.183E-05
263,3.163E-05
264,2.603E-05
265,3.219E-05
266,2.827E-05
267,2.209E-05
268,3.573E-05
269,6.418E-06
270,2.278E-05
271,2.183E-05
272,4.683E-05
273,4.081E-06
274,1.557E-05
275,8.214E-06
276,1E-06
277,3.613E-05
278,4.984E-05
279,1.166E-05
280,2.221E-05
281,1.121E-05
282,1.889E-05
283,1.496E-05
284,5.781E-05
285,1E-06
286,5.267E-05
287,1.153E-05
288,6.778E-06
289,4.071E-05
290,3.659E-05
291,9.097E-06
292,4.367E-05
293,2.21E-05
294,4.98E-05
295,3.302E-05
296,2.72E-05
297,1E-06
298,1E-06
299,3.643E-05
300,1E-06
301,3.892E-05
302,2.418E-05
303,3.501E-05
304,1E-06
305,1.735E-05
306,1.956E-05
307,1.506E-05
308,2.476E-05
309,6.146E-05
310,5.528E-06
311,1E-06
312,4.582E-06
313,3.812E-05
314,5.92E-06
315,5.75E-05
316,1E-06
317,1E-06
318,5.65E-05
319,4.77E-05
320,0.0001954
321,5.744E-05
322,2.427E-05
323,3.4E-05
324,1E-06
325,0.0001121
326,5.899E-05
327,1E-06
328,4.241E-05
329,2.033E-05
330,6.516E-06
331,5.418E-05
332,1E-06
333,1.164E-05
334,0.0001051
335,2.597E-05
336,5.444E-05
337,8.286E-05
338,1.135E-05
339,5.552E-05
340,1E-06
341,1E-06
342,5.928E-06
343,1E-06
344,1E-06
345,6.722E-05
346,9.136E-06
347,2.147E-05
348,1.106E-05
349,1E-06
350,1E-06
351,1E-06
352,6.896E-06
353,4.044E-05
354,3.866E-05
355,3.554E-05
356,4.743E-05
357,4.959E-05
358,2.884E-06
359,2.942E-05
360,1.269E-05
361,4.587E-05
362,2.482E-05
363,9.125E-06
364,3.414E-05
365,1E-06
366,3.71E-05
367,1.927E-05
368,1.016E-05
369,3.415E-05
370,4.131E-05
371,1E-06
372,1.089E-05
373,3.685E-06
374,4.131E-05
375,1E-06
376,3.588E-05
377,1E-06
378,1E-06
379,4.496E-06
380,1E-06
381,2.561E-05
382,1.549E-05
383,1.347E-05
384,3.871E-05
385,4.631E-05
386,2.959E-05
387,1E-06
388,3.433E-05
389,1.702E-05
390,1.835E-05
391,2.417E-06
392,2.593E-05
393,1.814E-05
394,2.031E-05
395,2.292E-05
396,1E-06
397,3.602E-05
398,8.966E-06
399,1.495E-05
400,1.421E-05
401,1E-06
402,2.566E-05
403,1E-06
404,4.278E-07
405,1.668E-05
406,3.914E-05
407,1.922E-05
408,1.611E-05
409,3.356E-05
410,2.311E-05
411,1.11E-05
412,2.439E-05
413,8.062E-06
414,1.528E-05
415,2.442E-05
416,1.938E-05
417,3.443E-05
418,1.539E-05
419,1.191E-05
420,1.664E-05
421,2.071E-05
422,2.064E-05
423,1.099E-05
424,2.997E-06
425,2.865E-05
426,2.235E-05
427,9.607E-06
428,2.436E-06
429,9.679E-07
430,2.301E-05
431,3.024E-05
432,1.919E-05
433,6.398E-06
434,1.082E-05
435,1.587E-05
436,2.561E-05
437,2.107E-05
438,1.76E-05
439,1.722E-05
440,1.674E-05
441,6.921E-06
442,8.564E-06
443,8.345E-06
444,1.507E-05
445,2.493E-05
446,1.214E-05
447,2.458E-05
448,1.411E-05
449,1.662E-05
450,6.761E-06
451,1.224E-05
452,1.061E-05
453,2.287E-07
454,2.468E-05
455,1.851E-05
456,1.912E-05
457,2.032E-05
458,1.866E-05
459,2.709E-05
460,2.589E-05
461,2.091E-05
462,1.389E-05
463,1.427E-05
464,1.464E-05
465,2.128E-05
466,5.618E-06
467,2.52E-05
468,6.913E-06
