Type,Emitter
Maker,"Semrock"
ProductName,"FF01-440/521/607/700-25"
Comment,""
Public,1
wavedataset
300,8.1315E-05
300.2,7.1788E-05
300.4,6.3377E-05
300.6,5.5952E-05
300.8,4.9396E-05
301,4.3609E-05
301.2,3.8499E-05
301.4,3.3989E-05
301.6,3.0006E-05
301.8,2.6491E-05
302,2.5899E-05
302.2,2.5472E-05
302.4,2.5051E-05
302.6,2.4638E-05
302.8,2.4231E-05
303,2.3831E-05
303.2,2.3438E-05
303.4,2.3051E-05
303.6,2.2671E-05
303.8,2.2296E-05
304,2.5384E-05
304.2,3.0343E-05
304.4,3.6272E-05
304.6,4.3359E-05
304.8,5.183E-05
305,6.1957E-05
305.2,7.4062E-05
305.4,8.8532E-05
305.6,0.00010583
305.8,0.00012651
306,0.00012714
306.2,0.00011149
306.4,9.7775E-05
306.6,8.5743E-05
306.8,7.5192E-05
307,6.5939E-05
307.2,5.7825E-05
307.4,5.071E-05
307.6,4.447E-05
307.8,3.8997E-05
308,3.7124E-05
308.2,4.0766E-05
308.4,4.4766E-05
308.6,4.9158E-05
308.8,5.398E-05
309,5.9276E-05
309.2,6.5091E-05
309.4,7.1477E-05
309.6,7.8489E-05
309.8,8.6189E-05
310,9.4368E-05
310.2,0.0001003
310.4,0.0001066
310.6,0.00011331
310.8,0.00012043
311,0.000128
311.2,0.00013604
311.4,0.0001446
311.6,0.00015368
311.8,0.00016334
312,0.00017814
312.2,0.00019458
312.4,0.00021252
312.6,0.00023213
312.8,0.00025354
313,0.00027692
313.2,0.00030247
313.4,0.00033036
313.6,0.00036084
313.8,0.00039412
314,0.00031667
314.2,0.00023031
314.4,0.0001675
314.6,0.00012182
314.8,8.8602E-05
315,6.4439E-05
315.2,4.6866E-05
315.4,3.4085E-05
315.6,2.479E-05
315.8,1.803E-05
316,1.5653E-05
316.2,1.5575E-05
316.4,1.5497E-05
316.6,1.542E-05
316.8,1.5343E-05
317,1.5266E-05
317.2,1.519E-05
317.4,1.5114E-05
317.6,1.5038E-05
317.8,1.4963E-05
318,1.6106E-05
318.2,1.9711E-05
318.4,2.4121E-05
318.6,2.9519E-05
318.8,3.6125E-05
319,4.4209E-05
319.2,5.4102E-05
319.4,6.6208E-05
319.6,8.1024E-05
319.8,9.9155E-05
320,0.00011644
320.2,9.2338E-05
320.4,7.3223E-05
320.6,5.8065E-05
320.8,4.6045E-05
321,3.6513E-05
321.2,2.8954E-05
321.4,2.296E-05
321.6,1.8207E-05
321.8,1.4438E-05
322,1.4238E-05
322.2,1.4221E-05
322.4,1.4204E-05
322.6,1.4186E-05
322.8,1.4169E-05
323,1.4152E-05
323.2,1.4134E-05
323.4,1.4117E-05
323.6,1.41E-05
323.8,1.4083E-05
324,1.5839E-05
324.2,1.8514E-05
324.4,2.1641E-05
324.6,2.5296E-05
324.8,2.9568E-05
325,3.4561E-05
325.2,4.0399E-05
325.4,4.7222E-05
325.6,5.5197E-05
325.8,6.4519E-05
326,6.2011E-05
326.2,5.1419E-05
326.4,4.2637E-05
326.6,3.5355E-05
326.8,2.9316E-05
327,2.4309E-05
327.2,2.0157E-05
327.4,1.6714E-05
327.6,1.3859E-05
327.8,1.1492E-05
328,1.0957E-05
328.2,1.2995E-05
328.4,1.5412E-05
328.6,1.8279E-05
328.8,2.1679E-05
329,2.5711E-05
329.2,3.0494E-05
329.4,3.6166E-05
329.6,4.2894E-05
329.8,5.0872E-05
330,5.9507E-05
330.2,6.1873E-05
330.4,6.4333E-05
330.6,6.6891E-05
330.8,6.955E-05
331,7.2316E-05
331.2,7.5191E-05
331.4,7.818E-05
331.6,8.1288E-05
331.8,8.452E-05
332,8.651E-05
332.2,8.8442E-05
332.4,9.0418E-05
332.6,9.2437E-05
332.8,9.4502E-05
333,9.6612E-05
333.2,9.877E-05
333.4,0.00010098
333.6,0.00010323
333.8,0.00010554
334,8.6347E-05
334.2,6.5589E-05
334.4,4.9822E-05
334.6,3.7845E-05
334.8,2.8747E-05
335,2.1837E-05
335.2,1.6587E-05
335.4,1.26E-05
335.6,9.5709E-06
335.8,7.2702E-06
336,6.4194E-06
336.2,6.3497E-06
336.4,6.2808E-06
336.6,6.2126E-06
336.8,6.1452E-06
337,6.0785E-06
337.2,6.0125E-06
337.4,5.9473E-06
337.6,5.8827E-06
337.8,5.8188E-06
338,6.003E-06
338.2,6.6141E-06
338.4,7.2875E-06
338.6,8.0294E-06
338.8,8.8469E-06
339,9.7475E-06
339.2,1.074E-05
339.4,1.1833E-05
339.6,1.3038E-05
339.8,1.4365E-05
340,1.5743E-05
340.2,1.6484E-05
340.4,1.7259E-05
340.6,1.807E-05
340.8,1.892E-05
341,1.9809E-05
341.2,2.0741E-05
341.4,2.1716E-05
341.6,2.2737E-05
341.8,2.3806E-05
342,2.7446E-05
342.2,3.1804E-05
342.4,3.6854E-05
342.6,4.2705E-05
342.8,4.9485E-05
343,5.7342E-05
343.2,6.6447E-05
343.4,7.6997E-05
343.6,8.9222E-05
343.8,0.00010339
344,8.3756E-05
344.2,6.0972E-05
344.4,4.4386E-05
344.6,3.2311E-05
344.8,2.3522E-05
345,1.7123E-05
345.2,1.2465E-05
345.4,9.074E-06
345.6,6.6056E-06
345.8,4.8087E-06
346,4.2298E-06
346.2,4.2322E-06
346.4,4.2346E-06
346.6,4.237E-06
346.8,4.2393E-06
347,4.2417E-06
347.2,4.2441E-06
347.4,4.2465E-06
347.6,4.2489E-06
347.8,4.2512E-06
348,4.5743E-06
348.2,5.4415E-06
348.4,6.4732E-06
348.6,7.7005E-06
348.8,9.1604E-06
349,1.0897E-05
349.2,1.2963E-05
349.4,1.5421E-05
349.6,1.8345E-05
349.8,2.1822E-05
350,2.5035E-05
350.2,2.2282E-05
350.4,1.9832E-05
350.6,1.7651E-05
350.8,1.571E-05
351,1.3983E-05
351.2,1.2445E-05
351.4,1.1077E-05
351.6,9.8587E-06
351.8,8.7746E-06
352,8.1608E-06
352.2,7.619E-06
352.4,7.1132E-06
352.6,6.6409E-06
352.8,6.2001E-06
353,5.7884E-06
353.2,5.4042E-06
353.4,5.0454E-06
353.6,4.7104E-06
353.8,4.3977E-06
354,5.0821E-06
354.2,6.318E-06
354.4,7.8545E-06
354.6,9.7646E-06
354.8,1.2139E-05
355,1.5091E-05
355.2,1.8761E-05
355.4,2.3324E-05
355.6,2.8996E-05
355.8,3.6047E-05
356,3.4814E-05
356.2,2.79E-05
356.4,2.236E-05
356.6,1.7919E-05
356.8,1.436E-05
357,1.1508E-05
357.2,9.223E-06
357.4,7.3913E-06
357.6,5.9234E-06
357.8,4.7471E-06
358,4.3071E-06
358.2,4.6897E-06
358.4,5.1062E-06
358.6,5.5597E-06
358.8,6.0535E-06
359,6.5912E-06
359.2,7.1766E-06
359.4,7.814E-06
359.6,8.5081E-06
359.8,9.2637E-06
360,9.8541E-06
360.2,8.8351E-06
360.4,7.9215E-06
360.6,7.1024E-06
360.8,6.3679E-06
361,5.7094E-06
361.2,5.119E-06
361.4,4.5897E-06
361.6,4.115E-06
361.8,3.6895E-06
362,3.6582E-06
362.2,3.6526E-06
362.4,3.647E-06
362.6,3.6414E-06
362.8,3.6358E-06
363,3.6302E-06
363.2,3.6246E-06
363.4,3.6191E-06
363.6,3.6135E-06
363.8,3.6079E-06
364,4.287E-06
364.2,5.3736E-06
364.4,6.7355E-06
364.6,8.4427E-06
364.8,1.0582E-05
365,1.3265E-05
365.2,1.6627E-05
365.4,2.0841E-05
365.6,2.6123E-05
365.8,3.2744E-05
366,3.1327E-05
366.2,2.4937E-05
366.4,1.985E-05
366.6,1.5801E-05
366.8,1.2578E-05
367,1.0013E-05
367.2,7.9704E-06
367.4,6.3446E-06
367.6,5.0505E-06
367.8,4.0203E-06
368,3.5549E-06
368.2,3.6134E-06
368.4,3.6728E-06
368.6,3.7332E-06
368.8,3.7945E-06
369,3.8569E-06
369.2,3.9203E-06
369.4,3.9847E-06
369.6,4.0502E-06
369.8,4.1168E-06
370,4.2617E-06
370.2,4.9601E-06
370.4,5.773E-06
370.6,6.7191E-06
370.8,7.8203E-06
371,9.1019E-06
371.2,1.0593E-05
371.4,1.233E-05
371.6,1.435E-05
371.8,1.6702E-05
372,1.4566E-05
372.2,1.2367E-05
372.4,1.05E-05
372.6,8.9155E-06
372.8,7.5697E-06
373,6.427E-06
