Type,Emitter
Maker,"Semrock"
ProductName,"FF01-496/LP-25"
Comment,""
Public,1
wavedataset
265,0.00015205
265.2,0.00015039
265.4,0.00014876
265.6,0.00014714
265.8,0.00014554
266,0.00014395
266.2,0.00014238
266.4,0.00014083
266.6,0.0001393
266.8,0.00013779
267,0.00013629
267.2,0.00015888
267.4,0.00018736
267.6,0.00022093
267.8,0.00026052
268,0.00030721
268.2,0.00036227
268.4,0.00042719
268.6,0.00050374
268.8,0.00059402
269,0.00070047
269.2,0.00082599
269.4,0.00097402
269.6,0.0011486
269.8,0.0013544
270,0.0015971
270.2,0.0018833
270.4,0.0022208
270.6,0.0026188
270.8,0.002981
271,0.0030687
271.2,0.003159
271.4,0.003252
271.6,0.0033478
271.8,0.0034463
272,0.0035477
272.2,0.0036522
272.4,0.0037597
272.6,0.0038703
272.8,0.0039843
273,0.0041015
273.2,0.0042223
273.4,0.0043465
273.6,0.0044745
273.8,0.0046062
274,0.0047418
274.2,0.0048814
274.4,0.005025
274.6,0.0039945
274.8,0.002663
275,0.0017753
275.2,0.0018648
275.4,0.0019588
275.6,0.0018405
275.8,0.0015437
276,0.0012947
276.2,0.0010858
276.4,0.00091067
276.6,0.00076378
276.8,0.00064058
277,0.00053725
277.2,0.00045059
277.4,0.0003779
277.6,0.00031695
277.8,0.00026582
278,0.00022294
278.2,0.00018698
278.4,0.00015682
278.6,0.00013152
278.8,0.00011031
279,9.2515E-05
279.2,7.7592E-05
279.4,8.539E-05
279.6,9.935E-05
279.8,0.00011559
280,0.00013449
280.2,0.00015648
280.4,0.00018206
280.6,0.00021182
280.8,0.00024645
281,0.00028674
281.2,0.00033361
281.4,0.00038815
281.6,0.00045161
281.8,0.00052544
282,0.00061134
282.2,0.00071128
282.4,0.00082757
282.6,0.00096286
282.8,0.0011203
283,0.0012354
283.2,0.001058
283.4,0.00090617
283.6,0.0007761
283.8,0.0006647
284,0.00056929
284.2,0.00048757
284.4,0.00041759
284.6,0.00035765
284.8,0.00030631
285,0.00026234
285.2,0.00012773
285.4,6.2189E-05
285.6,5.0988E-05
285.8,6.0049E-05
286,7.0721E-05
286.2,8.3289E-05
286.4,9.8091E-05
286.6,0.00011552
286.8,0.00013605
287,0.00016023
287.2,0.00018871
287.4,0.00022225
287.6,0.00026174
287.8,0.00030826
288,0.00036304
288.2,0.00042756
288.4,0.00050354
288.6,0.00059303
288.8,0.00069842
289,0.00082254
289.2,0.00096872
289.4,0.0010049
289.6,0.0010333
289.8,0.0010625
290,0.0010925
290.2,0.0011234
290.4,0.0011551
290.6,0.0011878
290.8,0.0012213
291,0.0012558
291.2,0.0012913
291.4,0.0013278
291.6,0.0013653
291.8,0.0014039
292,0.0014435
292.2,0.0014843
292.4,0.0015263
292.6,0.0015694
292.8,0.0016137
293,0.001588
293.2,0.0014033
293.4,0.0012401
293.6,0.0010959
293.8,0.00096842
294,0.00085579
294.2,0.00075626
294.4,0.0006683
294.6,0.00059057
294.8,0.00052189
295,0.00046119
295.2,0.00048774
295.4,0.00051581
295.6,0.0005455
295.8,0.0005769
296,0.00061011
296.2,0.00064522
296.4,0.00068236
296.6,0.00072164
296.8,0.00076318
297,0.00080711
297.2,0.00085356
297.4,0.00090269
297.6,0.00095465
297.8,0.0010096
298,0.0010425
298.2,0.00095372
298.4,0.00087252
298.6,0.00079823
298.8,0.00073027
299,0.0006681
299.2,0.00061121
299.4,0.00055917
299.6,0.00051157
299.8,0.00046801
300,0.00042816
300.2,0.00039171
300.4,0.00035836
300.6,0.00032785
300.8,0.00029994
301,0.0002744
301.2,0.00025104
301.4,0.00022966
301.6,0.00021011
301.8,0.00021151
302,0.00023216
302.2,0.00025483
302.4,0.00027971
302.6,0.00030702
302.8,0.00033699
303,0.00036989
303.2,0.00040601
303.4,0.00044565
303.6,0.00048916
303.8,0.00053692
304,0.00058934
304.2,0.00064689
304.4,0.00071005
304.6,0.00077937
304.8,0.00085547
305,0.00093899
305.2,0.0010597
305.4,0.001196
305.6,0.0013102
305.8,0.0012917
306,0.0012733
306.2,0.0012553
306.4,0.0012375
306.6,0.00122
306.8,0.0012027
307,0.0011856
307.2,0.0011688
307.4,0.0011522
307.6,0.0011359
307.8,0.0011198
308,0.0011039
308.2,0.0010883
308.4,0.0010729
308.6,0.0010577
308.8,0.0010427
309,0.0010279
309.2,0.0010133
309.4,0.00099367
309.6,0.00097044
309.8,0.00094776
310,0.00092561
310.2,0.00090397
310.4,0.00088284
310.6,0.00086221
310.8,0.00084205
311,0.00082237
311.2,0.00080315
311.4,0.00078437
311.6,0.00076604
311.8,0.00074813
312,0.00073065
312.2,0.00071357
312.4,0.00069689
312.6,0.0006806
312.8,0.00066469
313,0.00064915
313.2,0.00063938
313.4,0.00063024
313.6,0.00062124
313.8,0.00061236
314,0.00060361
314.2,0.00059499
314.4,0.00058649
314.6,0.00057811
314.8,0.00056985
315,0.00056171
315.2,0.00055368
315.4,0.00054577
315.6,0.00053798
315.8,0.00053029
316,0.00052271
316.2,0.00051524
316.4,0.00050788
316.6,0.00050063
316.8,0.00049822
317,0.00050881
317.2,0.00051962
317.4,0.00053066
317.6,0.00054194
317.8,0.00055346
318,0.00056522
318.2,0.00057723
318.4,0.0005895
318.6,0.00060203
318.8,0.00061482
319,0.00062789
319.2,0.00064123
319.4,0.00065486
319.6,0.00066878
319.8,0.00068299
320,0.00069751
320.2,0.00071233
320.4,0.00072747
320.6,0.00071159
320.8,0.00067939
321,0.00064865
321.2,0.0006193
321.4,0.00059128
321.6,0.00056452
321.8,0.00053898
322,0.00051459
322.2,0.00049131
322.4,0.00046907
322.6,0.00044785
322.8,0.00042758
323,0.00040824
323.2,0.00038976
323.4,0.00037213
323.6,0.00035529
323.8,0.00033921
324,0.00032386
324.2,0.00030929
324.4,0.00030333
324.6,0.00029748
324.8,0.00029175
325,0.00028613
325.2,0.00028061
325.4,0.0002752
325.6,0.0002699
325.8,0.00026469
326,0.00025959
326.2,0.00025459
326.4,0.00024968
326.6,0.00024487
326.8,0.00024015
327,0.00023552
327.2,0.00023098
327.4,0.00022653
327.6,0.00022216
327.8,0.00021788
328,0.00021936
328.2,0.00022991
328.4,0.00024097
328.6,0.00025256
328.8,0.00026471
329,0.00027745
329.2,0.00029079
329.4,0.00030478
329.6,0.00031944
329.8,0.00033481
330,0.00035092
330.2,0.0003678
330.4,0.00038549
330.6,0.00040403
330.8,0.00042347
331,0.00044384
331.2,0.00046519
331.4,0.00048757
331.6,0.00051102
331.8,0.00053261
332,0.00055427
332.2,0.0005768
332.4,0.00060024
332.6,0.00062464
332.8,0.00065004
333,0.00067646
333.2,0.00070396
333.4,0.00073258
333.6,0.00076236
333.8,0.00079335
334,0.0008256
334.2,0.00085916
334.4,0.00089409
334.6,0.00093043
334.8,0.00096825
335,0.0010076
335.2,0.001109
335.4,0.0012205
335.6,0.0013143
335.8,0.0013321
336,0.0013502
336.2,0.0013685
336.4,0.0013871
336.6,0.0014059
336.8,0.0014249
337,0.0014443
337.2,0.0014639
337.4,0.0014837
337.6,0.0015038
337.8,0.0015242
338,0.0015449
338.2,0.0015658
338.4,0.0015871
338.6,0.0016086
338.8,0.0016304
339,0.0016525
339.2,0.0016749
339.4,0.0017007
339.6,0.0017286
339.8,0.0017569
340,0.0017858
340.2,0.0018151
340.4,0.0018448
340.6,0.0018751
340.8,0.0019059
341,0.0019371
341.2,0.0019689
341.4,0.0020012
341.6,0.0020341
341.8,0.0020674
342,0.0021013
342.2,0.0021358
342.4,0.0021709
342.6,0.0022065
342.8,0.0022427
343,0.0022794
343.2,0.002312
343.4,0.002345
343.6,0.0023786
343.8,0.0024126
344,0.0024471
344.2,0.002482
344.4,0.0025175
344.6,0.0025535
344.8,0.00259
345,0.0026271
345.2,0.0026646
345.4,0.0027027
345.6,0.0027414
345.8,0.0027806
346,0.0028203
346.2,0.0028606
346.4,0.0029015
346.6,0.002943
346.8,0.0029804
347,0.0030114
347.2,0.0030426
347.4,0.0030742
347.6,0.0031061
347.8,0.0031383
348,0.0031709
348.2,0.0032038
348.4,0.0032371
348.6,0.0032707
348.8,0.0033046
349,0.003339
349.2,0.0033736
349.4,0.0034086
349.6,0.003444
349.8,0.0034798
350,0.0035159
350.2,0.0035524
350.4,0.0035893
350.6,0.003605
350.8,0.0036156
351,0.0036262
351.2,0.0036369
351.4,0.0036475
351.6,0.0036583
351.8,0.003669
352,0.0036798
352.2,0.0036906
352.4,0.0037014
352.6,0.0037123
352.8,0.0037232
353,0.0037342
353.2,0.0037451
353.4,0.0037561
353.6,0.0037672
353.8,0.0037782
354,0.0037893
354.2,0.0038034
354.4,0.0038286
354.6,0.0038539
354.8,0.0038794
355,0.003905
