Type,Emitter
Maker,"Semrock"
ProductName,"FF01-527/645-25"
Comment,""
Public,1
wavedataset
300,2.2902E-05
300.2,2.2638E-05
300.4,2.2377E-05
300.6,2.2119E-05
300.8,2.1864E-05
301,2.1611E-05
301.2,2.1362E-05
301.4,2.1115E-05
301.6,2.0872E-05
301.8,2.0631E-05
302,2.3109E-05
302.2,2.6092E-05
302.4,2.9461E-05
302.6,3.3264E-05
302.8,3.7558E-05
303,4.2406E-05
303.2,4.7881E-05
303.4,5.4062E-05
303.6,6.1041E-05
303.8,6.8921E-05
304,6.3667E-05
304.2,5.5008E-05
304.4,4.7526E-05
304.6,4.1062E-05
304.8,3.5478E-05
305,3.0652E-05
305.2,2.6483E-05
305.4,2.2881E-05
305.6,1.9769E-05
305.8,1.7081E-05
306,1.7761E-05
306.2,2.1363E-05
306.4,2.5696E-05
306.6,3.0907E-05
306.8,3.7176E-05
307,4.4715E-05
307.2,5.3784E-05
307.4,6.4691E-05
307.6,7.7811E-05
307.8,9.3591E-05
308,0.000104
308.2,0.00010129
308.4,9.865E-05
308.6,9.6077E-05
308.8,9.3571E-05
309,9.113E-05
309.2,8.8753E-05
309.4,8.6438E-05
309.6,8.4184E-05
309.8,8.1988E-05
310,7.8688E-05
310.2,6.5687E-05
310.4,5.4833E-05
310.6,4.5773E-05
310.8,3.821E-05
311,3.1897E-05
311.2,2.6626E-05
311.4,2.2227E-05
311.6,1.8554E-05
311.8,1.5489E-05
312,1.7652E-05
312.2,2.0451E-05
312.4,2.3692E-05
312.6,2.7448E-05
312.8,3.1799E-05
313,3.684E-05
313.2,4.268E-05
313.4,4.9446E-05
313.6,5.7284E-05
313.8,6.6365E-05
314,6.5975E-05
314.2,6.2574E-05
314.4,5.9348E-05
314.6,5.6289E-05
314.8,5.3388E-05
315,5.0636E-05
315.2,4.8026E-05
315.4,4.555E-05
315.6,4.3202E-05
315.8,4.0976E-05
316,3.7526E-05
316.2,3.3506E-05
316.4,2.9917E-05
316.6,2.6712E-05
316.8,2.3851E-05
317,2.1296E-05
317.2,1.9015E-05
317.4,1.6978E-05
317.6,1.5159E-05
317.8,1.3535E-05
318,1.3918E-05
318.2,1.7686E-05
318.4,2.2474E-05
318.6,2.8559E-05
318.8,3.6291E-05
319,4.6117E-05
319.2,5.8602E-05
319.4,7.4469E-05
319.6,9.4631E-05
319.8,0.00012025
320,0.00014921
320.2,0.00015264
320.4,0.00015616
320.6,0.00015976
320.8,0.00016343
321,0.0001672
321.2,0.00017105
321.4,0.00017499
321.6,0.00017902
321.8,0.00018314
322,0.00018401
322.2,0.00018458
322.4,0.00018515
322.6,0.00018572
322.8,0.0001863
323,0.00018687
323.2,0.00018745
323.4,0.00018803
323.6,0.00018861
323.8,0.00018919
324,0.00018402
324.2,0.00017702
324.4,0.00017029
324.6,0.00016381
324.8,0.00015758
325,0.00015158
325.2,0.00014581
325.4,0.00014027
325.6,0.00013493
325.8,0.0001298
326,0.00012501
326.2,0.00012051
326.4,0.00011618
326.6,0.000112
326.8,0.00010797
327,0.00010409
327.2,0.00010034
327.4,9.6736E-05
327.6,9.3257E-05
327.8,8.9903E-05
328,8.9279E-05
328.2,9.3057E-05
328.4,9.6994E-05
328.6,0.0001011
328.8,0.00010538
329,0.00010983
329.2,0.00011448
329.4,0.00011933
329.6,0.00012437
329.8,0.00012964
330,0.00013364
330.2,0.0001254
330.4,0.00011766
330.6,0.00011041
330.8,0.0001036
331,9.721E-05
331.2,9.1215E-05
331.4,8.5589E-05
331.6,8.0311E-05
331.8,7.5358E-05
332,5.9911E-05
332.2,4.6994E-05
332.4,3.6862E-05
332.6,2.8915E-05
332.8,2.2681E-05
333,1.7791E-05
333.2,1.3955E-05
333.4,1.0947E-05
333.6,8.5865E-06
333.8,6.7353E-06
334,6.2987E-06
334.2,6.246E-06
334.4,6.1938E-06
334.6,6.142E-06
334.8,6.0906E-06
335,6.0397E-06
335.2,5.9891E-06
335.4,5.939E-06
335.6,5.8893E-06
335.8,5.8401E-06
336,6.0194E-06
336.2,6.3802E-06
336.4,6.7626E-06
336.6,7.1679E-06
336.8,7.5976E-06
337,8.053E-06
337.2,8.5357E-06
337.4,9.0474E-06
337.6,9.5897E-06
337.8,1.0164E-05
338,1.1052E-05
338.2,1.2465E-05
338.4,1.4059E-05
338.6,1.5858E-05
338.8,1.7886E-05
339,2.0173E-05
339.2,2.2753E-05
339.4,2.5663E-05
339.6,2.8945E-05
339.8,3.2647E-05
340,3.6472E-05
340.2,3.7982E-05
340.4,3.9555E-05
340.6,4.1194E-05
340.8,4.29E-05
341,4.4676E-05
341.2,4.6527E-05
341.4,4.8454E-05
341.6,5.046E-05
341.8,5.255E-05
342,4.2162E-05
342.2,3.2808E-05
342.4,2.5529E-05
342.6,1.9865E-05
342.8,1.5458E-05
343,1.2029E-05
343.2,9.3599E-06
343.4,7.2834E-06
343.6,5.6675E-06
343.8,4.4101E-06
344,4.1007E-06
344.2,4.0796E-06
344.4,4.0586E-06
344.6,4.0377E-06
344.8,4.0169E-06
345,3.9962E-06
345.2,3.9756E-06
345.4,3.9551E-06
345.6,3.9347E-06
345.8,3.9144E-06
346,4.4587E-06
346.2,5.6486E-06
346.4,7.156E-06
346.6,9.0656E-06
346.8,1.1485E-05
347,1.455E-05
347.2,1.8432E-05
347.4,2.3351E-05
347.6,2.9583E-05
347.8,3.7477E-05
348,4.2219E-05
348.2,3.9734E-05
348.4,3.7395E-05
348.6,3.5193E-05
348.8,3.3122E-05
349,3.1172E-05
349.2,2.9337E-05
349.4,2.761E-05
349.6,2.5985E-05
349.8,2.4455E-05
350,2.2673E-05
350.2,1.8728E-05
350.4,1.547E-05
350.6,1.2779E-05
350.8,1.0556E-05
351,8.7197E-06
351.2,7.2028E-06
351.4,5.9498E-06
351.6,4.9148E-06
351.8,4.0598E-06
352,4.7463E-06
352.2,5.7429E-06
352.4,6.9488E-06
352.6,8.4078E-06
352.8,1.0173E-05
353,1.2309E-05
353.2,1.4894E-05
353.4,1.8021E-05
353.6,2.1805E-05
353.8,2.6384E-05
354,2.3855E-05
354.2,1.9521E-05
354.4,1.5975E-05
354.6,1.3073E-05
354.8,1.0698E-05
355,8.7549E-06
355.2,7.1645E-06
355.4,5.863E-06
355.6,4.7979E-06
355.8,3.9263E-06
356,3.623E-06
356.2,3.6403E-06
356.4,3.6578E-06
356.6,3.6752E-06
356.8,3.6928E-06
357,3.7105E-06
357.2,3.7282E-06
357.4,3.7461E-06
357.6,3.764E-06
357.8,3.782E-06
358,3.7855E-06
358.2,3.7695E-06
358.4,3.7534E-06
358.6,3.7375E-06
358.8,3.7216E-06
359,3.7058E-06
359.2,3.6901E-06
359.4,3.6744E-06
359.6,3.6588E-06
359.8,3.6432E-06
360,3.6253E-06
360.2,3.5917E-06
360.4,3.5585E-06
360.6,3.5256E-06
360.8,3.493E-06
361,3.4606E-06
361.2,3.4286E-06
361.4,3.3969E-06
361.6,3.3655E-06
361.8,3.3343E-06
362,3.3278E-06
362.2,3.3239E-06
362.4,3.3201E-06
362.6,3.3162E-06
362.8,3.3124E-06
363,3.3085E-06
363.2,3.3047E-06
363.4,3.3009E-06
363.6,3.2971E-06
363.8,3.2933E-06
364,3.8645E-06
364.2,4.799E-06
364.4,5.9594E-06
364.6,7.4005E-06
364.8,9.19E-06
365,1.1412E-05
365.2,1.4172E-05
365.4,1.7599E-05
365.6,2.1854E-05
365.8,2.7139E-05
366,2.6154E-05
366.2,2.1056E-05
366.4,1.6952E-05
366.6,1.3648E-05
366.8,1.0988E-05
367,8.8461E-06
367.2,7.1219E-06
367.4,5.7337E-06
367.6,4.6162E-06
367.8,3.7164E-06
368,3.2827E-06
368.2,3.2788E-06
368.4,3.2749E-06
368.6,3.271E-06
368.8,3.2671E-06
369,3.2632E-06
369.2,3.2593E-06
369.4,3.2554E-06
369.6,3.2515E-06
369.8,3.2476E-06
370,3.2442E-06
370.2,3.2431E-06
370.4,3.242E-06
370.6,3.2409E-06
370.8,3.2398E-06
371,3.2387E-06
371.2,3.2377E-06
371.4,3.2366E-06
371.6,3.2355E-06
371.8,3.2344E-06
372,4.1711E-06
372.2,5.5247E-06
372.4,7.3176E-06
372.6,9.6923E-06
372.8,1.2838E-05
373,1.7004E-05
373.2,2.2522E-05
373.4,2.9831E-05
373.6,3.9512E-05
373.8,5.2335E-05
374,4.5116E-05
374.2,3.3833E-05
374.4,2.5372E-05
374.6,1.9026E-05
374.8,1.4268E-05
375,1.07E-05
375.2,8.0239E-06
375.4,6.0172E-06
375.6,4.5124E-06
375.8,3.3839E-06
376,3.0173E-06
376.2,3.0124E-06
376.4,3.0074E-06
376.6,3.0025E-06
376.8,2.9976E-06
377,2.9927E-06
377.2,2.9879E-06
377.4,2.983E-06
377.6,2.9781E-06
377.8,2.9732E-06
378,3.2502E-06
378.2,3.9606E-06
378.4,4.8262E-06
378.6,5.8811E-06
378.8,7.1666E-06
379,8.733E-06
379.2,1.0642E-05
379.4,1.2968E-05
379.6,1.5802E-05
379.8,1.9256E-05
380,2.1974E-05
380.2,1.7533E-05
380.4,1.399E-05
380.6,1.1163E-05
380.8,8.9068E-06
381,7.1068E-06
381.2,5.6705E-06
381.4,4.5245E-06
381.6,3.6102E-06
381.8,2.8806E-06
382,3.5762E-06
382.2,4.7294E-06
382.4,6.2543E-06
382.6,8.2709E-06
382.8,1.0938E-05
383,1.4465E-05
383.2,1.9128E-05
383.4,2.5296E-05
383.6,3.3453E-05
383.8,4.4239E-05
384,3.8724E-05
384.2,2.8985E-05
384.4,2.1696E-05
384.6,1.6239E-05
384.8,1.2155E-05
385,9.0983E-06
385.2,6.8102E-06
385.4,5.0975E-06
385.6,3.8155E-06
385.8,2.8559E-06
386,2.7712E-06
386.2,3.2326E-06
386.4,3.7708E-06
386.6,4.3986E-06
386.8,5.1309E-06
387,5.9852E-06
387.2,6.9817E-06
387.4,8.1441E-06
387.6,9.5E-06
387.8,1.1082E-05
388,1.1944E-05
388.2,1.164E-05
388.4,1.1343E-05
388.6,1.1055E-05
388.8,1.0773E-05
389,1.0499E-05
389.2,1.0232E-05
389.4,9.9716E-06
389.6,9.7179E-06
389.8,9.4706E-06
390,9.3741E-06
390.2,1.0133E-05
390.4,1.0953E-05
390.6,1.184E-05
390.8,1.2799E-05
391,1.3835E-05
391.2,1.4955E-05
391.4,1.6166E-05
391.6,1.7475E-05
391.8,1.8889E-05
392,1.5686E-05
392.2,1.2566E-05
392.4,1.0066E-05
392.6,8.0642E-06
392.8,6.4601E-06
393,5.1751E-06
393.2,4.1458E-06
393.4,3.3211E-06
393.6,2.6605E-06
393.8,2.1313E-06
394,2.2856E-06
394.2,2.7154E-06
394.4,3.2262E-06
394.6,3.8329E-06
394.8,4.5538E-06
395,5.4103E-06
395.2,6.4279E-06
395.4,7.6369E-06
395.6,9.0733E-06
395.8,1.078E-05
396,1.1508E-05
396.2,1.1439E-05
396.4,1.1371E-05
396.6,1.1303E-05
396.8,1.1236E-05
397,1.1169E-05
397.2,1.1103E-05
397.4,1.1037E-05
397.6,1.0971E-05
397.8,1.0905E-05
398,1.0503E-05
398.2,9.754E-06
398.4,9.0584E-06
398.6,8.4124E-06
398.8,7.8125E-06
399,7.2554E-06
399.2,6.7379E-06
399.4,6.2574E-06
399.6,5.8112E-06
399.8,5.3968E-06
400,5.1058E-06
400.2,5.3064E-06
400.4,5.5148E-06
400.6,5.7314E-06
400.8,5.9565E-06
401,6.1905E-06
401.2,6.4336E-06
401.4,6.6863E-06
401.6,6.949E-06
401.8,7.2219E-06
402,7.3914E-06
402.2,7.5491E-06
402.4,7.7102E-06
402.6,7.8748E-06
402.8,8.0428E-06
403,8.2144E-06
403.2,8.3897E-06
403.4,8.5687E-06
403.6,8.7515E-06
403.8,8.9383E-06
404,8.0746E-06
404.2,6.9943E-06
404.4,6.0585E-06
404.6,5.2479E-06
404.8,4.5458E-06
405,3.9376E-06
405.2,3.4108E-06
405.4,2.9545E-06
405.6,2.5592E-06
405.8,2.2168E-06
406,2.0884E-06
406.2,2.0759E-06
406.4,2.0634E-06
406.6,2.0511E-06
406.8,2.0388E-06
407,2.0266E-06
407.2,2.0144E-06
407.4,2.0024E-06
407.6,1.9904E-06
407.8,1.9785E-06
408,1.9674E-06
408.2,1.9573E-06
408.4,1.9472E-06
408.6,1.9372E-06
408.8,1.9272E-06
409,1.9173E-06
409.2,1.9074E-06
409.4,1.8976E-06
409.6,1.8878E-06
409.8,1.8781E-06
410,1.8683E-06
410.2,1.8583E-06
410.4,1.8484E-06
410.6,1.8385E-06
410.8,1.8286E-06
411,1.8188E-06
411.2,1.8091E-06
411.4,1.7994E-06
411.6,1.7898E-06
411.8,1.7802E-06
412,1.7726E-06
412.2,1.7655E-06
412.4,1.7583E-06
412.6,1.7512E-06
412.8,1.7441E-06
413,1.7371E-06
413.2,1.7301E-06
413.4,1.7231E-06
413.6,1.7161E-06
413.8,1.7092E-06
414,1.7035E-06
414.2,1.6984E-06
414.4,1.6933E-06
414.6,1.6881E-06
414.8,1.6831E-06
415,1.678E-06
415.2,1.6729E-06
415.4,1.6679E-06
415.6,1.6628E-06
415.8,1.6578E-06
416,1.6526E-06
416.2,1.6472E-06
416.4,1.6419E-06
416.6,1.6365E-06
416.8,1.6312E-06
417,1.6259E-06
417.2,1.6207E-06
417.4,1.6154E-06
417.6,1.6101E-06
417.8,1.6049E-06
418,1.7513E-06
418.2,2.1348E-06
418.4,2.6023E-06
418.6,3.1722E-06
418.8,3.8668E-06
