Type,Emitter
Maker,"Chroma"
ProductName,"HQ485LP"
Comment,""
Public,1
wavedataset
300,0.00095
301,0.00095
302,0.00095
303,0.00095
304,0.00095
305,0.00095
306,0.00095
307,0.00095
308,0.00095
309,0.00095
310,0.00095
311,0.00095
312,0.00095
313,0.00095
314,0.00095
315,0.00095
316,0.00095
317,0.00095
318,0.00095
319,0.00095
320,0.00095
321,0.00095
322,0.00095
323,0.00095
324,0.00095
325,0.00095
326,0.00095
327,0.00095
328,0.00095
329,0.00095
330,0.00095
331,0.00095
332,0.00095
333,0.00095
334,0.00095
335,0.00095
336,0.00095
337,0.00095
338,0.00095
339,0.00095
340,0.00095
341,0.00095
342,0.00095
343,0.00095
344,0.00095
345,0.00095
346,0.00095
347,0.00095
348,0.00095
349,0.00095
350,0.00095
351,0.00095
352,0.00095
353,0.00095
354,0.00095
355,0.00095
356,0.00095
357,0.00095
358,0.00095
359,0.00095
360,0.00095
361,0.00095
362,0.00095
363,0.00095
364,0.00095
365,0.00095
366,0.00095
367,0.00095
368,0.00095
369,0.00095
370,0.00095
371,0.00095
372,0.00095
373,0.00095
374,0.00095
375,0.00095
376,0.00095
377,0.00095
378,0.00095
379,0.00095
380,0.00095
381,0.00095
382,0.00095
383,0.00095
384,0.00095
385,0.00095
386,0.00095
387,0.00095
388,0.00095
389,0.00095
390,0.00095
391,0.00095
392,0.00095
393,0.00095
394,0.00095
395,0.00095
396,0.00095
397,0.00095
398,0.00095
399,0.00095
400,0.00095
401,0.00095
402,0.00095
403,0.00095
404,0.00095
405,0.00095
406,0.00095
407,0.00095
408,0.00095
409,0.00095
410,0.00095
411,0.00095
412,0.00095
413,0.00095
414,0.00095
415,0.00095
416,0.00095
417,0.00095
418,0.00095
419,0.00095
420,0.00095
421,0.00095
422,0.00095
423,0.00095
424,0.00095
425,0.00095
426,0.00095
427,0.00095
428,0.00095
429,0.00095
430,0.00095
431,0.00095
432,0.00095
433,0.00095
434,0.00095
435,0.00095
436,0.00095
437,0.00095
438,0.00095
439,0.00095
440,0.00095
441,0.00095
442,0.00095
443,0.00095
444,0.00095
445,0.00095
446,0.00095
447,0.00095
448,0.00095
449,0.00095
450,0.00095
451,0.00095
452,0.00095
453,0.00095
454,0.00095
455,0.00095
456,0.00095
457,0.00095
458,0.00095
459,0.00095
460,0.00095
461,0.00095
462,0.00095
463,0.00095
464,0.00095
465,0.00095
466,0.00095
467,0.00095
468,0.00095
469,0.00095
470,0.00095
471,0.00095
472,0.00095
473,0.00095
474,0.00095
475,0.00095
476,0.00095
477,0.00095
478,0.00095
479,0.00095
480,0.00095
481,0.00095
482,0.00095
483,0.0013028
484,0.0273204
485,1.61281
486,19.6775
487,50.0495
488,81.8775
489,87.9149
490,89.1969
491,90.0782
492,90.8439
493,91.0505
494,90.375
495,90.5318
496,91.4198
497,92.7181
498,93.2927
499,92.9381
500,92.9149
501,92.4467
502,92.2734
503,92.5874
504,93.5641
505,93.7595
506,93.9056
507,93.7707
508,93.9113
509,94.331
510,94.6228
511,94.522
512,94.2142
513,94.2965
514,94.3763
515,94.6609
516,94.9567
517,94.887
518,94.7716
519,94.6462
520,94.9221
521,94.9957
522,94.767
523,94.736
524,94.239
525,94.0565
526,94.3396
527,94.8315
528,95.3471
529,95.6185
530,95.2925
531,94.5603
532,93.9093
533,93.3189
534,93.3821
535,94.1704
536,94.9129
537,95.4645
538,95.7457
539,96.0307
540,95.7317
541,95.021
542,94.7595
543,94.6208
544,94.817
545,94.9848
546,95.5733
547,95.674
548,95.7821
549,95.2819
550,95.3169
551,95.022
552,95.0748
553,95.5959
554,95.643
555,96.1303
556,96.241
557,95.9175
558,95.9091
559,95.7807
560,95.6352
561,95.4554
562,95.9863
563,96.2628
564,96.5305
565,96.3642
566,95.9792
567,95.4184
568,94.5536
569,93.9856
570,93.3831
571,93.1261
572,93.1667
573,93.7174
574,93.7628
575,94.1643
576,94.2323
577,93.8331
578,93.3591
579,92.5382
580,91.8819
581,90.7657
582,91.1389
583,91.4351
584,92.0721
585,93.5291
586,94.7827
587,95.9667
588,96.8065
589,97.1471
590,96.9405
591,96.0808
592,95.7195
593,95.2053
594,94.6578
595,94.4446
596,94.7621
597,94.8931
598,95.5978
599,95.8696
600,96.1594
601,96.1881
602,95.587
603,95.2208
604,94.512
605,94.0945
606,93.8457
607,93.8673
608,94.2373
609,94.4874
610,95.0806
611,96.0357
612,96.424
613,96.4823
614,96.5587
615,96.1757
616,95.8769
617,95.4673
618,95.0531
619,94.8624
620,95.0506
621,95.5726
622,96.1719
623,96.6784
624,97.1938
625,97.4848
626,97.4736
627,96.8219
628,95.8745
629,94.7651
630,93.69
631,92.4748
632,91.3619
633,90.6222
634,90.5376
635,90.6879
636,91.5275
637,92.2693
638,93.5899
639,94.5384
640,95.3114
641,96.1348
642,96.5261
643,96.5641
644,95.8767
645,95.4902
646,95.217
647,94.8707
648,94.3683
649,94.4424
650,94.7218
651,95.134
652,95.7094
653,96.3875
654,97.1317
655,97.5441
656,97.9471
657,98.1362
658,97.9535
659,97.4891
660,96.9697
661,96.3385
662,95.6477
663,95.0114
664,94.2043
665,94.0069
666,94.0311
667,93.9525
668,94.1596
669,94.4595
670,94.7299
671,94.8963
672,95.2091
673,95.454
674,95.4919
675,95.4303
676,95.2039
677,95.0466
678,95.213
679,95.04
680,95.1481
681,95.1551
682,95.4789
683,95.5641
684,96.0002
685,96.531
686,97.0853
687,97.421
688,97.8045
689,97.9709
690,98.0219
691,98.1698
692,98.1991
693,97.6924
694,97.4874
695,97.4046
696,97.2523
697,97.1507
698,97.2389
699,97.0169
700,97.3229
701,97.0745
702,97.3102
703,97.3524
704,97.4239
705,97.818
706,98.0068
707,97.474
708,97.6582
709,97.5279
710,97.4401
711,97.2987
712,97.0548
713,97.2619
714,97.0363
715,97.144
716,97.0264
717,97.0698
718,97.2123
719,97.5404
720,97.3171
721,97.8387
722,97.3601
723,97.0405
724,97.0059
725,96.4723
726,95.8444
727,95.4908
728,94.9712
729,94.2609
730,93.84
731,93.2074
732,92.6426
733,92.5178
734,92.1632
735,92.0503
736,92.3426
737,92.3744
738,93.0094
739,93.6408
740,93.9509
741,94.4323
742,94.1668
743,95.0314
744,95.2516
745,95.0248
746,94.226
747,94.6619
748,94.2885
749,94.0209
750,93.1331
751,92.4497
752,92.1653
753,91.8999
754,91.6501
755,91.5962
756,91.4519
757,91.8234
758,92.7089
759,92.7795
760,93.2117
761,93.8278
762,94.5627
763,95.4395
764,96.2473
765,96.3368
766,96.9182
767,97.2684
768,98.0794
769,97.9849
770,97.3458
771,96.8151
772,96.909
773,96.5836
774,95.8637
775,95.7598
776,94.9854
777,94.7602
778,94.5954
779,94.174
780,93.843
781,93.9563
782,94.1212
783,93.9327
784,94.4027
785,93.7346
786,94.4247
787,95.5158
788,95.2132
789,95.3414
790,94.9225
791,95.1311
792,95.1716
793,94.9919
794,94.8933
795,95.2082
796,94.0678
797,93.9006
798,93.8321
799,93.6134
800,92.3349
801,92.2749
802,92.3113
803,92.4651
804,92.5746
805,92.8295
806,93.1547
807,93.5538
808,93.9771
809,94.5195
810,95.0699
811,95.5883
812,96.0295
813,96.3082
814,96.5549
815,96.7981
816,96.8588
817,96.8462
818,96.7026
819,96.4913
820,96.2101
821,95.872
822,95.5327
823,95.1048
824,94.7276
825,94.4211
826,94.0485
827,93.7292
828,93.4943
829,93.305
830,93.2059
831,93.1801
832,93.2627
833,93.406
834,93.6085
835,93.7587
836,94.0594
837,94.2617
838,94.5808
839,94.8339
840,95.1286
841,95.4572
842,95.6334
843,95.8371
844,95.953
845,96.045
846,96.078
847,96.1532
848,96.1192
849,96.0624
850,95.9428
851,95.9116
852,95.851
853,95.8226
854,95.775
855,95.7619
856,95.7612
857,95.878
858,95.8281
859,95.9639
860,96.1087
861,96.1588
862,96.3956
863,96.6199
864,96.7287
865,96.945
866,97.0786
867,97.2599
868,97.3678
869,97.4286
870,97.4825
871,97.5029
872,97.4146
873,97.3426
874,97.1827
875,96.9939
876,96.7992
877,96.5532
878,96.389
879,96.0966
880,95.8212
881,95.5886
882,95.425
883,95.2287
884,95.0835
885,95.0068
886,94.8651
887,94.7656
888,94.8026
889,94.7992
890,94.8406
891,94.9586
892,94.9884
893,95.1044
894,95.1916
895,95.293
896,95.4229
897,95.4576
898,95.4798
899,95.5145
900,95.412
901,95.3586
902,95.313
903,95.1552
904,95.0167
905,94.8134
906,94.5367
907,94.3833
908,94.1278
909,93.9154
910,93.6273
911,93.4364
912,93.2389
913,93.0513
914,92.8986
915,92.7579
916,92.6438
917,92.5762
918,92.5314
919,92.5554
920,92.6663
921,92.7071
922,92.8208
923,92.9176
924,93.1491
925,93.3221
926,93.5076
927,93.7113
928,93.9729
929,94.2004
930,94.4431
931,94.6518
932,94.8328
933,94.9994
934,95.1863
935,95.3519
936,95.4074
937,95.4604
938,95.5244
939,95.516
940,95.5341
941,95.4391
942,95.3095
943,95.176
944,95.032
945,94.9349
946,94.9047
947,94.6232
948,94.5321
949,94.3824
950,94.2887
951,94.1919
952,94.0627
953,93.9524
954,93.9965
955,93.9287
956,93.8635
957,93.8601
958,93.8218
959,93.8085
960,93.8487
961,93.829
962,93.8512
963,93.8294
964,93.7757
965,93.7129
966,93.6727
967,93.6559
968,93.5685
969,93.4378
970,93.3462
971,93.1597
972,92.9617
973,92.7371
974,92.5374
975,92.2908
976,92.0716
977,91.7856
978,91.5096
979,91.2302
980,91.0341
981,90.747
982,90.4796
983,90.3065
984,90.1091
985,89.9263
986,89.7841
987,89.6679
988,89.5278
989,89.4657
990,89.3856
991,89.3914
992,89.3677
993,89.3519
994,89.4618
995,89.5618
996,89.6416
997,89.7232
998,89.8341
999,89.9696
1000,90.0746
1001,90.2258
1002,90.3554
1003,90.4635
1004,90.5891
1005,90.6698
1006,90.7746
1007,90.8679
1008,90.9385
1009,90.9472
1010,90.9916
1011,90.985
1012,90.9642
1013,90.94
1014,90.9068
1015,90.8445
1016,90.7236
1017,90.6499
1018,90.5185
1019,90.3673
1020,90.2133
1021,90.0715
1022,89.9305
1023,89.8186
1024,89.6719
1025,89.4882
1026,89.3289
1027,89.1803
1028,89.0705
1029,88.9301
1030,88.8239
1031,88.7262
1032,88.6623
1033,88.6379
1034,88.6399
1035,88.644
1036,88.6629
1037,88.6869
1038,88.7293
1039,88.8083
1040,88.8302
1041,88.9346
1042,88.9776
1043,89.0551
1044,89.1728
1045,89.2454
1046,89.3171
1047,89.3248
1048,89.4029
1049,89.4987
1050,89.5316
1051,89.5207
1052,89.5231
1053,89.532
1054,89.4815
1055,89.4789
1056,89.458
1057,89.4379
1058,89.3634
1059,89.2291
1060,89.1923
1061,89.0293
1062,88.8746
1063,88.77
1064,88.6669
1065,88.505
1066,88.3836
1067,88.21
1068,88.0865
1069,87.953
1070,87.9153
1071,87.7278
1072,87.588
1073,87.4868
1074,87.338
1075,87.2467
1076,87.1709
1077,87.1008
1078,87.024
1079,86.9327
1080,86.84
1081,86.743
1082,86.7021
1083,86.6763
1084,86.6089
1085,86.615
1086,86.5107
1087,86.4834
1088,86.4612
1089,86.4389
1090,86.4287
1091,86.4111
1092,86.3713
1093,86.3712
1094,86.2849
1095,86.279
1096,86.2835
1097,86.2566
1098,86.274
1099,86.2296
1100,86.2381
1101,86.2552
1102,86.2295
1103,86.2108
1104,86.165
1105,86.1724
1106,86.2385
1107,86.2683
1108,86.1614
1109,86.1446
1110,86.1784
1111,86.0733
1112,86.0037
1113,86.0191
1114,86.038
1115,86.0241
1116,85.9402
1117,85.88
1118,85.8621
1119,85.8397
1120,85.8129
1121,85.7048
1122,85.7187
1123,85.691
1124,85.6763
1125,85.6428
1126,85.5613
1127,85.4992
1128,85.4671
1129,85.4004
1130,85.3384
1131,85.314
1132,85.3344
1133,85.2479
1134,85.2321
1135,85.1764
1136,85.1159
1137,85.0902
1138,85.0373
1139,84.9832
1140,84.8666
1141,84.8253
1142,84.7767
1143,84.7102
1144,84.6226
1145,84.6026
1146,84.5275
1147,84.4532
1148,84.3815
1149,84.3387
1150,84.2674
1151,84.207
1152,84.1005
1153,84.0667
1154,83.9643
1155,83.8957
1156,83.7651
1157,83.7011
1158,83.5922
1159,83.4719
1160,83.4017
1161,83.2461
1162,83.246
1163,83.1856
1164,83.0692
1165,82.9546
1166,82.8559
1167,82.7853
1168,82.773
1169,82.6793
1170,82.5745
1171,82.542
1172,82.4845
1173,82.3837
1174,82.3
1175,82.2285
1176,82.1521
1177,82.0927
1178,82.0388
1179,81.9298
1180,81.8641
1181,81.7844
1182,81.7057
1183,81.6428
1184,81.5734
1185,81.5447
1186,81.436
1187,81.4031
1188,81.2969
1189,81.2097
1190,81.1002
1191,81.0059
1192,80.9248
1193,80.8342
1194,80.692
1195,80.6465
1196,80.5616
1197,80.4854
1198,80.326
1199,80.3232
1200,80.1923
