Type,Emitter
Maker,"Omega"
ProductName,"XF3011(535DF25)"
Comment,""
Public,1
wavedataset
1100.02832,33.27113724
1098.975098,31.9144783
1098.038208,37.88398361
1096.983276,33.1353302
1096.044922,33.58976364
1094.988403,40.03155136
1094.048584,30.25045013
1092.990479,41.05603409
1092.049194,39.98876953
1090.989502,43.10614014
1090.046875,42.36912537
1088.985474,40.78127289
1088.041382,46.01509094
1086.978516,49.34386063
1086.032959,51.93748474
1084.968384,53.67152023
1084.021484,53.17015076
1082.955322,58.47238159
1082.006958,60.859375
1081.057861,60.88315201
1079.98938,64.89485168
1079.03894,66.05455017
1077.968872,67.71316528
1077.016968,71.4901123
1075.945313,73.85395813
1074.992065,72.61203766
1074.038086,70.5655899
1072.964111,75.09146118
1072.008789,70.16020203
1071.052734,72.54037476
1069.97644,66.67097473
1069.019043,63.60613632
1067.941162,60.09056091
1066.9823,57.36006546
1066.022827,54.35826111
1064.942627,49.66243744
1063.981812,47.91472626
1063.020264,45.57596588
1062.058105,39.0575676
1060.974854,36.88036346
1060.01123,33.67168045
1059.046997,31.5583744
1057.961426,29.15008163
1056.99585,27.35127449
1056.029541,25.32484436
1054.941772,23.44355583
1053.974121,23.45885086
1053.005737,19.05076408
1052.036865,19.37765312
1050.945923,17.47277451
1049.975586,17.02938461
1049.004639,14.98985481
1048.033081,15.65369034
1046.939209,14.79772472
1045.966187,12.57785702
1044.992554,12.56253529
1044.018311,11.80284882
1043.043335,10.45177174
1041.945801,10.62457371
1040.969482,9.849383354
1039.992554,11.44747734
1039.014893,9.267389297
1038.036743,9.157971382
1037.057861,8.470417976
1035.955933,8.438281059
1034.975708,7.59250021
1033.994751,7.871328354
1033.013306,8.445504189
1032.031128,7.317744255
1031.048462,7.31292963
1029.942017,7.283804417
1028.957886,7.386802197
1027.973145,7.104195118
1026.987793,6.910933495
1026.001709,6.4895854
1025.015137,6.698631287
1024.027832,6.437315941
1023.039917,6.564825058
1022.051331,6.779708862
1020.938477,7.035307407
1019.948608,6.027048111
1018.958069,7.01462841
1017.966919,7.411678314
1016.975159,6.653793812
