Type,Emitter
Maker,"Omega"
ProductName,"XF3080(510AF23)"
Comment,""
Public,1
wavedataset
300,0.00093
301,0.00021
302,-3.7E-05
303,-0.0003
304,-0.00058
305,-0.00022
306,-6E-05
307,-0.00025
308,-0.00028
309,-0.00065
310,-0.001
311,-0.0012
312,-0.0014
313,-0.0021
314,-0.0026
315,-0.0029
316,-0.0032
317,-0.0022
318,-0.0013
319,-0.00069
320,0.00019
321,-0.00038
322,-0.001
323,-0.0015
324,-0.002
325,-0.0017
326,-0.0017
327,-0.0016
328,-0.0017
329,-0.0016
330,-0.0011
331,-0.00026
332,0.00021
333,-8.8E-05
334,-0.00042
335,-0.0013
336,-0.0013
337,-0.00047
338,0.00032
339,0.0011
340,0.0014
341,0.00084
342,-0.00014
343,-0.00056
344,-0.00086
345,-0.00044
346,0.00029
347,0.00023
348,2.1E-05
349,-0.00077
350,-0.00096
351,-0.001
352,-0.0017
353,-0.002
354,-0.003
355,-0.0038
356,-0.0034
357,-0.0021
358,-0.00092
359,0.00026
360,0.00056
361,-0.00023
362,-0.00042
363,-0.00086
364,-0.0012
365,-0.0013
366,-0.002
367,-0.0029
368,-0.0039
369,-0.0053
370,-0.006
371,-0.006
372,-0.0052
373,-0.0037
374,-0.0028
375,-0.0024
376,-0.0025
377,-0.0018
378,-0.00018
379,0.0015
380,0.0035
381,0.0039
382,0.0036
383,0.0036
384,0.0028
385,0.0031
386,0.0026
387,0.002
388,0.0013
389,-0.00055
390,-0.0013
391,-0.0019
392,-0.0026
393,-0.0016
394,-0.00091
395,-0.00015
396,0.0012
397,0.0013
398,0.00054
399,-0.00031
400,-0.0018
401,-0.0027
402,-0.0026
403,-0.0021
404,-0.0009
405,-0.00014
406,0.00046
407,0.00032
408,-0.00038
409,-0.00063
410,-0.0009
411,-0.00096
412,-0.00072
413,-0.00034
414,3.1E-05
415,0.00075
416,0.0018
417,0.0022
418,0.0022
419,0.0021
420,0.0012
421,0.001
422,0.00089
423,0.00073
424,0.00082
425,0.00031
426,2.7E-05
427,0.00021
428,0.00049
429,0.00089
430,0.0015
431,0.00097
432,0.0004
433,-4.6E-05
434,-0.00064
435,0.00047
436,0.0014
437,0.0024
438,0.0036
439,0.0031
440,0.0028
441,0.0026
442,0.0017
443,0.0014
444,0.0015
445,0.0015
446,0.0021
447,0.002
448,0.0016
449,0.0013
450,0.00093
451,0.00093
452,0.00059
453,0.00041
454,6.2E-05
455,0.00085
456,0.0021
457,0.0029
458,0.0034
459,0.0023
460,0.00096
461,0.00022
462,0.00017
463,0.0017
464,0.0033
465,0.0044
466,0.0052
467,0.0045
468,0.0034
469,0.0021
470,0.0012
471,0.00058
472,0.00044
473,0.00044
474,-0.00032
475,-0.00022
476,-0.00036
477,-2.3E-05
478,1.7E-05
479,-0.00059
480,-0.00077
481,-0.00062
482,0.0008
483,0.0017
484,0.0025
485,0.0024
486,0.0015
487,0.0014
488,0.00047
489,-4.9E-05
490,0.0005
491,0.00081
492,0.0021
493,0.0031
494,0.0029
495,0.0031
496,0.0051
497,0.019
498,0.11
499,0.69
500,3.25
501,9.78
502,21.2
503,37
504,54.2
505,68.8
506,78.6
507,83.6
508,85.1
509,85.4
510,85.6
511,86.1
512,86.8
513,87.5
514,88.1
515,88.5
516,88.7
517,88.8
518,88.8
519,88.8
520,88.7
521,88.5
522,88.3
523,88.1
524,88.1
525,88
526,87.9
527,87.4
528,86.4
529,84.5
530,81.6
531,77.3
532,71
533,62.4
534,51.9
535,40.2
536,28.8
537,19
538,11.6
539,6.65
540,3.69
541,2.03
542,1.13
543,0.65
544,0.38
545,0.23
546,0.14
547,0.092
548,0.06
549,0.04
550,0.026
551,0.017
552,0.011
553,0.0078
554,0.0054
555,0.0044
556,0.004
557,0.0033
558,0.0032
559,0.0022
560,0.0015
561,0.0011
562,0.00084
563,0.001
564,0.00052
565,0.00028
566,-0.00037
567,-0.001
568,-0.00078
569,-0.00038
570,0.00059
571,0.0015
572,0.0021
573,0.0019
574,0.001
575,0.00019
576,-0.00049
577,-0.00091
578,-0.0011
579,-0.001
580,-0.001
581,-0.00062
582,-0.00018
583,-5.1E-05
584,-0.00034
585,-0.0013
586,-0.0018
587,-0.0021
588,-0.0024
589,-0.0018
590,-0.0016
591,-0.001
592,0.00027
593,0.0006
594,0.00067
595,-0.00033
596,-0.002
597,-0.0024
598,-0.0022
599,-0.0011
600,0.00047
601,0.0011
602,0.0014
603,0.0013
604,0.0011
605,0.0014
606,0.0019
607,0.0028
608,0.0035
609,0.0035
610,0.003
611,0.0021
612,0.0011
613,0.00016
614,3.2E-05
615,0.00049
616,0.00024
617,0.00072
618,0.00025
619,-0.00048
620,0.00012
621,0.00034
622,0.0012
623,0.0022
624,0.0019
625,0.0016
626,0.00097
627,0.00014
628,0.00071
629,0.0011
630,0.0015
631,0.0018
632,0.0009
633,0.0002
634,-0.0002
635,-0.00035
636,-7.9E-05
637,0.00059
638,0.00066
639,0.00065
640,0.0006
641,-0.00078
642,-0.0013
643,-0.0019
644,-0.0022
645,-0.0014
646,-0.0011
647,-0.0011
648,-0.0011
649,-0.0014
650,-0.0011
651,-0.00071
652,-0.00065
653,-0.00023
654,-3.6E-05
655,0.00016
656,0.00055
657,0.00031
658,0.00059
659,0.0011
660,0.0022
661,0.0035
662,0.0039
663,0.0032
664,0.0018
665,0.00047
666,-0.0001
667,0.00057
668,0.0013
669,0.0022
670,0.0024
671,0.0024
672,0.0023
673,0.0014
674,0.00092
675,-9.4E-05
676,-0.00066
677,-0.00028
678,8.8E-05
679,0.0011
680,0.0017
681,0.0021
682,0.0022
683,0.0022
684,0.0023
685,0.0022
686,0.0027
687,0.0024
688,0.0021
689,0.0017
690,0.0011
691,0.00079
692,0.00055
693,-0.00011
694,-0.00054
695,-0.00082
696,-0.00099
697,-0.00047
698,-0.00015
699,0.00073
700,0.0016
701,0.0026
702,0.0033
703,0.0029
704,0.0024
705,0.0011
706,0.00017
707,9.3E-05
708,-0.00037
709,0.00017
710,0.0006
711,0.00063
712,0.002
713,0.0025
714,0.003
715,0.0039
716,0.0032
717,0.0029
718,0.0032
719,0.0032
720,0.0038
721,0.0041
722,0.0029
723,0.0018
724,0.00032
725,-0.00027
726,-0.00014
727,0.00012
728,0.0012
729,0.0014
730,0.0013
731,0.0015
732,0.00079
733,0.00048
734,0.0011
735,0.0015
736,0.0022
737,0.0025
738,0.002
739,0.0013
740,-0.00016
741,-0.001
742,-0.0018
743,-0.0027
744,-0.002
745,-0.0013
746,-0.00055
747,0.00088
748,0.0013
749,0.0014
750,0.0017
751,0.0016
752,0.002
753,0.0029
754,0.0043
755,0.0062
756,0.0091
757,0.013
758,0.019
759,0.03
760,0.051
761,0.11
762,0.35
763,1.64
764,4.32
765,7.31
766,9.99
767,10.6
768,8.45
769,5.56
770,2.73
771,0.89
772,0.43
773,0.33
774,0.29
775,0.27
776,0.26
777,0.26
778,0.27
779,0.29
780,0.31
781,0.35
782,0.4
783,0.46
784,0.55
785,0.68
786,0.85
787,1.11
788,1.5
789,2.16
790,3.35
791,5.73
792,10.5
793,18.6
794,28.4
795,37.4
796,42
797,39.8
798,32.5
799,23.4
800,15.3
801,10.1
802,7.27
803,5.73
804,4.81
805,4.24
806,3.87
807,3.65
808,3.53
809,3.49
810,3.52
811,3.62
812,3.78
813,4.03
814,4.36
815,4.81
816,5.39
817,6.16
818,7.18
819,8.55
820,10.4
821,13
822,16.7
823,21.9
824,29
825,38
826,48.2
827,57.8
828,64.6
829,66.6
830,63.5
831,56.5
832,47.5
833,38.6
834,31
835,25.2
836,20.9
837,17.7
838,15.4
839,13.7
840,12.4
841,11.4
842,10.7
843,10.1
844,9.73
845,9.47
846,9.32
847,9.27
848,9.29
849,9.33
850,9.4
