Type,Emitter
Maker,"Omega"
ProductName,"XF3116(470-530-620TBEM)"
Comment,""
Public,1
wavedataset
299.501,0.0008
300.001,0.0014
300.501,-7.6E-05
301.001,-0.00036
301.501,0.00036
302.001,-0.00095
302.501,-0.00073
303.001,-0.00024
303.501,-0.00027
304.001,-0.00056
304.501,0.00032
305.001,0.0021
305.501,0.00089
306.001,0.0011
306.501,0.0001
307.001,0.00034
307.501,0.0016
308.001,0.0013
308.501,-0.00076
309.001,-0.0016
309.501,-0.00081
310.001,-0.0003
310.501,0.0019
311.001,0.0014
311.501,-0.00036
312.001,0.0011
312.501,0.00036
313.001,0.0014
313.501,-0.00046
314.001,0.00056
314.501,-0.001
315.001,0.0021
315.501,-0.00083
316.001,0.00049
316.501,5.4E-05
317.001,-0.0001
317.501,-0.00013
318.001,0.00087
318.501,-0.00018
319.001,-0.00047
319.501,-0.00023
320.001,0.00054
320.501,-1.7E-05
321.001,0.00085
321.501,-0.0006
322,0.0019
322.5,0.00037
323,9.1E-05
323.5,0.00085
324,0.0011
324.5,0.0016
325,-0.0011
325.5,-2.5E-05
326,-0.0012
326.5,0.00015
327,0.0011
327.5,0.0001
328,0.00085
328.5,0.00031
329,0.00055
329.5,0.0011
330,0.00035
330.5,0.00017
331,0.00065
331.5,0.00063
332,-0.00016
332.5,0.0011
333,0.00031
333.5,-0.00051
334,-0.00053
334.5,0.0027
335,0.001
335.5,0.001
336,-9.3E-05
336.5,0.0015
337,0.00013
337.5,0.00011
338,-0.00019
338.5,0.0008
339,-0.00055
339.5,-0.0016
340,-0.00019
340.5,0.0012
341,0.0004
341.5,-0.00063
342,0.00012
342.5,-0.0012
343,0.0016
343.5,-0.00072
344,-0.00074
344.5,0.0013
345,-0.00077
345.5,-0.00026
346,0.00079
346.5,0.00052
347,-0.00056
347.5,-0.00059
348,0.00048
348.5,-0.0013
349,-0.0014
349.5,-0.0012
350,-0.0036
350.5,-0.00073
351,-0.00019
351.5,0.0011
352,-0.00095
352.5,-0.00075
353,-0.0025
353.5,-0.00067
354,-0.0011
354.5,-0.00014
355,-0.0004
355.5,-0.00019
356,-0.00078
356.5,-0.00043
357,-0.0007
357.5,-7.7E-05
358,-0.0015
358.5,0.0017
359,0.002
359.5,0.00086
360,-0.0003
360.5,0.00086
361,-3.2E-05
361.5,-0.00061
362,-3.3E-05
362.5,0.00084
363,-0.00035
363.5,0.00023
364,0.00082
364.5,-0.00026
365,1.5E-05
