Type,Emitter
Maker,"Omega"
ProductName,"XF3408(565QMLP)"
Comment,""
Public,1
wavedataset
300,0.00019
301,0.00017
302,0.00013
303,0.00016
304,0.00013
305,0.00012
306,0.00019
307,0.00022
308,0.00023
309,0.00027
310,0.00027
311,0.00022
312,0.00011
313,0.00011
314,0.00017
315,9E-05
316,7E-05
317,0.00014
318,0.00014
319,8E-05
320,0.00013
321,0.00019
322,0.0001
323,0.00012
324,0.0002
325,0.00011
326,0.00011
327,0.00018
328,0.00011
329,0.00014
330,7E-05
331,2E-05
332,2E-05
333,3E-05
334,9E-05
335,0.00018
336,0.00026
337,0.00019
338,0.00018
339,0.00021
340,9E-05
341,8E-05
342,0.00015
343,7E-05
344,7E-05
345,0.00016
346,0.00024
347,0.00022
348,6E-05
349,3E-05
350,5E-05
351,3E-05
352,5E-05
353,5E-05
354,0
355,0
356,0
357,0
358,0
359,3E-05
360,3E-05
361,4E-05
362,6E-05
363,1E-05
364,2E-05
365,6E-05
366,1E-05
367,1E-05
368,3E-05
369,1E-05
370,0
371,1E-05
372,1E-05
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
