Type,Emitter
Maker,"Omega"
ProductName,"XF3410(450QM60)"
Comment,""
Public,1
wavedataset
400,-0.004
400.5,0.00089
401,0.0002
401.5,0.0012
402,0.0002
402.5,-0.0016
403,-0.00041
403.5,0.0019
404,-0.0034
404.5,0.00041
405,-0.0047
405.5,-0.00039
406,-0.0021
406.5,0.0013
407,0.001
407.5,-0.001
408,0.0022
408.5,0.0014
409,-0.0006
409.5,-0.0009
410,0.0062
410.5,0.00078
411,0.0015
411.5,0.0018
412,0.0053
412.5,0.007
413,0.011
413.5,0.03
414,0.053
414.5,0.12
415,0.28
415.5,0.7
416,1.69
416.5,3.69
417,6.94
417.5,11.6
418,18.3
418.5,29
419,44.7
419.5,62.7
420,78.4
420.5,86.7
421,89.3
421.5,89.5
422,89.7
422.5,90.1
423,90.1
423.5,90.1
424,89.9
424.5,89.8
425,90
425.5,90.1
426,90.3
426.5,90.2
427,90
427.5,89.8
428,89.8
428.5,89.9
429,90.1
429.5,90.3
430,90.5
430.5,90.5
431,90.7
431.5,90.6
432,90.6
432.5,90.7
433,90.8
433.5,90.7
434,90.8
434.5,90.5
435,90.3
435.5,90.2
436,90.1
436.5,90.3
437,90.5
437.5,90.8
438,91.1
438.5,91.3
439,91.2
439.5,91.1
440,90.8
440.5,90.5
441,90.4
441.5,90.3
442,90.4
442.5,90.7
443,91
443.5,91.5
444,91.6
444.5,91.8
445,91.8
445.5,91.6
446,91.4
446.5,91.2
447,91.1
447.5,91.1
448,91.3
448.5,91.5
449,91.6
449.5,91.8
450,91.8
450.5,91.9
451,91.8
451.5,91.7
452,91.6
452.5,91.6
453,91.7
453.5,91.7
454,91.8
454.5,92
455,92.1
455.5,92.2
456,92.2
456.5,92.1
457,92
457.5,91.9
458,91.9
458.5,91.8
459,91.7
459.5,91.9
460,92
460.5,92
461,92.2
461.5,92.3
462,92.3
462.5,92.3
463,92.3
463.5,92.3
464,92.3
464.5,92.3
465,92.3
465.5,92.3
466,92.3
466.5,92.3
467,92.1
467.5,92.2
468,92.2
468.5,92.2
469,92.3
469.5,92.2
470,92.2
470.5,92.4
471,92.3
471.5,92.4
472,92.2
472.5,92.2
473,92.2
473.5,92.2
474,92.1
474.5,92.1
475,92
475.5,92
476,91.9
476.5,91.6
477,91.2
477.5,89.8
478,86.3
478.5,79.7
479,69
479.5,55.3
480,40.8
480.5,27.9
481,18.3
481.5,11.8
482,7.51
482.5,4.93
483,3.3
483.5,2.24
484,1.57
484.5,1.12
485,0.82
485.5,0.61
486,0.47
486.5,0.36
487,0.28
487.5,0.23
488,0.18
488.5,0.15
489,0.12
489.5,0.1
490,0.087
490.5,0.069
491,0.062
491.5,0.051
492,0.042
492.5,0.035
493,0.033
493.5,0.024
494,0.025
494.5,0.018
495,0.019
495.5,0.014
496,0.0099
496.5,0.011
497,0.0049
497.5,0.0059
498,0.0078
498.5,0.0029
499,0.0058
499.5,0.0043
500,0.0051
500.5,0.0041
501,0.0025
501.5,0.0015
502,0.0031
502.5,-0.00037
503,0.0019
503.5,0.00087
504,0.0025
504.5,0.0021
505,-0.00011
505.5,0.0025
506,-0.0043
506.5,0.00073
507,-0.00067
507.5,-0.0039
508,-0.00064
508.5,0.00056
509,0.00097
509.5,-0.0012
510,0.00098
510.5,0.0026
511,0.0022
511.5,0.0028
512,0.0028
512.5,-0.00095
513,0.001
513.5,0.0024
514,-0.00054
514.5,-0.00072
515,0.001
515.5,0.0016
516,-0.0015
516.5,0.0028
517,-0.0017
517.5,0.00049
518,0.0005
518.5,0.0013
519,-0.0018
519.5,0.0019
520,-0.0014
520.5,-0.00045
521,0.00072
521.5,-0.0014
522,0.00053
522.5,0.0015
523,-0.0014
523.5,-3.2E-05
524,0.0042
524.5,-0.0027
525,-0.00098
525.5,0.0025
526,0.00037
526.5,0.0013
527,0.00018
527.5,-0.0015
528,0.0019
528.5,-0.00019
529,-0.00095
529.5,-0.0013
530,0.0012
530.5,-0.0015
531,-0.0015
531.5,-0.00075
532,0.00078
532.5,-0.00017
533,-0.0019
533.5,-0.0011
534,0.00078
534.5,-0.00018
535,0.00097
535.5,-0.0038
536,0.0019
536.5,-0.0015
537,0.0013
537.5,0.0021
538,0.0013
538.5,0.00057
539,-0.0017
539.5,-0.0019
540,0.00075
540.5,0.00074
541,0.00054
541.5,-0.002
542,0.0021
542.5,-0.00027
543,-0.0026
543.5,0.0022
544,-0.0053
544.5,-0.0018
545,-0.002
545.5,-0.0018
546,0.00023
546.5,-0.0033
547,-0.0065
547.5,0.0012
548,0.00086
548.5,-0.0025
549,-0.0036
549.5,0.0017
550,0.0011
550.5,-0.003
551,0.00052
551.5,0.0015
552,-0.00091
552.5,0.0014
553,0.0018
553.5,-0.003
554,-0.0021
554.5,-0.0017
555,-0.00022
555.5,-0.0025
556,-0.0031
556.5,-0.00082
557,-0.0021
557.5,0.0013
558,0.0017
558.5,-0.0016
559,0.0019
559.5,-0.00036
560,0.00068
560.5,-0.0018
561,-0.00013
561.5,0.0034
562,-0.002
562.5,0.0023
563,-0.0015
563.5,0.0001
564,0.0013
564.5,-0.0001
565,-0.0036
565.5,8.6E-05
566,-0.00034
566.5,0.0021
567,0.0021
567.5,0.00074
568,-0.00024
568.5,0.0046
569,3.3E-05
569.5,0.00021
570,-0.00075
570.5,-0.00031
571,-0.00028
571.5,0.0006
572,0.0021
572.5,-0.00056
573,-0.0011
573.5,-0.00026
574,0.0026
574.5,-0.0025
575,0.0033
575.5,-0.0038
576,0.00085
576.5,-0.00097
577,-0.0011
577.5,0.0012
578,-0.00057
578.5,0.0017
579,-0.003
579.5,0.00023
580,-0.00094
580.5,0.00056
581,0.00022
581.5,0.0029
582,-0.0012
582.5,0.0026
583,-0.0038
583.5,-0.0026
584,-0.001
584.5,-0.0019
585,0.0014
585.5,-0.0025
586,-0.0013
586.5,-0.00038
587,0.001
587.5,-0.0012
588,0.0026
588.5,-0.00036
589,0.0023
589.5,-0.00099
590,0.00036
590.5,-0.0025
591,-0.0039
591.5,7.1E-05
592,0.0022
592.5,-0.001
593,0.004
593.5,-0.00091
594,-0.00017
594.5,-0.0011
595,-0.0012
595.5,0.00098
596,-0.00058
596.5,-0.0015
597,-0.00099
597.5,0.0026
598,-0.0016
598.5,0.0038
599,-0.0028
599.5,0.00046
600,-0.0011
600.5,0.003
601,-0.0014
601.5,0.0023
602,0.0029
602.5,0.00031
603,0.0015
603.5,0.00015
604,0.0015
604.5,0.0043
605,0.00035
605.5,-0.00026
606,-0.00087
606.5,0.0019
607,-0.00045
607.5,0.0036
608,-0.0015
608.5,0.0024
609,0.0028
609.5,0.0024
610,0.00081
610.5,0.0055
611,-0.004
611.5,-0.0014
612,0.0021
612.5,0.0036
613,0.0015
613.5,0.00087
614,0.0024
614.5,-0.0029
615,-0.00082
615.5,0.00013
616,-0.0017
616.5,0.0015
617,0.00044
617.5,-0.0002
618,-0.00083
618.5,-0.0021
619,-0.0023
619.5,-0.0015
620,-0.0013
620.5,0.0012
621,-0.00071
621.5,0.0014
622,0.00074
622.5,-0.0011
623,-7.1E-05
623.5,0.00036
624,-0.0029
624.5,-0.00084
625,-0.0024
625.5,-0.00078
626,0.00046
626.5,-0.00011
627,-0.00095
627.5,-5.2E-05
628,0.0055
628.5,0.0036
629,-0.00057
629.5,0.0028
630,0.0026
630.5,-0.00064
631,-0.0012
631.5,-0.002
632,0.0001
632.5,-0.0016
633,0.0015
633.5,-0.0045
634,0.0013
634.5,0.00071
635,-0.00029
635.5,-0.0023
636,0.0039
636.5,-0.0022
637,0.0013
637.5,0.0031
638,0.0029
638.5,-0.00049
639,0.0067
639.5,-0.00065
640,0.0037
640.5,-0.0022
641,-0.0012
641.5,0.0023
642,-0.00064
642.5,-0.0012
643,0.00053
643.5,0.0049
644,0.0017
644.5,-0.0006
645,0.00064
645.5,-0.002
646,-0.0026
646.5,0.0038
647,0.0046
647.5,0.00027
648,-0.0015
648.5,0.00078
649,0.00052
649.5,-0.0033
650,-0.0013
650.5,0.0017
651,-0.00068
651.5,0.00062
652,-0.00024
652.5,0.00035
653,0.0021
653.5,-0.0016
654,0.00026
654.5,-0.0016
655,-0.00044
655.5,-0.00053
656,-0.00063
656.5,-0.0019
657,-0.001
657.5,0.00096
658,-0.0043
658.5,-0.00023
659,0.0026
659.5,-0.0014
660,0.0018
660.5,0.00022
661,-0.001
661.5,0.002
662,0.0039
662.5,-0.00011
663,-1.4E-05
663.5,0.0011
664,0.0044
664.5,-0.0016
665,-0.0025
665.5,-0.0012
666,0.00085
666.5,0.003
667,-0.002
667.5,-3.6E-05
668,5E-05
668.5,-3.5E-05
669,0.00047
669.5,-0.00061
670,-0.00063
670.5,-0.0015
671,0.00094
671.5,0.00048
672,0.0016
672.5,0.0029
673,-0.0025
673.5,0.0015
674,0.0025
674.5,0.003
675,0.00014
675.5,-0.00012
676,-0.0023
676.5,-0.0023
677,3.6E-05
677.5,0.00037
678,-0.00083
678.5,0.0026
679,-0.0012
679.5,-0.0029
680,-0.0014
680.5,0.0012
681,-0.002
681.5,0.001
682,0.0017
682.5,-0.0007
683,-0.0044
683.5,-0.0021
684,0.00048
684.5,-0.0017
685,-0.00043
685.5,0.0011
686,0.0053
686.5,0.0014
687,0.0011
687.5,-0.00074
688,-0.002
688.5,0.00051
689,-0.0018
689.5,-0.001
690,0.00091
690.5,0.00066
691,-0.00017
691.5,-0.001
692,-0.00049
692.5,-0.00036
693,0.0039
693.5,-0.0057
694,-0.00089
694.5,-0.0015
695,-0.003
695.5,-0.0013
696,0.00065
696.5,0.0012
697,-0.001
697.5,-0.00051
698,-0.0035
698.5,0.0041
699,-0.0013
699.5,-0.0018
700,0.0024
700.5,0.00099
701,0.00048
701.5,0.0028
702,0.0012
702.5,0.0025
703,-0.0027
703.5,-0.0016
704,0.0026
704.5,-0.00039
705,-0.0016
705.5,-0.0045
706,-0.0022
706.5,0.0019
707,-0.0038
707.5,0.00023
708,-0.0039
708.5,0.0026
709,0.001
709.5,0.0014
710,-0.0012
710.5,-0.0031
711,0.0015
711.5,0.00022
712,-0.00065
712.5,-0.0038
713,0.0024
713.5,0.001
714,0.00076
714.5,0.0011
715,0.00087
715.5,0.0023
716,0.0012
716.5,-0.0012
717,-0.0013
717.5,0.0022
718,-0.0022
718.5,-0.0009
719,0.00087
719.5,9E-06
720,0.0014
720.5,0.003
721,0.0034
721.5,2.3E-05
722,-0.0024
722.5,0.00013
723,-0.0028
723.5,0.0039
724,-0.0017
724.5,0.0056
725,-0.0021
725.5,0.00044
726,0.002
726.5,0.0014
727,0.0001
727.5,-0.00077
728,0.0015
728.5,0.00062
729,-9.7E-05
729.5,-0.0019
730,-0.0006
730.5,-0.0037
731,-0.0044
731.5,-0.0022
732,0.00022
732.5,0.00059
733,-0.0044
733.5,-0.00092
734,-0.0026
734.5,0.00058
735,-0.00047
735.5,-0.0024
736,-0.00099
736.5,0.0025
737,-0.00047
737.5,-1.2E-05
738,-0.0031
738.5,-0.0018
739,-0.0012
739.5,0.0016
740,0.00091
740.5,4.2E-05
741,0.0025
741.5,0.00062
742,0.0001
742.5,-0.0027
743,-0.0018
743.5,0.00057
744,-0.0013
744.5,0.0032
745,-0.0018
745.5,0.0042
746,-0.00085
746.5,-0.0009
747,-0.00016
747.5,0.0012
748,-0.0021
748.5,0.0017
749,5E-05
749.5,-0.0019
750,0.001
750.5,-0.00023
751,6E-05
751.5,-0.0012
752,-0.0013
752.5,0.00053
753,-0.00055
753.5,-0.00018
754,0.00019
754.5,0.00015
755,-0.0021
755.5,0.0033
756,-0.0014
756.5,-0.0013
757,0.0018
757.5,-0.003
758,-0.0021
758.5,-4E-06
759,-0.00084
759.5,-0.0013
760,0.00023
760.5,-0.0023
761,-0.00089
761.5,-0.00051
762,-0.0016
762.5,0.0042
763,0.0006
763.5,0.001
764,-0.00014
764.5,0.0013
765,0.00019
765.5,-0.0021
766,0.0024
766.5,0.0022
767,0.0034
767.5,-0.00045
768,-0.00046
768.5,-0.00011
769,0.00026
