Type,Emitter
Maker,"Omega"
ProductName,"XF3457(525-637DBEM)"
Comment,""
Public,1
wavedataset
300,0.00045
301,0.00032
302,0.00026
303,0.00012
304,6.2E-05
305,1E-06
306,1E-06
307,1E-06
308,5.9E-05
309,0.00013
310,0.0002
311,0.00016
312,8.6E-05
313,1.4E-05
314,1E-06
315,6E-05
316,0.00012
317,0.00019
318,0.00015
319,0.00011
320,3.1E-05
321,2.1E-05
322,0.00018
323,0.00043
324,0.00067
325,0.00067
326,0.0005
327,0.00033
328,0.00017
329,9.7E-05
330,2.9E-05
331,0.00016
332,0.00039
333,0.00074
334,0.00088
335,0.00082
336,0.00052
337,0.00032
338,0.00017
339,0.00014
340,0.00015
341,0.0002
342,0.00019
343,0.00011
344,0.00036
345,0.00068
346,0.001
347,0.00074
348,0.00052
349,0.00042
350,0.00064
351,0.00063
352,0.00038
353,0.0002
354,0.00023
355,0.00038
356,0.00047
357,0.00042
358,0.00041
359,0.00039
360,0.00045
361,0.0005
362,0.00051
363,0.00046
364,0.00034
365,0.00027
366,0.00015
367,0.0001
368,8.1E-05
369,0.00017
370,0.00025
371,0.00033
372,0.00031
373,0.00027
374,0.00018
375,0.00015
376,8.5E-05
377,7.8E-05
378,0.00017
379,0.00032
380,0.0004
381,0.00029
382,0.00035
383,0.0014
384,0.0027
385,0.0037
386,0.0026
387,0.0014
388,0.00035
389,0.00027
390,0.00049
391,0.00096
392,0.0015
393,0.002
394,0.0023
395,0.0025
396,0.0027
397,0.003
398,0.0034
399,0.0035
400,0.0026
401,0.0014
402,0.00047
403,0.00016
404,9.7E-05
405,6.6E-05
406,4.6E-05
407,3.2E-05
408,1.4E-05
409,1.2E-05
410,2E-05
411,4.5E-05
412,6.3E-05
413,8E-05
414,6.6E-05
415,5.2E-05
416,3.8E-05
417,4.1E-05
418,3.3E-05
419,4.2E-05
420,4.4E-05
421,7E-05
422,6.7E-05
423,6.8E-05
424,5.3E-05
425,6.2E-05
426,8.2E-05
427,9.5E-05
428,9.3E-05
429,8.4E-05
430,9.3E-05
431,9.2E-05
432,8.1E-05
433,5.8E-05
434,4.7E-05
435,4.4E-05
436,5.4E-05
437,6.2E-05
438,6E-05
439,4.9E-05
440,3.8E-05
441,4E-05
442,5.2E-05
443,5.6E-05
444,5.2E-05
445,3.1E-05
446,2.8E-05
447,3.5E-05
448,5.2E-05
449,4.8E-05
450,3.7E-05
451,2.9E-05
452,4.2E-05
453,5.7E-05
454,7E-05
455,7.1E-05
456,7.6E-05
457,7.6E-05
458,6.4E-05
459,4.2E-05
460,3.4E-05
461,4.7E-05
462,6.8E-05
463,7.2E-05
464,6.2E-05
465,4.5E-05
466,4.3E-05
467,4.8E-05
468,5.9E-05
469,5.4E-05
470,4.9E-05
471,4.3E-05
472,4.5E-05
473,5E-05
474,4.4E-05
475,3.3E-05
476,3.1E-05
477,4E-05
478,5.7E-05
479,4.9E-05
480,3.6E-05
481,3.1E-05
482,4.6E-05
483,6.5E-05
484,6.8E-05
485,7E-05
486,7.6E-05
487,9.3E-05
488,0.00011
489,0.00012
490,0.00011
491,9.9E-05
492,8.3E-05
493,8.3E-05
494,9.5E-05
495,0.00011
496,0.00012
497,0.00012
498,0.00013
499,0.00016
500,0.00023
501,0.00039
502,0.00079
503,0.0019
504,0.0059
505,0.022
506,0.1
507,0.63
508,3.93
509,15.8
510,37.3
511,63.9
512,83.8
513,94
514,96.4
515,96.9
516,96.9
517,96.8
518,96.7
519,97.3
520,97.8
521,98
522,97.4
523,96.8
524,96.5
525,96.7
526,97.4
527,98
528,98.1
529,97.5
530,96.5
531,96.1
532,96.2
533,96.6
534,96.8
535,97.2
536,97
537,96.6
538,95.5
539,91.8
540,80.4
541,60.5
542,36.8
543,18.1
544,7.22
545,2.89
546,1.1
547,0.46
548,0.2
549,0.084
550,0.033
551,0.013
552,0.0053
553,0.0024
554,0.0012
555,0.00064
556,0.00039
557,0.00026
558,0.00018
559,0.00013
560,0.00012
561,0.00012
562,0.00012
563,9.5E-05
564,6.9E-05
565,4E-05
566,3.1E-05
567,3.2E-05
568,4.5E-05
569,5.1E-05
570,5.9E-05
571,5.8E-05
572,5.2E-05
573,3.9E-05
574,3.1E-05
575,3.5E-05
576,4.7E-05
577,5.7E-05
578,5.7E-05
579,5.9E-05
580,6.5E-05
581,7.8E-05
582,9E-05
583,0.00011
584,0.00014
585,0.00019
586,0.00026
587,0.00036
588,0.00052
589,0.00076
590,0.0012
591,0.0018
592,0.0029
593,0.0048
594,0.0082
595,0.014
596,0.027
597,0.052
598,0.11
599,0.23
600,0.52
601,1.29
602,3.33
603,8.35
604,18.7
605,35.2
606,55
607,73
608,85.2
609,91.7
610,94.4
611,96
612,97
613,98.1
614,98.8
615,99.5
616,99.7
617,99.5
618,99.3
619,99
620,99.2
621,99.1
622,98.8
623,98.4
624,98.5
625,98.9
626,99.1
627,99.2
628,99.3
629,99.4
630,99.1
631,98.6
632,98.3
633,98.5
634,99.1
635,99.6
636,99.7
637,99.3
638,98.6
639,98
640,97.5
641,97.1
642,97.1
643,96.9
644,96.9
645,96.7
646,96.7
647,96.6
648,96.6
649,96.8
650,97.6
651,98.6
652,99.1
653,99
654,98.9
655,98.8
656,98.5
657,97.9
658,97.1
659,96
660,94.6
661,91.9
662,87.7
663,81.1
664,72.4
665,61.8
666,50.7
667,39.9
668,30.4
669,22.7
670,16.8
671,12.5
672,9.41
673,7.12
674,5.47
675,4.27
676,3.4
677,2.75
678,2.27
679,1.9
680,1.62
681,1.41
682,1.24
683,1.11
684,1.01
685,0.95
686,0.9
687,0.87
688,0.86
689,0.86
690,0.88
691,0.93
692,1
693,1.11
694,1.26
695,1.49
696,1.82
697,2.31
698,3.06
699,4.26
700,6.22
701,9.33
702,13.7
703,18.4
704,21.8
705,22.6
706,20.6
707,17.3
708,14.2
709,11.9
710,10.5
711,9.78
712,9.59
713,9.83
714,10.5
715,11.4
716,12.6
717,13.7
718,14.5
719,14.7
720,14.2
721,13.2
722,12
723,10.7
724,9.5
725,8.53
726,7.9
727,7.52
728,7.34
729,7.35
730,7.52
731,7.9
732,8.43
733,9.18
734,10.1
735,11.1
736,12.2
737,13.3
738,14.4
739,15.5
740,16.5
741,17.2
742,17.8
743,18.6
744,19.5
745,21
746,22.8
747,25.2
748,28.1
749,31.5
750,35.1
751,38.5
752,41.3
753,43.7
754,45.3
755,46.4
756,47.2
757,48.3
758,50.1
759,53.2
760,57.8
761,64
762,71.1
763,77
764,79.3
765,76.3
766,68.5
767,58
768,47.3
769,38.3
770,31.4
771,26.6
772,23.5
773,21.9
774,21.6
775,23.4
776,26.2
777,30.8
778,36.6
779,42.2
780,45.6
781,45
782,40
783,32
784,23.4
785,16
786,10.8
787,7.44
788,5.41
789,4.2
790,3.44
791,2.95
792,2.64
793,2.48
794,2.43
795,2.52
796,2.77
797,3.29
798,4.36
799,6.65
800,10.6
801,15
802,18.5
803,19.6
804,17
805,12.6
806,7.88
807,4.17
808,2.26
809,1.33
810,0.86
811,0.6
812,0.45
813,0.35
814,0.28
815,0.23
816,0.19
817,0.16
818,0.14
819,0.12
820,0.11
821,0.097
822,0.086
823,0.078
824,0.07
825,0.064
826,0.058
827,0.053
828,0.049
829,0.045
830,0.041
831,0.038
832,0.035
833,0.032
834,0.03
835,0.027
836,0.025
837,0.023
838,0.021
839,0.02
840,0.019
841,0.018
842,0.017
843,0.016
844,0.016
845,0.016
846,0.015
847,0.015
848,0.014
849,0.013
850,0.013
