Type,Exciter
Maker,"Chroma"
ProductName,"51005x"
Comment,""
Public,1
wavedataset
300,0.00192868
301,0.0021282
302,0.00205897
303,0.00201237
304,0.00216016
305,0.00217854
306,0.00203757
307,0.00223047
308,0.00196124
309,0.00212231
310,0.00211369
311,0.00219285
312,0.002147
313,0.00215703
314,0.00231151
315,0.00219894
316,0.00196825
317,0.00220584
318,0.00204762
319,0.00190904
320,0.00210677
321,0.00246716
322,0.00243654
323,0.00226394
324,0.00211722
325,0.00239646
326,0.00213797
327,0.00227005
328,0.00225238
329,0.00226653
330,0.00240719
331,0.00214586
332,0.00213881
333,0.00251098
334,0.00234964
335,0.00225041
336,0.0024106
337,0.002219
338,0.00225267
339,0.00220978
340,0.00228472
341,0.00230934
342,0.00240677
343,0.0023212
344,0.00233399
345,0.00220206
346,0.00224324
347,0.00238753
348,0.00235073
349,0.00234836
350,0.00224465
351,0.00229734
352,0.00230224
353,0.00220898
354,0.00229382
355,0.00219771
356,0.00222868
357,0.0021104
358,0.00229496
359,0.00234077
360,0.00225485
361,0.00221975
362,0.00214753
363,0.0022982
364,0.00218135
365,0.00225997
366,0.00222699
367,0.00217201
368,0.00222208
369,0.00229929
370,0.00234608
371,0.00213234
372,0.00240501
373,0.00237828
374,0.0024055
375,0.00237335
376,0.00229843
377,0.00233343
378,0.00228742
379,0.00241264
380,0.00234688
381,0.00238735
382,0.00241912
383,0.00231383
384,0.00247832
385,0.0024402
386,0.0024537
387,0.00244834
388,0.00246904
389,0.00250508
390,0.00253228
391,0.00248151
392,0.00250141
393,0.00240092
394,0.00246841
395,0.00240101
396,0.00236271
397,0.00243541
398,0.00241788
399,0.00236482
400,0.0023594
401,0.00231316
402,0.00234414
403,0.00233456
404,0.00228948
405,0.00221991
406,0.00221399
407,0.00218856
408,0.00221843
409,0.00221579
410,0.00217593
411,0.00209218
412,0.00206227
413,0.00201218
414,0.00206339
415,0.00204369
416,0.00199331
417,0.00196249
418,0.00199402
419,0.00199749
420,0.00190101
421,0.00184042
422,0.00183701
423,0.00178932
424,0.00184884
425,0.00173816
426,0.00175682
427,0.00168722
428,0.00166033
429,0.0016842
430,0.0015711
431,0.00152367
432,0.00146412
433,0.00140028
434,0.00124118
435,0.00119022
436,0.00116762
437,0.00104002
438,0.00101144
439,0.001
440,0.001
441,0.001
442,0.001
