Type,Exciter
Maker,"Chroma"
ProductName,"89082tbx"
Comment,""
Public,1
wavedataset
300,0.000149047002651
301,8.18872990749E-05
302,1.4693600292E-05
303,3.1053099292E-05
304,0.000103838999621
305,3.66829993936E-05
306,0.000122499000099
307,4.15934010789E-05
308,0.000111516999368
309,1.39047003245E-05
310,2.28309005479E-05
311,5.31846012564E-05
312,6.70851989071E-05
313,6.50954007142E-05
314,6.22245977411E-05
315,5.70074014661E-06
316,9.99999993923E-07
317,9.99999993923E-07
318,6.64019017549E-07
319,5.45379975847E-05
320,4.29127993584E-05
321,0.000113373005206
322,0.000132609000048
323,8.67452001785E-05
324,2.67171003543E-05
325,8.89051989361E-05
326,9.23280992993E-05
327,0.000135533002776
328,5.80077994528E-05
329,5.57532018775E-05
330,8.0861201468E-05
331,5.9579599565E-05
332,7.03577995864E-05
333,4.84552003854E-05
334,5.84689018979E-05
335,0.000102042997696
336,0.000103639001736
337,6.1052401179E-05
338,7.51711979774E-05
339,7.3054098948E-05
340,0.000118413004202
341,0.000106543996026
342,8.66717982717E-05
343,0.000105193998934
344,7.82032998359E-05
345,5.34636001248E-05
346,6.90929994107E-05
347,9.09025004603E-05
348,9.6810595096E-05
349,5.68608982121E-05
350,8.52789980854E-05
351,8.76344984135E-05
352,5.06178025717E-05
353,0.000110535995645
354,0.000121845005197
355,1.32386006158E-05
356,8.86223972429E-05
357,0.000125266001305
358,6.1258401729E-05
359,5.53982999918E-05
360,6.81206984154E-05
361,5.39639017916E-05
362,6.77881985212E-05
363,6.88398984039E-05
364,5.40884002476E-05
365,4.48697988986E-05
366,0.000119662001907
367,0.000126961003843
368,0.000129657996695
369,0.000522969003214
370,0.000484095016873
371,0.000582179018238
372,0.000470715986012
373,0.000178365996817
374,0.000482553014081
375,0.00182890998985
376,0.00587143003941
377,0.0168700993527
378,0.0096399897302
379,0.0139345997013
380,0.0753118016291
381,0.164670997765
382,0.241384003311
383,0.519134989008
384,0.426068995148
385,0.44003999792
386,1.18249002844
387,2.81662996858
388,4.49848994613
389,10.4644998908
390,16.9784992933
391,18.7178000808
392,31.3490003347
393,58.202201128
394,77.1010994911
395,84.0296983719
396,85.5876028538
397,83.221000433
398,81.1017990112
399,81.0456991196
400,81.315600872
401,80.6686997414
402,83.3432018757
403,88.341999054
404,90.5560970306
405,89.1533017159
406,90.4663026333
407,93.2399988174
408,91.8583989143
409,89.6106004715
410,88.3282005787
411,86.7868006229
412,89.0742003918
413,84.8576009274
414,65.1398003101
415,4.07318994403
416,1.30500001833
417,0.0901150982827
418,0.0113905996841
419,0.00224486993829
420,0.000583647988606
421,0.000189213994872
422,6.74941986745E-05
423,6.66547009587E-05
424,4.63568994746E-05
