Type,Exciter
Maker,"OLYMPUS"
ProductName,"BP360-370(U-MNU2,U-MNUA2)"
Comment,""
Public,1
wavedataset
300,-1.5E-05
301,-1.9E-05
302,2.7E-05
303,6.7E-05
304,9.7E-05
305,7.3E-05
306,5.4E-05
307,9.3E-05
308,0.000125
309,6.1E-05
310,3.6E-05
311,3.6E-05
312,3.3E-05
313,9.2E-05
314,6.8E-05
315,6E-06
316,2.4E-05
317,5E-05
318,5.2E-05
319,4.8E-05
320,6E-05
321,7.4E-05
322,8.5E-05
323,8.6E-05
324,9.3E-05
325,7.4E-05
326,5.2E-05
327,3.4E-05
328,2.1E-05
329,4.9E-05
330,3.5E-05
331,4.6E-05
332,7E-05
333,7.1E-05
334,7.1E-05
335,7.9E-05
336,0.000104
337,0.000156
338,0.000215
339,0.000387
340,0.00068
341,0.001198
342,0.002045
343,0.003399
344,0.005303
345,0.007711
346,0.010598
347,0.01437
348,0.019329
349,0.026341
350,0.036526
351,0.05254
352,0.078311
353,0.121292
354,0.196613
355,0.335511
356,0.605285
357,1.174554
358,2.501387
359,5.875397
360,14.170089
361,30.36248
362,47.153974
363,54.049635
364,53.869077
365,52.503112
366,51.403389
367,49.71347
368,45.944935
369,37.801907
370,25.746462
371,6.069164
372,4.512287
373,2.26998
374,1.210482
375,0.983435
376,0.569407
377,0.348564
378,0.224629
379,0.149325
380,0.103585
381,0.073361
382,0.053099
383,0.038754
384,0.028381
385,0.020917
386,0.015341
387,0.011098
388,0.007942
389,0.005675
390,0.003936
391,0.002711
392,0.001861
393,0.001297
394,0.000857
395,0.000544
396,0.000394
397,0.000279
398,0.000199
399,0.000147
400,0.000167
401,9.7E-05
402,0.000107
403,0.000118
404,5.9E-05
405,-4E-06
406,5.2E-05
407,2.3E-05
408,7.1E-05
409,-1.4E-05
410,4.2E-05
411,4.6E-05
412,1.8E-05
413,3.5E-05
414,3E-05
415,2.8E-05
416,2.1E-05
417,1.6E-05
418,1E-05
419,3.9E-05
420,7E-06
421,2.2E-05
422,4.7E-05
423,-7E-06
424,3.5E-05
425,9E-06
426,2E-05
427,3.4E-05
428,1E-06
429,2.9E-05
430,6.7E-05
431,5.2E-05
432,5.9E-05
433,5.2E-05
434,6.3E-05
435,6.6E-05
436,0.0001
437,4.9E-05
438,9E-06
439,3.4E-05
440,3.4E-05
441,6.8E-05
442,4E-05
443,1.1E-05
444,9E-06
445,2.4E-05
446,3.1E-05
447,2.4E-05
448,5.5E-05
449,6.3E-05
450,2.5E-05
451,8E-06
452,3.6E-05
453,1.5E-05
454,-2.1E-05
455,7E-05
456,3E-05
457,3.5E-05
458,2E-06
459,1.7E-05
460,8E-06
461,1.7E-05
462,1.4E-05
463,1.7E-05
464,2.9E-05
465,3E-05
466,3.1E-05
467,2E-05
468,4.9E-05
469,4.9E-05
470,4.9E-05
471,1.5E-05
472,3E-05
473,3.8E-05
474,3.8E-05
475,5.5E-05
476,5E-05
477,5.7E-05
478,5.7E-05
479,5E-05
480,4E-05
481,2.2E-05
482,5E-05
483,2.8E-05
484,5E-06
485,3.7E-05
486,1E-05
487,2E-06
488,2.4E-05
489,6.3E-05
490,8.9E-05
491,7.7E-05
492,2.8E-05
493,2E-05
494,6.3E-05
495,6.4E-05
496,5E-05
497,9.4E-05
498,0.000108
499,5.7E-05
500,4.6E-05
501,5E-06
502,2.2E-05
503,2E-05
504,3.5E-05
505,4.3E-05
506,2.7E-05
507,2.8E-05
508,9E-06
509,1.7E-05
510,4.2E-05
511,4.2E-05
512,3.3E-05
513,2.7E-05
514,3E-06
515,4.1E-05
516,5.3E-05
517,-1E-06
518,1.4E-05
519,5.4E-05
520,2E-05
521,1.8E-05
522,0
523,1.4E-05
524,4.7E-05
525,3.2E-05
526,3.6E-05
527,3.6E-05
528,2.7E-05
529,2.7E-05
530,1.4E-05
531,2.8E-05
532,4.5E-05
533,4.3E-05
534,1E-05
535,-5E-06
536,-9E-06
537,1E-05
538,3E-05
539,3.4E-05
540,5.9E-05
541,4E-05
542,4.2E-05
543,4.9E-05
544,5.7E-05
545,7.4E-05
546,5.1E-05
547,2.1E-05
548,2.2E-05
549,2.8E-05
550,2.7E-05
551,8E-06
552,9E-06
553,2.9E-05
554,4.2E-05
555,3.8E-05
556,3.9E-05
557,8.3E-05
558,8.2E-05
559,4.2E-05
560,3.9E-05
561,2.1E-05
562,1.4E-05
563,2.8E-05
564,5.1E-05
565,5E-06
566,-2E-06
567,3.1E-05
568,-9E-06
569,-4E-06
570,-1E-06
571,-7E-06
572,1.3E-05
573,2.8E-05
574,4.1E-05
575,-2.1E-05
576,-2.5E-05
577,3.2E-05
578,4.9E-05
579,5.9E-05
580,5.5E-05
581,3.3E-05
582,2.2E-05
583,5.5E-05
584,7.9E-05
585,4E-05
586,2.3E-05
587,5E-05
588,3.3E-05
589,5.5E-05
590,3E-05
591,3.1E-05
592,4E-05
593,2.8E-05
594,4.3E-05
595,7.3E-05
596,4.3E-05
597,3.7E-05
598,3.2E-05
599,3.4E-05
600,3.6E-05
601,7.6E-05
602,4.5E-05
603,1.4E-05
604,1.9E-05
605,3E-05
606,2.6E-05
607,-9E-06
608,4.3E-05
609,-1E-06
610,-2E-06
611,0
612,2.1E-05
613,1.3E-05
614,2.3E-05
615,2.5E-05
616,5.4E-05
617,1.9E-05
618,2.5E-05
619,2E-05
620,3E-06
621,-8E-06
622,0
623,2E-06
624,3E-06
625,1.2E-05
626,4E-05
627,2.3E-05
628,4.6E-05
629,3.9E-05
630,3E-05
631,8E-06
632,1.6E-05
633,2.9E-05
634,8E-06
635,2.4E-05
636,1.8E-05
637,2E-06
638,-8E-06
639,-8E-06
640,6E-06
641,0
642,2.2E-05
643,2.6E-05
644,-1.7E-05
645,-3E-06
646,-9E-06
647,-1.8E-05
648,-2.1E-05
649,3.3E-05
650,3E-06
651,3.6E-05
652,7.2E-05
653,2E-06
654,0
655,-5.5E-05
656,-3.2E-05
657,1.3E-05
658,2.5E-05
659,7E-06
660,3.7E-05
661,6E-06
662,-1.5E-05
663,7.5E-05
664,4.1E-05
665,-1.5E-05
666,-2.6E-05
667,-2.2E-05
668,-1.5E-05
669,-1.1E-05
670,7.5E-05
671,6E-06
672,4.9E-05
673,4.9E-05
674,6.9E-05
675,-1E-05
676,8E-06
677,-3E-06
678,-1.2E-05
679,1.2E-05
680,2.6E-05
681,2E-06
682,-3.2E-05
683,2.4E-05
684,3.2E-05
685,-2.7E-05
686,-3E-06
687,1.6E-05
688,-5E-06
689,-1.5E-05
690,-9E-06
691,-3E-06
692,3.8E-05
693,2.3E-05
694,-1E-05
695,-2E-05
696,2E-05
697,-1.3E-05
698,1.5E-05
699,-3E-06
700,4E-05
701,3.4E-05
702,1.9E-05
703,9E-06
704,-9E-06
705,7E-06
706,1.4E-05
707,5E-06
708,2E-06
709,3.8E-05
710,2.5E-05
711,-3.4E-05
712,-1.5E-05
713,1.4E-05
714,1.8E-05
715,2.1E-05
716,1.5E-05
717,1.5E-05
718,1.5E-05
719,6E-06
720,3.1E-05
721,2.5E-05
722,3.7E-05
723,2.6E-05
724,6E-06
725,1.6E-05
726,2.2E-05
727,2.2E-05
728,1E-06
729,2.1E-05
730,4.1E-05
731,1.7E-05
732,5E-06
733,0
734,3.6E-05
735,-6E-06
736,-5.5E-05
737,6.7E-05
738,1.2E-05
739,-2.8E-05
740,2.5E-05
741,4.6E-05
742,-2E-06
743,2.1E-05
744,2E-05
745,2.3E-05
746,2.5E-05
747,-1.2E-05
748,-1E-05
749,1.6E-05
750,2.7E-05
751,-2.8E-05
752,-2.3E-05
753,-3.3E-05
754,-1.5E-05
755,5.9E-05
756,2.3E-05
757,3.9E-05
758,-5E-06
759,-3.8E-05
760,-1E-06
761,-2E-06
762,-1.6E-05
763,-1E-06
764,2E-05
765,5E-06
766,3.3E-05
767,5.9E-05
768,5E-06
769,-2.5E-05
770,3.7E-05
771,7.2E-05
772,3.4E-05
773,-5E-06
774,-2.9E-05
775,-3.9E-05
776,-1E-06
777,7E-06
778,5E-06
779,-2.5E-05
780,-3.6E-05
781,-2.3E-05
782,-8E-06
783,4.7E-05
784,2.6E-05
785,1E-06
786,-1.1E-05
787,-2.3E-05
788,-1.5E-05
789,-2.1E-05
790,-7E-06
791,1E-06
792,-1.4E-05
793,-2.8E-05
794,0
795,-8E-06
796,-1.4E-05
797,5E-06
798,2.6E-05
799,2E-06
800,8E-06
801,2.2E-05
802,3.2E-05
803,3.2E-05
804,-1.5E-05
805,-1.4E-05
806,1.7E-05
807,1.4E-05
808,1.5E-05
809,-1.5E-05
810,-1.2E-05
811,4E-05
812,2.1E-05
813,1.7E-05
814,2.7E-05
815,3.5E-05
816,6.1E-05
817,0.000101
818,7.4E-05
819,9.1E-05
820,0.000153
821,0.000194
822,0.000163
823,0.000121
824,7.8E-05
825,0.000139
826,7.5E-05
827,2.7E-05
828,0.000116
829,8.4E-05
830,-5E-06
831,-2.4E-05
832,-5E-06
833,-1.9E-05
834,7.2E-05
835,-1.9E-05
836,-7.5E-05
837,9.4E-05
838,3.8E-05
839,4E-06
840,-4.9E-05
841,-5.2E-05
842,7E-06
843,-4.4E-05
844,0.000162
845,0.00015
846,4E-06
847,3.4E-05
848,0.000121
849,0.000232
850,5.8E-05
851,-0.000165
852,-0.000209
853,0.00022
854,0.000388
855,0.000106
856,-0.000263
857,0.000244
858,0.000571
859,7.6E-05
860,1.6E-05
861,0.000215
862,0.000257
863,-0.000935
864,-0.001154
865,-0.000646
866,-0.002011
867,-0.000688
868,0.000386
869,0.00054
870,-0.000604
871,0.003363
872,0.001035
873,4.1E-05
874,-0.000857
875,-0.000623
876,-0.000734
877,-0.000817
878,0.00269
879,-0.000935
880,0.001029
881,0.003046
882,-0.00123
883,-0.000366
884,-0.000735
885,0.005753
886,0.014344
887,-0.003696
888,0.000711
889,-0.001905
890,-0.017862
891,0.008314
892,0.010302
893,-0.016713
894,0.001833
895,0.011005
896,-0.012016
897,0.003183
898,0.001762
899,-0.016307
