Type,Exciter
Maker,"OLYMPUS"
ProductName,"BP400-410(U-MNV2)"
Comment,""
Public,1
wavedataset
300,7.8E-05
301,6.9E-05
302,4.5E-05
303,7.2E-05
304,6.6E-05
305,6.7E-05
306,9.6E-05
307,6.8E-05
308,5.6E-05
309,0.000102
310,5E-05
311,2.6E-05
312,0.000104
313,0.000122
314,6.3E-05
315,3.1E-05
316,6.6E-05
317,9.4E-05
318,9E-05
319,7.2E-05
320,4E-05
321,5.3E-05
322,7.4E-05
323,9.9E-05
324,8.3E-05
325,8.6E-05
326,8.5E-05
327,4.5E-05
328,2.9E-05
329,2.3E-05
330,4.1E-05
331,8E-05
332,8E-05
333,6.7E-05
334,8.4E-05
335,7.1E-05
336,6.1E-05
337,9.3E-05
338,0.000116
339,9.9E-05
340,9E-05
341,7.1E-05
342,7E-05
343,6.6E-05
344,9.1E-05
345,8.4E-05
346,6.6E-05
347,0.000119
348,0.000129
349,9E-05
350,4.8E-05
351,2.3E-05
352,2.3E-05
353,2.3E-05
354,2.3E-05
355,2.3E-05
356,6.7E-05
357,0.000101
358,8.5E-05
359,0.000102
360,9.1E-05
361,2.3E-05
362,7.3E-05
363,0.000124
364,9.3E-05
365,4.8E-05
366,2.8E-05
367,3.9E-05
368,9.2E-05
369,2.3E-05
370,4.9E-05
371,8.1E-05
372,5.4E-05
373,8.7E-05
374,3.2E-05
375,2.3E-05
376,2.3E-05
377,4.6E-05
378,9.9E-05
379,0.000111
380,0.000129
381,0.000113
382,8.8E-05
383,8.2E-05
384,0.000122
385,0.000331
386,0.001297
387,0.007813
388,0.054816
389,0.345713
390,1.580485
391,4.408686
392,8.942869
393,16.633181
394,31.045285
395,51.704651
396,66.764738
397,70.765695
398,69.572333
399,69.567073
400,71.483835
401,73.538299
402,75.191008
403,74.103768
404,71.775413
405,70.588305
406,70.959473
407,73.653374
408,76.459808
409,78.038467
410,75.539282
411,60.515287
412,34.784423
413,3.38429
414,3.336425
415,1.410011
416,1.040859
417,0.481795
418,0.240122
419,0.126812
420,0.069041
421,0.037477
422,0.02001
423,0.010257
424,0.005219
425,0.002688
426,0.001482
427,0.000832
428,0.000561
429,0.000352
430,0.000219
431,0.000243
432,0.000198
433,0.000172
434,0.000165
435,0.000123
436,8.7E-05
437,0.000124
438,0.000126
439,0.000129
440,0.000121
441,4.9E-05
442,5.7E-05
443,0.000135
444,8.7E-05
445,7.5E-05
446,9.7E-05
447,8.9E-05
448,7E-05
449,0.000127
450,0.000118
451,7.3E-05
452,9E-05
453,8.3E-05
454,5.9E-05
455,6.1E-05
456,5.3E-05
457,8.8E-05
458,0.000107
459,7.3E-05
460,7.9E-05
461,7E-05
462,6.8E-05
463,8.2E-05
464,5.5E-05
465,6.8E-05
466,4.9E-05
467,7.6E-05
468,9.4E-05
469,3.1E-05
470,8.9E-05
471,5.4E-05
472,4.4E-05
473,6.7E-05
474,6.1E-05
475,7.5E-05
476,7.6E-05
477,5.7E-05
478,7E-05
479,2.3E-05
480,3.7E-05
481,6.7E-05
482,0.000108
483,7.2E-05
484,6.4E-05
485,5.6E-05
486,6.4E-05
487,7.5E-05
488,7.6E-05
489,5.6E-05
490,7.3E-05
491,9E-05
492,6.2E-05
493,8.4E-05
494,5.6E-05
495,4.9E-05
496,5.1E-05
497,5E-05
498,8.4E-05
499,7.6E-05
500,7.6E-05
501,8.6E-05
502,7.9E-05
503,5.5E-05
504,3.7E-05
505,6.1E-05
506,5.7E-05
507,4.8E-05
508,5.9E-05
509,4.4E-05
510,4.7E-05
511,7.3E-05
512,9.4E-05
513,8E-05
514,9.5E-05
515,7.9E-05
516,4.9E-05
517,7.3E-05
518,6.6E-05
519,2.3E-05
520,4.1E-05
521,5.4E-05
522,7.8E-05
523,9E-05
524,5.3E-05
525,3.4E-05
526,4.5E-05
527,5.3E-05
528,7.8E-05
529,9.9E-05
530,6.7E-05
531,4.9E-05
532,6.1E-05
533,5.5E-05
534,6.5E-05
535,7.5E-05
536,4.8E-05
537,5.4E-05
538,7.1E-05
539,6.8E-05
540,7.3E-05
541,6.5E-05
542,8.6E-05
543,9.2E-05
544,7.3E-05
545,7.3E-05
546,5.8E-05
547,4.8E-05
548,5.9E-05
549,0.000106
550,0.000124
551,0.000143
552,0.000161
553,0.000185
554,0.000231
555,0.000293
556,0.000309
557,0.000303
558,0.000303
559,0.000277
560,0.00026
561,0.000241
562,0.000231
563,0.000219
564,0.000177
565,0.000169
566,0.000157
567,0.000119
568,0.000107
569,0.000107
570,0.000133
571,0.000143
572,0.000124
573,0.000105
574,0.000135
575,0.000156
576,0.000123
577,0.000113
578,0.000119
579,9.3E-05
580,8.9E-05
581,0.000129
582,9.8E-05
583,5.8E-05
584,0.000104
585,0.000103
586,7.9E-05
587,0.000103
588,0.000113
589,9.5E-05
590,8.2E-05
591,0.000105
592,0.000162
593,0.000153
594,0.000117
595,0.000132
596,0.00011
597,8.8E-05
598,8E-05
599,6.4E-05
600,6.6E-05
601,0.000108
602,8.5E-05
603,9E-05
604,6.9E-05
605,7.4E-05
606,0.000102
607,0.000143
608,0.000117
609,6.1E-05
610,0.000123
611,0.000161
612,0.000124
613,0.000113
614,5.8E-05
615,8.4E-05
616,0.000103
617,0.000106
618,7.9E-05
619,9.2E-05
620,8.7E-05
621,4.3E-05
622,6.5E-05
623,0.000105
624,0.000107
625,9.1E-05
626,9.4E-05
627,0.000129
628,0.000111
629,7.2E-05
630,7.4E-05
631,6.8E-05
632,8.9E-05
633,6.1E-05
634,7.7E-05
635,5.4E-05
636,6.7E-05
637,6.5E-05
638,9.8E-05
639,9.3E-05
640,7.6E-05
641,4E-05
642,8.6E-05
643,7.4E-05
644,5E-05
645,0.0001
646,7.2E-05
647,6.2E-05
648,0.000102
649,2.7E-05
650,8.8E-05
651,2.3E-05
652,6.3E-05
653,3.3E-05
654,3.2E-05
655,2.3E-05
656,3.6E-05
657,2.3E-05
658,9.7E-05
659,8.1E-05
660,2.3E-05
661,9E-05
662,6.7E-05
663,7.5E-05
664,6.8E-05
665,3.7E-05
666,2.3E-05
667,4.4E-05
668,3.6E-05
669,3.1E-05
670,2.3E-05
671,3.4E-05
672,3.8E-05
673,9.8E-05
674,3.3E-05
675,7.1E-05
676,4.4E-05
677,3.3E-05
678,2.3E-05
679,2.3E-05
680,2.3E-05
681,2.3E-05
682,2.3E-05
683,4.5E-05
684,2.9E-05
685,4.2E-05
686,4.7E-05
687,0.000112
688,5.9E-05
689,5.5E-05
690,2.3E-05
691,4.9E-05
692,4.2E-05
693,4.2E-05
694,5.8E-05
695,8.1E-05
696,7.2E-05
697,8.7E-05
698,2.3E-05
699,4.1E-05
700,5.3E-05
701,2.3E-05
702,6.6E-05
703,5.3E-05
704,9.5E-05
705,9.4E-05
706,2.3E-05
707,2.3E-05
708,2.7E-05
709,2.3E-05
710,2.3E-05
711,2.3E-05
712,5.1E-05
713,4.4E-05
714,4.1E-05
715,7.6E-05
716,4.3E-05
717,2.3E-05
718,2.3E-05
719,2.3E-05
720,2.3E-05
721,2.7E-05
722,2.3E-05
723,6.1E-05
724,3.1E-05
725,5.6E-05
726,5.6E-05
727,4E-05
728,3.7E-05
729,2.3E-05
730,2.3E-05
731,2.9E-05
732,4.4E-05
733,4.5E-05
734,2.3E-05
735,2.9E-05
736,3.2E-05
737,2.3E-05
738,3.1E-05
739,5.5E-05
740,4.4E-05
741,3.5E-05
742,6.7E-05
743,5E-05
744,4E-05
745,4.7E-05
746,7E-05
747,6.9E-05
748,2.3E-05
749,3.5E-05
750,6.2E-05
751,7.6E-05
752,9.4E-05
753,0.000138
754,0.000138
755,0.000156
756,0.000215
757,0.000293
758,0.000382
759,0.000429
760,0.000511
761,0.00065
762,0.000819
763,0.001004
764,0.001108
765,0.001334
766,0.001574
767,0.00168
768,0.001773
769,0.001839
770,0.001801
771,0.001683
772,0.001586
773,0.001494
774,0.001409
775,0.001268
776,0.001137
777,0.001074
778,0.000996
779,0.00092
780,0.000904
781,0.00088
782,0.000829
783,0.00089
784,0.000858
785,0.000859
786,0.00093
787,0.000928
788,0.001012
789,0.001105
790,0.001205
791,0.001339
792,0.001431
793,0.001557
794,0.001666
795,0.001764
796,0.001926
797,0.002086
798,0.002277
799,0.002589
800,0.002988
801,0.003542
802,0.004237
803,0.005032
804,0.005966
805,0.007308
806,0.009124
807,0.012059
808,0.016962
809,0.025443
810,0.040956
811,0.066726
812,0.088476
813,0.079211
814,0.050314
815,0.027774
816,0.016018
817,0.009881
818,0.006529
819,0.004842
820,0.003597
821,0.002686
822,0.002166
823,0.001817
824,0.001592
825,0.001305
826,0.001074
827,0.000916
828,0.000886
829,0.000735
830,0.000702
831,0.000643
832,0.000561
833,0.000616
834,0.000542
835,0.000561
836,0.000502
837,0.000476
838,0.000373
839,0.000445
840,0.000304
841,0.000372
842,0.000404
843,0.000404
844,0.000272
845,0.000416
846,0.000454
847,0.00044
848,0.000378
849,0.000177
850,0.000183
851,0.000188
852,0.000345
853,0.000584
854,0.000776
855,0.00012
856,0.000199
857,0.000982
858,0.000346
859,0.000486
860,0.000615
861,0.000519
862,0.000148
863,0.00066
864,0.000944
865,2.3E-05
866,0.001874
867,2.3E-05
868,2.3E-05
869,0.001442
870,0.002669
871,0.000745
872,0.001628
873,0.002738
874,0.002493
875,2.3E-05
876,0.001214
877,0.004739
878,0.003426
879,2.3E-05
880,0.003604
881,0.004456
882,2.3E-05
883,0.006273
884,2.3E-05
885,0.004986
886,2.3E-05
887,2.3E-05
888,0.006845
889,2.3E-05
890,2.3E-05
891,0.010549
892,2.3E-05
893,2.3E-05
894,0.003148
895,0.007133
896,2.3E-05
897,2.3E-05
898,0.004047
899,0.028543
