Type,Exciter
Maker,"OLYMPUS"
ProductName,"BP425-445CFP"
Comment,""
Public,1
wavedataset
300,-0.000291968
301,0.000131597
302,0.000314558
303,0.000257346
304,0.000129163
305,-7.54E-05
306,-4.13E-05
307,0.000333947
308,0.000248983
309,-0.000155719
310,-3.14E-05
311,-0.000219248
312,1.29E-05
313,1.09E-05
314,-0.000113358
315,-0.000192026
316,0.000256497
317,0.00018678
318,-0.000467337
319,0.000123815
320,0.000667113
321,-0.000368566
322,0.000287016
323,-1.41E-05
324,0.000314396
325,-0.0003462
326,-0.000394959
327,0.00025913
328,-8.65E-05
329,0.000284965
330,-0.000600309
331,-0.000147667
332,-0.000138218
333,1.01E-05
334,-0.00021275
335,2.14E-05
336,0.000298235
337,-2.34E-05
338,-2.59E-05
339,-0.000153933
340,-0.00100554
341,0.000529431
342,-0.000249622
343,0.00146321
344,0.000171919
345,-8.73E-05
346,0.000178314
347,-0.000326446
348,-0.000411524
349,9.66E-05
350,0.000412597
351,0.000682702
352,-0.000161045
353,-0.000467608
354,0.000164183
355,-0.000217659
356,-8.68E-05
357,-0.000420711
358,0.00020466
359,-0.000133786
360,0.000376649
361,-1.49E-05
362,-0.000182669
363,-0.000272954
364,-0.000712274
365,-3.89E-05
366,0.000368243
367,0.000147114
368,0.000102588
369,0.000222811
370,-9.49E-05
371,0.000134732
372,0.00011203
373,0.000181417
374,0.000196791
375,-0.000357424
376,-7.1E-05
377,-2.44E-06
378,-0.000275762
379,0.000276148
380,3.25E-05
381,-3.45E-05
382,-0.000340789
383,-3.22E-05
384,-0.000172014
385,3.52E-05
386,-9.71E-05
387,0.000294452
388,-0.000281981
389,3.3E-05
390,9.79E-05
391,-8.43E-05
392,0.000178527
393,-0.000170851
394,0.000177891
395,6.94E-05
396,-0.000169698
397,0.000120166
398,0.000240084
399,5.6E-05
400,3.22E-05
401,0.000149689
402,-2.41E-05
403,-2.29E-05
404,0.000166763
405,-4.99E-05
406,0.000138945
407,-7.09E-05
408,7.09E-05
409,1.76E-05
410,-0.000109399
411,0.000167159
412,6.36E-06
413,0.000111896
414,-7.31E-05
415,2.58E-05
416,0.000298229
417,0.00164353
418,0.0043092
419,0.0108639
420,0.0304519
421,0.0837647
422,0.240103
423,0.724548
424,2.41578
425,8.45251
426,27.0977
427,59.9311
428,82.0765
429,87.3448
430,88.1414
431,87.1859
432,86.1566
433,85.7278
434,83.9826
435,82.9226
436,84.061
437,85.6466
438,86.351
439,86.866
440,87.2265
441,86.3278
442,84.4696
443,81.638
444,63.5487
445,16.6063
446,0.866522
447,0.0255733
448,0.000991303
449,0.000149557
450,-6.38E-06
451,-5.98E-05
452,-8.32E-05
453,1.19E-05
454,0.000170013
455,-1.36E-05
456,8.66E-05
457,9.38E-05
458,1.91E-05
459,-3.58E-05
460,1.75E-05
461,-5.24E-05
462,-5.57E-05
463,2.06E-05
464,6.77E-05
465,1.28E-05
466,7.74E-05
467,1.32E-06
468,-1.79E-05
469,5.35E-05
470,3.36E-05
471,0.000100336
472,6.89E-05
473,-6.11E-05
474,7.02E-05
475,7.45E-05
476,-6.26E-05
477,-3.84E-05
478,-9.34E-05
479,-7.57E-05
480,3.4E-05
481,3.7E-05
482,3.38E-05
483,5.53E-05
484,3.89E-05
485,9.27E-05
486,5.47E-05
487,2.99E-05
488,-4.31E-05
489,3.04E-05
490,5.66E-05
491,-0.000121266
492,-1.82E-05
493,-4.77E-05
494,-2.93E-05
495,1.49E-05
496,-3.7E-05
497,4.07E-05
498,6.3E-05
499,-2.79E-05
500,5.29E-05
501,2.61E-05
502,-6.74E-06
503,9.85E-05
504,-5.02E-05
505,-2.9E-05
506,-2.12E-05
507,-3.89E-05
508,-5.41E-06
509,9.38E-05
510,-5.13E-05
511,6.38E-05
512,1.4E-05
513,1.84E-05
514,7.81E-05
515,-1.72E-06
516,-3.86E-05
517,3.07E-05
518,6.39E-05
519,-6.38E-06
520,-5.56E-05
521,8.77E-05
522,4.91E-05
523,-0.000100177
524,0.000130757
525,5.52E-05
526,7.47E-06
527,-6.65E-05
528,-6.31E-05
529,-4.47E-07
530,4.16E-05
531,-5.61E-05
532,4.38E-05
533,-9.07E-05
534,-4.41E-05
535,-5.43E-05
536,-1.43E-05
537,-3.7E-05
538,9.27E-05
539,2.74E-05
540,-9.17E-06
541,1.59E-05
542,4.46E-05
543,-5.42E-05
544,-4.12E-05
545,-5.25E-05
546,8.03E-05
547,-3.63E-05
548,2.8E-05
549,-5.08E-06
550,1.08E-05
551,8.23E-05
552,4.99E-05
553,-3.35E-05
554,4.96E-05
555,-1.69E-05
556,5.99E-07
557,0.000141376
558,6.02E-05
559,4.09E-05
560,-4.21E-06
561,-4.52E-06
562,2.46E-05
563,-9.12E-05
564,-2.22E-05
565,-3.35E-06
566,-6.53E-06
567,-1.79E-05
568,-4.92E-06
569,-5.08E-06
570,-6.43E-05
571,2.71E-05
572,8.16E-05
573,9.38E-05
574,1.46E-05
575,-4.48E-05
576,9.6E-05
577,-9.07E-05
578,-1.54E-05
579,8.88E-05
580,6.69E-05
581,-3.04E-06
582,6.46E-05
583,5.98E-07
584,5.08E-05
585,1.74E-05
586,-6.41E-05
587,-9.16E-06
588,2.17E-06
589,-5.31E-08
590,-3.88E-05
591,9.71E-06
592,-6.4E-05
593,7.88E-05
594,1.65E-05
595,6.78E-05
596,3.59E-05
597,-3.35E-05
598,3.76E-05
599,1.04E-05
600,3.34E-05
601,2.51E-05
602,-5.54E-05
603,3.83E-05
604,1.42E-05
605,-2.51E-05
606,1.56E-07
607,2.45E-05
608,1.6E-07
609,1.73E-05
610,1.49E-05
611,-1.77E-05
612,4.16E-05
613,3.33E-05
614,-2.03E-05
615,-4.25E-05
616,2.96E-05
617,-3.43E-06
618,3.27E-05
619,1.44E-05
620,-3.25E-05
621,-1.16E-05
622,-4.56E-05
623,-1.14E-05
624,-5.83E-06
625,5.66E-05
626,-1.41E-06
627,-5.54E-05
628,3.72E-05
629,-2.79E-05
630,-5.82E-05
631,-0.000123223
632,-2.7E-05
633,-4.31E-05
634,-9.38E-06
635,1.52E-05
636,-4.09E-05
637,-3.38E-05
638,-1.18E-05
639,-4.15E-05
640,-2.92E-05
641,4.25E-05
642,3.95E-05
643,-5.28E-05
644,5.58E-06
645,-4.15E-05
646,7.92E-05
647,-4.46E-07
648,-2.7E-05
649,3.14E-05
650,3.88E-05
651,-1.04E-05
652,-2.08E-05
653,-6.77E-06
654,-8.25E-06
655,-4.49E-05
656,-7.6E-06
657,-2.68E-06
658,3.27E-05
659,1.58E-05
660,-5.12E-05
661,-7.19E-05
662,3.25E-05
663,-1.57E-05
664,2.32E-05
665,6.71E-05
666,-3.95E-05
667,9.58E-06
668,-5.34E-05
669,2.25E-05
670,-4.13E-06
671,-7.66E-05
672,6.83E-05
673,3.72E-06
674,5.86E-06
675,7.15E-05
676,2.73E-06
677,2.44E-07
678,1.66E-05
679,2.74E-05
680,-4.87E-05
681,9.36E-06
682,0.000137671
683,1.78E-05
684,-1.4E-05
685,-0.000128061
686,-9.09E-05
687,-6.46E-05
688,-3.01E-05
689,2E-05
690,-2.9E-05
691,2.58E-05
692,9.82E-06
693,-5.41E-05
694,5.94E-05
695,-9.77E-06
696,-4.35E-05
697,-2.33E-05
698,2.03E-05
699,0.000101689
700,0.000132214
701,-3.08E-05
702,2.12E-05
703,-1.48E-05
704,4.6E-05
705,7.22E-05
706,-5.12E-05
707,-3.65E-05
708,0.000160208
709,-1.74E-05
710,-3.43E-05
711,-0.000140005
712,0.00010766
713,-9.78E-06
714,-4.58E-05
715,3.94E-05
716,-2.12E-05
717,-9.95E-05
718,1.27E-05
719,-5.17E-06
720,-0.000284603
721,-0.000279666
722,0.000158025
723,0.000175384
724,0.000174864
725,0.000168663
726,-1.87E-05
727,-0.000144801
728,-0.000138432
729,0.000106523
730,0.000219597
731,-3.21E-05
732,0.000244927
733,-5.48E-05
734,4.62E-05
735,-7.95E-05
736,0.000152446
737,0.000101284
738,0.000245427
739,-1.12E-05
740,-8.7E-05
741,0.000110527
742,-2.97E-05
743,6.14E-05
744,0.000366728
745,0.000306531
746,0.000364697
747,0.000240864
748,2.74E-05
749,8.29E-05
750,2.33E-05
751,0.000745368
752,0.000110212
753,0.000309145
754,0.000467156
755,6.7E-05
756,-1.6E-05
757,0.00063804
758,0.000223899
759,0.000710136
760,0.000180631
761,-8.58E-05
762,0.000345312
763,4.6E-05
764,0.000310198
765,-0.000248147
766,0.000142989
767,-0.000368372
768,-0.000198669
769,0.000647996
770,-0.000334783
771,-0.000335021
772,5.05E-05
773,0.000165767
774,0.000572346
775,-9.29E-06
776,0.000498611
777,0.000465247
778,0.0001082
779,-2.03E-05
780,-0.000229403
781,0.000355013
782,0.000497716
783,0.000503868
784,-0.000159379
785,-0.000325128
786,0.000314772
787,4.95E-05
788,0.000532507
789,0.000479175
790,6.3E-05
791,-0.000424473
792,-0.000153492
793,-0.000159508
794,-0.000194013
795,0.000517706
796,-0.000118687
797,-0.000176399
798,0.000556734
799,-0.00109674
800,0.00050882
801,0.000404255
802,0.00015802
803,0.000775836
804,0.000303904
805,-0.000819453
806,0.000774043
807,-0.000302787
808,-0.000221036
