Type,Exciter
Maker,"OLYMPUS"
ProductName,"BP460-480GFP"
Comment,""
Public,1
wavedataset
300,0.00011782
301,-6.22E-05
302,0.000174276
303,0.000192421
304,0.000569707
305,0.000112214
306,0.000224373
307,0.000232643
308,0.000152048
309,-9.45E-05
310,0.000257373
311,-6.25E-05
312,0.000254114
313,-0.000307418
314,-0.000202279
315,0.000165996
316,0.000485272
317,-7.4416E-05
318,-0.000215016
319,0.000308581
320,0.00047892
321,-0.000159349
322,-0.000246395
323,-0.000430308
324,-0.000103658
325,-0.000237687
326,-4.34E-05
327,0.000145339
328,-0.000172617
329,0.000325187
330,-0.000168963
331,0.000348933
332,4.55E-05
333,0.000218928
334,-0.000610454
335,0.000135359
336,0.000194742
337,0.000552692
338,0.000463616
339,-3.72E-05
340,-0.000412549
341,0.000440683
342,-0.000392522
343,0.000944552
344,-7.18E-05
345,-0.000265335
346,-0.000273578
347,-0.000390931
348,-0.000158523
349,0.000904333
350,-0.000342398
351,0.000409895
352,-3.5778E-05
353,0.00022761
354,-0.000361416
355,-0.000101386
356,-3.76E-05
357,9.2E-05
358,-0.000474581
359,-1.72E-05
360,0.000314303
361,-0.000523191
362,-0.000265123
363,-1.12E-05
364,0.000106626
365,8.71E-05
366,1.71E-05
367,-2.29E-05
368,-0.000160506
369,-5.48E-05
370,-0.000144972
371,-1.8221E-05
372,-0.000191784
373,-0.000417471
374,-0.000165812
375,-1.96E-05
376,-0.00010962
377,-0.00022148
378,0.000227499
379,0.0001622
380,-5.27E-05
381,-0.000105047
382,-9.33E-05
383,7.36E-05
384,-0.000299275
385,5.37E-05
386,-5.9808E-05
387,-0.000366066
388,-7.67E-05
389,3.8659E-05
390,0.00029153
391,-0.000150081
392,0.00017545
393,-3.07E-05
394,0.000318823
395,-0.00017775
396,4.97E-05
397,0.000184803
398,-0.000216
399,-0.000138714
400,7.59E-05
401,-2.4656E-05
402,-0.000195142
403,-4.45E-05
404,0.000147623
405,9.08E-06
406,6.16E-05
407,-9.28E-05
408,0.000268806
409,-0.00010269
410,0.000160391
411,9.54E-05
412,0.000110344
413,-5.08E-05
414,3.62E-05
415,-0.000113439
416,6.26E-05
417,0.00011342
418,0.000163883
419,8.7281E-05
420,-8.28E-05
421,-6.11E-05
422,0.000145713
423,-2.13E-05
424,0.000168913
425,-1.69E-05
426,5.08E-05
427,8.08E-05
428,2.62E-05
429,2.45E-05
430,3.9E-05
431,-9.5627E-05
432,3.63E-05
433,-5.51E-05
434,-5.36E-05
435,6.85E-05
436,-0.000219831
437,-7.28E-05
438,0.000122148
439,-1.98E-05
440,-0.000143561
441,-5.55E-05
442,6.2843E-05
443,6.03E-05
444,-2.22E-05
445,-0.000151163
446,-3.12E-06
447,-5.79E-05
448,1.51E-05
449,8.47E-05
450,6.03E-05
451,2.78E-05
452,0.000115691
453,0.000206838
454,0.000592969
455,0.00150522
456,0.00753516
457,0.0410468
458,0.232189
459,1.15243
460,4.87061
461,18.1959
462,50.0618
463,79.8745
464,87.5176
465,88.4139
466,90.1298
467,90.3598
468,89.5708
469,89.0606
470,88.5923
471,88.5101
472,87.8943
473,87.5712
474,87.9287
475,88.208
476,88.2318
477,88.5572
478,88.9523
479,88.4698
480,85.8275
481,59.0391
482,10.965
483,0.358702
484,0.00950127
485,0.00031606
486,8.1741E-05
487,2.2E-05
488,-6.26E-05
489,-5.92E-06
490,0.000111802
491,-0.000101365
492,5.75E-05
493,2.93E-06
494,-5.82E-05
495,4.41E-05
496,-3.42E-06
497,-4.98E-06
498,-1.88E-05
499,7.24E-05
500,-2.55E-05
501,-1.61E-05
502,6.6E-05
503,-2.691E-06
504,3.15E-05
505,-6.19E-05
506,5.02E-05
507,7.88E-05
508,2.04E-05
509,8.11E-05
510,-1.38E-05
