Type,Exciter
Maker,"OLYMPUS"
ProductName,"BP460-480HQ"
Comment,""
Public,1
wavedataset
300,3.4E-05
301,3.6E-05
302,3.6E-05
303,6.2E-05
304,5.6E-05
305,5.2E-05
306,5.7E-05
307,5.4E-05
308,1.5E-05
309,2E-06
310,7E-06
311,3.1E-05
312,5.4E-05
313,6.1E-05
314,3.3E-05
315,8.1E-05
316,9.3E-05
317,2.4E-05
318,4.1E-05
319,4E-06
320,-1E-06
321,6.4E-05
322,7.6E-05
323,5.7E-05
324,3.3E-05
325,4.2E-05
326,0.000117
327,7.7E-05
328,2E-05
329,1.4E-05
330,3.5E-05
331,6.9E-05
332,5.4E-05
333,3.8E-05
334,6.2E-05
335,5.8E-05
336,5.5E-05
337,6.8E-05
338,5.4E-05
339,6.8E-05
340,5.9E-05
341,2.4E-05
342,3.9E-05
343,3.8E-05
344,5.7E-05
345,5.8E-05
346,6.3E-05
347,0.000107
348,0.000104
349,5.8E-05
350,4.2E-05
351,1E-05
352,-3.5E-05
353,-3.6E-05
354,1.8E-05
355,3.5E-05
356,3.5E-05
357,8E-05
358,8.3E-05
359,8.6E-05
360,3E-05
361,9E-06
362,3.5E-05
363,5.3E-05
364,9.6E-05
365,8.7E-05
366,6.8E-05
367,2.1E-05
368,6.4E-05
369,6.6E-05
370,4.8E-05
371,5.3E-05
372,6.1E-05
373,7.4E-05
374,-1.1E-05
375,-4.5E-05
376,4E-06
377,6.8E-05
378,9E-05
379,9.9E-05
380,0.000101
381,9.9E-05
382,4.5E-05
383,4E-06
384,1.3E-05
385,6.9E-05
386,3.4E-05
387,5.3E-05
388,6.8E-05
389,4.6E-05
390,6.9E-05
391,3.6E-05
392,4.8E-05
393,2.3E-05
394,1.7E-05
395,8.5E-05
396,4E-05
397,9E-05
398,2.7E-05
399,9.1E-05
400,3.4E-05
401,1.8E-05
402,4.9E-05
403,6.9E-05
404,7.3E-05
405,5.4E-05
406,7.4E-05
407,5.5E-05
408,2.9E-05
409,6.6E-05
410,4.9E-05
411,5.4E-05
412,4.7E-05
413,3.9E-05
414,3.9E-05
415,6.1E-05
416,6.5E-05
417,7.3E-05
418,4.3E-05
419,5.9E-05
420,8.8E-05
421,6.4E-05
422,4.7E-05
423,0.000101
424,5.9E-05
425,7.2E-05
426,0.000124
427,7.4E-05
428,0.000145
429,6.8E-05
430,3.7E-05
431,9.6E-05
432,7.3E-05
433,0.000114
434,9.9E-05
435,8.7E-05
436,8.7E-05
437,0.000157
438,0.000146
439,0.000164
440,0.000228
441,0.000185
442,0.0003
443,0.000485
444,0.000682
445,0.00098
446,0.001518
447,0.002545
448,0.004314
449,0.007557
450,0.01388
451,0.026398
452,0.052968
453,0.112511
454,0.254281
455,0.623037
456,1.694063
457,5.11464
458,16.114033
459,42.744114
460,75.398374
461,88.043629
462,87.460119
463,87.781535
464,89.252355
465,89.735554
466,88.672295
467,86.70777
468,84.641414
469,83.504961
470,83.51856
471,84.523817
472,85.592929
473,85.684577
474,84.75999
475,83.384974
476,82.655439
477,82.310852
478,81.858041
479,61.65211
480,45.251322
481,10.239373
482,1.095172
483,0.135398
484,0.023097
485,0.005254
486,0.001637
487,0.00073
488,0.00043
489,0.000232
490,0.000179
491,0.000192
492,0.000117
493,0.000109
494,7.5E-05
495,9E-05
496,6.7E-05
497,4.9E-05
498,5.4E-05
499,4.9E-05
500,4.2E-05
501,6.2E-05
502,6.4E-05
503,3.5E-05
504,-4E-06
505,3.6E-05
506,4.4E-05
507,2.4E-05
508,3.3E-05
509,3.3E-05
510,3.4E-05
511,3.7E-05
512,3.4E-05
513,2.8E-05
514,4.8E-05
515,5.5E-05
516,1.8E-05
517,3.5E-05
518,4.2E-05
519,2.2E-05
520,4.6E-05
521,2.8E-05
522,4.2E-05
523,6.8E-05
524,2.6E-05
525,-4E-06
526,1.1E-05
527,4.1E-05
528,8.6E-05
529,8.4E-05
530,4.8E-05
531,1.8E-05
532,3.4E-05
533,3.5E-05
534,4.3E-05
535,7.1E-05
536,5.5E-05
537,4.9E-05
538,3.6E-05
539,3E-05
540,3E-05
541,3.6E-05
542,4.3E-05
543,2.9E-05
544,1.6E-05
545,2.9E-05
546,1.5E-05
547,2E-05
548,4E-05
549,3.4E-05
550,1.5E-05
551,2.4E-05
552,4.2E-05
553,3E-05
554,1.5E-05
555,-1E-06
556,-5E-06
557,-4E-06
558,3.5E-05
559,4.8E-05
560,2.6E-05
561,4.7E-05
562,5E-05
563,3.5E-05
564,5.5E-05
565,4.1E-05
566,1.4E-05
567,-2.8E-05
568,1E-06
569,4.1E-05
570,3.4E-05
571,3.9E-05
572,1.1E-05
573,2.7E-05
574,2.6E-05
575,6.6E-05
576,5.1E-05
577,6.2E-05
578,5.2E-05
579,8E-06
580,3.1E-05
581,2.5E-05
582,2.3E-05
583,1.6E-05
584,4.5E-05
585,6.5E-05
586,1.3E-05
587,7.4E-05
588,4.7E-05
589,5.9E-05
590,3.2E-05
591,2.8E-05
592,6.4E-05
593,5.2E-05
594,5.1E-05
595,8.4E-05
596,5.4E-05
597,2.5E-05
598,2.8E-05
599,2.5E-05
600,2E-05
601,4.6E-05
602,4.4E-05
603,6.2E-05
604,-3.6E-05
605,1.4E-05
606,4.3E-05
607,5.7E-05
608,6.4E-05
609,-2.1E-05
610,1.5E-05
611,8.1E-05
612,5.6E-05
613,2.4E-05
614,2.1E-05
615,6.4E-05
616,8.1E-05
617,2.5E-05
618,2.4E-05
619,6E-05
620,6.2E-05
621,2.6E-05
622,3.6E-05
623,2.4E-05
624,7.4E-05
625,9E-05
626,6.4E-05
627,4.5E-05
628,5.7E-05
629,6E-05
630,6.2E-05
631,0.000104
632,0.00017
633,0.00021
634,0.000157
635,0.000112
636,9.6E-05
637,0.000115
638,0.000133
639,0.000168
640,0.000231
641,0.000198
642,0.000237
643,0.000205
644,0.000143
645,0.00017
646,0.000108
647,7E-05
648,0.00014
649,7.8E-05
650,0.00016
651,0.000216
652,0.000227
653,0.000174
654,0.000137
655,6.3E-05
656,6.5E-05
657,6.6E-05
658,6.2E-05
659,2.7E-05
660,6E-06
661,5.7E-05
662,3.9E-05
663,5.9E-05
664,4.6E-05
665,2.9E-05
666,-6E-06
667,4E-05
668,5.1E-05
669,1E-05
670,3.4E-05
671,-2E-06
672,3.8E-05
673,8.1E-05
674,4.2E-05
675,3.6E-05
676,-1E-06
677,2E-06
678,2.4E-05
679,1.9E-05
680,3E-06
681,3.3E-05
682,1.4E-05
683,7.8E-05
684,1.9E-05
685,2.8E-05
686,7.4E-05
687,3.3E-05
688,7E-06
689,6.1E-05
690,6E-06
691,1.2E-05
692,-2E-06
693,-1.4E-05
694,-1.9E-05
695,2.2E-05
696,5.3E-05
697,6.1E-05
698,-2E-06
699,-3.1E-05
700,1.4E-05
701,-2.7E-05
702,1E-05
703,8.7E-05
704,0.000105
705,6E-05
706,-4.3E-05
707,-8.7E-05
708,-1.4E-05
709,4.8E-05
710,-1.3E-05
711,4.2E-05
712,2.3E-05
713,1.9E-05
714,6E-05
715,3.8E-05
716,-1.5E-05
717,1.7E-05
718,2.5E-05
719,2.9E-05
720,2.9E-05
721,2.7E-05
722,4.5E-05
723,6.2E-05
724,2.3E-05
725,3.8E-05
726,3.7E-05
727,3.6E-05
728,2.6E-05
729,2.8E-05
730,4E-05
731,6.4E-05
732,6.8E-05
733,0.000103
734,0.000133
735,0.000215
736,0.000325
737,0.000537
738,0.000834
739,0.001164
740,0.001325
741,0.001342
742,0.001315
743,0.001202
744,0.001097
745,0.001026
746,0.000953
747,0.000912
748,0.000872
749,0.000876
750,0.000943
751,0.001008
752,0.001057
753,0.001146
