Type,Exciter
Maker,"OLYMPUS"
ProductName,"BP490-500YFP"
Comment,""
Public,1
wavedataset
300,0.00027908
301,9.65E-05
302,6.71E-05
303,6.71E-05
304,0.000250656
305,0.000286325
306,9.72E-05
307,0.000208834
308,0.000333394
309,7.51E-05
310,-2.16E-05
311,-7.95E-05
312,7.49E-05
313,-0.000211802
314,0.000204917
315,0.000251376
316,0.000393155
317,0.00016768
318,-0.000379351
319,-6.4E-05
320,-2.44E-05
321,-0.000226507
322,-0.000101102
323,-0.000300466
324,3.21E-05
325,-7.2E-05
326,0.000296789
327,0.000198636
328,0.000549551
329,-9.37E-05
330,-0.000508735
331,6.38E-05
332,0.000377631
333,0.000195817
334,-7.9E-05
335,-6.98E-05
336,-0.000206756
337,3.45E-05
338,0.000296885
339,-7.62E-05
340,0.000403909
341,0.00036589
342,-0.000399623
343,0.000325353
344,0.000233012
345,-6.95E-05
346,0.000480424
347,6.78E-05
348,-6.95E-06
349,0.000201706
350,9.24E-05
351,-0.000182251
352,-2.85E-05
353,0.000125405
354,0.000283058
355,-9.61E-05
356,-0.000338386
357,-2.26E-05
358,0.000199626
359,-0.000561922
360,1.33E-05
361,-8.24E-05
362,-1.38E-07
363,-0.000267141
364,-0.000284879
365,-0.000177669
366,0.000323542
367,0.000235765
368,0.000182183
369,-0.000240129
370,-0.000132428
371,0.00012085
372,-5.79E-05
373,8.18E-05
374,-0.00022391
375,-5.89E-05
376,-0.000290357
377,-5.18E-05
378,-0.000153654
379,0.000273523
380,0.000167572
381,0.000187431
382,-0.000249642
383,0.000218745
384,-0.00017165
385,4.94E-05
386,-0.000228393
387,-8.61E-05
388,-7.78E-05
389,0.00018581
390,0.000139275
391,0.00010974
392,0.000197072
393,-0.000138902
394,-2.37E-05
395,-8.81E-05
396,3.77E-06
397,-2.5E-05
398,4.15E-05
399,0.000187378
400,0.000116826
401,0.000249562
402,-3.29E-05
403,-0.000164192
404,2.54E-05
405,0.000194041
406,6.14E-05
407,2.25E-05
408,9.81E-05
