Type,Exciter
Maker,"OLYMPUS"
ProductName,"BP510-550"
Comment,""
Public,1
wavedataset
300,7E-06
301,3.1E-05
302,4.4E-05
303,4.4E-05
304,1.9E-05
305,3.4E-05
306,4.9E-05
307,3.9E-05
308,6.3E-05
309,2.5E-05
310,3E-05
311,4.9E-05
312,1.4E-05
313,3.3E-05
314,2.1E-05
315,-2E-06
316,1.6E-05
317,1.2E-05
318,2.7E-05
319,2.1E-05
320,2.9E-05
321,5.4E-05
322,5.2E-05
323,2.7E-05
324,5.2E-05
325,5.7E-05
326,4.8E-05
327,1.5E-05
328,-1.3E-05
329,1.6E-05
330,8E-06
331,4.2E-05
332,7.9E-05
333,4.9E-05
334,1.8E-05
335,9E-06
336,3E-06
337,8E-06
338,1.3E-05
339,2.7E-05
340,4.1E-05
341,1.6E-05
342,2E-06
343,1E-06
344,3.9E-05
345,3E-05
346,9E-06
347,-3E-06
348,1.6E-05
349,3.9E-05
350,2.7E-05
351,1.9E-05
352,7.3E-05
353,3.8E-05
354,1.1E-05
355,4E-05
356,2.9E-05
357,7.7E-05
358,2.3E-05
359,2E-05
360,1.4E-05
361,-2.6E-05
362,-3.3E-05
363,-3.6E-05
364,-4E-06
365,5.3E-05
366,3.2E-05
367,3.3E-05
368,6.9E-05
369,8.5E-05
370,6.7E-05
371,2.6E-05
372,-3.2E-05
373,-1.9E-05
374,-1.1E-05
375,5.5E-05
376,7E-05
377,2.9E-05
378,7.8E-05
379,1.7E-05
380,3.4E-05
381,7.4E-05
382,4.5E-05
383,2.9E-05
384,2.8E-05
385,4.2E-05
386,6.4E-05
387,5.8E-05
388,2.4E-05
389,2.2E-05
390,4.6E-05
391,5.7E-05
392,4.7E-05
393,4.3E-05
394,9E-06
395,-1E-06
396,1.3E-05
397,6.3E-05
398,6.5E-05
399,3.5E-05
400,4.8E-05
401,5.2E-05
402,7.6E-05
403,7.3E-05
404,6.4E-05
405,3.6E-05
406,4.7E-05
407,4.1E-05
408,5.2E-05
409,1E-06
410,4.1E-05
411,4.5E-05
412,2.2E-05
413,4.6E-05
414,2.6E-05
415,3.3E-05
416,1.4E-05
417,2.8E-05
418,5.3E-05
419,3.5E-05
420,4.8E-05
421,2.3E-05
422,2.1E-05
423,2E-06
424,4.1E-05
425,8E-06
426,1.8E-05
427,6.2E-05
428,3.4E-05
429,5.2E-05
430,6E-05
431,0.000107
432,7.3E-05
433,3.9E-05
434,8.5E-05
435,1.5E-05
436,4.2E-05
437,2E-05
438,3E-05
439,3.9E-05
440,5.3E-05
441,1.8E-05
442,5.6E-05
443,3.1E-05
444,1.6E-05
445,8.9E-05
446,4.9E-05
447,5.3E-05
448,4.8E-05
449,8.4E-05
450,6E-05
451,6.1E-05
452,7.3E-05
453,5.9E-05
454,7.9E-05
455,0.000129
456,0.000112
457,0.000148
458,8.7E-05
459,0.000127
460,0.000188
461,0.000148
462,0.000165
463,0.000172
464,0.000201
465,0.000213
466,0.000232
467,0.000244
468,0.000277
469,0.000295
470,0.00032
471,0.000328
472,0.000352
473,0.000328
474,0.000344
475,0.000426
476,0.000403
477,0.00048
478,0.000562
479,0.000655
480,0.000808
481,0.000942
482,0.001134
483,0.001416
484,0.001761
485,0.002273
486,0.0029
487,0.003784
488,0.004996
489,0.006701
490,0.009015
491,0.012203
492,0.016733
493,0.023359
494,0.032719
495,0.045969
496,0.06579
497,0.095268
498,0.13817
499,0.202063
500,0.300184
501,0.449353
502,0.677978
503,1.036007
504,1.594849
505,2.456542
506,3.797611
507,5.855337
508,8.917143
509,13.360762
510,19.532792
511,27.541227
512,37.152381
513,47.833075
514,58.539685
515,67.911106
516,75.374937
517,80.762516
518,84.069233
519,85.630991
520,86.039513
521,85.71994
522,84.942857
523,83.973336
524,83.004762
525,82.186232
526,81.645106
527,81.319029
528,81.129644
529,81.081155
530,81.046162
531,80.830921
532,80.508713
533,80.155344
534,79.61723
535,78.932301
536,78.284106
537,77.693997
538,77.260466
539,77.209419
540,77.474734
541,77.949967
542,78.677055
543,79.421959
544,80.093107
545,80.757409
546,81.251373
547,81.480634
548,81.562191
549,81.351354
550,80.829373
551,79.876494
552,78.295655
553,76.07783
554,73.117133
555,69.579228
556,65.095391
557,58.375183
558,48.9351
559,35.406542
560,21.871842
561,11.289194
562,3.828843
563,3.006655
564,0.92783
565,0.418558
566,0.171797
567,0.064352
568,0.02923
569,0.011773
570,0.00488
571,0.002291
572,0.00105
573,0.000512
574,0.000259
575,0.000123
576,5.6E-05
577,2.8E-05
578,4E-05
579,4.1E-05
580,4.7E-05
581,7.9E-05
582,7.4E-05
583,7.9E-05
584,7.7E-05
585,5.7E-05
586,4.5E-05
587,5.7E-05
588,5.7E-05
589,2.7E-05
590,-6E-06
591,1.2E-05
592,2.7E-05
593,4E-05
594,3.8E-05
595,4.8E-05
596,4.6E-05
597,2.5E-05
598,5.9E-05
599,5.9E-05
600,3.4E-05
601,2.5E-05
602,6.3E-05
603,6E-05
604,2.7E-05
605,1.5E-05
606,2.5E-05
607,1.5E-05
608,3.8E-05
609,-2E-06
610,6.4E-05
611,1.5E-05
612,1.2E-05
613,-1.6E-05
614,4E-05
615,3.8E-05
616,2.4E-05
617,2.1E-05
618,4.6E-05
619,1.5E-05
620,1E-05
621,1E-05
622,1.3E-05
623,-1.1E-05
624,7E-06
625,9E-06
626,5E-05
627,2.9E-05
628,4.2E-05
629,3E-05
630,3.5E-05
631,1.8E-05
632,2E-05
633,4.3E-05
634,2.4E-05
635,3.8E-05
636,3.3E-05
637,2.1E-05
638,4E-06
639,1.2E-05
640,1.9E-05
641,1.7E-05
642,1.3E-05
643,5.5E-05
644,-8E-06
645,2.8E-05
646,-7E-06
647,-3E-06
648,1.8E-05
649,5.2E-05
650,2.3E-05
651,1.3E-05
652,5.2E-05
653,-1.5E-05
654,-2.5E-05
655,-5E-06
656,-1.8E-05
657,1.2E-05
658,4E-05
659,5E-06
660,7.8E-05
661,-1E-05
662,2.5E-05
663,1.6E-05
664,4.5E-05
665,-7E-06
666,6.2E-05
667,1.2E-05
668,1.7E-05
669,3.8E-05
670,7.5E-05
671,4E-05
672,2.9E-05
673,5.1E-05
674,1.1E-05
675,1.7E-05
676,4.2E-05
677,3E-06
678,5E-06
679,-5E-06
680,4.4E-05
681,3.5E-05
682,-1.5E-05
683,-1.9E-05
684,3.2E-05
685,-2.8E-05
686,7E-06
687,-1E-05
688,-9E-06
689,3.6E-05
690,-1E-05
691,-6E-06
692,5.8E-05
693,1.5E-05
694,2.2E-05
695,-2.4E-05
696,3.5E-05
697,-5E-06
698,1.9E-05
699,2.7E-05
700,5E-05
701,2.2E-05
702,2.4E-05
703,1.3E-05
704,2.3E-05
705,1.8E-05
706,2.7E-05
707,-3E-06
708,1.4E-05
709,2.3E-05
710,5.2E-05
711,4.1E-05
712,2.9E-05
713,5E-05
714,2.6E-05
715,3.3E-05
716,2.2E-05
717,1.9E-05
718,-6E-06
719,2.6E-05
720,3.9E-05
721,2.8E-05
722,3.4E-05
723,1.2E-05
724,1.4E-05
725,8E-06
726,2.4E-05
727,8E-06
728,1E-06
729,2.4E-05
730,2.8E-05
731,8E-06
732,-5E-06
733,8E-06
734,2.1E-05
735,2E-05
736,-5E-06
737,0.000142
738,0.000165
739,0.000313
740,0.000715
741,0.001193
742,0.001726
743,0.002667
744,0.004074
745,0.005417
746,0.006736
747,0.007109
748,0.006024
749,0.00479
750,0.003778
751,0.003285
752,0.002731
753,0.002267
754,0.002091
755,0.002054
756,0.001889
757,0.00182
758,0.001894
759,0.002095
760,0.002369
761,0.002549
762,0.002824
763,0.003368
764,0.004068
765,0.004492
766,0.004837
767,0.005373
768,0.005725
769,0.005935
770,0.006486
771,0.007234
772,0.008051
773,0.009166
774,0.01115
775,0.014502
776,0.019439
777,0.025311
778,0.031939
779,0.04003
780,0.046429
781,0.044622
782,0.034319
783,0.022419
784,0.014671
785,0.011465
786,0.01003
787,0.00836
788,0.006495
789,0.005367
790,0.004999
791,0.004872
792,0.004522
793,0.003923
794,0.003389
795,0.003068
796,0.00298
797,0.002952
798,0.002842
799,0.002686
800,0.002554
801,0.002551
802,0.002628
803,0.002651
804,0.002682
805,0.002949
806,0.003355
807,0.003822
808,0.00449
809,0.005484
810,0.007019
811,0.009224
812,0.012767
813,0.020073
814,0.037528
815,0.074287
816,0.09481
817,0.06567
818,0.030531
819,0.014385
820,0.008218
821,0.00528
822,0.00365
823,0.002592
824,0.001951
825,0.001558
826,0.001174
827,0.000977
828,0.00086
829,0.000744
830,0.000571
831,0.000494
832,0.000442
833,0.000375
834,0.000357
835,0.000301
836,0.000198
837,0.000277
838,0.00029
839,0.000227
840,0.000133
841,0.000123
842,5.3E-05
843,0.000207
844,0.0003
845,0.000166
846,3.8E-05
