Type,Exciter
Maker,"Semrock"
ProductName,"FF01-422/503/572-25"
Comment,""
Public,1
wavedataset
270,0.00049324
270.2,0.00058126
270.4,0.00068498
270.6,0.00080721
270.8,0.00095125
271,0.001121
271.2,0.001321
271.4,0.0015567
271.6,0.0018345
271.8,0.0021619
272,0.0017295
272.2,0.0013836
272.4,0.0011069
272.6,0.00088547
272.8,0.00070837
273,0.00056669
273.2,0.00045335
273.4,0.00036267
273.6,0.00029013
273.8,0.0002321
274,0.00021846
274.2,0.0002147
274.4,0.00021101
274.6,0.00020738
274.8,0.00020381
275,0.0002003
275.2,0.00019685
275.4,0.00019346
275.6,0.00019014
275.8,0.00018686
276,0.00020888
276.2,0.00025632
276.4,0.00031453
276.6,0.00038596
276.8,0.0004736
277,0.00058116
277.2,0.00071313
277.4,0.00087508
277.6,0.0010738
277.8,0.0013177
278,0.001377
278.2,0.0010949
278.4,0.0008705
278.6,0.00069211
278.8,0.00055028
279,0.00043752
279.2,0.00034786
279.4,0.00027658
279.6,0.0002199
279.8,0.00017484
280,0.00014159
280.2,0.00013972
280.4,0.00013788
280.6,0.00013607
280.8,0.00013428
281,0.00013251
281.2,0.00013077
281.4,0.00012905
281.6,0.00012735
281.8,0.00012567
282,0.00015028
282.2,0.00018078
282.4,0.00021747
282.6,0.00026161
282.8,0.0003147
283,0.00037857
283.2,0.00045541
283.4,0.00054784
283.6,0.00065902
283.8,0.00079277
284,0.00069861
284.2,0.00055801
284.4,0.00044571
284.6,0.00035601
284.8,0.00028436
285,0.00022713
285.2,0.00018142
285.4,0.00014491
285.6,0.00011574
285.8,9.2449E-05
286,9.3452E-05
286.2,0.0001141
286.4,0.00013931
286.6,0.00017008
286.8,0.00020766
287,0.00025354
287.2,0.00030956
287.4,0.00037795
287.6,0.00046145
287.8,0.0005634
288,0.0006298
288.2,0.00059978
288.4,0.0005712
288.6,0.00054397
288.8,0.00051804
289,0.00049335
289.2,0.00046983
289.4,0.00044744
289.6,0.00042611
