Type,Exciter
Maker,"Semrock"
ProductName,"FF01-446/523/600/677-25"
Comment,""
Public,1
wavedataset
270,0.0010923
270.2,0.00090759
270.4,0.00075412
270.6,0.00062659
270.8,0.00052063
271,0.00043259
271.2,0.00035944
271.4,0.00029865
271.6,0.00024815
271.8,0.00020619
272,0.00017132
272.2,0.00014235
272.4,0.00011828
272.6,9.8276E-05
272.8,8.1657E-05
273,6.7848E-05
273.2,5.6375E-05
273.4,4.6841E-05
273.6,3.892E-05
273.8,3.2339E-05
274,2.687E-05
274.2,5.1293E-05
274.4,0.00010685
274.6,0.00022258
274.8,0.00046366
275,0.00096585
275.2,0.00079609
275.4,0.00065618
275.6,0.00054085
275.8,0.00044579
276,0.00036744
276.2,0.00030286
276.4,0.00024963
276.6,0.00020575
276.8,0.00016959
277,0.00013978
277.2,0.00011522
277.4,9.4967E-05
277.6,7.8275E-05
277.8,6.4518E-05
278,6.1249E-05
278.2,6.0439E-05
278.4,5.9641E-05
278.6,5.8852E-05
278.8,5.8075E-05
279,5.7307E-05
279.2,5.655E-05
279.4,5.5802E-05
279.6,5.5065E-05
279.8,5.4337E-05
280,5.3619E-05
280.2,5.291E-05
280.4,5.2211E-05
280.6,5.1521E-05
280.8,5.084E-05
281,5.0168E-05
281.2,4.9505E-05
281.4,4.8851E-05
281.6,4.8205E-05
281.8,4.7568E-05
282,4.694E-05
282.2,4.6319E-05
282.4,4.5707E-05
282.6,4.3418E-05
282.8,3.9406E-05
283,3.5764E-05
283.2,3.2458E-05
283.4,2.9459E-05
283.6,2.6736E-05
283.8,2.4265E-05
284,2.2023E-05
284.2,1.9987E-05
284.4,1.814E-05
284.6,1.6463E-05
284.8,1.4942E-05
285,1.3561E-05
285.2,1.3355E-05
285.4,1.3152E-05
285.6,1.2952E-05
285.8,1.2756E-05
286,1.2562E-05
286.2,1.2371E-05
286.4,1.2183E-05
286.6,1.1998E-05
286.8,1.1816E-05
287,1.1636E-05
287.2,1.146E-05
287.4,1.1285E-05
287.6,1.1114E-05
287.8,1.0945E-05
288,1.2581E-05
288.2,1.4726E-05
288.4,1.7237E-05
288.6,2.0176E-05
288.8,2.3616E-05
289,2.7642E-05
289.2,3.2355E-05
289.4,3.7871E-05
289.6,4.4328E-05
289.8,5.1886E-05
290,6.0732E-05
290.2,7.1087E-05
290.4,8.3207E-05
290.6,9.7393E-05
290.8,0.000114
291,0.00013344
291.2,0.00015619
291.4,0.00018281
291.6,0.00021398
291.8,0.00025047
292,0.00029317
292.2,0.00034316
292.4,0.00040166
292.6,0.00038969
292.8,0.00032911
293,0.00027794
293.2,0.00023473
293.4,0.00019824
293.6,0.00016742
293.8,0.00014139
294,0.00011941
294.2,0.00010085
294.4,8.5168E-05
294.6,7.1927E-05
294.8,6.0745E-05
295,5.1301E-05
295.2,5.4429E-05
295.4,5.7749E-05
295.6,6.1271E-05
295.8,6.3634E-05
296,6.5704E-05
296.2,6.7841E-05
296.4,7.0047E-05
296.6,7.2325E-05
296.8,7.4678E-05
297,7.7106E-05
297.2,7.9614E-05
297.4,8.2203E-05
297.6,8.4877E-05
297.8,8.7637E-05
298,9.0487E-05
298.2,9.343E-05
298.4,9.6469E-05
298.6,9.9606E-05
298.8,0.00010285
