Type,Exciter
Maker,"Semrock"
ProductName,"FF01-482/35-25"
Comment,""
Public,1
wavedataset
270,0.0031337
270.2,0.0028504
270.4,0.0025926
270.6,0.0023582
270.8,0.002145
271,0.001951
271.2,0.0017746
271.4,0.0016142
271.6,0.0014682
271.8,0.0013355
272,0.0012147
272.2,0.0011049
272.4,0.0010312
272.6,0.0010464
272.8,0.0010619
273,0.0010776
273.2,0.0010935
273.4,0.0011096
273.6,0.001126
273.8,0.0011427
274,0.0011596
274.2,0.0011767
274.4,0.0011941
274.6,0.0012117
274.8,0.0012296
275,0.0012478
275.2,0.0011204
275.4,0.0010059
275.6,0.00091875
275.8,0.00085872
276,0.00080261
276.2,0.00075017
276.4,0.00070116
276.6,0.00065535
276.8,0.00061253
277,0.00057251
277.2,0.0005351
277.4,0.00050014
277.6,0.00046746
277.8,0.00043692
278,0.00040837
278.2,0.00038169
278.4,0.00035675
278.6,0.00033275
278.8,0.00030514
279,0.00027983
279.2,0.00025662
279.4,0.00023533
279.6,0.00021581
279.8,0.00019791
280,0.00018149
280.2,0.00016643
280.4,0.00015263
280.6,0.00013997
280.8,0.00012836
281,0.00011771
281.2,0.00010794
281.4,9.8989E-05
281.6,9.0778E-05
281.8,8.7978E-05
282,8.6488E-05
282.2,8.5024E-05
282.4,8.3584E-05
282.6,8.2169E-05
282.8,8.0777E-05
283,7.941E-05
283.2,7.8065E-05
283.4,7.6743E-05
283.6,7.5444E-05
283.8,7.4166E-05
284,7.291E-05
284.2,7.1676E-05
284.4,7.0462E-05
284.6,6.9269E-05
284.8,6.8117E-05
285,6.7006E-05
285.2,6.5913E-05
285.4,6.4838E-05
285.6,6.378E-05
285.8,6.2739E-05
286,6.1716E-05
286.2,6.0709E-05
286.4,5.9719E-05
286.6,5.8744E-05
286.8,5.7786E-05
287,5.6843E-05
287.2,5.5916E-05
287.4,5.5004E-05
287.6,5.4107E-05
287.8,5.3205E-05
288,5.2235E-05
288.2,5.1284E-05
288.4,5.0349E-05
288.6,4.9432E-05
288.8,4.8531E-05
289,4.7647E-05
