Type,Exciter
Maker,"Chroma"
ProductName,"HQ500/20x"
Comment,""
Public,1
wavedataset
300,0.00095
300.5,0.00095
301,0.00095
301.5,0.00095
302,0.00095
302.5,0.00095
303,0.00095
303.5,0.00095
304,0.00095
304.5,0.00095
305,0.00095
305.5,0.00095
306,0.00095
306.5,0.00095
307,0.00095
307.5,0.00095
308,0.00095
308.5,0.00095
309,0.00095
309.5,0.00095
310,0.00095
310.5,0.00095
311,0.00095
311.5,0.00095
312,0.00095
312.5,0.00095
313,0.00095
313.5,0.00095
314,0.00095
314.5,0.00095
315,0.00095
315.5,0.00095
316,0.00095
316.5,0.00095
317,0.00095
317.5,0.00095
318,0.00095
318.5,0.00095
319,0.00095
319.5,0.00095
320,0.00095
320.5,0.00095
321,0.00095
321.5,0.00095
322,0.00095
322.5,0.00095
323,0.00095
323.5,0.00095
324,0.00095
324.5,0.00095
325,0.00095
325.5,0.00095
326,0.00095
326.5,0.00095
327,0.00095
327.5,0.00095
328,0.00095
328.5,0.00095
329,0.00095
329.5,0.00095
330,0.00095
330.5,0.00095
331,0.00095
331.5,0.00095
332,0.00095
332.5,0.00095
333,0.00095
333.5,0.00095
334,0.00095
334.5,0.00095
335,0.00095
335.5,0.00095
336,0.00095
336.5,0.00095
337,0.00095
337.5,0.00095
338,0.00095
338.5,0.00095
339,0.00095
339.5,0.00095
340,0.00095
340.5,0.00095
341,0.00095
341.5,0.00095
342,0.00095
342.5,0.00095
343,0.00095
343.5,0.00095
344,0.00095
344.5,0.00095
345,0.00095
345.5,0.00095
346,0.00095
346.5,0.00095
347,0.00095
347.5,0.00095
348,0.00095
348.5,0.00095
349,0.00095
349.5,0.00095
350,0.00095
350.5,0.00095
351,0.00095
351.5,0.00095
352,0.00095
352.5,0.00095
353,0.00095
353.5,0.00095
354,0.00095
354.5,0.00095
355,0.00095
355.5,0.00095
356,0.00095
356.5,0.00095
357,0.00095
357.5,0.00095
358,0.00095
358.5,0.00095
359,0.00095
359.5,0.00095
360,0.00095
360.5,0.00095
361,0.00095
361.5,0.00095
362,0.00095
362.5,0.00095
363,0.00095
363.5,0.00095
364,0.00095
364.5,0.00095
365,0.00095
365.5,0.00095
366,0.00095
366.5,0.00095
367,0.00095
367.5,0.00095
368,0.00095
368.5,0.00095
369,0.00095
369.5,0.00095
370,0.00095
370.5,0.00095
371,0.00095
371.5,0.00095
372,0.00095
372.5,0.00095
373,0.00113663
373.5,0.00142609
374,0.00160838
374.5,0.00165304
375,0.001694
375.5,0.00164111
376,0.00126567
376.5,0.00095
377,0.00095
377.5,0.00095
378,0.00095
378.5,0.00095
379,0.00095
379.5,0.00095
380,0.00095
380.5,0.00095
381,0.00095
381.5,0.00095
382,0.00095
382.5,0.00095
383,0.00095
383.5,0.00095
384,0.00095
384.5,0.00095
385,0.00095
385.5,0.00095
386,0.00095
386.5,0.00095
387,0.00095
387.5,0.00095
388,0.00095
388.5,0.00095
389,0.00095
389.5,0.00095
390,0.00095
390.5,0.00095
391,0.00095
391.5,0.00095
392,0.00095
392.5,0.00095
393,0.00095
393.5,0.00095
394,0.00095
394.5,0.00095
395,0.00095
395.5,0.00095
396,0.00095
396.5,0.00095
397,0.00095
397.5,0.00095
398,0.00095
398.5,0.00095
399,0.00095
399.5,0.00095
400,0.00095
400.5,0.00095
401,0.00095
401.5,0.00095
402,0.00095
402.5,0.00095
403,0.00095
403.5,0.00095
404,0.00095
404.5,0.00095
405,0.00095
405.5,0.00095
406,0.00095
406.5,0.00095
407,0.00095
407.5,0.00095
408,0.00095
408.5,0.00095
409,0.00095
409.5,0.00095
