Type,Exciter
Maker,"Chroma"
ProductName,"S654/24x"
Comment,""
Public,1
wavedataset
300,0.001
301,0.001
302,0.001
303,0.001
304,0.001
305,0.001
306,0.001
307,0.001
308,0.001
309,0.001
310,0.001
311,0.001
312,0.001
313,0.001
314,0.001
315,0.001
316,0.001
317,0.001
318,0.001
319,0.001
320,0.001
321,0.001
322,0.001
323,0.001
324,0.001
325,0.001
326,0.001
327,0.001
328,0.001
329,0.001
330,0.001
331,0.001
332,0.001
333,0.001
334,0.001
335,0.001
336,0.001
337,0.001
338,0.001
339,0.001
340,0.001
341,0.001
342,0.001
343,0.001
344,0.001
345,0.001
346,0.001
347,0.001
348,0.001
349,0.001
350,0.001
351,0.001
352,0.001
353,0.001
354,0.001
355,0.001
356,0.001
357,0.001
358,0.001
359,0.001
360,0.001
361,0.001
362,0.001
363,0.001
364,0.001
365,0.001
366,0.001
367,0.001
368,0.001
369,0.001
370,0.001
371,0.001
372,0.001
373,0.001
374,0.001
375,0.001
376,0.001
377,0.001
378,0.001
379,0.001
380,0.001
381,0.00165213
382,0.00282436
383,0.00574414
384,0.00887599
385,0.00830101
386,0.00448593
387,0.00133441
388,0.001
389,0.001
390,0.001
391,0.001
392,0.001
393,0.001
394,0.001
395,0.001
396,0.001
397,0.001
398,0.001
399,0.001
400,0.001
401,0.001
402,0.001
403,0.001
404,0.001
405,0.001
406,0.001
407,0.001
408,0.001
409,0.001
410,0.001
411,0.001
412,0.001
413,0.001
414,0.001
415,0.001
416,0.001
417,0.001
418,0.001
419,0.001
420,0.001
421,0.001
422,0.001
423,0.001
424,0.001
425,0.001
426,0.001
427,0.001
428,0.001
429,0.001
430,0.001
431,0.001
432,0.001
433,0.001
434,0.001
435,0.001
436,0.001
437,0.001
438,0.001
439,0.001
440,0.001
441,0.001
442,0.001
443,0.001
444,0.001
445,0.001
446,0.001
447,0.001
448,0.001
449,0.001
450,0.001
451,0.001
452,0.001
453,0.001
454,0.001
455,0.001
456,0.001
457,0.001
458,0.001
459,0.001
460,0.001
461,0.001
462,0.001
463,0.001
464,0.001
465,0.001
466,0.001
467,0.001
468,0.001
469,0.001
470,0.001
471,0.001
472,0.001
473,0.001
474,0.001
475,0.001
476,0.001
477,0.001
478,0.001
479,0.001
480,0.001
481,0.001
482,0.001
483,0.001
484,0.001
485,0.001
486,0.001
487,0.001
488,0.001
489,0.001
490,0.001
491,0.001
492,0.001
493,0.001
494,0.001
495,0.001
496,0.001
497,0.001
498,0.001
499,0.001
500,0.001
501,0.001
502,0.001
503,0.001
504,0.001
505,0.001
506,0.001
507,0.001
508,0.001
509,0.001
510,0.001
511,0.001
512,0.001
513,0.001
514,0.001
515,0.001
516,0.001
517,0.001
518,0.001
519,0.001
520,0.001
521,0.001
522,0.001
523,0.001
524,0.001
525,0.001
526,0.001
527,0.001
528,0.001
529,0.001
530,0.001
531,0.001
532,0.001
533,0.001
534,0.001
535,0.001
536,0.001
537,0.001
538,0.001
539,0.001
540,0.001
541,0.001
542,0.001
543,0.001
544,0.001
545,0.001
546,0.001
547,0.001
548,0.001
549,0.001
550,0.001
551,0.001
552,0.001
553,0.001
554,0.001
555,0.001
556,0.001
557,0.001
558,0.001
559,0.001
560,0.001
561,0.001
562,0.001
563,0.001
564,0.001
565,0.001
566,0.001
567,0.001
568,0.001
569,0.001
570,0.001
571,0.001
572,0.001
573,0.001
574,0.001
575,0.001
576,0.001
577,0.001
578,0.001
579,0.001
580,0.001
581,0.001
582,0.001
583,0.001
584,0.001
585,0.001
586,0.001
587,0.001
588,0.001
589,0.001
590,0.001
591,0.001
592,0.001
593,0.001
594,0.001
595,0.001
596,0.001
597,0.001
598,0.001
599,0.001
600,0.001
601,0.001
602,0.001
603,0.001
604,0.001
605,0.001
606,0.001
607,0.001
608,0.001
609,0.001
610,0.001
611,0.001
612,0.001
613,0.001
614,0.001
615,0.001
616,0.001
617,0.001
618,0.001
619,0.001
620,0.001
621,0.001
622,0.001
623,0.001
624,0.001
625,0.001
626,0.001
627,0.001
628,0.001
629,0.001
630,0.001
631,0.001
632,0.001
633,0.00166186
634,0.00584295
635,0.0240517
636,0.11805
637,0.749782
638,4.94825
639,29.0286
640,71.1316
641,84.9961
642,85.2437
643,85.1232
644,84.9418
645,84.4655
646,83.5868
647,82.9657
648,83.5142
649,84.7658
650,85.982
651,86.2558
652,85.666
653,84.8018
654,84.3442
655,84.5577
656,84.9795
657,85.229
658,85.2456
659,84.7547
660,83.4454
661,81.9741
662,79.4001
663,57.4466
664,20.3146
665,4.10919
666,0.83227
667,0.185285
668,0.0481613
669,0.0146279
670,0.00503277
671,0.00184602
672,0.001
