Type,Exciter
Maker,"Omega"
ProductName,"XF1022(560DF40)"
Comment,""
Public,1
wavedataset
200,0.00098
201,0.00088
202,0.00082
203,0.00081
204,0.00085
205,0.0009
206,0.00091
207,0.00094
208,0.00096
209,0.00094
210,0.00091
211,0.00091
212,0.001
213,0.0011
214,0.0012
215,0.0012
216,0.0011
217,0.001
218,0.00098
219,0.001
220,0.001
221,0.001
222,0.00097
223,0.00091
224,0.00086
225,0.00079
226,0.00071
227,0.00065
228,0.0006
229,0.00058
230,0.00055
231,0.00051
232,0.00047
233,0.00046
234,0.00046
235,0.00045
236,0.00042
237,0.00038
238,0.00034
239,0.0003
240,0.00028
241,0.00026
242,0.00026
243,0.00025
244,0.00027
245,0.00026
246,0.00027
247,0.00025
248,0.00024
249,0.00022
250,0.0002
251,0.00018
252,0.00018
253,0.00017
254,0.00016
255,0.00013
256,0.00011
257,9.7E-05
258,9.5E-05
259,8.6E-05
260,6.7E-05
261,5.6E-05
262,5.8E-05
263,8.6E-05
264,0.0001
265,0.0001
266,9E-05
267,8.3E-05
268,8E-05
269,8.3E-05
270,9E-05
271,9.9E-05
272,8.1E-05
273,7.1E-05
274,5E-05
275,5.9E-05
276,4.5E-05
277,4.6E-05
278,2.8E-05
279,2.3E-05
280,1.7E-05
281,2.5E-05
282,3.4E-05
283,4.1E-05
284,3.7E-05
285,3.1E-05
286,3E-05
287,3.3E-05
288,3.7E-05
289,2.5E-05
290,1.7E-05
291,1E-05
292,1.4E-05
293,2E-05
294,3.3E-05
295,4.6E-05
296,5.8E-05
297,6.1E-05
298,7.9E-05
299,9.3E-05
300,0.0001
301,8.3E-05
302,6.6E-05
303,5.2E-05
304,6E-05
305,4.8E-05
306,3.8E-05
307,1.4E-05
308,1.7E-05
309,2E-05
310,3E-05
311,2E-05
312,4.1E-05
313,6.1E-05
314,9.5E-05
315,7.1E-05
316,7.5E-05
317,8.5E-05
318,0.00013
319,0.00012
320,9E-05
321,5.3E-05
322,7.2E-05
323,8.2E-05
324,0.00011
325,0.0001
326,0.00012
327,0.00011
328,0.00011
329,7.9E-05
330,6.1E-05
331,4.4E-05
332,3.8E-05
333,4.4E-05
334,5.9E-05
335,8.3E-05
336,0.0001
337,0.0001
338,0.0001
339,7.7E-05
340,6.3E-05
341,3.2E-05
342,2.4E-05
343,3.3E-05
344,5.3E-05
345,6.2E-05
346,4.3E-05
347,2.5E-05
348,1.3E-05
349,1.1E-05
350,3.9E-05
351,6.9E-05
352,9.8E-05
353,0.00011
354,0.00011
355,0.00012
356,0.0001
357,8.6E-05
358,7.1E-05
359,6.6E-05
360,6.6E-05
361,6.9E-05
362,6.9E-05
363,6.6E-05
364,7.3E-05
365,9.1E-05
366,0.00011
367,9.5E-05
368,8.5E-05
369,7.2E-05
370,8.2E-05
371,7.2E-05
372,6.3E-05
373,4.2E-05
374,3.6E-05
375,3E-05
376,3.3E-05
377,3.1E-05
378,2.6E-05
379,2.2E-05
380,2.4E-05
381,3.7E-05
382,4.1E-05
383,4E-05
384,2.6E-05
385,1.7E-05
386,1E-05
387,1.1E-05
388,1.2E-05
389,1.2E-05
390,1.9E-05
391,2.1E-05
392,2.8E-05
393,3E-05
394,3.8E-05
395,3.8E-05
396,3E-05
397,1.9E-05
398,1.7E-05
399,2.1E-05
400,2.3E-05
401,1.4E-05
402,9E-06
403,1E-05
404,1.5E-05
405,1.5E-05
406,1.1E-05
407,1.9E-05
408,3.7E-05
409,5.4E-05
410,4.7E-05
411,3.1E-05
412,1.6E-05
413,1.7E-05
414,1.7E-05
415,2.4E-05
416,2.2E-05
417,2.5E-05
418,1.4E-05
419,1.3E-05
420,1.3E-05
421,1.9E-05
422,2E-05
423,2.2E-05
424,2.3E-05
425,2E-05
426,1.7E-05
427,1.7E-05
428,1.6E-05
429,1.4E-05
430,1.7E-05
431,2.5E-05
432,3.3E-05
433,3.3E-05
434,4.7E-05
435,6.2E-05
436,7.4E-05
437,5.7E-05
438,4.1E-05
439,2.3E-05
440,1.8E-05
441,1.3E-05
442,1E-05
443,8E-06
444,6E-06
445,1.2E-05
446,2.1E-05
447,2.9E-05
448,2.5E-05
449,1.5E-05
450,6E-06
451,9E-06
452,1.6E-05
453,2.6E-05
454,2.2E-05
455,2.2E-05
456,2.9E-05
457,4.3E-05
458,5.6E-05
459,4.6E-05
460,3.5E-05
461,1.5E-05
462,8E-06
463,6E-06
464,1E-05
465,1.5E-05
466,1.5E-05
467,2E-05
468,2.7E-05
469,3E-05
470,2.4E-05
471,1.2E-05
472,6E-06
473,6E-06
474,1.4E-05
475,2E-05
476,2.3E-05
477,2.1E-05
478,2.4E-05
479,2.7E-05
480,2.4E-05
481,1.4E-05
482,8E-06
483,7E-06
484,1E-05
485,7E-06
486,1.5E-05
487,2.3E-05
488,4.6E-05
489,5.1E-05
490,5.6E-05
491,5E-05
492,4.8E-05
493,5.7E-05
494,5.1E-05
495,5.6E-05
496,4.4E-05
497,4.5E-05
498,3.2E-05
499,2.1E-05
500,1E-05
501,1E-05
502,2.2E-05
503,3.9E-05
504,4.7E-05
505,3.9E-05
506,2.1E-05
507,8E-06
508,1.7E-05
509,3.3E-05
510,5.5E-05
511,5E-05
512,6E-05
513,5.3E-05
514,6.4E-05
515,5.3E-05
516,7.2E-05
517,0.00011
518,0.00017
519,0.00026
520,0.00041
521,0.00072
522,0.0013
523,0.0024
524,0.0047
525,0.0098
526,0.022
527,0.052
528,0.14
529,0.41
530,1.34
531,4.11
532,10.1
533,19.2
534,29.1
535,37.1
536,42.4
537,46.6
538,51.7
539,57.3
540,62.4
541,65.8
542,67.5
543,68.3
544,68.6
545,68.9
546,69.1
547,69.2
548,69.2
549,69.1
550,69
551,68.8
552,68.8
553,68.7
554,68.6
555,68.5
556,68.3
557,68.1
558,67.8
559,67.5
560,67.1
561,66.9
562,66.6
563,66.3
564,65.5
565,63.9
566,61.3
567,57.7
568,53.8
569,49.3
570,43.1
571,34.3
572,24.1
573,15.1
574,8.83
575,5.1
576,2.76
577,1.33
578,0.55
579,0.25
580,0.12
581,0.062
582,0.034
583,0.02
584,0.012
585,0.0073
586,0.0047
587,0.0031
588,0.0021
589,0.0014
590,0.00095
591,0.00064
592,0.00043
593,0.00031
594,0.00023
595,0.00017
596,0.00013
597,0.00012
598,0.00014
599,0.00012
600,0.0001
601,6.7E-05
602,6.3E-05
603,5E-05
604,4.6E-05
605,2.7E-05
606,2.2E-05
607,1.7E-05
