Type,Exciter
Maker,"Omega"
ProductName,"XF1085(680ASP)"
Comment,""
Public,1
wavedataset
1000,4.702270985
999.5,4.417865276
999,4.148790836
998.5,3.919221401
998,3.70246315
997.5,3.522168398
997,3.349266529
996.5,3.22336483
996,3.136674404
995.5,3.047250509
995,2.976234198
994.5,2.930930138
994,2.886889935
993.5,2.859910488
993,2.858330011
992.5,2.862698317
992,2.8905406
991.5,2.945733786
991,3.010145903
990.5,3.108859301
990,3.21365881
989.5,3.349369764
989,3.524591446
988.5,3.742492914
988,4.03220892
987.5,4.408065796
987,4.83267355
986.5,5.355384827
986,6.060106277
985.5,6.941915989
985,8.245704651
984.5,10.1338501
984,12.52671623
983.5,16.28808975
983,21.58078575
982.5,29.36484909
982,39.44216537
981.5,51.60264206
981,59.15624619
980.5,59.19263458
980,52.90386581
979.5,43.30554581
979,32.31386185
978.5,23.10757065
978,16.60136223
977.5,11.51245785
977,8.625342369
976.5,6.622459888
976,5.112255573
975.5,3.983622789
975,3.204794884
974.5,2.689890862
974,2.248444796
973.5,1.961969614
973,1.712079167
972.5,1.494627595
972,1.325826764
971.5,1.190721512
971,1.104424
970.5,1.007109046
970,0.931258857
969.5,0.872057378
969,0.814065814
968.5,0.771924317
968,0.741865635
967.5,0.715497851
967,0.696979165
966.5,0.676946223
966,0.657200217
965.5,0.650762558
965,0.662098765
964.5,0.661787689
964,0.670138717
963.5,0.693490863
963,0.725021005
962.5,0.755321264
962,0.816384137
961.5,0.881409943
961,0.968512535
960.5,1.09900403
960,1.308816671
959.5,1.610319495
959,2.037704468
958.5,2.906154156
958,4.69907093
957.5,9.009850502
957,16.5826683
956.5,24.58790398
956,29.65127563
955.5,28.27088928
955,22.37090492
954.5,15.41098785
954,8.379571915
953.5,4.741911411
953,2.710928679
952.5,1.577051878
952,1.065702677
951.5,0.711276054
951,0.502671897
950.5,0.376938373
950,0.295917153
949.5,0.25100404
949,0.227857962
948.5,0.188363463
948,0.171091452
947.5,0.155451983
947,0.137162745
946.5,0.127178133
946,0.114466026
945.5,0.111426763
945,0.1053029
944.5,0.105474889
944,0.09155415
943.5,0.097728953
943,0.09019433
942.5,0.085240722
942,0.087988369
941.5,0.087148689
941,0.087815009
940.5,0.081966415
940,0.090148769
939.5,0.095339894
939,0.092234068
938.5,0.106851406
938,0.115556419
937.5,0.125975028
937,0.176923111
936.5,0.48014611
936,1.420196176
935.5,2.533944368
935,3.661252499
934.5,4.494553566
934,4.253285885
933.5,3.2613554
933,2.125269175
932.5,1.066483617
932,0.538342893
931.5,0.284943312
931,0.157410935
930.5,0.083764166
930,0.068965644
929.5,0.059907265
929,0.055219188
928.5,0.051968232
928,0.051213313
927.5,0.055465706
927,0.043690119
926.5,0.049724542
926,0.049170636
925.5,0.049046993
925,0.047533948
924.5,0.050040316
924,0.046331204
923.5,0.048334666
923,0.049379479
922.5,0.049657833
922,0.050622743
921.5,0.052982882
921,0.053001188
920.5,0.054237373
920,0.058204349
919.5,0.048800342
919,0.057374582
918.5,0.048760585
918,0.054476153
917.5,0.047374077
917,0.044982988
916.5,0.052876923
916,0.047091626
915.5,0.047213644
915,0.047229715
914.5,0.052315973
914,0.041333612
913.5,0.044359371
913,0.049499258
912.5,0.046668813
912,0.055345938
911.5,0.053271797
911,0.051232863
910.5,0.042759519
910,0.042903535
909.5,0.047981337
909,0.045475572
908.5,0.061296724
908,0.051736057
907.5,0.048965
907,0.044692464
906.5,0.053771049
906,0.053989545
905.5,0.052588589
905,0.057969075
904.5,0.050205074
904,0.048994865
903.5,0.051901542
903,0.051063061
902.5,0.05166027
902,0.047209743
901.5,0.047251441
901,0.05459768
900.5,0.048151288
900,0.057196639
899.5,0.053008199
899,0.051780574
898.5,0.053713411
898,0.061673254
897.5,0.051845547
897,0.050132569
896.5,0.051336568
896,0.054666959
895.5,0.057242591
895,0.06073558
894.5,0.049980126
894,0.058300957
893.5,0.052659284
893,0.055660822
892.5,0.053964414
892,0.056902859
891.5,0.055254512
891,0.054922711
890.5,0.054731149
890,0.052811384
889.5,0.053685896
889,0.008210725
888.5,-0.001091037
888,0.006405085
887.5,-0.003378156
887,0.003379782
886.5,0.000735761
886,0.012857988
885.5,0.004062457
885,-0.001403105
884.5,0.000194965
884,0.004731596
883.5,-0.000478911
883,0.007183669
882.5,-0.000110196
882,0.002262931
881.5,0.006323592
881,0.006640315
880.5,-0.000147766
880,0.00527822
879.5,0.005087187
879,0.001323177
878.5,0.005375213
878,0.007518413
877.5,-0.000870144
877,0.007543543
876.5,0.000659212
876,-0.002484895
875.5,-0.005820701
875,-0.00088536
874.5,0.00307449
874,0.000606273
873.5,0.003957036
873,-0.002021794
872.5,0.0033683
872,-0.000652489
871.5,0.000755276
871,0.000327986
870.5,0.002366666
870,0.00156894
869.5,-0.000962438
869,0.002411585
868.5,-0.000110063
868,0.0019988
867.5,0.003667805
867,0.001726523
866.5,0.001801347
866,0.001049871
865.5,0.002526973
865,0.00119872
864.5,0.002815228
864,-0.001116089
863.5,0.001966962
863,0.002310666
862.5,0.004122115
862,0.001778792
861,0.000898968
860.5,0.002100775
860,0.002087704
859.5,0.000253276
859,0.000947186
858.5,0.002559469
858,-0.001778933
857.5,0.001006321
857,-0.00020769
856.5,0.000717074
856,0.000977498
855.5,0.003009457
855,-0.000437817
854.5,0.001350163
854,0.000293483
853.5,0.001505561
853,0.000444938
852.5,0.001516648
852,0.000744977
851.5,-0.000253385
851,0.000182192
850.5,0.002425054
850,0.000334592
849.5,0.001834539
849,0.000463597
848.5,0.000638242
848,0.000468524
847.5,0.000490441
847,0.000175651
846.5,0.00184292
846,0.000155216
845.5,0.001832869
845,-0.000739919
844.5,0.001821638
844,0.001296958
843.5,0.002049787
843,0.000376328
842.5,-0.000184916
842,-0.000114136
841.5,0.001421573
841,0.000759413
840.5,0.000397107
840,0.000783049
839.5,0.001409667
838.5,0.001060915
838,0.001583866
837.5,0.001287814
837,0.001849954
836.5,0.000228966
836,0.000165813
835.5,0.00091194
835,0.00158501
834.5,0.000973085
834,0.001524461
833.5,0.001570129
833,0.00191506
832.5,0.002212635
832,0.001075651
831.5,0.001891155
831,0.001772916
830.5,0.002976656
830,0.000284026
829.5,0.00080543
829,0.001001712
828,-0.000244705
827.5,-0.001134418
827,0.001104841
826.5,0.002058819
826,0.001023038
825.5,0.001757508
825,0.00057267
824.5,0.001863027
824,-0.001373183
823.5,0.001136426
823,0.000547514
822,0.001061895
821.5,0.002163111
821,-0.000339625
820.5,0.001721363
820,-0.000121027
819.5,0.000372339
819,-0.000975194
818.5,0.001025876
817.5,0.001507081
817,0.000723814
816.5,-0.001315159
815.5,0.000469082
815,0.001575563
814.5,-0.000260987
814,-0.000544547
813.5,0.001155354
813,-0.001103519
812.5,0.000580833
812,0.00134512
811.5,0.001013499
811,0.00134539
810,0.000572499
809.5,-0.000677777
809,0.001070259
808.5,0.000456677
808,0.001559403
807.5,0.001569763
807,0.001112125
806.5,0.000503841
806,0.001435049
805.5,0.000830746
805,0.001143759
804,-0.000205887
803.5,0.000108659
803,-0.000333953
802.5,-0.000923685
802,0.000284697
801.5,0.001969254
801,0.003421378
800.5,-0.000430914
800,-0.000263377
799.5,0.001179982
799,0.001280577
798.5,0.000232361
798,0.000707723
797.5,0.001027809
797,0.001342808
796.5,0.00052708
796,-0.000247144
795.5,0.001043689
795,0.000591027
794.5,0.001080495
794,0.000173008
793.5,-0.000112352
792.5,-0.000966945
792,0.000716599
791.5,0.000515331
791,0.001496752
790.5,0.000563263
790,0.001213408
789.5,-0.000794177
789,0.000317363
788.5,0.000495201
788,0.000518309
787.5,0.00129484
787,-0.000940946
786.5,0.001580011
786,-0.000258079
785.5,0.001033839
785,0.001209357
784.5,0.000292787
784,0.001243312
783.5,-0.000272628
782.5,0.001443839
782,-0.000336917
781.5,0.000511253
781,0.000537979
780.5,0.001032776
780,-0.00019968
779.5,0.002311206
779,-0.000762351
778.5,0.000493677
778,0.00097055
777.5,0.000386763
776.5,-0.001012583
776,0.001004396
775.5,0.000393807
775,0.000259742
774.5,0.001059705
774,-0.000308249
773,-0.001009503
772.5,-0.000525651
772,0.00070173
771.5,-0.001208619
771,0.00118392
770.5,0.001336928
770,0.001665395
769.5,-0.001113985
769,0.000152447
768.5,0.002009476
768,0.001414012
767.5,-0.001428404
767,-0.000345725
766.5,-0.000173488
766,0.00029577
765.5,0.001330861
765,0.000407367
764.5,0.000118079
764,-0.000785249
763.5,0.001386678
763,0.000642487
762.5,0.000967972
762,0.000844176
761.5,-0.000477737
761,-0.000166874
760,0.000231887
759.5,-0.000346817
759,-0.000922361
758.5,0.000630936
758,0.00110514
757.5,0.002021474
757,-0.000347687
756.5,0.000860808
756,0.0007328
755.5,0.00115841
755,0.001174514
754.5,0.000726258
754,0.000594033
753.5,0.000612562
753,0.000481974
752.5,-0.001151792
752,0.001272294
751.5,-0.000786387
751,0.000421802
750.5,0.001415488
750,0.00023227
749.5,0.000410762
749,0.000124259
748.5,0.000759186
748,-0.0004346
747.5,0.000346722
747,0.001413993
746.5,0.000390729
745.5,0.001557067
745,0.000380686
744.5,0.000403651
744,-0.000345233
743.5,-0.00077405
743,-0.000590379
742.5,-0.000262986
741.5,0.000236518
741,0.000553205
740.5,0.000503485
740,0.001777202
739.5,0.001944612
739,-0.000352907
738.5,-0.000171807
738,-0.000297256
737.5,-0.000272107
737,0.000354308
736.5,0.000524245
736,0.000249402
735.5,0.001150899
735,0.002326325
734.5,0.000223264
734,0.001325842
733.5,0.00011596
733,-0.00122618
732.5,0.001822684
