Type,Exciter
Maker,"Omega"
ProductName,"XF1450(485-560DBEX)"
Comment,""
Public,1
wavedataset
300,-0.0048
300.5,-0.0014
301,0.0044
301.5,-0.0019
302,-0.009
302.5,0.0042
303,-0.004
303.5,0.0077
304,5.7E-05
304.5,0.0024
305,7.3E-05
305.5,0.00015
306,-0.00013
306.5,0.0036
307,0.0006
307.5,0.002
308,-0.002
308.5,-0.0021
309,-0.0057
309.5,-0.0054
310,0.095
310.5,0.059
311,0.023
311.5,-0.0079
312,0.02
312.5,0.0073
313,0.019
313.5,-0.043
314,-0.0027
314.5,0.034
315,0.13
315.5,-0.092
316,0.035
316.5,0.12
317,0.042
317.5,0.09
318,0.048
318.5,0.006
319,-0.054
319.5,0.099
320,0.052
320.5,-0.012
321,0.016
321.5,0.03
322,0.022
322.5,-0.11
323,0.12
323.5,0.041
324,0.03
324.5,-0.067
325,-0.014
325.5,-0.042
326,0.035
326.5,0.031
327,0.017
327.5,-0.013
328,-0.072
328.5,0.024
329,-0.0061
329.5,0.025
330,0.036
330.5,-0.028
331,0.014
331.5,0.021
332,-0.018
332.5,-0.021
333,0.088
333.5,0.071
334,0.045
334.5,0.00073
335,-0.026
335.5,-0.1
336,-0.024
336.5,0.036
337,-0.022
337.5,0.11
338,-0.026
338.5,0.047
339,-0.068
339.5,0.036
340,-0.044
340.5,-0.067
341,-0.0018
341.5,0.02
342,-0.0071
342.5,-0.04
343,-0.0086
343.5,-0.035
344,-0.03
344.5,-0.06
345,-0.059
345.5,0.049
346,-0.12
346.5,0.04
347,-0.056
347.5,-0.08
348,0.094
348.5,0.046
349,0.028
349.5,-0.0016
350,-0.0028
350.5,-0.0014
351,-0.0025
351.5,-0.0027
352,-0.001
352.5,-0.0014
353,-0.0027
353.5,-0.0024
354,-0.0015
354.5,-0.0018
355,-0.0019
355.5,-0.0013
356,-0.0021
356.5,-0.0028
357,-0.0013
357.5,-0.0026
358,-0.0017
358.5,-0.0018
359,-0.0024
359.5,-0.0015
360,-0.0012
360.5,-0.0024
361,-0.0012
361.5,-0.0018
362,-0.0039
362.5,-0.0021
363,-0.0019
363.5,-0.0016
364,-0.0015
364.5,-0.0022
365,-0.0014
365.5,-0.0022
366,-0.0024
366.5,-0.0026
367,-0.00087
367.5,-0.0016
368,-0.002
368.5,0.0008
369,-0.00062
369.5,-0.0017
370,-0.0013
370.5,-0.0016
371,-0.0014
371.5,-0.0016
372,-0.0016
372.5,-0.0018
373,-0.0012
373.5,-0.00092
374,-0.0015
374.5,-0.0016
375,-0.001
375.5,-0.0013
376,-0.0011
376.5,-0.0018
377,-0.0017
377.5,-0.0011
378,-0.0013
378.5,-0.0016
379,-0.0012
379.5,-0.0012
380,-0.0016
380.5,-0.0014
381,-0.0015
381.5,-0.0012
382,-0.00099
382.5,-0.0022
383,-0.0018
383.5,-0.0016
384,-0.002
384.5,-0.0018
385,-0.0022
385.5,-0.0011
386,-0.0016
386.5,-0.0018
387,-0.0016
387.5,-0.0024
388,-0.0017
388.5,-0.002
389,-0.0014
389.5,-0.0017
390,-0.0017
390.5,-0.0015
391,-0.0016
391.5,-0.0014
392,-0.0015
392.5,-0.0014
393,-0.0016
393.5,-0.0017
394,-0.0016
394.5,-0.0011
395,-0.0015
395.5,-0.0015
396,-0.0013
396.5,-0.0013
397,-0.0013
397.5,-0.0013
398,-0.0015
398.5,-0.0013
399,-0.0014
399.5,-0.0014
400,-0.0014
400.5,-0.0014
401,-0.0015
401.5,-0.0014
402,-0.0013
402.5,-0.0013
403,-0.0013
403.5,-0.0013
404,-0.0011
404.5,-0.0012
405,-0.0013
405.5,-0.0014
406,-0.0013
406.5,-0.0014
407,-0.0012
407.5,-0.0014
408,-0.0011
408.5,-0.0011
409,-0.00089
409.5,-0.0023
410,-0.0026
410.5,-0.0018
411,-0.0016
411.5,-0.0016
412,-0.0016
412.5,-0.0017
413,-0.0015
413.5,-0.0014
414,-0.0016
414.5,-0.0018
415,-0.0016
415.5,-0.0016
416,-0.0014
416.5,-0.0014
417,-0.0014
417.5,-0.0016
418,-0.0015
418.5,-0.0017
419,-0.0014
419.5,-0.0015
420,-0.0015
420.5,-0.0014
421,-0.0016
421.5,-0.0014
422,-0.0013
422.5,-0.0014
423,-0.0016
423.5,-0.0014
424,-0.0016
424.5,-0.0015
425,-0.0012
425.5,-0.0012
426,-0.0013
426.5,-0.0015
427,-0.0014
427.5,-0.0012
428,-0.0015
428.5,-0.0012
429,-0.0013
429.5,-0.0015
430,-0.0015
430.5,-0.0013
431,-0.0012
431.5,-0.0014
432,-0.0012
432.5,-0.0015
433,-0.0013
433.5,-0.0014
434,-0.0013
434.5,-0.0022
435,-0.002
435.5,-0.0021
436,-0.0017
436.5,-0.0012
437,-0.0016
437.5,-0.0018
438,-0.0019
438.5,-0.0015
439,-0.0017
439.5,-0.0013
440,-0.0017
440.5,-0.0013
441,-0.0013
441.5,-0.0012
442,-0.0017
442.5,-0.0012
443,-0.0014
443.5,-0.0016
444,-0.0017
444.5,-0.0013
445,-0.0013
445.5,-0.0016
446,-0.0011
446.5,-0.0014
447,-0.0017
447.5,-0.0017
448,-0.0012
448.5,-0.0016
449,-0.0013
449.5,-0.0014
450,-0.0014
450.5,-0.0014
451,-0.0014
451.5,-0.0013
452,-0.0013
452.5,-0.0012
453,-0.0013
453.5,-0.0011
454,-0.0011
454.5,-0.0011
455,-0.0012
455.5,-0.0011
456,-0.0012
456.5,-0.00083
457,-0.001
457.5,-0.0007
458,-0.00047
458.5,-0.0003
459,0.00035
459.5,0.0012
460,0.0014
460.5,0.0025
461,0.0033
461.5,0.0051
462,0.0071
462.5,0.009
463,0.013
463.5,0.016
464,0.022
464.5,0.028
465,0.036
465.5,0.049
466,0.063
466.5,0.08
467,0.11
467.5,0.15
468,0.21
468.5,0.29
469,0.43
469.5,0.65
470,1.03
470.5,1.68
471,2.88
471.5,5.07
472,8.96
472.5,15.6
473,25.8
473.5,39.1
474,54.2
474.5,68.8
475,80.5
475.5,88.6
476,92.9
476.5,95.1
477,95.9
477.5,96
478,95.9
478.5,95.7
479,95.2
479.5,94.4
480,93.7
480.5,93
481,91.7
481.5,90.5
482,89.4
482.5,88.3
483,87.4
483.5,87
484,87.1
484.5,87.4
485,88.4
485.5,89.5
486,90.5
486.5,91.8
487,92.6
487.5,93.4
488,93.8
488.5,92.5
489,87.8
489.5,78.1
490,64.2
490.5,47.7
491,32.1
491.5,19.7
492,11.3
492.5,6.15
493,3.4
493.5,1.93
494,1.15
494.5,0.7
495,0.45
495.5,0.3
496,0.2
496.5,0.14
497,0.1
497.5,0.072
498,0.053
498.5,0.04
499,0.029
499.5,0.023
500,0.018
500.5,0.015
501,0.011
501.5,0.0088
502,0.0073
502.5,0.0062
503,0.005
503.5,0.004
504,0.0033
504.5,0.0028
505,0.0024
505.5,0.0018
506,0.0016
506.5,0.0014
507,0.0012
507.5,0.00096
508,0.00086
508.5,0.00068
509,0.00055
509.5,0.00028
510,0.00035
510.5,-6.6E-05
511,0.00031
511.5,9.9E-05
512,-0.00017
512.5,8.3E-05
513,1.7E-05
513.5,-0.00012
514,8.3E-05
514.5,1.7E-05
515,-0.00013
515.5,-0.00026
516,-6.6E-05
516.5,8.2E-05
517,-0.00012
517.5,0.00026
518,0.00035
518.5,0.00039
519,0.00025
519.5,0.00029
520,0.00011
520.5,0.00015
521,0.00059
521.5,0.00068
522,0.00034
522.5,0.00063
523,0.00069
523.5,0.00087
524,0.0012
524.5,0.0015
525,0.0017
525.5,0.0019
526,0.0023
526.5,0.0028
527,0.0032
527.5,0.0031
528,0.004
528.5,0.0052
529,0.0053
529.5,0.0065
530,0.0073
530.5,0.009
531,0.011
531.5,0.013
532,0.015
532.5,0.018
533,0.022
533.5,0.025
534,0.031
534.5,0.038
535,0.046
535.5,0.057
536,0.07
536.5,0.086
537,0.11
537.5,0.13
538,0.17
538.5,0.21
539,0.27
539.5,0.34
540,0.44
540.5,0.58
541,0.78
541.5,1.04
542,1.41
542.5,1.96
543,2.75
543.5,3.91
544,5.65
544.5,8.32
545,12.3
545.5,18.1
546,26
546.5,36.2
547,47.8
547.5,59.6
548,69.9
548.5,77.9
549,83
549.5,85.7
550,86.8
550.5,87.1
551,87.3
551.5,87.6
552,88.3
552.5,89.3
553,90.1
553.5,91.4
554,92.5
554.5,93.5
555,94.4
555.5,95.1
556,95.7
556.5,96
557,96.2
557.5,96.4
558,96.3
558.5,96.1
