Type,Recommend
"4,6-diamidino-2-phenyl-indole HCI(DAPI)","U-FUW"
"4,6-diamidino-2-phenyl-indole HCI(DAPI)","U-FUN"
"4,6-diamidino-2-phenyl-indole HCI(DAPI)","U-FUNA"
"4,6-diamidino-2-phenyl-indole HCI(DAPI)","U-MWU2"
"4,6-diamidino-2-phenyl-indole HCI(DAPI)","U-MNU2"
"4,6-diamidino-2-phenyl-indole HCI(DAPI)","U-MNUA2"
"4,6-diamidino-2-phenyl-indole HCI(DAPI)","49000 ET-DAPI"
"4,6-diamidino-2-phenyl-indole HCI(DAPI)","XF403"
"4,6-diamidino-2-phenyl-indole HCI(DAPI)","XF408"
"4,6-diamidino-2-phenyl-indole HCI(DAPI)","XF05-2"
"4,6-diamidino-2-phenyl-indole HCI(DAPI)","DAPI-1160B"
"4,6-diamidino-2-phenyl-indole HCI(DAPI)","DAPI-5060C"
