Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"7-Amino Actinomycin D"
Comment,"7-aminoactinomycin D (7-AAD)"
Public,1
Excitation
300,37.33149171
301,35.47513812
302,33.80662983
303,31.85082873
304,30.75138122
305,29.16574586
306,28.02209945
307,27.39779006
308,26.26519337
309,25.43646409
310,24.66850829
311,23.88950276
312,23.0718232
313,22.8839779
314,22.17679558
315,21.72928177
316,21
317,20.46961326
318,19.87292818
319,19.3038674
320,18.51933702
321,18.24861878
322,17.48618785
323,16.8121547
324,16.31491713
325,15.88950276
326,15.42541436
327,15.01657459
328,14.49723757
329,14.22099448
330,13.90607735
331,13.33701657
332,12.96685083
333,12.53038674
334,12.29834254
335,12.21546961
336,11.66298343
337,11.35359116
338,11.0441989
339,10.79005525
340,10.39226519
341,10.36464088
342,10.02762431
343,9.690607735
344,9.552486188
345,9.55801105
346,9.220994475
347,9.132596685
348,8.955801105
349,8.883977901
350,8.569060773
351,8.662983425
352,8.453038674
353,8.674033149
354,8.779005525
355,8.718232044
356,8.839779006
357,8.961325967
358,9.027624309
359,9.370165746
360,9.370165746
361,9.447513812
362,9.580110497
363,9.928176796
364,10.0718232
365,10.22651934
366,10.56906077
367,10.75138122
368,10.86740331
369,10.90055249
370,11.22099448
371,11.29281768
372,11.46961326
373,11.62983425
374,11.50276243
375,11.74033149
376,11.74033149
377,11.86740331
378,11.97237569
379,11.99447514
380,12.02762431
381,12.03867403
382,12.21546961
383,12.17127072
384,12.28729282
385,12.36464088
386,12.29834254
387,12.48618785
388,12.39226519
389,12.47513812
390,12.67403315
391,12.51933702
392,12.60773481
393,12.67955801
394,12.74585635
395,12.81767956
396,12.91160221
397,12.79558011
398,12.80110497
399,12.87292818
400,12.99447514
401,13.02209945
402,13.10497238
403,13.14364641
404,13.25414365
405,13.33149171
406,13.45303867
407,13.47513812
408,13.43093923
409,13.54696133
410,13.64640884
411,13.60220994
412,13.7679558
413,13.7679558
414,14.04972376
415,14.09944751
416,14.16574586
417,14.10497238
418,14.3038674
419,14.27624309
420,14.3038674
421,14.28176796
422,14.34254144
423,14.40331492
424,14.32044199
425,14.54143646
426,14.57458564
427,14.6961326
428,14.81767956
429,14.90055249
430,15.09392265
431,15.11049724
432,15.39779006
433,15.71270718
434,15.74585635
435,15.90607735
436,16.33149171
437,16.50828729
438,16.77900552
439,17.08839779
440,17.51381215
441,17.66298343
442,18.07734807
443,18.28729282
444,18.64088398
445,18.95027624
446,19.33149171
447,19.71270718
448,20.18232044
449,20.23756906
450,20.67403315
451,21.09392265
