Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"Alexa Fluor 647"
Comment,"Alexa Fluor 647 goat anti mouse IgG antibody/pH 7.2"
Public,1
Excitation
500,1.00239562
501,0.897722688
502,0.917304148
503,0.958262615
504,0.975785053
505,1.031801248
506,1.077772567
507,1.081009723
508,1.108146931
509,1.178260001
510,1.21865101
511,1.238616826
512,1.332366276
513,1.387529196
514,1.437976145
515,1.454298871
516,1.56003583
517,1.571331206
518,1.624111909
519,1.722903136
520,1.779564571
521,1.813650579
522,1.874216143
523,1.89997839
524,1.967094906
525,2.051585653
526,2.104304011
527,2.214723941
528,2.294159416
529,2.322789761
530,2.411367848
531,2.51028952
532,2.693657398
533,2.786073756
534,2.896269634
535,2.957653041
536,3.032433477
537,3.215486125
538,3.324322947
539,3.480901818
540,3.586755128
541,3.815908276
542,4.009954152
543,4.14787984
544,4.293229519
545,4.627982653
546,4.728349847
547,4.942875993
548,5.125199639
549,5.40510576
550,5.655972903
551,5.83229305
552,6.081441779
553,6.261153481
554,6.479297625
555,6.653517083
556,6.816768147
557,7.061020241
558,7.316279123
559,7.45868244
560,7.684790896
561,7.997885469
562,8.036084008
563,8.333082609
564,8.648608384
565,8.861047511
566,8.934440396
567,9.221956467
568,9.590905813
569,9.919851466
570,10.23817007
571,10.64970741
572,11.11323002
573,11.59026052
574,12.02875815
575,12.48989972
576,12.96854899
577,13.52106665
578,14.18725632
579,14.91720988
580,15.50614299
581,16.09709217
582,17.08076758
583,17.75690893
584,18.6437721
585,19.28227416
586,20.36357881
587,21.2129105
588,22.08391275
589,22.99073984
590,24.00092581
591,24.68159905
592,25.58028119
593,26.2576012
594,27.109522
595,27.76374519
596,28.47940256
597,29.13430088
598,29.72516514
599,30.23232558
600,30.52295985
601,30.84954172
602,31.31633746
603,31.45997482
604,31.89654846
605,31.89310185
606,31.89437354
607,31.91447641
608,32.35316011
609,32.38420597
610,32.5154217
611,32.76851036
612,32.47055374
613,32.88845424
614,33.0072532
615,33.34367175
616,33.47443054
617,34.26542076
618,34.7476994
619,35.62704273
620,36.62007874
621,37.60034733
622,38.50904704
623,39.8923946
624,41.5543651
625,42.70176568
626,44.42348059
627,46.71859939
628,49.14671345
629,51.22993003
630,54.03071797
631,56.66181761
632,59.16806498
633,62.01506188
634,65.00948697
635,67.8039267
636,70.51513344
637,73.64252024
638,77.06051222
639,80.40951796
640,82.79364899
641,85.37153692
642,87.96065674
643,90.80374453
644,93.25189581
645,95.0436856
646,96.65582145
647,98.255504
648,99.1993823
649,99.77308121
650,100
651,99.55604064
652,99.04607403
653,97.46512309
654,95.90307843
655,93.90806182
656,91.41594287
657,88.78969118
