Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"Allophycocyanin(APC)"
Comment,"Allophycocyanin/pH 7.5"
Public,1
Excitation
450,1.832702
451,1.791748
452,1.730316
453,1.668885
454,1.617692
455,1.576738
456,1.505068
457,1.464114
458,1.412921
459,1.35149
460,1.300297
461,1.259343
462,1.197911
463,1.167196
464,1.13648
465,1.085287
466,1.06481
467,1.034094
468,1.013617
469,1.003379
470,0.9931402
471,0.9829016
472,0.9829016
473,0.9829016
474,0.9829016
475,1.003379
476,1.013617
477,1.034094
478,1.044333
479,1.075049
480,1.095526
481,1.126241
482,1.156957
483,1.187673
484,1.218388
485,1.259343
486,1.300297
487,1.341251
488,1.371967
489,1.433398
490,1.484591
491,1.525545
492,1.586977
493,1.648408
494,1.709839
495,1.781509
496,1.84294
497,1.91461
498,1.996519
499,2.078428
500,2.160336
501,2.262721
502,2.365107
503,2.447016
504,2.55964
505,2.651787
506,2.743934
507,2.887274
508,2.999898
509,3.102283
510,3.255862
511,3.388963
512,3.522064
513,3.69612
514,3.859937
515,4.003276
516,4.197809
517,4.371864
518,4.535682
519,4.750691
520,4.934985
521,5.109041
522,5.334289
523,5.518583
524,5.713115
525,5.979318
526,6.194328
527,6.399099
528,6.696017
529,6.931504
530,7.17723
531,7.515102
532,7.781304
533,8.067984
534,8.446811
535,8.764206
536,9.09184
537,9.542336
538,9.890448
539,10.25904
540,10.74025
541,11.11907
542,11.50814
543,11.99959
544,12.41937
545,12.84939
546,13.40227
547,13.84253
548,14.30327
549,14.8971
550,15.38855
551,15.89024
552,16.54551
553,17.06768
554,17.58984
555,18.25535
556,18.77752
557,19.32016
558,20.01638
559,20.55902
560,21.12215
561,21.85932
562,22.44292
563,23.047
564,23.81489
565,24.43944
566,25.06399
567,25.8626
568,26.47691
569,27.15266
570,28.00246
571,28.66796
572,29.40514
573,30.32661
574,31.04331
575,31.83168
576,32.82482
577,33.58247
578,34.43227
579,35.53804
580,36.40831
581,37.40145
582,38.69151
583,39.73584
584,40.8928
585,42.35692
586,43.51387
587,44.78345
588,46.36019
589,47.53763
590,48.74578
591,50.12798
592,51.10064
593,52.07331
594,53.17907
595,53.96745
596,54.75581
597,55.67728
598,56.35303
599,57.04925
600,57.84785
601,58.45193
602,59.08672
603,59.84438
604,60.41773
605,61.02181
606,61.76922
607,62.3221
608,62.93642
609,63.70431
610,64.30838
611,64.97389
612,65.79298
613,66.40729
614,67.05232
615,67.91235
616,68.51643
617,69.12051
618,69.87816
619,70.39009
620,70.86106
621,71.39347
622,71.73135
623,72.02826
624,72.33541
625,72.51971
626,72.66305
627,72.79615
628,72.8883
629,72.97021
630,73.1033
631,73.23641
632,73.40022
633,73.71762
634,74.02477
635,74.44456
636,75.17149
637,75.84724
638,76.69704
639,78.07925
640,79.31811
641,80.77199
642,82.9528
643,84.78551
644,86.83321
645,89.67953
646,91.88083
647,94.11283
648,96.66223
649,98.20825
650,99.36521
651,100
652,99.69284
653,98.57684
654,95.87386
655,92.90468
656,89.01403
657,82.89137
658,77.70042
659,71.92587
660,64.10361
661,58.21644
662,52.32927
663,45.25443
664,40.40135
665,35.76328
666,30.35732
667,26.77383
668,23.45654
669,19.7297
670,17.34412
671,15.18378
672,12.80844
673,11.30337
674,9.962117
675,8.477527
676,7.545818
677,6.706255
678,5.75407
679,5.139756
680,4.576636
681,3.931607
682,3.491349
683,3.081806
684,2.63131
685,2.334391
686,2.05795
687,1.750794
688,1.546022
689,1.361728
690,1.156957
691,1.023856
692,0.8907546
693,0.7474148
694,0.6655063
695,0.5835978
696,0.4914508
697,0.4197809
698,0.3685881
699,0.3071567
700,0.2662025
Emission
600,0.9342855
601,0.950739
602,1.071235
603,1.150167
604,1.301096
605,1.480135
606,1.678626
607,1.885549
608,2.12849
609,2.329342
610,2.646306
611,2.944491
612,3.479809
613,3.779044
614,4.249223
615,4.706433
616,5.331177
617,5.8801
618,6.598916
619,7.185356
620,7.880523
621,8.570893
622,9.484116
623,10.27242
624,11.0578
625,11.91308
626,13.05312
627,13.89596
628,14.85326
629,15.88593
630,16.78277
631,17.91371
632,19.1427
633,20.3444
634,21.47084
635,22.79645
636,24.00111
637,25.28976
638,26.79643
639,28.56287
640,30.14488
641,32.66199
642,34.92882
643,37.6129
644,40.50552
645,43.47126
646,47.28572
647,51.18422
648,55.77409
649,60.39661
650,65.40831
651,69.93282
652,75.18536
653,80.07762
654,84.88214
655,89.08218
656,92.78687
657,95.99799
658,98.37317
659,99.43361
660,100
661,99.71358
662,98.41766
663,96.01115
664,93.62656
665,90.38733
666,86.41145
667,82.05199
668,77.49364
669,73.12512
670,68.76762
671,64.42639
672,60.57752
673,56.6125
674,52.79201
675,49.24279
676,45.93995
677,43.15812
678,40.49578
679,38.4744
680,36.69496
681,34.71545
682,33.21503
683,31.83786
684,30.13176
685,29.08076
686,27.86542
687,27.04234
688,26.16352
689,25.15577
690,24.63897
691,24.10414
692,23.38645
693,22.95607
694,22.48316
695,21.95275
696,21.82195
697,21.3385
698,21.04601
699,20.49529
700,20.25478
701,19.81298
702,19.40756
703,19.22403
704,18.89698
705,18.43947
706,18.31005
707,18.06472
708,18.14323
709,17.86491
710,17.59585
711,17.55601
712,17.5547
713,17.3212
714,17.29594
715,17.18564
716,17.05154
717,17.06863
718,17.16154
719,17.03126
720,16.96218
721,16.7969
722,16.56565
723,16.56164
724,16.52716
725,16.30517
726,16.04757
727,15.53834
728,15.52613
729,15.38633
730,14.89344
731,14.67212
732,14.27199
733,13.9668
734,13.60568
735,13.21459
736,13.20792
737,12.74028
738,12.07847
739,11.52655
740,11.17646
741,10.87007
742,10.48002
743,10.19128
744,9.737625
745,9.441989
746,8.882946
747,8.520109
748,8.294446
749,8.041685
750,7.615582
