Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"BODIPY FL"
Comment,"BODIPY FL goat anti mouse IgG antibody/pH 7.2"
Public,1
Excitation
300,50.42315
301,45.57086
302,41.40087
303,37.61411
304,34.49831
305,31.9611
306,29.74442
307,27.76217
308,26.10285
309,24.77854
310,23.32181
311,22.20756
312,21.41891
313,20.46143
314,19.65613
315,18.894
316,18.3224
317,17.56968
318,16.92356
319,16.38308
320,15.86454
321,15.31948
322,14.80842
323,14.61789
324,14.26335
325,13.83622
326,13.60252
327,13.53716
328,13.38763
329,12.95616
330,12.99716
331,12.77286
332,12.76298
333,12.8211
334,12.77286
335,12.59174
336,12.5751
337,12.51215
338,12.48827
339,12.29533
340,12.30256
341,12.19138
342,12.2278
343,12.16485
344,12.22515
345,12.29051
346,12.29051
347,12.14821
348,12.17956
349,12.1868
350,12.17956
351,12.15038
352,12.17956
353,12.08068
354,11.99627
355,11.88291
356,11.99627
357,11.84674
358,11.85614
359,11.76208
360,11.8395
361,11.76208
362,11.75268
363,11.77921
364,11.76932
365,11.64415
366,11.54285
367,11.45578
368,11.28961
369,11.15937
370,11.11837
371,10.81449
372,10.74913
373,10.48383
374,10.36348
375,10.27883
376,10.05236
377,9.774763
378,9.586642
379,9.42047
380,9.200996
381,8.954752
382,8.901935
383,8.585748
384,8.084094
385,8.202514
386,7.946622
387,7.770561
388,7.510087
389,7.293026
390,7.054258
391,6.835026
392,6.574311
393,6.352667
394,6.125717
395,5.915891
396,5.684359
397,5.517945
398,5.288825
399,5.112763
400,4.920061
401,4.760883
402,4.526697
403,4.362936
404,4.24717
405,4.090404
406,3.989108
407,3.967402
408,3.829689
409,3.795923
410,3.769394
411,3.742864
412,3.754923
413,3.747929
414,3.754923
415,3.798577
416,3.861042
417,3.875754
418,3.959926
419,4.061221
420,4.107286
421,4.27587
422,4.331583
423,4.384401
424,4.567698
425,4.712647
426,4.873996
427,5.033415
428,5.22853
429,5.356596
430,5.655658
431,5.870308
432,6.253784
433,6.453963
434,6.837196
435,7.134089
436,7.599324
437,7.826274
438,8.243514
439,8.581165
440,8.971876
441,9.343293
442,9.719533
443,10.20913
444,10.70596
445,11.12296
446,11.67526
447,12.20344
448,12.84257
449,13.37316
450,13.96912
451,14.59353
452,15.23989
453,15.86237
454,16.58567
455,17.40568
456,18.18734
457,19.01194
458,19.95977
459,20.80897
460,21.82409
461,22.84669
462,24.05259
463,25.18878
464,26.47186
465,27.85864
466,29.23095
467,30.66115
468,32.14922
469,33.71183
470,35.30867
471,36.90022
472,38.51877
473,40.26949
474,41.91434
475,43.50636
476,45.06897
477,46.61493
478,48.02365
479,49.18855
480,50.32185
481,51.34928
482,52.29494
483,53.13883
484,54.01672
485,54.99832
486,56.00163
487,57.19089
488,58.50266
489,60.01269
490,61.65512
491,63.6012
492,65.60298
493,67.78108
494,70.03369
495,72.54919
496,75.20458
497,77.96368
498,80.96612
499,84.19817
500,87.48279
501,90.7076
502,93.89092
503,96.68137
504,98.76299
505,100
506,99.88906
507,98.6424
508,95.8493
509,91.71548
510,86.29619
511,79.95823
512,73.01685
513,65.56922
514,58.15054
515,50.89851
516,44.05842
517,37.89653
518,32.39281
519,27.79569
520,23.70046
521,20.29984
522,17.42015
523,15.13883
524,12.99933
525,11.43914
526,9.9583
527,8.800639
528,7.736796
529,6.919198
530,6.210371
531,5.573658
532,5.01388
533,4.567698
534,4.111868
535,3.803159
536,3.371689
537,3.190563
538,2.853153
539,2.659968
540,2.452554
541,2.28614
542,2.122138
543,2.03049
544,1.839958
545,1.697903
546,1.613491
547,1.502307
548,1.43743
549,1.389194
550,1.234598
551,1.167309
552,1.138367
553,1.087478
554,0.9912476
555,1.073007
556,1.00813
557,0.9693003
558,0.9210644
559,0.9114172
560,0.8778933
561,0.8390633
562,0.8561871
563,0.7570623
564,0.7860038
565,0.6991792
566,0.71365
567,0.655767
568,0.6750613
569,0.6388844
570,0.6150076
571,0.5981251
572,0.5933015
573,0.5547128
574,0.5954721
575,0.5882367
576,0.5933015
577,0.4968297
578,0.540242
579,0.5113005
580,0.4990003
581,0.4244758
582,0.4751236
583,0.4100051
584,0.467647
585,0.4244758
586,0.4266465
587,0.3810636
588,0.4266465
589,0.3784106
590,0.37624
591,0.3904696
592,0.4073521
593,0.3928813
594,0.4244758
595,0.3738282
596,0.388299
597,0.352122
598,0.388299
599,0.3400631
600,0.3545338
601,0.3277629
602,0.3400631
603,0.3135333
604,0.3639398
605,0.3038861
606,0.349469
607,0.2819388
608,0.3422337
609,0.3301747
610,0.3545338
611,0.2867624
612,0.3328277
613,0.3038861
614,0.279527
615,0.270121
616,0.2894154
617,0.2966508
618,0.2819388
619,0.2773564
620,0.2411795
621,0.279527
622,0.2894154
623,0.2845918
624,0.3038861
625,0.2773564
626,0.3229393
627,0.3157039
628,0.267468
629,0.2722916
630,0.2722916
631,0.2602326
632,0.279527
633,0.279527
634,0.2650562
635,0.2722916
636,0.2747034
637,0.3062979
638,0.279527
639,0.3038861
640,0.2291205
641,0.2312911
642,0.2146497
643,0.2556503
644,0.2291205
645,0.2457619
646,0.2122379
647,0.2578208
648,0.1927024
649,0.2363559
650,0.1736492
Emission
480,0.3628505
481,0.4751895
482,0.5491531
483,0.6938646
484,0.8341811
485,1.011587
486,1.221472
487,1.498031
488,1.836871
489,2.316133
490,2.839024
491,3.468036
492,4.291391
493,5.502679
494,6.837777
495,8.670573
496,10.86183
497,13.80429
498,17.27061
499,21.38202
500,26.47405
501,32.3846
502,39.1259
503,46.63567
504,55.14085
505,63.47676
506,72.03961
507,79.75573
508,86.79395
509,92.46943
510,96.4178
511,99.32404
512,99.91124
513,99.30024
514,97.07169
515,93.82018
516,90.27357
517,85.35188
518,80.52259
519,76.48782
520,72.3137
521,67.69419
522,63.60926
523,60.02845
524,56.79967
525,53.65825
526,51.31467
527,48.40812
528,46.44219
529,44.12927
530,42.39123
531,40.49466
532,38.70377
533,37.45775
534,36.28441
535,35.29909
536,34.39116
537,33.30057
538,32.29134
539,31.37666
540,30.75975
541,29.73316
542,28.8218
543,27.97336
544,27.21508
545,26.2454
546,25.32139
547,24.45034
548,23.42525
549,22.42706
550,21.4665
551,20.58311
552,19.60315
553,18.8753
554,18.01089
555,17.13008
556,16.3242
557,15.60289
558,14.76475
559,14.18569
560,13.51541
561,12.76119
562,12.286
563,11.5529
564,11.0134
565,10.5366
566,9.953575
567,9.491463
568,9.070942
569,8.446539
570,8.038774
571,7.722339
572,7.402794
573,6.890194
574,6.699604
575,6.301701
576,5.961897
577,5.607836
578,5.39763
579,5.273178
580,5.027383
581,4.88728
582,4.698298
583,4.596035
584,4.389473
585,4.269952
586,4.093726
587,3.955553
588,3.697645
589,3.585306
590,3.522598
591,3.413046
592,3.287308
593,3.167144
594,3.013535
595,2.961118
596,2.84031
597,2.733117
598,2.666121
599,2.532665
600,2.412929
