Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"Cy3"
Comment,"Cy3 dye labeled IgG antibody/pH 7.2"
Public,1
Excitation
400,0.19373274
401,0.202900679
402,0.194525503
403,0.192789544
404,0.223678975
405,0.212012503
406,0.249250005
407,0.21039116
408,0.196643175
409,0.243129632
410,0.240668452
411,0.296409832
412,0.244589113
413,0.266541544
414,0.268153677
415,0.308691002
416,0.310246679
417,0.311879108
418,0.331135157
419,0.353239556
420,0.367383411
421,0.370102648
422,0.399830225
423,0.435276335
424,0.452383328
425,0.505490751
426,0.49524982
427,0.530797073
428,0.570313938
429,0.57694258
430,0.578068275
431,0.602542776
432,0.600089612
433,0.734690411
434,0.787289054
435,0.782365499
436,0.87738462
437,0.868845195
438,0.949961121
439,0.965214127
440,1.04454122
441,1.079946396
442,1.180904926
443,1.215060239
444,1.293037009
445,1.358159358
446,1.487117863
447,1.503498782
448,1.625257951
449,1.7467096
450,1.827739223
451,1.863770013
452,2.069565947
453,2.176152273
454,2.425672957
455,2.522155312
456,2.60691508
457,2.74317031
458,2.912290738
459,3.067469595
460,3.249487766
461,3.409455946
462,3.573207146
463,3.74072431
464,4.129664111
465,4.323519143
466,4.677558966
467,4.881993832
468,5.06283514
469,5.432387391
470,5.944097952
471,6.152498337
472,6.691022628
473,6.998726429
474,7.65212626
475,8.125617747
476,8.636472097
477,9.135707903
478,9.828788508
479,10.30023157
480,10.74717369
481,11.48974056
482,11.84253359
483,12.53419514
484,13.21955449
485,13.67310241
486,14.04477472
487,14.68759301
488,15.083565
489,15.7324177
490,16.13739355
491,16.74706181
492,17.41481937
493,17.99467205
494,18.6231002
495,19.48509315
496,19.9926284
497,21.02453317
498,21.89819242
499,22.63941187
500,23.78637639
501,26.05523311
502,27.54715514
503,28.60831094
504,30.34933578
505,32.68083918
506,34.56656708
507,35.86207226
508,37.65399219
509,39.57446315
510,42.22044499
511,44.03076833
512,45.78646133
513,47.46763668
514,48.95229285
515,50.39306394
516,50.57083858
517,51.79131444
518,52.48769367
519,52.83115025
520,52.79412169
521,53.42797364
522,52.91318959
523,52.96021297
524,52.47507224
525,52.10146066
526,51.82331149
527,51.44664689
528,51.35193494
529,51.3141218
530,51.60809894
531,52.58017128
532,52.50642116
533,53.33495024
534,54.67260079
535,55.46561929
536,56.86566067
537,58.08379986
538,60.03672838
539,61.8442716
540,63.77973478
541,67.73517361
542,70.55454669
543,73.1402697
544,76.94360316
545,80.48981749
546,83.91428612
547,87.3713317
548,89.76338388
549,93.06910868
550,96.46533258
551,97.89201542
552,99.67893794
553,99.88657763
554,100
555,99.13227624
556,98.51872092
557,95.38417009
558,93.19788144
559,89.51513387
560,84.50957447
561,77.77034136
562,72.70769555
563,68.00525529
564,61.52911092
565,54.56936085
566,48.63063383
567,45.01851514
568,39.55111349
569,34.82244112
570,30.20935723
571,26.31262514
572,22.58537848
573,19.52157592
574,16.930702
575,14.93342448
576,13.19594047
577,11.72029157
578,10.02467491
579,8.782742607
580,7.170691796
581,6.197497169
582,4.982622499
583,4.280589203
584,3.555049334
585,3.106449366
586,2.661113917
587,2.418204137
588,2.016830515
589,1.554035525
590,1.426461115
591,1.185874702
592,1.037538711
593,1.011749534
594,0.839052976
595,0.706633639
596,0.648802217
597,0.658670475
598,0.59404258
599,0.455706689
600,0.378929296
601,0.320027269
602,0.311067414
603,0.278661364
604,0.251909035
605,0.197646239
606,0.158761435
607,0.135664956
608,0.093759109
609,0.042987897
