Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"DiI"
Comment,"DiI/lipid"
Public,1
Excitation
300,3.196941028
301,2.932828761
302,2.706165248
303,2.581993062
304,2.440081993
305,2.353358562
306,2.213221381
307,2.114869126
308,2.089246295
309,1.988725954
310,1.876379691
311,1.880321665
312,1.813308105
313,1.754178493
314,1.74235257
315,1.697019868
316,1.722642699
317,1.651687165
318,1.693077893
319,1.637890255
320,1.618180385
321,1.531456954
322,1.490066225
323,1.492037212
324,1.428965626
325,1.413197729
326,1.38560391
327,1.340271208
328,1.312677389
329,1.330416272
330,1.302822453
331,1.223982971
332,1.229895932
333,1.158940397
334,1.172737307
335,1.141201514
336,1.145143488
337,1.084042889
338,1.032797225
339,1.019000315
340,1.036739199
341,1.003232419
342,0.989435509
343,0.926363923
344,0.959870703
345,0.859350363
346,0.764742983
347,0.670135604
348,0.644512772
349,0.599180069
350,0.536108483
351,0.520340587
352,0.465152949
353,0.427704194
354,0.407994324
355,0.425733207
356,0.333096815
357,0.325212867
358,0.291903185
359,0.236518448
360,0.199069694
361,0.226663513
362,0.266083254
363,0.212866604
364,0.212866604
365,0.189214759
366,0.090665405
367,0.16162094
368,0.12811416
369,0.108404289
370,0.098549354
371,0.118259224
372,0.082781457
373,0.112346263
374,0.100520341
375,0.070955535
376,0.072926522
377,0.055187638
378,0.009854935
379,0.059129612
380,0.031535793
381,0.027593819
382,0.011825922
383,0.000102
384,0.053216651
385,0.078839483
386,0.088694418
387,0.084752444
388,0.090665405
389,0.108404289
390,0.086723431
391,0.100520341
392,0.104462315
393,0.084752444
394,0.090665405
395,0.102491328
396,0.086723431
397,0.094607379
398,0.088694418
399,0.118259224
400,0.106433302
401,0.108404289
402,0.216808578
403,0.185272785
404,0.110375276
405,0.134027121
406,0.126143173
407,0.145853043
408,0.143882056
409,0.141911069
410,0.179359823
411,0.165562914
412,0.185272785
413,0.185272785
414,0.185272785
415,0.240460423
416,0.246373384
417,0.277909177
418,0.299590035
419,0.297619048
420,0.333096815
421,0.352806686
422,0.348864711
423,0.423565121
424,0.441501104
425,0.459239987
426,0.502601703
427,0.575528225
428,0.58538316
429,0.648454746
430,0.687874488
431,0.701671397
432,0.764742983
433,0.837669505
434,0.914538001
435,0.951986755
436,1.072216966
437,1.095868811
438,1.198360139
439,1.292967518
440,1.415168716
441,1.521602018
442,1.616209398
443,1.655629139
444,1.78965626
445,1.957190161
446,2.087078209
447,2.238844213
448,2.386865342
449,2.552428256
450,2.712078209
451,2.938741722
452,3.070797856
453,3.265925576
454,3.514269946
455,3.675890886
456,3.906496373
457,4.144985809
458,4.357852412
459,4.602254809
460,4.893960896
461,5.148218228
462,5.445837275
463,5.753311258
464,6.114001892
465,6.464837591
466,6.847209082
467,7.294623147
468,7.73021129
469,8.236754967
470,8.764979502
471,9.318826868
472,9.864790287
473,10.4876222
474,11.1124251
475,11.77073478
476,12.4231315
477,13.1248029
478,13.81464838
479,14.51434879
480,15.18645538
481,15.89206875
482,16.55826238
483,17.2557947
484,17.90641753
485,18.54107537
486,19.19741406
487,19.84389782
488,20.51600442
489,21.14869126
490,21.77546515
491,22.51064333
492,23.34831284
493,24.15444655
494,25.00985494
495,25.87708925
496,26.89806055
497,28.07079786
498,29.27704194
499,30.62125512
500,32.07190161
501,33.58956165
502,35.19591611
503,36.88702302
504,38.69638915
505,40.55502996
506,42.48068433
507,44.43393251
508,46.42857143
509,48.34437086
510,50.21483759
511,52.05376853
512,53.70545569
513,55.23297067
514,56.55156102
515,57.68093661
516,58.56788079
517,59.19662567
518,59.63615579
519,59.85493535
520,59.87661621
521,59.79383475
522,59.54351939
523,59.2222485
524,58.91674551
525,58.61518448
526,58.38260801
527,58.26040681
528,58.30179754
529,58.54225796
530,58.97390413
531,59.59870703
532,60.48565121
533,61.55392621
534,62.8666036
535,64.34878587
536,66.11873226
537,68.08577736
538,70.19473352
539,72.50867234
540,75.03547777
541,77.76135289
542,80.54438663
543,83.4910123
544,86.45734784
545,89.39608956
546,92.17518133
547,94.67439294
548,96.85233365
549,98.50993377
550,99.60580259
551,100
552,99.60777357
553,98.45080416
554,96.3714128
555,93.55093031
556,89.9085462
