Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"Ethidium Bromide"
Comment,"Ethidium bromide/DNA"
Public,1
Excitation
250,20.5804216
251,22.17730292
252,22.91077101
253,22.94253537
254,23.36413514
255,23.94744441
256,23.76552122
257,23.40745019
258,23.81749928
259,23.99075946
260,24.63182212
261,25.05630956
262,25.59341611
263,26.49436904
264,26.96217153
265,27.88045048
266,28.70343633
267,29.91625758
268,30.95581865
269,31.87987294
270,32.86168062
271,34.36326884
272,35.17181634
273,36.58677447
274,38.49263644
275,39.84984118
276,41.3225527
277,42.9396477
278,44.49898932
279,45.65405718
280,47.35778227
281,48.65723361
282,51.2272596
283,53.65290211
284,55.84753104
285,57.55125614
286,60.38117239
287,62.69130811
288,65.52122437
289,68.66878429
290,71.0655501
291,74.18423332
292,77.82269708
293,81.57666763
294,84.98411782
295,88.24718452
296,91.39474444
297,94.51342766
298,97.28559053
299,99.1625758
300,100
301,100
302,99.22032919
303,98.26739821
304,96.33265954
305,94.05140052
306,91.07710078
307,87.66965059
308,84.34883049
309,80.970257
310,77.7071903
311,74.67513716
312,71.70083742
313,69.15968813
314,66.67629223
315,64.33727982
316,62.14265088
317,60.09240543
318,58.30205025
319,56.68495524
320,55.15449033
321,54.11492925
322,52.98873809
323,52.00693041
324,51.48714987
325,50.70747906
326,50.4187121
327,50.12994513
328,49.92780826
329,49.69679469
330,49.32139763
331,49.03263067
332,48.48397343
333,47.64654923
334,46.80912504
335,45.82731735
336,44.52786601
337,43.28616806
338,41.95784002
339,40.25411493
340,38.43488305
341,36.47126769
342,34.19000866
343,31.90874964
344,29.39647704
345,27.18163442
346,24.94080277
347,22.78948888
348,20.7421311
349,19.06439503
350,17.43863702
351,16.05833093
352,14.84550967
353,13.8348253
354,12.99162576
355,12.14553855
356,11.46404851
357,10.82009818
358,10.25122726
359,9.890268553
360,9.327172971
361,8.943112908
362,8.530176148
363,8.131677736
364,7.698527288
365,7.360669939
366,6.93907017
367,6.647415536
368,6.185388392
369,5.801328328
370,5.498123015
371,5.200693041
372,4.926364424
373,4.63182212
374,4.308403119
375,4.008085475
376,3.817499278
