Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"FM 1-43"
Comment,"FM 1-43/lipid"
Public,1
Excitation
250,9.909909
251,10.52117
252,11.04985
253,11.96355
254,12.68473
255,13.74848
256,14.58075
257,15.84806
258,16.93624
259,18.08723
260,19.38478
261,20.75678
262,22.42598
263,23.48507
264,24.82857
265,26.48614
266,27.55047
267,28.74217
268,29.95772
269,31.5106
270,32.27889
271,33.49967
272,34.36102
273,35.08744
274,35.78595
275,35.56436
276,35.291
277,35.71034
278,35.19853
279,35.11711
280,34.97171
281,35.38988
282,34.82049
283,34.67509
284,34.33194
285,34.08186
286,33.52352
287,33.09255
288,32.73835
289,32.07475
290,31.34775
291,30.74288
292,30.29563
293,29.28306
294,28.67819
295,27.92211
296,26.68388
297,25.85161
298,25.13624
299,24.11262
300,23.34491
301,22.51962
302,21.65826
303,21.22788
304,20.64046
305,19.48889
306,19.01779
307,18.68628
308,17.51784
309,16.72628
310,16.14526
311,15.09198
312,14.45222
313,13.91773
314,12.93424
315,12.35264
316,11.86991
317,11.01495
318,10.6026
319,10.10765
320,9.817435
321,9.694717
322,9.31086
323,8.67168
324,8.67168
325,8.159871
326,7.147302
327,6.932692
328,6.618627
329,5.536265
330,5.396681
331,4.821477
332,4.670261
333,4.326534
334,4.262558
335,4.135188
336,3.867069
337,3.565218
338,3.221491
339,2.675368
340,2.093184
341,1.395844
342,1.203334
343,0.7851622
344,0.2727711
345,0.1157387
346,-0.0169
347,-0.1971629
348,0.1337684
349,-0.3256969
350,-0.3716434
351,-0.1855309
352,-0.3256969
353,-0.3890915
354,-0.1628485
355,-0.0814
356,-0.2436911
357,0.00523
358,-0.0692
359,0.0285
360,0.2093766
361,0.3082489
362,0.3838571
363,0.5874177
364,0.738634
365,0.8776368
366,1.035251
367,1.278942
368,1.512164
369,1.768069
370,1.855309
371,2.227534
372,2.529967
373,2.517753
374,2.826584
375,3.419817
376,3.4425
377,3.686773
378,4.227662
379,4.442855
380,4.896504
381,5.216385
382,5.333287
383,6.019577
384,6.560466
385,6.967006
386,7.479397
387,8.031919
388,8.561176
389,8.962481
390,9.531868
391,10.03844
392,10.8521
393,11.24759
394,11.96355
395,12.59109
396,13.28378
397,13.84735
398,14.73139
399,15.48223
400,16.35406
401,17.09269
402,17.95986
403,18.87879
404,19.8204
405,20.71083
406,21.73445
407,22.74644
408,23.7119
409,24.73552
410,25.8173
411,26.89268
412,27.93956
413,29.17256
414,30.3596
415,31.5926
416,32.82502
417,33.96553
418,35.30904
419,36.49492
420,37.90239
421,39.40874
422,40.53123
423,41.88113
424,43.23045
425,44.74843
426,46.28386
427,47.63841
428,48.92374
429,50.71566
430,52.12314
431,53.59459
432,55.19981
433,56.95567
434,58.14795
435,59.9102
436,61.41132
437,63.06248
438,64.38271
439,66.18568
440,67.64027
441,69.22222
442,70.67564
443,72.33379
444,73.89191
445,75.35812
446,76.79409
447,78.4284
448,79.61486
449,80.88334
450,82.28442
451,83.57034
452,84.86672
453,86.21081
454,87.31004
455,88.71693
456,89.76381
457,90.79383
458,91.82909
459,92.87537
460,93.67276
461,94.69579
462,95.56238
463,96.22599
464,96.96462
465,97.57472
466,98.15691
467,98.6216
468,99.05839
469,99.37246
470,99.62777
471,99.84355
472,99.88367
473,100
474,99.94184
475,99.69756
476,99.47655
477,99.02291
478,98.52913
479,98.01151
480,97.34848
481,96.52784
482,95.61472
483,94.56203
484,93.73092
485,92.53805
486,91.34576
487,89.86909
488,88.53082
489,87.11811
490,85.38435
491,83.80821
492,82.07562
493,80.26626
494,78.54472
495,76.60217
496,74.65439
497,72.81071
498,70.82745
499,68.69297
500,66.7731
501,64.85963
502,62.86474
503,60.83495
504,58.82842
505,56.81085
506,54.85608
507,53.01299
508,51.14547
509,49.18547
510,47.28363
511,45.54464
512,43.74168
513,42.02072
514,40.2986
515,38.69337
516,37.02476
517,35.55273
518,33.93064
519,32.5284
520,30.96447
521,29.71984
522,28.20768
523,26.88163
524,25.53813
525,24.4738
526,23.19427
527,22.13518
528,21.09469
529,20.04199
530,19.05909
531,18.06978
532,17.24972
533,16.39477
534,15.45897
535,14.76105
536,14.02765
537,13.34718
538,12.60854
539,12.10836
540,11.43371
541,10.95098
542,10.36937
543,10.00878
544,9.480106
545,9.089851
546,8.630968
547,8.36285
548,8.037152
549,7.664927
550,7.351445
551,7.089724
552,6.856501
553,6.659338
554,6.385404
555,6.199873
556,5.850913
557,5.920704
558,5.629904
559,5.542664
560,5.38505
561,5.134961
562,5.030854
563,4.740053
564,4.623733
565,4.303852
566,4.018286
567,3.803093
568,3.63501
569,3.344209
570,3.210441
571,2.89056
572,2.710263
573,2.442145
574,2.250216
575,2.005944
576,1.820413
577,1.570324
578,1.512164
579,1.255678
580,1.081197
581,0.941613
582,0.8375064
583,0.6688419
584,0.5699696
585,0.4123555
586,0.4065395
587,0.2727711
588,0.2093766
589,0.1744805
590,0.0459
591,-0.0756
592,-0.0343
593,0.0169
594,-0.0523
595,-0.1512164
596,-0.1105043
597,-0.3024328
598,-0.202979
599,-0.2960352
600,-0.1919285
601,-0.2960352
602,-0.3890915
603,-0.3367473
604,-0.3134833
605,-0.3082489
606,-0.3024328
607,-0.366409
608,-0.4123555
609,-0.4245692
610,-0.3192993
611,-0.3780411
612,-0.3716434
613,-0.3890915
614,-0.3838571
615,-0.4187532
616,-0.4362012
617,-0.5054118
618,-0.4594653
619,-0.4705157
620,-0.4420172
621,-0.4420172
622,-0.4536493
623,-0.4705157
624,-0.4769133
625,-0.4362012
626,-0.4769133
627,-0.4646997
628,-0.5054118
629,-0.4594653
630,-0.5228598
631,-0.4594653
632,-0.4821478
633,-0.5403079
634,-0.4420172
635,-0.4995958
636,-0.4245692
637,-0.4995958
638,-0.5699696
639,-0.4705157
640,-0.4420172
641,-0.4879637
642,-0.4594653
643,-0.4594653
644,-0.4646997
645,-0.4769133
646,-0.5525215
647,-0.5054118
648,-0.4420172
649,-0.4362012
650,-0.5874177
651,-0.4769133
652,-0.4472516
653,-0.4879637
654,-0.4594653
655,-0.4065395
656,-0.5403079
657,-0.4943614
