Type,Recommend
"Fluorescein-isothiocyanate(FITC)","U-FBN"
"Fluorescein-isothiocyanate(FITC)","U-FBWA"
"Fluorescein-isothiocyanate(FITC)","U-FBNA"
"Fluorescein-isothiocyanate(FITC)","U-MWB2"
"Fluorescein-isothiocyanate(FITC)","U-MNB2"
"Fluorescein-isothiocyanate(FITC)","U-MWIB3"
"Fluorescein-isothiocyanate(FITC)","U-MNIB3"
"Fluorescein-isothiocyanate(FITC)","U-MWIBA3"
"Fluorescein-isothiocyanate(FITC)","U-MNIBA3"
"Fluorescein-isothiocyanate(FITC)","49011 ET-FITC/Alexa Fluor 488/Fluo3/Oregon Green"
"Fluorescein-isothiocyanate(FITC)","49002 ET-GFP(FITC/Cy2)"
"Fluorescein-isothiocyanate(FITC)","XF404"
"Fluorescein-isothiocyanate(FITC)","XF409"
"Fluorescein-isothiocyanate(FITC)","XF411"
"Fluorescein-isothiocyanate(FITC)","XF202"
"Fluorescein-isothiocyanate(FITC)","FITC-3540C"
