Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"JC-1"
Comment,"JC-1/pH 8.2"
Public,1
Excitation
400,2.219793
401,2.310498
402,2.35265
403,2.485507
404,2.546017
405,2.645055
406,2.71861
407,2.81173
408,2.888908
409,3.025388
410,3.081067
411,3.219962
412,3.311634
413,3.460312
414,3.53749
415,3.666844
416,3.768177
417,3.907073
418,4.013358
419,4.184985
420,4.267115
421,4.405889
422,4.570269
423,4.699502
424,4.868472
425,5.000242
426,5.200735
427,5.366081
428,5.517175
429,5.703053
430,5.903546
431,6.105247
432,6.296077
433,6.529301
434,6.740664
435,6.954443
436,7.165805
437,7.432726
438,7.652423
439,7.907387
440,8.177811
441,8.449563
442,8.727354
443,9.011305
444,9.315547
445,9.639355
446,9.954467
447,10.27103
448,10.63083
449,11.01249
450,11.34463
451,11.74562
452,12.12124
453,12.5645
454,13.01875
455,13.48616
456,13.96444
457,14.51036
458,15.02959
459,15.63602
460,16.21093
461,16.86555
462,17.54795
463,18.27612
464,19.03474
465,19.84637
466,20.70511
467,21.60237
468,22.54698
469,23.53725
470,24.61592
471,25.77286
472,26.95058
473,28.24883
474,29.60288
475,31.02916
476,32.56196
477,34.18402
478,35.83869
479,37.67078
480,39.5937
481,41.63003
482,43.73026
483,46.05295
484,48.47927
485,51.12795
486,53.84077
487,56.72134
488,59.66351
489,62.67453
490,65.69279
491,68.67469
492,71.52991
493,74.09899
494,76.46384
495,78.44812
496,79.92886
497,80.99293
498,81.49777
499,81.49777
500,80.97601
501,80.08708
502,78.63532
503,76.88294
504,74.86944
505,72.60496
506,70.24241
507,67.73624
508,65.22054
509,62.71801
510,60.22876
511,57.89893
512,55.65849
513,53.5242
514,51.46372
515,49.58331
516,47.76318
517,46.10972
518,44.49249
519,43.05993
520,41.6287
521,40.35086
522,39.09718
523,37.96681
524,36.9292
525,35.95814
526,35.0959
527,34.30709
528,33.58967
529,32.90485
530,32.27922
531,31.70926
532,31.20562
533,30.73204
534,30.31427
535,29.89987
536,29.53645
537,29.17762
538,28.83581
539,28.52916
540,28.25004
541,27.96995
542,27.71982
543,27.49529
544,27.25603
545,26.96737
546,26.73909
547,26.47229
548,26.26081
549,26.02529
550,25.87323
551,25.74508
552,25.64363
553,25.58336
554,25.5737
555,25.63771
556,25.70402
557,25.84183
558,26.01937
559,26.2561
560,26.60757
561,26.95408
562,27.40579
563,27.88045
564,28.44582
565,29.07145
566,29.74298
567,30.50751
568,31.3747
569,32.27197
570,33.27685
571,34.40384
572,35.64291
573,37.00891
574,38.41973
575,40.06836
576,41.79779
577,43.73026
578,45.74968
579,48.06995
580,50.52176
581,53.25366
582,56.14402
583,59.32654
584,62.86765
585,66.60225
586,70.71344
587,75.22224
588,80.2139
589,85.36632
590,90.94038
591,96.11684
592,99.92379
593,100
594,93.70972
595,80.98206
596,65.96925
597,51.79345
598,40.05858
599,30.87347
600,24.34538
601,19.6675
602,16.42096
603,13.93908
604,12.0972
605,10.65136
606,9.517368
607,8.593289
608,7.834799
609,7.194671
610,6.656119
611,6.179042
612,5.782888
613,5.425383
614,5.150007
615,4.858809
616,4.628243
617,4.41688
618,4.210348
619,4.065293
620,3.899947
621,3.747645
622,3.613701
623,3.480844
624,3.358737
625,3.246413
626,3.131794
627,3.027924
628,2.940964
629,2.84434
630,2.75738
631,2.66909
632,2.599039
633,2.496497
634,2.44577
635,2.333325
636,2.285135
637,2.215083
638,2.163027
639,2.08585
640,2.048408
641,1.969902
642,1.926301
643,1.877989
644,1.829799
645,1.766994
646,1.766994
647,1.707691
648,1.684743
649,1.637639
650,1.612276
Emission
500,5.53435
501,3.831038
502,2.752717
503,2.654175
504,3.062304
505,3.512145
506,4.057371
507,4.583154
508,5.349395
509,5.989674
510,6.792473
511,7.743669
512,8.584357
513,9.854445
514,11.0692
515,12.36554
516,13.60655
517,15.25419
518,16.12895
519,17.43294
520,18.35987
521,19.56432
522,20.37011
523,20.72523
524,21.47601
525,21.97222
526,21.93632
527,21.819
528,21.81485
529,21.53601
530,21.0619
531,20.56204
532,19.96281
533,19.39997
534,18.96957
535,17.95905
536,17.30714
537,16.6524
538,15.72215
539,15.14501
540,14.40303
541,13.60256
542,12.89049
543,12.05512
544,11.76448
545,11.3841
546,10.73535
547,10.5032
548,10.03807
549,9.65736
550,9.266679
551,9.279308
552,9.070922
553,8.845255
554,8.653154
555,8.457896
556,8.393919
557,8.384779
558,8.245357
559,8.121721
560,8.12438
561,7.96269
562,7.95571
563,7.770756
564,7.787041
565,7.701626
566,7.606573
567,7.664403
568,7.732203
569,7.62801
570,7.850521
571,7.911009
572,7.892896
573,8.153793
574,8.337584
575,8.565578
576,8.878988
577,9.255545
578,9.78382
579,10.32572
580,11.03131
581,12.38349
582,14.31961
583,17.42114
584,21.16111
585,26.455
586,31.9179
587,39.09956
588,48.45547
589,58.66537
590,69.32777
591,78.94392
592,88.37328
593,94.80848
594,98.75567
595,100
596,98.48845
597,93.85994
598,88.63201
599,79.80936
600,70.46143
601,60.95213
602,51.00595
603,41.45627
604,33.43093
605,25.89382
606,20.12284
607,15.88201
608,12.80757
609,11.07136
610,9.837662
611,8.624905
612,7.686837
613,7.181327
614,6.688281
615,6.091042
616,5.913898
617,5.459238
618,5.218946
619,5.008068
620,4.626526
621,4.517847
622,4.340037
623,4.199951
624,4.077977
625,4.05654
626,4.020978
627,3.850481
628,3.961154
629,3.954175
630,3.996052
631,3.8892
632,3.882553
633,3.899835
634,3.983921
635,4.023304
636,4.169706
637,4.311954
638,4.160733
639,4.376098
640,4.522334
641,4.461347
642,4.390223
643,4.351337
644,4.237839
645,4.10174
646,4.140127
647,3.705243
648,3.572135
649,3.49237
650,3.331843
