Type,Fluorophore
Maker,"Amalgaam/ Medical&Biological Laboratories"
ProductName,"Kikume Green"
Comment,"CoralHue  Series"
Public,1
Excitation
330,3.37252
331,3.32302
332,3.49629
333,3.43028
334,3.44678
335,3.65099
336,3.66749
337,3.70256
338,3.85932
339,4.0099
340,4.15842
341,4.18317
342,4.48639
343,4.45338
344,4.62459
345,4.81229
346,4.97731
347,5.37954
348,5.51361
349,5.45173
350,5.87046
351,6.1118
352,6.37789
353,6.65223
354,6.83375
355,7.2896
356,7.48144
357,7.79909
358,8.03012
359,8.41584
360,8.82426
361,8.98927
362,9.37913
363,9.81642
364,10.0165
365,10.495
366,10.7632
367,11.1861
368,11.413
369,11.7636
370,11.7801
371,12.0235
372,12.4773
373,12.6856
374,12.8321
375,13.0033
376,12.9476
377,13.0714
378,13.1477
379,13.2446
380,13.2281
381,13.2818
382,13.3024
383,13.3581
384,13.2302
385,13.3168
386,13.0384
387,13.1394
388,13.0714
389,13.0837
390,12.8073
391,12.731
392,12.6918
393,12.4649
394,12.4051
395,12.071
396,12.0153
397,11.809
398,11.611
399,11.3717
400,11.0644
401,10.7632
402,10.625
403,10.2805
404,9.94224
405,9.78135
406,9.41832
407,9.19554
408,9.10066
409,8.83251
410,8.4901
411,8.10231
412,7.99299
413,7.73927
414,7.44224
415,7.16997
416,7.08127
417,6.83581
418,6.56353
419,6.36551
420,6.12624
421,5.87665
422,5.62913
423,5.42492
424,5.23102
425,5.06601
426,4.92574
427,4.81436
428,4.6184
429,4.72566
430,4.69678
431,4.62046
432,4.67409
433,4.80817
434,5.02888
435,5.13201
436,5.30734
437,5.61262
438,5.8684
439,6.08292
440,6.41502
441,6.87706
442,7.2566
443,7.66089
444,8.04249
445,8.63861
446,9.04497
447,9.49464
448,10.099
449,10.6931
450,11.0644
451,11.6667
452,12.1638
453,12.8073
454,13.3828
455,14.2822
456,14.8061
457,15.6085
458,16.2314
459,16.9884
460,18.1394
461,19.1316
462,19.9773
463,20.854
464,22.1122
465,23.4117
466,25.0413
467,26.3408
468,27.434
469,28.5066
470,29.9505
471,31.6007
472,33.3746
473,34.8804
474,35.6436
475,36.4068
476,37.4175
477,38.2426
478,38.717
479,38.8614
480,39.2739
481,39.3358
482,39.3358
483,39.7071
484,40.1609
485,40.9241
486,42.0586
487,43.585
488,44.8845
489,46.4315
490,48.0817
491,50.5569
492,52.3309
493,54.4554
494,57.4051
495,60.7261
496,64.0264
497,67.8837
498,71.8853
499,76.3201
500,80.4868
501,84.7566
502,89.1914
503,92.9868
504,96.1634
505,98.453
506,99.835
507,100
508,98.8449
509,96.2459
510,92.2442
511,87.2937
512,80.6312
513,73.453
514,65.5734
515,57.6939
516,49.7937
517,42.0998
518,35.5611
519,29.0429
520,23.8243
Emission
420,0.66858
421,0.700417
422,0.805846
423,0.924843
424,0.875783
425,0.983821
426,1.07881
427,1.11273
428,1.19937
429,1.35752
430,1.29854
431,1.38413
432,1.52766
433,1.53027
434,1.61795
435,1.68006
436,1.73591
437,1.80376
438,1.89301
439,1.97129
440,1.98904
441,1.99374
442,2.06367
443,2.08403
444,2.12265
445,2.31367
446,2.28862
447,2.33716
448,2.29645
449,2.37109
450,2.30846
451,2.41075
452,2.45459
453,2.54697
454,2.60125
455,2.59238
456,2.56159
457,2.66127
458,2.75104
459,2.86221
460,2.9285
461,3.16962
462,3.23069
463,3.3857
464,3.43215
465,3.45251
466,3.35282
467,3.42015
468,3.10334
469,2.97286
470,2.83873
471,2.72651
472,2.56002
473,2.47651
474,2.43215
475,2.42797
476,2.48017
477,2.44624
478,2.31524
479,2.30689
480,2.37996
481,2.23956
482,2.26879
483,2.3309
484,2.36534
485,2.48225
486,2.47443
487,2.61273
488,2.63779
489,2.86639
490,3.10282
491,3.40449
492,3.75418
493,4.30898
494,4.83403
495,5.46451
496,6.31002
497,7.79228
498,8.99791
499,11.1013
500,13.2255
501,15.8507
502,19.191
503,23.523
504,28.3351
505,33.6848
506,40.2557
507,48.2463
508,54.9582
509,63.1002
510,71.6597
511,78.9666
512,84.9165
513,91.4927
514,96.2422
515,98.5386
516,100
517,99.9478
518,98.8518
519,94.2067
520,90.6054
521,85.2818
522,79.9582
523,75.261
524,69.6242
525,64.9791
526,60.8559
527,55.7411
528,52.5052
529,49.071
530,45.3132
531,42.8914
532,40.381
533,38.4969
534,36.4823
535,34.6347
536,32.5783
537,31.1795
538,29.7547
539,28.2724
540,26.905
541,26.0543
542,24.7025
543,23.8466
544,23.1472
545,22.4061
546,21.8372
547,20.8873
548,20.5271
549,20.1514
550,19.6816
551,19.0762
552,18.4969
553,17.9489
554,17.3695
555,16.618
556,15.7203
557,15.3027
558,14.358
559,13.8048
560,13.2098
561,12.333
562,11.5971
563,11.0491
564,10.3184
565,9.69729
566,8.97182
567,8.63779
568,8.17328
569,7.43737
570,7.30167
571,6.59708
572,6.24217
573,5.82985
574,5.75157
575,5.20459
576,5.00835
577,4.80793
578,4.512
579,4.21399
580,4.05376
581,3.82516
582,3.56054
583,3.50574
584,3.3142
585,3.43528
586,3.2834
587,2.95251
588,2.9238
589,2.85334
590,2.82411
591,2.66336
592,2.58299
593,2.43058
594,2.43841
595,2.24321
596,2.16597
597,2.08873
598,1.87891
599,1.93424
600,1.80637
601,1.74322
602,1.55637
603,1.55793
604,1.42745
605,1.35073
606,1.27975
607,1.26618
608,1.06367
609,1.07985
610,1.0214
611,1.02818
612,0.912839
613,0.846033
614,0.810543
615,0.735386
616,0.786013
617,0.65501
618,0.716597
619,0.650313
620,0.621608
621,0.531837
622,0.519415
623,0.566284
624,0.534447
625,0.426774
626,0.407829
627,0.362161
628,0.322025
629,0.403392
630,0.339301
631,0.287787
632,0.370251
633,0.336587
634,0.280898
635,0.246868
636,0.307203
637,0.310021
638,0.274165
639,0.30929
640,0.241806
641,0.267067
642,0.168372
643,0.16999
644,0.192537
645,0.159081
646,0.20047
647,0.190136
648,0.255585
649,0.126096
650,0.266545
651,0.176879
652,0.164875
653,0.160282
654,0.135595
655,0.129854
656,0.128027
657,0.181263
658,0.156211
659,0.0928497
660,0.194415
661,0.108403
662,0.109029
663,0.110438
664,0.0106994
665,0.0847077
666,0.0995303
667,0.120511
668,0.0874739
669,0.13095
670,0.0446242
671,0.0885699
672,0.0899791
673,0.103393
674,0.0819937
675,0.0936326
676,0.0813152
677,0.0436848
678,0.0785491
679,0.0620564
680,0.027453
681,0.0348121
682,0.0634134
683,0.0601253
684,0.0946242
685,0.0951461
686,0.0930585
687,0.0135699
688,0.0787056
689,0.105532
690,0.0372651
691,0.0334029
692,0.0483299
693,0.0780793
694,0.126879
695,0.0391962
696,0.0200939
697,0.0518267
698,0.0193633
699,0.0253653
700,0.0621086
