Type,Fluorophore
Maker,"Amalgaam/ Medical&Biological Laboratories"
ProductName,"Kikume Red"
Comment,"CoralHue  Series"
Public,1
Excitation
330,43.9488
331,45.5193
332,46.6131
333,48.3041
334,50.2258
335,52.2328
336,54.4908
337,56.6482
338,59.2574
339,61.9669
340,64.8771
341,67.5364
342,70.0953
343,72.4034
344,73.8585
345,75.5644
346,76.0161
347,76.1164
348,76.5178
349,76.6683
350,77.0698
351,78.4747
352,80.5318
353,83.8936
354,87.6066
355,92.1726
356,96.2368
357,100.251
358,102.258
359,102.459
360,101.204
361,97.8424
362,92.1225
363,85.148
364,77.0698
365,68.7406
366,61.3146
367,53.9889
368,47.9779
369,42.5188
370,38.2188
371,34.4154
372,31.5504
373,29.3126
374,27.7421
375,26.2569
376,25.3488
377,24.6563
378,24.1595
379,23.703
380,23.3919
381,22.9905
382,22.6644
383,22.2428
384,21.9067
385,21.5253
386,20.7576
387,20.291
388,19.7039
389,19.0567
390,18.3743
391,17.8274
392,17.2103
393,16.6383
394,16.2268
395,15.705
396,15.424
397,15.1329
398,14.7165
399,14.6714
400,14.4907
401,14.2148
402,13.9789
403,13.8936
404,13.5624
405,13.2263
406,12.8449
407,12.4686
408,12.1877
409,11.8866
410,11.5805
411,11.139
412,10.8028
413,10.4817
414,10.1305
415,9.7441
416,9.55845
417,9.35274
418,9.21225
419,8.9714
420,8.83091
421,8.74059
422,8.69042
423,8.65027
424,8.57
425,8.59007
426,8.47466
427,8.55494
428,8.4847
429,8.61515
430,8.58003
431,8.64526
432,8.54992
433,8.61014
434,8.74059
435,8.80582
436,8.83593
437,9.02659
438,8.98144
439,9.14701
440,9.26743
441,9.53838
442,9.57351
443,9.69895
444,9.88961
445,10.1003
446,10.3312
447,10.4968
448,10.7275
449,10.9132
450,11.1139
451,11.2093
452,11.3196
453,11.4501
454,11.701
455,11.8264
456,12.0422
457,12.1324
458,12.298
459,12.3281
460,12.6041
461,12.6293
462,12.7396
463,12.9052
464,13.0406
465,13.0657
466,13.1761
467,13.3567
468,13.3868
469,13.4973
470,13.6478
471,13.6327
472,13.7933
473,13.9036
474,13.8735
475,13.9589
476,14.1043
477,14.1897
478,14.3402
479,14.4606
480,14.6864
481,14.8118
482,15.0477
483,15.2834
484,15.6598
485,16.0813
486,16.4175
487,17.0296
488,17.5464
489,18.2087
490,18.871
491,19.5184
492,20.4114
493,21.1289
494,21.8966
495,22.9453
496,23.6176
497,24.5509
498,25.4692
499,26.2569
500,27.0246
501,27.7371
502,28.1936
503,28.58
504,28.8159
505,28.9212
506,29.1068
507,28.861
508,28.861
509,28.7005
510,28.3242
511,28.1084
512,27.7471
513,27.4912
514,27.2855
515,27.0949
516,27.0999
517,27.2805
518,27.3909
519,27.7873
520,28.3692
521,28.9664
522,29.7542
523,30.7928
524,32.0822
525,33.4722
526,35.0326
527,36.8891
528,38.5248
529,40.572
530,42.8399
531,45.1982
532,47.2855
533,49.6036
534,51.6808
535,53.6879
536,55.3938
537,57.2002
538,58.1033
539,58.9563
540,59.408
541,59.5083
542,59.0567
543,58.1033
544,57.2002
545,55.6448
546,53.9889
547,52.1325
548,50.4766
549,48.7657
550,47.0397
551,45.6046
552,44.2799
553,42.9403
554,42.1425
555,41.5705
556,41.1289
557,41.0638
558,41.0336
559,41.6156
560,42.2479
561,43.1561
562,43.8937
563,45.5695
564,47.0397
565,48.9614
