Type,Recommend
"Oregon Green 488","49011 ET-FITC/Alexa Fluor 488/Fluo3/Oregon Green"
"Oregon Green 488","49002 ET-GFP(FITC/Cy2)"
"Oregon Green 488","U-FBN"
"Oregon Green 488","U-FBWA"
"Oregon Green 488","U-FBNA"
"Oregon Green 488","U-MWB2"
"Oregon Green 488","U-MNB2"
"Oregon Green 488","U-MWIB3"
"Oregon Green 488","U-MNIB3"
"Oregon Green 488","U-MWIBA3"
"Oregon Green 488","U-MNIBA3"
"Oregon Green 488","XF404"
"Oregon Green 488","XF409"
"Oregon Green 488","XF411"
"Oregon Green 488","XF202"
"Oregon Green 488","FITC-3540C"
