Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"Qdot 655"
Comment,"Qdot 655 streptavidin/pH 7.2"
Public,1
Excitation
300,100
301,98.4361225
302,96.90017139
303,95.52712418
304,94.10753301
305,92.76706658
306,91.44521774
307,90.18853047
308,88.93649759
309,87.76358947
310,86.57206376
311,85.51086117
312,84.52878334
313,83.47223515
314,82.48550292
315,81.55462346
316,80.58650882
317,79.73009971
318,78.8876538
319,78.00797271
320,77.21207077
321,76.41151443
322,75.65750207
323,74.9034897
324,74.20067571
325,73.41873696
326,72.77177573
327,71.33822136
328,71.07757511
329,70.65402496
330,70.09084288
331,69.39733768
332,68.78761164
333,68.21046637
334,67.61470351
335,66.95843349
336,66.41386901
337,65.82741495
338,65.30612245
339,64.66381562
340,64.11459674
341,63.58399544
342,63.08132053
343,62.56933683
344,62.08993391
345,61.5779502
346,61.05200331
347,60.5539828
348,60.07457987
349,59.63241213
350,59.10181083
351,58.59913592
352,58.08715222
353,57.6124037
354,57.12834637
355,56.64428905
356,56.29520926
357,55.75529917
358,55.28985944
359,54.81976531
360,54.41483274
361,53.99128259
362,53.51653406
363,53.0976383
364,52.64150737
365,52.20399402
366,51.77113507
367,51.40343768
368,51.01246831
369,50.59822695
370,50.20725757
371,49.84886898
372,49.41135563
373,49.10416541
374,48.70854164
375,48.34084425
376,47.98711006
377,47.58683189
378,47.2237889
379,46.76765796
380,46.48839412
381,45.94848404
382,45.75765375
383,45.315486
384,44.93847982
385,44.64059839
386,44.2822098
387,43.90939257
388,43.5840502
389,43.21169842
390,42.93243458
391,42.60197237
392,42.2063486
393,41.87588639
394,41.49376037
395,41.13583722
396,40.86588217
397,40.44233202
398,40.13514179
399,39.74370698
400,39.47840633
401,39.12048318
402,38.79420993
403,38.45490437
404,38.10582457
405,37.84983272
406,37.49563308
407,37.24010667
408,36.90964446
409,36.658307
410,36.35577118
411,36.08116174
412,35.82051549
413,35.54544061
414,35.23406143
415,34.97806958
416,34.68484254
417,34.42885069
418,34.14027806
419,33.82843344
420,33.53008657
421,33.26059697
422,32.98086769
423,32.66948851
424,32.3390263
425,32.06395142
426,31.75722664
427,31.4733084
428,31.14703515
429,30.83565597
430,30.52846575
431,30.1975381
432,29.92804849
433,29.51846153
434,29.26246968
435,28.91338988
436,28.61550845
437,28.30831823
438,27.99647361
439,27.67997459
440,27.38209316
441,27.11213812
442,26.84218308
443,26.56757364
444,26.24642022
445,26.06955312
446,25.78563489
447,25.50171665
448,25.2503792
449,24.99904174
450,24.74304989
451,24.52114465
452,24.27222566
453,24.02695717
454,23.78419841
455,23.53687652
456,23.29023909
457,23.03561618
458,22.78051414
459,22.51975381
460,22.25166965
461,21.98267287
462,21.70546244
463,21.42368887
464,21.13096379
465,20.83253478
466,20.52840186
467,20.22472525
468,19.91237869
469,19.59957581
470,19.29019528
471,18.98880024
472,18.6821576
473,18.39171408
474,18.10195503
475,17.81995331
476,17.5468497
477,17.28355684
478,17.02824945
479,16.77682074
480,16.54067852
481,16.30818681
482,16.08162718
483,15.85757727
484,15.64561966
485,15.43617179
486,15.23425308
487,15.03301884
488,14.84478954
489,14.66180784
490,14.48384559
491,14.3129562
492,14.15415911
493,14.00197858
494,13.8552738
495,13.71997686
496,13.59175277
497,13.47379574
498,13.36017369
499,13.25932842
500,13.16738125
501,13.08113801
502,13.00082684
503,12.93260798
504,12.86986488
505,12.80666546
506,12.74871365
507,12.69578129
508,12.64627128
509,12.59605398
510,12.54451338
511,12.49728493
512,12.44458073
513,12.38982311
514,12.33415287
515,12.27277871
516,12.20843851
517,12.13930702
518,12.06857844
519,11.98963621
520,11.90384928
521,11.81441184
522,11.72314915
523,11.62504175
524,11.51961053
525,11.41285599
526,11.29877763
527,11.1808206
528,11.05807228
529,10.9350958
530,10.80664356
531,10.67590975
532,10.53833124
533,10.40440324
534,10.26363054
535,10.12034811
536,9.975924902
537,9.832186161
538,9.687306637
539,9.544252367
540,9.401198097
541,9.261566177
542,9.126269236
543,8.990287824
544,8.864801622
545,8.73863095
546,8.618164196
547,8.504085831
548,8.394342443
549,8.288934034
550,8.183525624
551,8.084733759
552,7.990505029
553,7.898101553
554,7.807751488
555,7.717857736
556,7.630017395
557,7.545371248
558,7.45935616
559,7.37562264
560,7.293714373
561,7.214315831
562,7.141990147
563,7.071261561
564,7.007149519
565,6.946916142
566,6.890105116
567,6.838769852
568,6.794507446
569,6.757546056
570,6.724007016
571,6.697768992
572,6.675637789
573,6.660807602
574,6.646661885
575,6.638220085
576,6.633885108
577,6.627040406
578,6.622705428
579,6.616088883
580,6.60582183
581,6.593729523
582,6.575020671
583,6.556539976
584,6.529389325
585,6.494937658
586,6.461854932
587,6.420102251
588,6.378121412
589,6.33568426
590,6.294159735
591,6.253091524
592,6.215217506
593,6.18213478
594,6.154071502
595,6.13262477
596,6.116653799
597,6.104789649
598,6.098629417
599,6.098173103
600,6.098173103
601,6.103877022
602,6.114372231
603,6.123042187
604,6.129886889
605,6.135134494
606,6.132168456
607,6.127833478
608,6.114600388
609,6.092925499
610,6.057104892
611,6.007138568
612,5.947589661
613,5.873210567
614,5.782404188
615,5.674714211
616,5.559038748
617,5.423057337
618,5.286391455
619,5.133298288
620,4.978836182
621,4.81775753
622,4.659644915
623,4.506779905
624,4.35847803
625,4.217020857
626,4.082864699
627,3.965363983
628,3.856989536
629,3.765955
630,3.68290595
631,3.618565752
632,3.562667353
633,3.523880709
634,3.49444849
635,3.479390146
636,3.470492034
637,3.470263877
638,3.478933833
639,3.488288259
640,3.499011625
641,3.510191305
642,3.520458358
643,3.525934119
644,3.517720477
645,3.498783468
646,3.466157056
647,3.413681008
648,3.346146615
649,3.249180005
650,3.142174498
651,3.009159124
652,2.867701951
653,2.706166985
654,2.538471788
655,2.362106635
656,2.17889678
657,2.002531627
658,1.826850944
659,1.657786807
660,1.489635296
661,1.341333421
662,1.19554127
663,1.067317187
664,0.941374672
665,0.831631284
666,0.731242323
667,0.642261197
668,0.562862655
669,0.492362225
670,0.427565714
671,0.373492568
672,0.324210715
673,0.281773563
674,0.246865583
675,0.214923641
676,0.187088519
677,0.161534965
678,0.141229016
679,0.123889105
680,0.109743388
681,0.097651081
682,0.085558774
683,0.073466467
684,0.063427571
685,0.056354713
686,0.04882554
687,0.041980838
688,0.039471114
689,0.034451666
690,0.030801159
691,0.026238024
692,0.024184613
693,0.021674889
694,0.020305949
695,0.019849636
696,0.018708852
697,0.016427285
698,0.014373874
699,0.013461247
700,0.012092307
Emission
550,0.00753237
551,0.01881987
552,0.012955485
553,0.01629184
554,0.015749528
555,0.018828138
556,0.015597727
557,0.009413781
558,0.015775197
559,0.020149451
560,0.012047947
561,0.027819683
562,0.022992236
563,0.015662331
564,0.022629798
565,0.014328328
566,0.017388383
567,0.022296682
568,0.025864824
569,0.031477329
570,0.022611532
571,0.029714168
572,0.042354322
573,0.043986736
574,0.045799696
575,0.030471731
576,0.04167463
577,0.043020555
578,0.044233809
579,0.058519837
580,0.050250092
581,0.075557319
582,0.075227567
583,0.104038043
584,0.097878515
585,0.106082887
586,0.119685377
587,0.135504797
588,0.160341911
589,0.175709485
590,0.20033029
591,0.206867638
592,0.237659506
593,0.2614468
594,0.29544966
595,0.335545713
596,0.391775555
597,0.447342049
598,0.491054793
599,0.583416941
600,0.657026514
601,0.758666889
602,0.841334534
603,0.937633511
604,1.086498531
605,1.2209487
606,1.400367168
607,1.513520965
608,1.767908391
609,1.942778596
610,2.187911829
611,2.414309793
612,2.653644014
613,2.926234107
614,3.272735645
615,3.515946129
616,3.802374249
617,4.125174057
618,4.581089645
619,4.942951066
620,5.349396237
621,5.838117775
622,6.287828651
623,6.862083691
624,7.426786513
625,8.126417307
626,8.925953193
627,9.830378901
628,10.81219238
629,11.89386578
630,13.14427484
631,14.70075676
632,16.20762693
633,18.21668654
634,20.31653645
635,23.00909114
636,25.82703601
637,29.00352555
638,32.28217654
639,36.12926721
640,40.7001509
641,45.38538722
642,50.58312949
643,55.77201077
644,61.69325573
645,66.61404518
646,72.19118627
647,77.48896823
648,83.19833582
649,87.36804844
650,91.82962576
651,94.97618771
652,97.46818715
653,99.18747979
654,100
655,99.93511586
656,99.53543781
657,98.02094297
658,95.99912496
659,93.76525557
660,90.75799393
661,87.42246802
662,84.01786349
663,80.12863962
664,75.7187833
665,72.00030245
666,67.60490232
667,63.90186403
668,59.74274479
669,56.44174858
670,52.11351585
671,49.04183537
672,45.66543277
673,42.34278544
674,39.18351508
675,36.83466721
676,33.70695397
677,31.61755036
678,28.64293122
679,26.71763042
680,24.37245404
681,22.45221776
682,20.62523001
683,18.83150582
684,17.3865203
685,16.01665947
686,14.54274233
687,13.31766068
688,12.25709043
689,11.25102146
690,10.17926561
691,9.509124022
692,8.808820266
693,7.855955697
694,7.009859474
695,6.680121425
696,5.964013632
697,5.500811785
698,4.967388249
699,4.530071415
700,4.150474554
701,3.787892101
702,3.551609283
703,3.259270632
704,2.929299931
705,2.713195406
706,2.484157507
707,2.209322604
708,1.985446326
709,1.812999747
710,1.593215079
711,1.527375336
712,1.419514867
713,1.302358867
714,1.139281845
715,1.07153858
716,0.994817037
717,0.89183939
718,0.843163069
719,0.724346775
720,0.791869885
721,0.697073537
722,0.573830113
723,0.569141489
724,0.522902252
725,0.45870742
726,0.437820594
727,0.374725576
728,0.42254339
729,0.359903101
730,0.3060517
731,0.321107788
732,0.299249974
733,0.224631918
734,0.230641471
735,0.208430833
736,0.221120978
737,0.264260743
738,0.175287441
739,0.185793344
740,0.182004566
741,0.079813324
742,0.155688858
743,0.07141091
744,0.158787368
745,0.101608649
746,0.077427192
747,0.085729624
748,0.092871676
749,0.09626629
750,0.116685888
751,0.115851415
752,0.105120551
753,-0.035573746
754,0.079588362
755,0.079312448
756,0.052268979
757,0.102440238
758,0.172112982
759,0.114286297
760,0.043009979
761,0.082758976
762,0.119970905
763,0.131054593
764,0.044300144
765,0.064992772
766,-0.028150011
767,0.033997092
768,0.016642357
769,0.050992273
770,0.057879561
771,0.110617691
772,-0.08563637
773,0.018051732
774,0.072994294
775,-0.078510661
776,0.080973703
777,0.054184998
778,0.09404936
779,0.035868888
780,0.047152543
781,-0.007873658
782,0.159132502
783,0.100995292
784,0.021039684
785,0.017285516
786,0.04505963
787,0.127605181
788,0.177139049
789,0.082234066
790,0.126427497
791,0.005720179
792,0.06946701
793,0.035042106
794,-0.029494975
795,0.031571544
796,-0.027658749
797,0.057384453
798,0.11151946
799,0.053904277
800,0.014382165
