Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"RH795"
Comment,"RH 795/lipid"
Public,1
Excitation
400,17.75855502
401,17.75950182
402,18.26605607
403,18.89998625
404,19.69766009
405,20.47298472
406,21.11928281
407,21.92215897
408,22.68459286
409,23.34040302
410,24.19022578
411,25.01931131
412,25.73261444
413,26.4303735
414,27.24932591
415,27.95817003
416,28.79092952
417,29.5968777
418,30.7697534
419,31.65356268
420,32.69278937
421,33.77990805
422,34.55713263
423,35.37137613
424,36.37222835
425,37.28565558
426,38.53251612
427,39.54085775
428,40.47856217
429,41.74038448
430,42.71209281
431,43.82973556
432,44.73620214
433,45.48349965
434,46.59633072
435,48.00941157
436,49.28033324
437,50.01540503
438,51.03340945
439,52.09845076
440,53.48337491
441,54.28330552
442,55.34931089
443,56.74608276
444,57.71721533
445,58.82598339
446,60.09363006
447,61.08981085
448,61.86544065
449,62.95712773
450,64.52342355
451,65.57736709
452,66.99311133
453,67.99080724
454,69.81673038
455,71.14823805
456,72.03825984
457,73.10797735
458,74.78867338
459,76.52336496
460,77.47419352
461,78.83291694
462,79.92305153
463,81.39997052
464,82.77262817
465,83.62851592
466,85.03559458
467,86.26514693
468,87.64057589
469,88.78995629
470,90.36553906
471,90.73617353
472,91.46830218
473,92.43881364
474,93.50139486
475,94.33078884
476,94.5191369
477,95.63107204
478,95.47480285
479,96.38791744
480,96.71369163
481,97.03516827
482,97.58034174
483,98.47310667
484,99.24117495
485,99.53502986
486,100
487,99.71512985
488,99.30452662
489,99.01416184
490,99.20758437
491,99.09835909
492,99.1977181
493,99.65159044
494,98.99589747
495,98.65558182
496,97.42830336
497,97.03773774
498,96.08373517
499,95.10093847
500,94.39257683
501,93.23513186
502,92.16253487
503,91.05890204
504,90.21166592
505,88.55807513
506,87.79682084
507,85.8845887
508,84.92057159
509,83.54673726
510,82.07350793
511,80.73420656
512,79.41226543
513,77.66287698
514,76.20050046
515,74.61343846
516,73.07397066
517,71.39431836
518,70.02370485
519,68.54356795
520,66.78204906
521,65.36852098
522,64.1985357
523,62.53744161
524,61.13881278
525,59.58876069
526,57.8638915
527,56.31666094
528,54.80459168
529,53.60664532
530,52.00308321
531,50.61565846
532,49.42952144
533,47.96408472
534,46.67454616
535,45.40687017
536,44.05757532
537,42.56038389
538,41.01661146
539,40.10519686
540,38.47068427
541,37.32515306
542,35.91304082
543,34.53058609
544,33.41659572
545,32.45219109
546,31.23281318
547,30.29310414
548,29.1087391
549,28.47713942
550,27.37063818
551,26.33587901
552,25.56516147
553,24.63820463
554,23.69291854
555,22.82826769
556,22.147772
557,21.21877124
558,20.23948795
559,19.61647255
560,18.70549959
561,17.92890004
562,17.43010243
563,16.69188632
564,16.08064417
565,15.57314614
566,14.75533166
567,14.23369509
568,13.71636747
569,13.28603799
570,12.69973085
571,12.33756229
572,11.78200753
573,11.28487832
574,10.81694601
575,10.48234178
576,10.00836481
577,9.582006474
578,9.219411624
579,8.782405992
580,8.43365153
581,8.021811834
582,7.715256965
583,7.443616234
584,7.018795226
585,6.687814743
586,6.519826202
587,6.117607472
588,5.855966499
589,5.595821053
590,5.171284657
591,5.027635386
592,4.900987462
593,4.538691386
594,4.335031405
595,4.19702663
596,4.005566593
597,3.884635695
598,3.74239426
599,3.619143745
600,3.493721106
Emission
510,0.612533406
511,0.608384704
512,0.60268035
513,0.611841263
514,0.602043322
515,0.595246827
516,0.619307572
517,0.617736764
518,0.646212919
519,0.671579253
520,0.69621175
521,0.740118149
522,0.768062987
523,0.817355193
524,0.859785641
525,0.922921092
526,0.988566317
527,1.060502283
528,1.160886732
529,1.242617428
530,1.380608582
531,1.458483447
532,1.60310789
533,1.730653907
534,1.910764084
535,2.038276931
536,2.184849419
537,2.388526819
538,2.567242725
539,2.832650891
540,2.995848339
541,3.235473652
542,3.48440095
543,3.788563979
544,4.063171715
545,4.326965966
546,4.594518913
547,4.852631594
548,5.183194377
549,5.594563062
550,5.98331411
551,6.354501814
552,6.732765634
553,7.191444274
554,7.615939942
555,7.993601271
556,8.485134418
557,8.959500575
558,9.398194721
559,10.01317427
560,10.39253237
561,10.99731415
562,11.65141126
563,12.16996214
564,12.86281967
565,13.54367549
566,14.19311084
567,14.78722399
568,15.43821146
569,16.08072183
570,16.75537912
571,17.36941362
572,18.14452756
573,18.85854021
574,19.58547585
575,20.25492719
