Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"Resorufin"
Comment,"Resorufin/pH 9.0"
Public,1
Excitation
300,6.421093
301,5.941718
302,5.487574
303,4.945124
304,4.579286
305,4.251293
306,3.935915
307,3.721458
308,3.544847
309,3.368235
310,3.267314
311,3.179008
312,3.103318
313,3.052857
314,3.002397
315,2.977167
316,2.977167
317,2.939321
318,2.901476
319,2.876246
320,2.863631
321,2.851016
322,2.851016
323,2.81317
324,2.81317
325,2.851016
326,2.876246
327,2.838401
328,2.800555
329,2.76271
330,2.737479
331,2.674404
332,2.623944
333,2.510407
334,2.422102
335,2.333796
336,2.207645
337,2.1698
338,2.094109
339,1.980573
340,1.955342
341,1.955342
342,1.892267
343,1.904882
344,1.904882
345,1.879652
346,1.879652
347,1.879652
348,1.867037
349,1.854422
350,1.829191
351,1.766116
352,1.715655
353,1.67781
354,1.62735
355,1.589504
356,1.488583
357,1.400277
358,1.324587
359,1.261511
360,1.173205
361,1.0849
362,1.021824
363,0.9335184
364,0.895673
365,0.8704428
366,0.8452125
367,0.8199823
368,0.8073672
369,0.7695219
370,0.7442917
371,0.7695219
372,0.7442917
373,0.7316765
374,0.7442917
375,0.7695219
376,0.8073672
377,0.8199823
378,0.8578277
379,0.883058
380,0.895673
381,0.9209033
382,0.9461334
383,0.9839788
384,1.047054
385,1.11013
386,1.16059
387,1.185821
388,1.223666
389,1.261511
390,1.286742
391,1.324587
392,1.375047
393,1.425508
394,1.450738
395,1.475968
396,1.501198
397,1.539044
398,1.602119
399,1.65258
400,1.70304
401,1.753501
402,1.816576
403,1.867037
404,1.892267
405,1.942727
406,1.980573
407,2.018418
408,2.043648
409,2.068878
410,2.094109
411,2.131954
412,2.1698
413,2.19503
414,2.22026
415,2.24549
416,2.283335
417,2.295951
418,2.321181
419,2.371641
420,2.409487
421,2.422102
422,2.447332
423,2.472562
424,2.510407
425,2.535638
426,2.560868
427,2.586098
428,2.598713
429,2.636559
430,2.661789
431,2.687019
432,2.687019
433,2.699634
434,2.712249
435,2.737479
436,2.76271
437,2.76271
438,2.78794
439,2.81317
440,2.838401
441,2.876246
442,2.888861
443,2.914091
444,2.964551
445,3.002397
446,3.040242
447,3.115933
448,3.166393
449,3.216854
450,3.30516
451,3.368235
452,3.456541
453,3.570077
454,3.645767
455,3.734073
456,3.860224
457,3.961145
458,4.062067
459,4.213448
460,4.326983
461,4.453135
462,4.654976
463,4.793743
464,4.945124
465,5.172196
466,5.348808
467,5.525419
468,5.815567
469,6.030024
470,6.231866
471,6.547244
472,6.799546
473,7.051848
474,7.430301
475,7.720449
476,8.023212
477,8.464741
478,8.805348
479,9.171187
480,9.675792
481,10.05424
482,10.45793
483,11.02561
484,11.46714
485,11.89605
486,12.50158
487,12.95572
488,13.42248
489,14.07847
490,14.55784
491,15.03721
492,15.73105
493,16.24827
494,16.7781
495,17.53501
496,18.09007
497,18.64514
498,19.45251
499,20.04541
500,20.66356
501,21.59707
502,22.30352
503,23.0352
504,24.09487
505,24.90223
506,25.74745
507,26.9585
508,27.85417
509,28.77507
510,30.08704
511,31.09625
512,32.11808
513,33.5562
514,34.61587
515,35.67554
516,37.18935
517,38.3121
518,39.46007
519,41.10004
520,42.31109
521,43.52214
522,45.16211
523,46.37315
524,47.55898
525,49.13586
526,50.24599
527,51.30566
528,52.64286
529,53.53854
530,54.34591
531,55.31727
532,55.93541
533,56.49048
534,57.13385
535,57.53753
536,57.89075
537,58.38274
538,58.72335
539,59.08919
540,59.6821
541,60.18671
542,60.77961
543,61.76359
544,62.62142
545,63.59279
546,65.14444
547,66.43118
548,67.80624
549,69.83727
550,71.36369
551,72.91535
552,74.99685
553,76.47281
554,77.86048
555,79.67706
556,80.90072
557,82.01085
558,83.43636
559,84.45818
560,85.49261
561,86.99382
562,88.16702
563,89.40331
564,91.24511
565,92.68324
566,94.14658
567,96.11455
568,97.45174
569,98.5871
570,99.672
571,100
572,99.83601
573,98.61234
574,96.89668
575,94.43674
576,89.85745
577,85.73231
578,81.01425
579,73.82364
580,68.23515
581,62.47004
582,54.52252
583,48.85833
584,43.42122
585,36.50814
586,31.99193
587,27.90463
588,23.02258
589,19.96972
590,17.2827
591,14.16677
592,12.31235
593,10.73546
594,8.918884
595,7.808755
596,6.862621
597,5.777722
598,5.109121
599,4.51621
600,3.834994
601,3.40608
602,3.027627
603,2.573483
604,2.308566
605,2.043648
