Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"Sulforhodamine 101"
Comment,"Sulforhodamine 101/EtOH"
Public,1
Excitation
250,14.49792
251,14.15279
252,13.86122
253,13.62753
254,13.56113
255,13.6102
256,13.94061
257,14.45751
258,15.12582
259,15.94858
260,16.89533
261,17.82347
262,18.84253
263,20.03337
264,21.26333
265,22.6014
266,24.07948
267,25.37843
268,26.36012
269,26.75548
270,26.38307
271,25.28187
272,23.66796
273,21.6877
274,19.74916
275,17.94341
276,16.44209
277,15.08684
278,14.10675
279,13.18006
280,12.53773
281,11.97897
282,11.50841
283,11.1259
284,10.90664
285,10.62069
286,10.60482
287,10.54145
288,10.55011
289,10.59197
290,10.75782
291,10.85756
292,11.0364
293,11.34112
294,11.63125
295,11.91257
296,12.34286
297,12.66764
298,12.97653
299,13.19449
300,13.26811
301,13.29106
302,13.28399
303,13.16115
304,13.00252
305,12.9071
306,12.75266
307,12.68915
308,12.76579
309,12.78889
310,13.06011
311,13.39225
312,13.64759
313,13.93642
314,14.13273
315,14.08784
316,13.89601
317,13.45864
318,12.82771
319,11.97753
320,11.18797
321,10.14306
322,9.230805
323,8.484402
324,7.641432
325,6.746499
326,6.108498
327,5.460393
328,4.857035
329,4.262337
330,3.79625
331,3.449824
332,3.155217
333,2.920081
334,2.720886
335,2.547673
336,2.346891
337,2.211352
338,2.098619
339,1.970297
340,1.935654
341,1.955863
342,1.922519
343,1.993392
344,2.065564
345,2.175121
346,2.27775
347,2.476945
348,2.563407
349,2.722185
350,2.859457
351,2.977819
352,3.088964
353,3.198521
354,3.195778
355,3.306923
356,3.344308
357,3.402046
358,3.446793
359,3.604272
360,3.702426
361,3.94911
362,4.226251
363,4.548138
364,4.890234
365,5.305944
366,5.682827
367,6.049461
368,6.335118
369,6.548892
370,6.609516
371,6.634055
372,6.424612
373,6.120045
374,5.712995
375,5.287324
376,4.692626
377,4.210517
378,3.617119
379,3.184086
380,2.715112
381,2.385864
382,2.042469
383,1.815704
384,1.570319
385,1.462206
386,1.365495
387,1.281631
388,1.239771
389,1.179291
390,1.189395
391,1.195025
392,1.195025
393,1.209459
394,1.261567
395,1.239771
396,1.280332
397,1.283219
398,1.294622
399,1.326378
400,1.35669
401,1.335183
402,1.414572
403,1.410242
404,1.466536
405,1.47664
406,1.548812
407,1.531491
408,1.597889
409,1.632387
410,1.674247
411,1.71322
412,1.779763
413,1.8056
414,1.873586
415,1.906641
416,1.949944
417,1.965967
418,2.020817
419,2.033664
420,2.085628
421,2.081297
422,2.110166
423,2.149284
424,2.087216
425,2.11594
426,2.067008
427,2.040881
428,2.019229
429,2.010713
430,1.951388
431,1.909528
432,1.880804
433,1.846161
434,1.817292
435,1.799971
436,1.729098
437,1.704704
438,1.681464
439,1.635419
440,1.625314
441,1.626614
442,1.604962
443,1.596446
444,1.604962
445,1.61088
446,1.590672
447,1.631088
448,1.600776
449,1.576238
450,1.570319
451,1.538708
452,1.534378
453,1.527016
454,1.509695
455,1.498147
456,1.477939
457,1.424676
458,1.405767
459,1.408654
460,1.418758
461,1.376898
462,1.382816
463,1.339369
464,1.319161
465,1.325079
466,1.329265
467,1.30054
468,1.332152
469,1.336482
470,1.323635
471,1.358278
472,1.390034
473,1.433193
474,1.496848
475,1.558916
476,1.6295
477,1.680165
478,1.788279
479,1.821622
480,1.936953
481,1.98603
482,2.130374
483,2.216981
484,2.37446
485,2.498452
486,2.687543
487,2.831887
488,3.019534
489,3.199964
490,3.348639
491,3.533543
492,3.73115
493,3.914467
494,4.103558
495,4.270997
496,4.43988
497,4.620454
498,4.789193
499,4.940898
500,5.137207
501,5.259755
502,5.425895
503,5.623502
504,5.828615
505,5.990136
506,6.247212
507,6.455068
508,6.706082
509,6.973263
510,7.30511
511,7.656011
512,8.064505
513,8.475885
514,8.996967
515,9.523824
516,10.18348
517,10.7955
518,11.5546
519,12.36293
520,13.20604
521,14.09506
522,15.06808
523,16.02364
524,17.08587
525,18.07332
526,19.12545
527,20.09833
528,21.11754
529,22.06862
530,22.9318
531,23.75327
532,24.4503
533,25.08845
534,25.63537
535,26.0671
536,26.3962
537,26.61994
538,26.79012
539,26.806
540,26.84512
541,26.78868
542,26.79156
543,26.71809
544,26.71217
545,26.74249
546,26.88539
547,27.06163
548,27.44111
549,27.89724
550,28.51792
551,29.26995
552,30.29046
553,31.41779
554,32.83973
555,34.45912
556,36.30095
557,38.35353
558,40.6587
559,43.19627
560,45.97359
561,48.93972
562,52.04182
563,55.457
564,58.9803
565,62.7305
566,66.59012
567,70.43414
568,74.36031
569,78.23595
570,82.05817
571,85.61048
572,89.0502
573,92.08849
574,94.75021
575,96.91103
576,98.59135
577,99.64217
578,100
579,99.67955
580,98.61588
581,96.82876
582,94.3866
583,91.18346
584,87.52722
585,83.20282
586,78.57948
587,73.5374
588,68.32095
589,63.0062
590,57.70141
591,52.45594
592,47.34039
593,42.51497
594,37.84125
595,33.50515
596,29.46626
597,25.82734
598,22.51912
599,19.54838
600,16.89533
601,14.54844
602,12.49731
603,10.62373
604,9.097863
605,7.749835
606,6.602299
607,5.542813
608,4.717165
609,3.957771
610,3.368847
611,2.846321
612,2.433641
613,2.030777
614,1.727799
615,1.470722
616,1.267197
617,1.076663
618,0.9209154
619,0.8054401
620,0.7015123
621,0.6046574
622,0.5324854
623,0.4632002
624,0.4184535
625,0.3464258
626,0.3289602
627,0.2872447
628,0.2813267
629,0.2510144
630,0.2410546
631,0.2048243
632,0.2336931
633,0.2004939
634,0.1948645
635,0.1961636
636,0.1846161
637,0.1530048
638,0.1732129
639,0.1573351
640,0.1470866
641,0.1398694
642,0.1573351
643,0.1297653
644,0.1427563
645,0.1398694
646,0.1530048
647,0.1270228
648,0.1486744
649,0.1211047
650,0.1082581
Emission
555,1.575704
556,1.512302
557,1.592721
558,1.830829
559,2.192333
560,2.685631
561,3.280837
562,3.933431
563,4.789253
564,5.718114
565,6.780334
566,7.962431
567,9.386566
568,11.12087
569,12.98869
570,15.21054
571,17.98727
572,20.97215
573,24.10604
574,27.70792
575,31.58082
576,35.65996
577,40.11245
578,44.80827
579,49.58591
580,54.55572
581,59.86554
582,65.12278
583,70.35107
584,75.61318
585,80.13596
586,84.4371
587,88.43426
588,91.66927
589,94.62585
590,97.00928
591,98.63295
592,99.61699
593,100
594,99.6264
595,99.02938
596,97.95466
597,95.83374
598,93.89061
599,91.36475
600,88.44088
601,85.37282
602,81.98804
603,78.9256
604,75.47802
605,72.21095
606,68.5983
607,65.487
608,62.19724
609,58.99932
610,55.92612
611,53.13654
612,50.40533
613,47.6411
614,45.2453
615,42.94631
616,40.81356
617,38.62717
618,37.01455
619,35.05887
620,33.27688
621,31.8224
622,30.39855
623,29.09273
624,27.84302
625,26.63885
626,25.89552
627,24.80394
628,23.85417
629,23.34642
630,22.72543
631,22.11796
632,21.53315
633,21.18808
634,20.9651
635,20.70491
636,20.44959
637,20.35548
638,20.14826
639,19.84807
640,19.92968
641,19.66434
642,19.35944
643,19.15404
644,18.88841
645,18.79953
646,18.47188
647,18.40006
648,18.1259
649,17.95738
650,17.47469
651,17.0561
652,16.66029
653,16.34716
654,16.13758
655,15.66577
656,15.21614
657,14.72937
658,14.3128
659,13.77167
660,13.30988
661,12.75216
662,12.32841
663,11.89146
664,11.38021
665,10.94141
666,10.56589
667,10.03764
668,9.594525
669,9.206498
670,8.914495
671,8.521086
672,8.123789
673,7.733374
674,7.521833
675,7.073791
676,6.693338
677,6.455903
678,6.051488
679,5.62489
680,5.43462
681,5.224143
682,4.991222
683,4.742478
684,4.516286
685,4.302032
686,4.23086
687,3.991645
688,3.926269
689,3.74505
690,3.68612
691,3.561596
692,3.480136
693,3.374756
694,3.312418
695,3.235711
696,3.133783
697,3.0948
698,2.980238
699,2.89613
700,2.892657
701,2.789253
702,2.641699
703,2.629588
704,2.563495
705,2.463433
706,2.480255
707,2.413098
708,2.391241
709,2.327123
710,2.302357
711,2.289442
712,2.150918
713,2.131123
714,2.152546
715,2.061557
716,1.972153
717,2.019709
718,1.954463
719,1.944695
720,1.896423
721,1.832587
722,1.790283
723,1.806888
724,1.747024
725,1.66895
726,1.654603
727,1.584581
728,1.542212
729,1.500538
730,1.467632
731,1.468804
732,1.461772
733,1.420684
734,1.318299
735,1.301781
736,1.31474
737,1.297267
738,1.191344
739,1.214309
740,1.11123
741,1.115875
742,1.079193
743,1.049434
744,1.0803
745,1.05141
746,0.9774377
747,1.011124
748,0.9183121
749,0.8650471
750,0.9059401
