Type,Fluorophore
Maker,"Invitrogen(Life Technologies)"
ProductName,"TO PRO 3"
Comment,"TO-PRO-3/DNA"
Public,1
Excitation
450,0.8947939
451,0.8676789
452,0.9219089
453,0.8676789
454,0.8947939
455,0.8676789
456,0.8676789
457,0.840564
458,0.8676789
459,0.8676789
460,0.8947939
461,0.8947939
462,0.840564
463,0.840564
464,0.840564
465,0.840564
466,0.8676789
467,0.840564
468,0.8676789
469,0.840564
470,0.813449
471,0.8676789
472,0.813449
473,0.813449
474,0.813449
475,0.813449
476,0.840564
477,0.840564
478,0.840564
479,0.8676789
480,0.9219089
481,0.8947939
482,0.8947939
483,0.8947939
484,0.8947939
485,0.8947939
486,0.8947939
487,0.9490239
488,0.8947939
489,0.9761388
490,1.003254
491,1.003254
492,1.003254
493,1.057484
494,1.057484
495,1.084599
496,1.138829
497,1.138829
498,1.138829
499,1.193059
500,1.247289
501,1.247289
502,1.301519
503,1.328633
504,1.382863
505,1.382863
506,1.437093
507,1.464208
508,1.491323
509,1.545553
510,1.599783
511,1.654013
512,1.735358
513,1.762473
514,1.816703
515,1.898048
516,1.925163
517,2.006508
518,2.087852
519,2.142082
520,2.196312
521,2.277657
522,2.359002
523,2.440347
524,2.494577
525,2.548807
526,2.657267
527,2.738612
528,2.847072
529,2.928416
530,3.009761
531,3.145336
532,3.280911
533,3.443601
534,3.524946
535,3.687636
536,3.850325
537,3.9859
538,4.14859
539,4.338395
540,4.5282
541,4.718004
542,4.907809
543,5.124729
544,5.314534
545,5.531454
546,5.721258
547,5.938178
548,6.182213
549,6.399133
550,6.643167
551,6.914317
552,7.185466
553,7.456616
554,7.700651
555,7.998916
556,8.270065
557,8.541215
558,8.839479
559,9.110629
560,9.408894
561,9.734274
562,10.08677
563,10.43926
564,10.76464
565,11.17137
566,11.60521
567,12.01193
568,12.5
569,13.01518
570,13.53037
571,14.07267
572,14.6692
573,15.26573
574,15.9436
575,16.64859
576,17.38069
577,18.13991
578,18.89913
579,19.71258
580,20.55315
581,21.36659
582,22.20716
583,23.15618
584,24.10521
585,25
586,25.97614
587,26.87093
588,27.81996
589,28.71475
590,29.63666
591,30.42299
592,31.20933
593,31.91432
594,32.64642
595,33.35141
596,33.94794
597,34.57158
598,35.141
599,35.71041
600,36.25271
601,36.76789
602,37.25597
603,37.71692
604,38.20499
605,38.72017
606,39.23536
607,39.83189
608,40.37419
609,41.05206
610,41.81128
611,42.59761
612,43.51952
613,44.44143
614,45.49891
615,46.66486
616,47.96638
617,49.34924
618,50.92191
619,52.63015
620,54.47397
621,56.39913
622,58.5141
623,60.6833
624,62.98807
625,65.48265
626,68.03146
627,70.55315
628,73.12907
629,75.70499
630,78.28091
631,80.96529
632,83.56833
633,86.14425
634,88.66594
635,91.05206
636,93.3026
637,95.39046
638,97.20716
639,98.7256
640,99.89154
641,100.6508
642,100.949
643,100.705
644,100
645,98.59002
646,96.71909
647,94.1974
648,91.16052
649,87.66269
650,83.81236
651,79.5282
652,75
653,70.30911
654,65.50977
655,60.62907
656,55.66703
657,50.86768
658,46.2039
659,41.81128
660,37.60846
661,33.70391
662,30.17896
663,26.92516
664,24.10521
665,21.5564
666,19.22451
667,17.13666
668,15.26573
669,13.55748
670,12.06616
671,10.71041
672,9.517354
673,8.40564
674,7.429501
675,6.588937
676,5.856833
677,5.178958
678,4.582429
679,4.09436
680,3.579176
681,3.172451
682,2.819957
683,2.467462
684,2.223427
685,1.979393
686,1.735358
687,1.572668
688,1.382863
689,1.193059
690,1.057484
691,0.9761388
692,0.840564
693,0.7049891
694,0.6507593
695,0.5422994
696,0.4609545
697,0.4338395
698,0.3796095
699,0.3253796
700,0.3253796
Emission
585,10.11016
586,5.784959
587,3.135772
588,1.676016
589,1.089431
590,0.9260163
591,0.9260163
592,0.8170732
593,0.8170732
594,0.7626016
595,0.8231708
596,0.8231708
597,0.8231708
598,0.8780487
599,0.8231708
600,0.8780487
601,0.8780487
602,0.9329268
603,0.9329268
604,0.9398373
605,0.9398373
606,0.9398373
607,0.995122
608,1.050406
609,1.105691
610,1.160976
611,1.169512
612,1.336585
613,1.392276
614,1.615041
615,1.739024
616,1.963415
617,2.260163
618,2.599187
619,2.825203
620,3.243902
621,3.699187
622,4.184146
623,4.871951
624,5.599187
625,6.118699
626,6.97561
627,8.019512
628,9.073171
629,10.49187
630,12.22602
631,13.98293
632,16.12358
633,18.46992
634,21.32033
635,24.26829
636,27.1309
637,30.21463
638,33.70975
639,37.56097
640,41.77642
641,46.10163
642,51.31301
643,56.36179
644,61.85366
645,66.95122
646,71.65041
647,76.7317
648,80.69106
649,84.95528
650,88.18293
651,91.36992
652,93.91463
653,96.62601
654,97.96342
655,99.5935
656,99.58943
657,100
658,99.17886
659,98.5935
660,97.52439
661,95.65854
662,93.22765
663,91.09756
664,89.28455
665,86.94715
666,83.82927
667,81.74797
668,78.31301
669,75.85366
670,72.42276
671,69.65854
672,66.72765
673,64.22765
674,61.58537
675,59.31301
676,57.5122
677,55.47561
678,53.12195
679,51.26016
680,48.89838
681,47.2439
682,45.23984
683,43.56911
684,42.04472
685,40.77236
686,39.25041
687,38.20732
688,36.74634
689,36.1
690,34.67968
691,33.94309
692,33.11626
693,32.2378
694,31.25366
695,30.5561
696,29.82805
697,29.30325
698,29.19634
699,28.74797
700,28.17073
701,28.02602
702,27.64309
703,27.1496
704,27.08862
705,26.64228
706,26.79878
707,26.35122
708,26.25366
709,25.98903
710,25.87317
711,25.83333
712,25.31992
713,25.12805
714,24.97561
715,24.89268
716,24.4
717,24.08496
718,23.69512
719,23.42683
720,23.0061
721,22.85122
722,21.83049
723,21.79065
724,21.36585
725,20.41951
726,20.19512
727,19.65854
728,19.46301
729,18.58537
730,18.31098
731,17.91463
732,17.02033
733,16.58537
734,15.96951
735,15.5
736,15.35163
737,14.85366
738,14.33943
739,13.98374
740,13.11545
741,13.08659
742,12.71951
743,12.12683
744,11.72927
745,11.66911
746,11.39024
747,10.86707
748,10.33902
749,9.998374
750,9.674797
751,9.735772
752,9.42439
753,9.285365
754,8.963415
755,8.835773
756,8.316667
757,8.178862
758,7.847155
759,7.715854
760,7.369919
761,7.455285
762,7.096342
763,6.946342
764,7.011382
765,6.646341
766,6.48374
767,6.317073
768,6.157317
769,6.223171
770,6.056098
771,5.894309
772,5.955285
773,5.544309
774,5.609756
775,5.675203
776,5.482114
777,5.292683
778,5.343903
779,5.146341
780,5.203252
781,5.260162
782,5.317073
783,5.382114
784,4.895122
785,4.953659
786,4.73374
787,4.782114
788,4.837399
789,4.885772
790,4.934146
791,4.695935
792,4.445122
793,4.493903
794,4.845529
795,4.891057
796,4.640244
797,4.370732
798,4.421951
799,4.153658
