Type,Fluorophore
Maker,"Amalgaam/ Medical&Biological Laboratories"
ProductName,"Uminikono-Green"
Comment,"CoralHue  Series"
Public,1
Excitation
310,5.7060611
311,5.6037102
312,5.4517831
313,5.3254438
314,5.1015513
315,4.9752119
316,4.7897009
317,4.5578123
318,4.4506637
319,4.2651527
320,4.1132257
321,3.964497
322,3.8461538
323,3.6766352
324,3.4767312
325,3.2496402
326,3.0241484
327,2.7346874
328,2.4116424
329,2.1253798
330,1.7911403
331,1.5282265
332,1.2980969
333,1.0732448
334,0.9264353
335,0.8274428
336,0.7306893
337,0.6548857
338,0.5963538
339,0.5552535
340,0.5138334
341,0.4794499
342,0.470814
343,0.4370702
344,0.4305134
345,0.4070046
346,0.3996482
347,0.4028466
348,0.3977291
349,0.4108428
350,0.412602
351,0.4076443
352,0.4242763
353,0.4346714
354,0.4469854
355,0.4485847
356,0.4650568
357,0.4813689
358,0.5045578
359,0.5152727
360,0.556213
361,0.579242
362,0.6075484
363,0.6572845
364,0.683352
365,0.7196546
366,0.7602751
367,0.7914601
368,0.8419958
369,0.8859747
370,0.9373101
371,0.9910443
372,1.0420598
373,1.0965936
374,1.1549656
375,1.2126979
376,1.2899408
377,1.3718215
378,1.4284344
379,1.510475
380,1.593795
381,1.6711978
382,1.7767472
383,1.8695026
384,1.975052
385,2.0901967
386,2.2181353
387,2.3252839
388,2.4612186
389,2.6099472
390,2.7714697
391,2.9297937
392,3.1280985
393,3.2928194
394,3.4671358
395,3.6766352
396,3.8861347
397,4.0924356
398,4.3051335
399,4.5626099
400,4.8136894
401,5.1143451
402,5.3766192
403,5.6932672
404,6.0259076
405,6.3921318
406,6.7935391
407,7.1341756
408,7.4924036
409,7.8890133
410,8.3463937
411,8.7989765
412,9.2819447
413,9.8496722
414,10.3534304
415,10.9803294
416,11.5512554
417,12.1797537
418,12.7986566
419,13.4351511
420,14.129218
421,14.8344794
422,15.6213018
423,16.3921318
424,17.2077403
425,18.0233488
426,18.9349112
427,19.8464737
428,20.7740285
429,21.7975372
430,22.7730689
431,23.8765393
432,24.9320326
433,26.1474492
434,27.3468735
435,28.658244
436,29.9696146
437,31.3289621
438,32.8162482
439,34.335519
440,36.0626899
441,37.8698225
442,39.7569167
443,41.7719495
444,43.9628978
445,46.2657924
446,48.6326563
447,50.9995202
448,53.3663841
449,55.7012634
450,57.9241964
451,59.9712138
452,61.9222773
453,63.9053254
454,65.7764273
455,67.6795138
456,69.1827923
457,70.4461858
458,71.5656485
459,72.4932033
460,73.2768271
461,74.060451
462,74.652167
463,75.2918599
464,75.9155605
465,76.6512074
466,77.370862
467,78.1065089
468,78.9061251
469,79.8816568
470,81.0171118
471,82.1845514
472,83.6878298
473,85.3670238
474,86.9822485
475,88.7573964
476,90.4046058
477,92.3076923
478,94.1148249
479,96.0339037
480,97.5211898
481,98.8485527
482,99.6001919
483,100
484,99.9680154
485,99.2323685
486,97.9529826
487,96.1138653
488,93.427155
489,89.9888054
490,86.0866784
491,81.8966896
492,77.3068927
493,72.4932033
494,67.5195906
495,62.1301775
496,56.7407644
497,51.335359
498,46.3137694
499,41.5160723
500,37.1341756
501,33.1360947
502,29.6177835
503,26.5152727
504,23.8445546
505,21.4457061
506,19.3507117
507,17.4636175
508,15.8148089
509,14.2699504
510,12.924996
Emission
460,0.2668725
461,0.2918479
462,0.3301529
463,0.3819279
464,0.4400168
465,0.5195735
466,0.6266311
467,0.7651186
468,0.9079557
469,1.1205276
470,1.3691595
471,1.6767223
472,2.0499509
473,2.5648941
474,3.1275431
475,3.8740003
476,4.7453346
477,5.7920584
478,7.1095833
479,8.7722744
480,10.7843412
481,13.113512
482,15.7850428
483,18.9701137
484,22.5059632
485,26.6311211
486,31.2052757
487,36.4388943
488,41.9250737
489,48.3373088
490,54.6232636
491,61.2319349
492,67.6161078
493,74.0704364
494,80.1880174
495,85.5759787
496,90.122071
497,94.1490108
498,97.0674898
499,99.0879753
500,100
501,99.8175951
502,98.7933212
503,96.8710537
504,94.2893223
505,91.1323137
506,87.5403396
507,83.7799916
508,79.8793321
509,75.7682054
510,71.9797951
511,68.2475095
512,64.8940648
513,61.4985267
514,58.5379543
515,55.8159113
516,53.2762733
517,50.9751649
518,48.8564613
519,46.850007
520,45.0259576
521,43.3281886
522,41.770731
523,40.4237407
524,39.132875
525,37.912165
526,36.87386
527,35.8636172
528,34.9656237
529,33.9974744
530,33.0854497
531,32.2295496
532,31.4157429
533,30.5879051
534,29.7039428
535,28.7778869
536,27.753613
537,26.7574014
538,25.6770029
539,24.5685422
540,23.4179879
541,22.3516206
542,21.2010664
543,19.9943875
544,18.9139891
545,17.777466
546,16.7251298
547,15.7429493
548,14.8168935
549,13.8473411
550,12.9746036
551,12.2113091
552,11.4311772
553,10.7183948
554,10.0266592
555,9.4064824
556,8.86488
557,8.3583555
558,7.8602498
559,7.3916094
560,6.9482251
561,6.5820121
562,6.1975586
563,5.9043076
564,5.5577382
565,5.2616809
566,5.0035078
567,4.7509471
568,4.5152238
569,4.2837098
570,4.09008
571,3.8852252
572,3.6986109
573,3.5330434
574,3.3744914
575,3.1962958
576,3.0545812
577,2.9072541
578,2.7809738
579,2.6504841
580,2.52701
581,2.4063421
582,2.3053178
583,2.1832468
584,2.0667883
585,1.953136
586,1.8633366
587,1.7665217
588,1.6683036
589,1.5686825
590,1.4957205
591,1.4073243
592,1.3255227
593,1.2584538
594,1.1941911
595,1.1147748
596,1.0484075
597,1.0023853
598,0.9433142
599,0.8923811
600,0.8424302
601,0.794163
602,0.7506665
603,0.7091343
604,0.6699874
605,0.6365932
606,0.6016557
607,0.5714887
608,0.5397783
609,0.5192928
610,0.4937561
611,0.4652729
612,0.4376315
613,0.4147608
614,0.3876807
615,0.3670549
616,0.3614424
617,0.3409569
618,0.3231374
619,0.314859
620,0.2974604
621,0.2832889
622,0.2686965
623,0.2599972
624,0.2517188
625,0.2413358
626,0.2268837
627,0.2233759
628,0.2097657
629,0.2023292
630,0.1958748
631,0.192788
632,0.1833871
633,0.1744072
634,0.1723025
635,0.1662691
636,0.1578504
637,0.149572
638,0.1443805
639,0.1419952
640,0.1363547
641,0.1349516
642,0.1281044
643,0.1221412
644,0.1204714
645,0.1192928
646,0.1148029
647,0.1101305
648,0.1089659
649,0.106763
650,0.1057247
651,0.1051354
652,0.1009261
653,0.0990038
654,0.094584
655,0.0921706
656,0.086039
657,0.0846219
658,0.0867125
659,0.0870072
660,0.0857724
661,0.0820121
662,0.0834292
663,0.0830504
664,0.0803564
665,0.0769749
666,0.0731163
667,0.0730742
668,0.0752491
669,0.0727094
670,0.0751929
671,0.0724569
672,0.0730462
673,0.070254
674,0.0699172
675,0.0713765
676,0.0687105
677,0.0699453
678,0.0674758
679,0.0652869
680,0.0683457
681,0.0662972
682,0.0675179
683,0.0665918
684,0.0640943
685,0.0618493
686,0.0615967
687,0.0642907
688,0.0632524
689,0.0630279
690,0.062621
691,0.0610074
692,0.0643469
693,0.0645994
694,0.0621159
695,0.0633927
696,0.0625649
697,0.0631682
698,0.0601515
699,0.063042
700,0.0650624
701,0.0624807
702,0.0614424
703,0.0595342
704,0.0624386
705,0.0627613
706,0.0620738
707,0.0603901
708,0.0601094
709,0.0640241
710,0.0631542
711,0.065315
712,0.0609232
713,0.0599972
714,0.0606426
715,0.059029
