Type,Fluorophore
Maker,"Amalgaam/ Medical&Biological Laboratories"
ProductName,"dKeima-Red"
Comment,"CoralHue  Series"
Public,1
Excitation
350,13.7869
352,14.067
354,14.6632
356,15.3469
358,16.1291
360,17.1429
362,18.4042
364,19.8072
366,21.3264
368,23.1282
370,24.7717
372,26.476
374,28.4645
376,30.4064
378,32.4954
380,34.7126
382,37.0231
384,39.4808
386,42.2354
388,44.8903
390,47.8109
392,50.6269
394,53.5544
396,56.2106
398,58.8269
400,61.5927
402,64.8261
404,67.4931
406,70.076
408,72.7173
410,75.1981
412,77.5249
414,80.1667
416,82.3551
418,84.2979
420,86.1587
422,88.1099
424,90.1997
426,91.8235
428,93.5489
430,95.115
432,96.2758
434,97.5199
436,98.4731
438,98.9631
440,99.7026
442,99.9089
444,99.9999
446,99.3161
448,98.0093
450,96.198
452,95.444
454,94.3482
456,92.608
458,91.0412
460,88.7297
462,86.355
464,82.7886
466,79.0427
468,76.2526
470,73.4205
472,69.6986
474,65.9339
476,61.6259
478,56.0677
480,50.4797
482,46.2559
484,42.3975
486,38.4548
488,34.3449
490,30.2653
492,27.1089
494,24.312
496,21.8436
498,19.589
500,17.6037
502,16.0261
504,14.9226
506,13.8541
508,13.0998
510,12.4414
512,12.0853
514,11.7913
516,11.5737
518,11.5931
520,11.5698
522,11.6571
524,11.7164
526,11.8578
528,11.9612
530,12.1993
532,12.3393
534,12.6118
536,12.8509
538,13.1032
540,13.3531
542,13.6602
544,14.0111
546,14.3371
548,14.7212
550,15.1467
552,15.5257
554,15.9661
556,16.229
558,16.4903
560,16.7898
Emission
532,0.960027
534,1.06116
536,1.18145
538,1.32969
540,1.51056
542,1.69899
544,1.93499
546,2.2121
548,2.56165
550,3.02555
552,3.55016
554,4.27966
556,5.17426
558,6.33702
560,7.68292
562,9.28789
564,11.2547
566,13.5881
568,16.456
570,19.4151
572,22.9563
574,26.9119
576,31.2571
578,35.8994
580,40.8889
582,46.1158
584,50.7069
586,55.5043
588,60.1751
590,65.4556
592,70.2027
594,74.793
596,78.7223
598,82.3379
600,85.7559
602,88.7528
604,91.411
606,93.6797
608,95.4588
610,96.9296
612,98.0407
614,99.0236
616,99.5995
618,100
620,99.9482
622,99.5955
624,98.8016
626,98.0694
628,96.779
630,95.7122
632,94.5695
634,93.1028
636,91.2155
638,90.1912
640,88.1029
642,87.1536
644,85.1751
646,82.6733
648,80.0475
650,77.705
652,74.8261
654,71.9552
656,69.6472
658,67.1842
660,64.4991
662,62.0519
664,59.5169
666,57.0515
668,55.0002
670,52.9555
672,50.8387
674,48.4372
676,46.4694
678,44.4679
680,42.5012
682,40.5902
684,38.8903
686,36.9149
688,35.2133
690,33.4704
692,32.119
694,30.6158
696,28.8742
698,27.3855
700,25.909
702,24.6204
704,23.4524
706,22.2878
708,21.091
710,20.0571
712,19.0138
714,17.937
716,16.9548
718,16.0042
720,15.1708
722,14.377
724,13.6563
726,12.7707
728,12.1426
730,11.5104
732,10.8364
734,10.2302
736,9.52959
738,9.01256
740,8.51829
742,8.1037
744,7.68282
746,7.24237
748,6.89285
750,6.47382
