Type,Fluorophore
Maker,""
ProductName,"mCherry"
Comment,""
Public,1
Excitation
300,13.2
301,11.8
302,10.6
303,10.4
304,13
305,16.3
306,16.1
307,11
308,6.7
309,5.7
310,5.5
311,5.4
312,5.4
313,5.5
314,5.4
315,5.6
316,5.8
317,6
318,6.3
319,6.6
320,7.1
321,7.5
322,8.1
323,8.6
324,9.2
325,9.8
326,10.4
327,10.8
328,11.5
329,11.9
330,12.4
331,12.9
332,13.4
333,13.8
334,14.4
335,15.1
336,15.9
337,16.9
338,17.8
339,19.1
340,20
341,21.3
342,22
343,22.7
344,22.8
345,22.5
346,21.7
347,20.7
348,19.4
349,18.1
350,17
351,15.8
352,15
353,14.1
354,13.6
355,13.2
356,12.9
357,12.6
358,12.5
359,12.4
360,12.3
361,12.3
362,12.2
363,12.2
364,12.1
365,12
366,12
367,11.9
368,11.8
369,11.6
370,11.5
371,11.4
372,11.2
373,11.1
374,10.9
375,10.5
376,10.3
377,10
378,9.8
379,9.4
380,9
381,8.7
382,8.2
383,7.9
384,7.6
385,7.1
386,6.7
387,6.4
388,6
389,5.7
390,5.5
391,5.2
392,5
393,4.6
394,4.5
395,4.2
396,4
397,3.9
398,3.6
399,3.3
400,3.1
401,2.9
402,2.7
403,2.5
404,2.2
405,2
406,1.7
407,1.6
408,1.3
409,1.2
410,1
411,0.9
412,0.7
413,0.7
414,0.6
415,0.5
416,0.4
417,0.4
418,0.4
419,0.3
420,0.3
421,0.3
422,0.3
423,0.3
424,0.3
425,0.3
426,0.3
427,0.3
428,0.3
429,0.3
430,0.4
431,0.4
432,0.4
433,0.4
434,0.5
435,0.5
436,0.5
437,0.5
438,0.6
439,0.6
440,0.6
441,0.7
442,0.7
443,0.8
444,0.8
445,0.9
446,0.9
447,1
448,1
449,1.1
450,1.2
451,1.2
452,1.3
453,1.4
454,1.5
455,1.6
456,1.6
457,1.7
458,1.8
459,2
460,2.1
461,2.2
462,2.3
463,2.5
464,2.5
465,2.7
466,2.9
467,3
468,3.1
469,3.3
470,3.4
471,3.6
472,3.8
473,3.9
474,4.1
475,4.2
476,4.4
477,4.6
478,4.9
479,5
480,5.3
481,5.6
482,5.8
483,6.1
484,6.3
485,6.6
486,6.9
487,7.3
488,7.6
489,8.1
490,8.4
491,8.9
492,9.3
493,9.7
494,10.1
495,10.6
496,11.2
497,11.7
498,12.2
499,12.7
500,13.3
501,13.7
502,14.2
503,14.8
504,15.2
505,15.9
506,16.4
507,16.9
508,17.5
509,18
510,18.7
511,19.1
512,19.8
513,20.4
514,20.9
515,21.7
516,22.5
517,23.2
518,23.9
519,24.8
520,25.7
521,26.6
522,27.5
523,28.4
524,29.6
525,30.6
526,32
527,33.1
528,34.6
529,35.6
530,37.3
531,38.3
532,40
533,41.4
534,42.9
535,44.2
536,45.7
537,47.2
538,48.5
539,49.6
540,50.7
541,51.9
542,52.6
543,53.5
544,54.6
545,55.3
546,55.5
547,56.6
548,56.9
549,57.5
550,57.8
551,58.3
552,58.7
553,58.8
554,59.4
555,59.9
556,60.4
557,60.9
558,61.5
559,62.3
