Type,Fluorophore
Maker,"Amalgaam/ Medical&Biological Laboratories"
ProductName,"mKikume Red"
Comment,"CoralHue  Series"
Public,1
Excitation
350,77.1088
351,78.6246
352,81.1088
353,85.7544
354,89.6
355,94.4281
356,97.6421
357,100
358,98.6667
359,98.0211
360,92.0281
361,85.207
362,77.1088
363,67.4667
364,58.6667
365,50.4421
366,43.7614
367,37.5439
368,33.1088
369,28.9544
370,25.9649
371,23.5088
372,21.7825
373,20.0982
374,19.0877
375,18.4702
376,17.6421
377,17.6561
378,17.5158
379,16.8842
380,17.1649
381,16.8
382,16.5474
383,16.1825
384,15.8737
385,15.186
386,14.6386
387,14.1193
388,13.6982
389,12.9488
390,12.1558
391,11.5663
392,11.1326
393,10.6175
394,10.3256
395,9.9593
396,9.63088
397,9.41333
398,9.24772
399,9.22105
400,8.99509
401,8.86596
402,8.61754
403,8.26386
404,7.91439
405,7.53123
406,7.25474
407,6.85895
408,6.22316
409,5.97053
410,5.44702
411,5.0807
412,4.63719
413,4.37333
414,3.99439
415,3.82737
416,3.51719
417,3.44
418,3.21825
419,3.25754
420,3.10175
421,3.07509
422,2.94737
423,2.97965
424,2.97263
425,2.9586
426,2.89404
427,2.88842
428,2.77333
429,2.84211
430,2.86596
431,2.82667
432,2.86316
433,2.87018
434,2.90386
435,2.87439
436,2.99228
437,3.10035
438,3.16772
439,3.26877
440,3.35579
441,3.47368
442,3.55789
443,3.72912
444,3.9214
445,4.0407
446,4.23719
447,4.42947
448,4.53053
449,4.65825
450,4.78035
451,5.04982
452,5.17053
453,5.51158
454,5.70246
455,6.00421
456,6.22456
457,6.48561
458,6.60772
459,6.90807
460,7.21123
461,7.46947
462,7.6786
463,8.04772
464,8.21895
465,8.69333
466,8.97825
467,9.27158
468,9.44
469,9.69825
470,10.0702
471,10.3481
472,10.4884
473,10.7818
474,11.0975
475,11.2604
476,11.4737
477,11.5284
478,12.1277
479,12.2147
480,12.5361
481,12.8435
482,13.1818
483,13.6112
484,14.0772
485,14.6526
486,15.2561
487,15.986
488,16.786
489,17.7544
490,18.6246
491,19.607
492,20.2947
493,21.6561
494,22.3298
495,23.7193
496,24.6035
497,26.007
498,26.7789
499,28.0982
500,28.9965
501,29.7965
502,30.3158
503,30.8491
504,31.3123
505,31.4667
506,31.3123
507,31.3825
508,31.2561
509,30.9053
510,30.6246
511,30.2035
512,30.3158
513,29.7544
514,29.4175
515,29.3193
516,29.3333
517,29.3614
518,29.614
519,30.1895
520,30.8912
521,31.8316
522,32.6877
523,34.3018
524,35.4105
525,37.2491
526,39.1018
527,41.1509
528,43.0316
529,45.0386
530,47.214
531,49.2491
532,51.2
533,53.207
534,54.2035
535,55.9439
536,56.1404
537,57.2491
538,57.5298
539,57.4035
540,56.5754
541,55.6632
542,55.0316
543,53.9649
544,51.8596
545,50.4561
546,48.7298
547,47.2842
548,45.7684
549,44.1825
550,43.1298
551,42.1614
552,41.1088
553,40.9404
554,40.5333
555,40.8281
556,40.8561
557,41.5298
558,42.0632
559,43.0596
560,44.2947
561,46.007
562,47.8175
563,49.8667
564,52.2807
565,54.8912
566,57.8807
567,60.8982
568,63.9439
569,67.5228
570,71.186
571,75.1298
572,78.5825
573,82.7789
574,86.3018
575,89.2491
576,91.986
577,94.1895
578,96.1123
579,96.9544
580,97.193
581,96.9544
582,95.2842
583,93.0667
584,90.0211
585,85.9649
586,81.6702
587,76.5614
588,71.0737
589,65.3333
590,59.8035
591,54.0772
592,48.2807
593,42.9333
594,37.5298
595,32.5474
596,28.4912
597,24.1263
598,21.0526
599,18.1193
600,15.3965
601,12.8084
602,10.6765
603,8.81544
604,7.43719
605,6.17825
606,5.29684
607,4.38175
608,3.63509
609,3.02035
610,2.59789
Emission
545,1.34467
546,1.33637
547,1.36002
548,1.37744
549,1.36956
550,1.40066
551,1.44463
552,1.50062
553,1.56159
554,1.62713
555,1.73579
556,1.84778
557,1.9859
558,2.16176
559,2.38158
560,2.66653
561,2.9523
562,3.36665
563,3.86479
564,4.43384
565,5.1265
566,5.97263
567,7.11738
568,8.4156
569,9.96682
570,11.6549
571,13.8905
572,16.3957
573,19.2244
574,22.6006
575,26.2878
576,30.4977
577,35.027
