Type,Fluorophore
Maker,"Amalgaam/ Medical&Biological Laboratories"
ProductName,"mKusabira-Orange2"
Comment,"CoralHue  Series"
Public,1
Excitation
310,6.87778
311,6.94074
312,7.1
313,7.21481
314,7.43704
315,7.72593
316,7.86852
317,8.13333
318,8.41852
319,8.67963
320,8.94074
321,9.26667
322,9.56296
323,9.84444
324,10.2426
325,10.5574
326,10.8704
327,11.1593
328,11.487
329,11.7556
330,12.0037
331,12.2574
332,12.4167
333,12.4815
334,12.5389
335,12.4444
336,12.2463
337,11.9593
338,11.7278
339,11.3111
340,10.9278
341,10.4296
342,9.9037
343,9.46111
344,8.95185
345,8.47963
346,8.0963
347,7.66481
348,7.22963
349,6.84074
350,6.47037
351,6.13889
352,5.85926
353,5.55185
354,5.22222
355,4.95741
356,4.68333
357,4.43889
358,4.23333
359,3.94074
360,3.71852
361,3.47963
362,3.27407
363,3.06111
364,2.84259
365,2.6537
366,2.50926
367,2.34074
368,2.19074
369,2.07593
370,1.95185
371,1.83074
372,1.72796
373,1.6
374,1.5137
375,1.40926
376,1.28204
377,1.18352
378,1.10148
379,1.00019
380,0.90963
381,0.817407
382,0.730185
383,0.662778
384,0.588889
385,0.526111
386,0.476111
387,0.427593
388,0.384259
389,0.343519
390,0.324444
391,0.29963
392,0.282593
393,0.266111
394,0.253519
395,0.252593
396,0.244074
397,0.247222
398,0.243333
399,0.244074
400,0.251296
401,0.258333
402,0.265556
403,0.265926
404,0.277222
405,0.290926
406,0.294444
407,0.313333
408,0.323889
409,0.328519
410,0.345926
411,0.363519
412,0.377778
413,0.395926
414,0.411296
415,0.426296
416,0.45037
417,0.456482
418,0.483889
419,0.50537
420,0.540556
421,0.545556
422,0.578333
423,0.605741
424,0.634444
425,0.675
426,0.703333
427,0.747222
428,0.779074
429,0.826111
430,0.875741
431,0.926482
432,0.967407
433,1.03167
434,1.09407
435,1.16278
436,1.23037
437,1.29667
438,1.36815
439,1.46593
440,1.555
441,1.65296
442,1.7637
443,1.88148
444,1.9963
445,2.12593
446,2.26481
447,2.39074
448,2.52593
449,2.67222
450,2.84074
451,2.98704
452,3.14074
453,3.31296
454,3.50741
455,3.69074
456,3.89259
457,4.08333
458,4.29444
459,4.50926
460,4.73704
461,4.95556
462,5.24815
463,5.51296
464,5.78704
465,6.12593
466,6.44444
467,6.76111
468,7.08148
469,7.42593
470,7.81667
471,8.22037
472,8.68519
473,9.13333
474,9.5963
475,10.037
476,10.5056
477,11.0593
478,11.5593
479,12.1
480,12.5833
481,13.0037
482,13.4278
483,13.9093
484,14.3981
485,14.9259
486,15.4926
487,16.1093
488,16.7352
489,17.4444
490,18.1259
491,18.9074
492,19.7222
493,20.537
494,21.4815
495,22.537
496,23.6852
497,24.8889
498,26.3519
499,27.8704
500,29.4259
501,31.1667
502,32.9259
503,34.7593
504,36.6667
505,38.6667
506,40.7037
507,42.6111
508,44.5185
509,46.2222
510,47.8889
511,49.4259
512,50.7037
513,51.7593
514,52.7222
515,53.3148
516,53.8519
517,54.0926
518,54.2037
519,54.0926
520,54.037
521,53.7778
522,53.5741
523,53.2778
524,53.1111
525,52.9815
526,53
527,53.1296
528,53.3519
529,53.8333
530,54.4259
531,55.2407
532,56.1667
533,57.4074
534,58.8148
535,60.3889
536,62.1852
537,64.2963
538,66.537
539,69.1852
540,71.8889
541,74.963
542,77.8889
543,81.0556
544,84.2222
545,87.4074
546,90.3704
547,93.1481
548,95.5
549,97.5185
550,98.8889
551,99.8519
552,99.9815
553,99.3889
554,97.963
555,95.8333
556,92.9815
557,89.4074
558,85.4444
559,80.6852
560,75.6852
561,70.4815
562,65.2222
563,59.6481
564,54.2222
565,48.9074
566,44.0556
567,39.3148
568,34.9444
569,30.9259
570,27.3148
Emission
540,7.41917
541,8.22866
542,9.68481
543,11.5399
544,13.7009
545,16.3875
546,19.3882
547,22.8658
548,26.7737
549,31.3794
550,36.1014
551,41.3236
552,46.7434
553,52.8379
554,58.9207
555,64.9686
556,70.7606
557,76.4713
558,81.6818
559,86.6481
560,90.9165
561,94.2894
562,96.883
563,98.6276
564,99.7209
565,100
566,99.4999
567,98.3019
568,96.6853
569,94.394
570,91.626
571,88.509
572,85.3454
573,81.8679
574,78.3438
575,74.7499
576,71.191
577,67.7134
578,64.2824
579,60.9444
580,57.746
581,54.6988
582,51.8842
583,49.2207
584,46.6969
585,44.2428
586,42.0447
587,39.9744
588,38.1251
589,36.3108
590,34.6825
591,33.2868
592,31.9028
593,30.6699
594,29.6115
595,28.5066
596,27.5645
597,26.7388
598,25.9479
599,25.2152
600,24.4824
601,23.7497
602,23.1449
603,22.4355
604,21.8307
605,21.2026
606,20.6211
607,19.993
608,19.3766
609,18.7718
610,18.1438
611,17.539
612,16.9225
613,16.2596
614,15.6432
615,15.0616
616,14.4685
617,13.8521
618,13.2473
619,12.6308
620,12.0377
621,11.4922
622,10.9677
623,10.4641
624,9.96046
625,9.44638
626,8.98
627,8.53687
628,8.05769
629,7.58665
630,7.16097
631,6.76087
632,6.38404
633,6.05606
634,5.71063
635,5.38614
636,5.06397
637,4.78832
638,4.53478
639,4.30565
640,4.05211
641,3.81717
642,3.60316
643,3.40079
644,3.22168
645,3.04489
646,2.8716
647,2.73319
648,2.58316
649,2.46104
650,2.33426
651,2.22145
652,2.1063
653,1.99698
654,1.89463
655,1.79111
656,1.72482
657,1.64922
658,1.56897
659,1.48407
660,1.41428
661,1.34915
662,1.28286
663,1.21889
664,1.15771
665,1.11247
666,1.05431
667,1.00663
668,0.960921
669,0.909281
670,0.864969
671,0.82589
672,0.790765
673,0.752384
674,0.714352
675,0.679111
676,0.651547
677,0.617586
678,0.58502
679,0.54943
680,0.533961
681,0.501047
682,0.474762
683,0.454989
684,0.429984
685,0.413701
686,0.394627
687,0.369621
688,0.349733
689,0.334962
690,0.319609
691,0.304489
692,0.279949
693,0.269365
694,0.262038
695,0.245871
696,0.237497
697,0.219702
698,0.211212
699,0.201093
700,0.192487
701,0.179111
702,0.178065
703,0.16655
704,0.166434
705,0.156664
706,0.147476
707,0.141312
708,0.133403
709,0.130379
710,0.123633
711,0.120958
712,0.116422
713,0.110095
714,0.107606
715,0.103396
716,0.0970807
717,0.0939405
718,0.0879158
