Type,Dichroic
Maker,"Chroma"
ProductName,"475dcxru"
Comment,""
Public,1
wavedataset
300,0.001
301,0.001
302,0.001
303,0.001
304,0.001
305,0.001
306,0.001
307,0.001
308,0.001
309,0.001
310,0.001
311,0.001
312,0.001
313,0.001
314,0.001
315,0.001
316,0.001
317,0.001
318,0.001
319,0.001
320,0.001
321,0.001
322,0.001
323,0.001
324,0.001
325,0.00103722
326,0.00110724
327,0.00133308
328,0.00141101
329,0.00180001
330,0.00233224
331,0.00265269
332,0.00274696
333,0.00362128
334,0.00425235
335,0.00539864
336,0.00680953
337,0.00840551
338,0.0106879
339,0.0123977
340,0.0153965
341,0.0172484
342,0.0192141
343,0.0214702
344,0.0230556
345,0.024802
346,0.0250165
347,0.0266994
348,0.0265379
349,0.0269071
350,0.0262174
351,0.0252857
352,0.0240124
353,0.0234119
354,0.023335
355,0.0251575
356,0.029086
357,0.0351435
358,0.0469168
359,0.0659172
360,0.0957519
361,0.140644
362,0.200881
363,0.271681
364,0.348226
365,0.417063
366,0.462505
367,0.482627
368,0.46979
369,0.441652
370,0.413751
371,0.41242
372,0.44535
373,0.510686
374,0.593437
375,0.660552
376,0.685261
377,0.658004
378,0.591334
379,0.530386
380,0.502794
381,0.522206
382,0.58429
383,0.678153
384,0.772094
385,0.822641
386,0.809061
387,0.73302
388,0.632617
389,0.552062
390,0.521619
391,0.557993
392,0.662613
393,0.837928
394,0.993593
395,1.1688
396,1.25055
397,1.19806
398,1.02602
399,0.857403
400,0.654275
401,0.533022
402,0.498087
403,0.544041
404,0.688209
405,0.963458
406,1.28372
407,1.69987
408,2.05787
409,2.21513
410,2.11157
411,1.78359
412,1.35682
413,0.977962
414,0.797781
415,0.7175
416,0.781274
417,0.958377
418,1.37768
419,1.94801
420,2.56515
421,3.05742
422,3.20513
423,2.93819
424,2.3394
425,1.58609
426,0.993529
427,0.55729
428,0.353549
429,0.263314
430,0.218448
431,0.19698
432,0.189229
433,0.192114
434,0.204515
435,0.228755
436,0.264937
437,0.316565
438,0.386487
439,0.476818
440,0.585064
441,0.707975
442,0.839969
443,0.966217
444,1.02395
445,1.10737
446,1.16231
447,1.1868
448,1.1855
449,1.16976
450,1.14979
451,1.14708
452,1.17862
453,1.26437
454,1.42487
455,1.68168
456,2.04014
457,2.51785
458,3.11301
459,3.84683
460,4.80737
461,6.08635
462,7.83805
463,10.1905
464,13.1988
465,16.8885
466,21.2191
467,25.9687
468,31.0873
469,36.3669
470,41.7916
471,47.3075
472,53.058
473,59.0387
474,65.2612
475,71.3545
476,77.1483
477,82.0563
478,85.8039
479,88.3491
480,89.7882
481,90.5242
482,90.8287
483,90.9466
484,91.0507
485,91.1564
486,91.1587
487,91.1213
488,91.0942
489,90.9115
490,90.7492
491,90.4678
492,90.0947
493,89.5639
494,89.0305
495,88.3495
496,87.6229
497,86.8433
498,86.1168
499,85.51
500,85.137
501,84.8628
502,84.9048
503,85.1953
504,85.7584
505,86.4515
506,87.3922
507,88.4943
508,89.5322
509,90.6067
510,91.6566
511,92.4911
512,93.1903
513,93.6482
514,93.9961
515,94.1619
516,94.1041
517,94.0453
518,93.9199
519,93.7917
520,93.6459
521,93.6291
522,93.6228
523,93.695
524,93.7884
525,93.9584
526,94.1398
527,94.2955
528,94.4455
529,94.5645
530,94.6082
531,94.6123
532,94.5223
533,94.4331
534,94.3035
535,94.1666
536,94.0142
537,93.8496
538,93.7247
539,93.5762
540,93.5156
541,93.5044
542,93.4212
543,93.422
544,93.4335
545,93.3977
546,93.3514
547,93.3469
548,93.274
549,93.1622
550,93.0258
551,92.8965
552,92.7792
553,92.6405
554,92.4916
555,92.4649
556,92.372
557,92.3331
558,92.392
559,92.5162
560,92.5938
561,92.7987
562,93.0627
563,93.308
564,93.5384
565,93.8235
566,94.072
567,94.3555
568,94.4962
569,94.6518
570,94.8289
571,94.8488
572,94.8404
573,94.8345
574,94.7522
575,94.6065
576,94.4566
577,94.2678
578,94.1186
579,93.8661
580,93.71
581,93.5922
582,93.3709
583,93.2102
584,93.1649
585,93.0498
586,92.9448
587,92.8905
588,92.8036
589,92.7606
590,92.6501
591,92.6002
592,92.515
593,92.3772
594,92.2114
595,92.1112
596,91.9715
597,91.8538
598,91.6358
599,91.5717
600,91.4502
601,91.3407
602,91.282
603,91.2823
604,91.2776
605,91.3466
606,91.4393
607,91.6208
608,91.8102
609,92.0068
610,92.301
611,92.5903
612,92.869
613,93.1817
614,93.5621
615,93.8195
616,94.0381
617,94.2759
618,94.5441
619,94.6177
620,94.6716
621,94.6981
622,94.6103
623,94.4318
624,94.239
625,93.9541
626,93.6693
627,93.2779
628,92.895
629,92.5109
630,92.0988
631,91.6969
632,91.3303
633,91.0383
634,90.6802
635,90.4504
636,90.2594
637,90.1182
638,90.0206
639,89.9867
640,90.0596
641,90.125
642,90.23
643,90.4341
644,90.6959
645,90.9205
646,91.1999
647,91.5471
648,91.8539
649,92.1544
650,92.4635
651,92.7942
652,93.0865
653,93.2718
654,93.5267
655,93.7408
656,93.8777
657,93.9429
658,94.0611
659,94.1006
660,94.0728
661,94.0411
662,93.9659
663,93.9106
664,93.7679
665,93.6703
666,93.5773
667,93.4752
668,93.3141
669,93.2059
670,93.1443
671,93.104
672,92.9827
673,93.0102
674,93.0097
675,92.9872
676,93.0031
677,93.1188
678,93.1749
679,93.2593
680,93.3516
681,93.4812
682,93.6089
683,93.7028
684,93.8389
685,93.9686
686,94.0876
687,94.1399
688,94.268
689,94.3818
690,94.4546
691,94.5056
692,94.5482
693,94.5991
694,94.5657
695,94.5532
696,94.6201
697,94.5941
698,94.5634
699,94.566
700,94.5293
701,94.5371
702,94.4851
703,94.4887
704,94.4806
705,94.4623
706,94.4351
707,94.4692
708,94.4901
709,94.4252
710,94.4308
711,94.4572
712,94.4543
713,94.4273
714,94.4064
715,94.4253
716,94.3679
717,94.3132
718,94.2517
719,94.2038
720,94.0568
721,93.858
722,93.7533
723,93.5794
724,93.335
725,93.0676
726,92.8445
727,92.5424
728,92.2241
729,91.9132
730,91.6032
731,91.2648
732,90.8299
733,90.5136
734,90.1717
735,89.7775
736,89.4407
737,89.1154
738,88.8123
739,88.4237
740,88.1966
741,87.9596
742,87.7284
743,87.5436
744,87.3333
745,87.2727
746,87.1568
747,87.0994
748,87.1062
749,87.0996
750,87.1509
751,87.2714
752,87.3758
753,87.5391
754,87.717
755,87.8849
756,88.0931
757,88.3357
758,88.5655
759,88.8319
760,89.095
761,89.3812
762,89.579
763,89.8684
764,90.1105
765,90.308
766,90.4606
767,90.6542
768,90.8243
769,90.952
770,91.0301
771,90.9753
772,90.9661
773,90.9073
774,90.8491
775,90.6944
776,90.4417
777,90.2806
778,90.033
779,89.7054
780,89.3695
781,89.0269
782,88.7463
783,88.3144
784,87.8696
785,87.4542
786,87.0441
787,86.6086
788,86.1998
789,85.8163
790,85.4083
791,84.9766
792,84.6951
793,84.3307
794,83.945
795,83.633
796,83.4628
797,83.1867
798,82.9762
799,82.807
800,82.7093
801,82.5838
802,82.5001
803,82.532
804,82.5467
805,82.6194
806,82.7159
807,82.8798
808,82.9824
809,83.1809
810,83.459
811,83.69
812,83.9846
813,84.3204
814,84.701
815,85.1529
816,85.5184
817,85.9697
818,86.2974
819,86.8449
820,87.2493
821,87.7159
822,88.2648
823,88.6893
824,89.3062
825,89.7682
826,90.1954
827,90.6922
828,91.137
829,91.515
830,91.8638
831,92.3424
832,92.6967
833,92.9206
834,93.206
835,93.5146
836,93.6604
837,93.8673
838,94.1224
839,94.1944
840,94.1369
841,94.2489
842,94.2262
843,94.2127
844,94.1669
845,94.2661
846,94.0554
847,93.8741
848,93.7405
849,93.6689
850,93.4229
851,93.4852
852,93.1335
853,93.0646
854,92.865
855,92.6529
856,92.4579
857,92.34
858,92.1002
859,91.9929
860,92.5038
861,92.4174
862,92.3581
863,92.3709
864,92.331
865,92.2704
866,92.247
867,92.2914
868,92.2527
869,92.2575
870,92.2859
871,92.3099
872,92.3351
873,92.3549
874,92.4108
875,92.4807
876,92.4861
877,92.532
878,92.6125
879,92.6553
880,92.699
881,92.7237
882,92.7979
883,92.8159
884,92.8294
885,92.8278
886,92.8747
887,92.8618
888,92.7927
889,92.7867
890,92.7473
891,92.657
892,92.5523
893,92.4796
894,92.365
895,92.1751
896,92.0452
897,91.8837
898,91.6795
899,91.4438
900,91.2315
901,91.0187
902,90.7453
903,90.471
904,90.2177
905,89.9385
906,89.6231
907,89.3326
908,89.0644
909,88.7602
910,88.4731
911,88.1585
912,87.8887
913,87.6144
914,87.3186
915,87.0882
916,86.8583
917,86.6222
918,86.3881
919,86.2156
920,86.0874
921,85.8972
922,85.7786
923,85.7226
924,85.6356
925,85.5708
926,85.5892
927,85.602
928,85.6261
929,85.7124
930,85.807
931,85.9634
932,86.1106
933,86.2551
934,86.5165
935,86.7301
936,86.9867
937,87.2627
938,87.5708
939,87.8871
940,88.1807
941,88.5437
942,88.8729
943,89.2398
944,89.5564
945,89.9132
946,90.2611
947,90.5553
948,90.8652
949,91.1837
950,91.441
951,91.6319
952,91.8514
953,92.0321
954,92.1266
955,92.2032
956,92.2301
957,92.2376
958,92.1415
959,92.001
960,91.8482
961,91.6171
962,91.2741
963,90.9258
964,90.5577
965,90.0779
966,89.5353
967,88.9859
968,88.3567
969,87.6955
970,87.023
971,86.2544
972,85.5155
973,84.6964
974,83.8159
975,82.9929
976,82.123
977,81.1831
978,80.2839
979,79.4027
980,78.4082
981,77.4799
982,76.5746
983,75.6377
984,74.7198
985,73.8057
986,72.9042
987,72.0295
988,71.1605
989,70.3181
990,69.5244
991,68.7319
992,67.9287
993,67.2161
994,66.515
995,65.8273
996,65.1846
997,64.6063
998,64.0209
999,63.4677
1000,62.9798
1001,62.527
1002,62.1286
1003,61.7432
1004,61.4082
1005,61.1411
1006,60.8986
1007,60.6826
1008,60.5535
1009,60.4819
1010,60.4119
1011,60.419
1012,60.4925
1013,60.5909
1014,60.7544
1015,60.9536
1016,61.2263
1017,61.5424
1018,61.8765
1019,62.2906
1020,62.7453
1021,63.2225
1022,63.6983
1023,64.2728
1024,64.8663
1025,65.4158
1026,66.0257
1027,66.638
1028,67.2313
1029,67.8104
1030,68.3887
1031,68.9533
1032,69.4451
1033,69.8859
1034,70.2971
1035,70.6767
1036,70.9469
1037,71.1588
1038,71.3293
1039,71.3728
1040,71.3699
1041,71.2741
1042,71.1229
1043,70.8841
1044,70.5552
1045,70.1762
1046,69.7456
1047,69.2483
1048,68.6734
1049,68.0918
1050,67.4751
1051,66.8014
1052,66.1165
1053,65.486
1054,64.7784
1055,64.0773
1056,63.402
1057,62.7415
1058,62.1005
1059,61.4468
1060,60.8259
1061,60.2156
1062,59.618
1063,59.0099
1064,58.4758
1065,57.914
1066,57.3185
1067,56.7474
1068,56.1703
1069,55.5771
1070,54.9615
1071,54.3214
1072,53.6866
1073,53.0036
1074,52.2578
1075,51.541
1076,50.7655
1077,49.9608
1078,49.1297
1079,48.2648
1080,47.3805
1081,46.437
1082,45.5199
1083,44.5687
1084,43.5738
1085,42.5623
1086,41.5187
1087,40.4758
1088,39.4503
1089,38.4183
1090,37.3697
1091,36.3633
1092,35.323
1093,34.2594
1094,33.2952
1095,32.2919
1096,31.2947
1097,30.3595
1098,29.4059
1099,28.469
1100,27.5847
1101,26.7131
1102,25.8562
1103,25.0592
1104,24.2477
1105,23.4631
1106,22.7269
1107,21.9877
1108,21.3094
1109,20.6401
1110,19.9743
1111,19.3485
1112,18.7341
1113,18.1756
1114,17.6187
1115,17.082
1116,16.574
1117,16.0806
1118,15.5968
1119,15.1341
1120,14.7114
1121,14.2848
1122,13.8841
1123,13.5001
1124,13.1145
1125,12.7576
1126,12.4086
1127,12.0883
1128,11.7639
1129,11.4607
1130,11.1651
1131,10.8725
1132,10.6124
1133,10.347
1134,10.0874
1135,9.82949
1136,9.59474
1137,9.35547
1138,9.1425
1139,8.93935
1140,8.72652
1141,8.53625
1142,8.35031
1143,8.15949
1144,7.98595
1145,7.81073
1146,7.64825
1147,7.48963
1148,7.3328
1149,7.17927
1150,7.034
1151,6.89728
1152,6.75756
1153,6.62687
1154,6.50126
1155,6.37241
1156,6.24739
1157,6.1345
1158,6.02412
1159,5.90848
1160,5.80522
1161,5.69671
1162,5.5925
1163,5.495
1164,5.39688
1165,5.30317
1166,5.2111
1167,5.12215
1168,5.03171
1169,4.95194
1170,4.84744
1171,4.76522
1172,4.69054
1173,4.61163
1174,4.53347
1175,4.46186
1176,4.3895
1177,4.32109
1178,4.25131
1179,4.18488
1180,4.12182
1181,4.05411
1182,3.99242
1183,3.93377
1184,3.87416
1185,3.81239
1186,3.75443
1187,3.69803
1188,3.64231
1189,3.58905
1190,3.53486
1191,3.4856
1192,3.43554
1193,3.38361
1194,3.33619
1195,3.28958
1196,3.24121
1197,3.19257
1198,3.15099
1199,3.10415
1200,3.0534
