Type,Dichroic
Maker,"Chroma"
ProductName,"51018bs"
Comment,""
Public,1
wavedataset
300,0.001
301,0.001
302,0.001
303,0.001
304,0.001
305,0.001
306,0.001
307,0.001
308,0.001
309,0.001
310,0.001
311,0.001
312,0.001
313,0.001
314,0.001
315,0.001
316,0.001
317,0.001
318,0.001
319,0.001
320,0.001
321,0.001
322,0.001
323,0.001
324,0.001
325,0.001
326,0.001
327,0.001
328,0.001
329,0.001
330,0.001
331,0.001
332,0.001
333,0.001
334,0.001
335,0.001
336,0.00154231
337,0.00202028
338,0.00291371
339,0.00422158
340,0.00548969
341,0.00836893
342,0.0115781
343,0.0181251
344,0.0260878
345,0.039144
346,0.0573157
347,0.0842686
348,0.12323
349,0.178495
350,0.255869
351,0.361441
352,0.505008
353,0.697117
354,0.938084
355,1.14199
356,1.4853
357,1.88539
358,2.35076
359,2.8697
360,3.40958
361,3.94782
362,4.45331
363,4.90916
364,5.31783
365,5.74224
366,6.24314
367,6.90202
368,7.83102
369,9.13372
370,10.9577
371,13.322
372,16.2338
373,19.4236
374,22.552
375,25.2645
376,27.4588
377,29.2916
378,31.1929
379,33.415
380,35.9028
381,38.2915
382,40.1759
383,41.1725
384,41.4763
385,41.467
386,41.8645
387,43.0083
388,44.8774
389,46.9832
390,48.6213
391,49.2528
392,48.6668
393,47.2192
394,45.5748
395,44.2889
396,43.7871
397,43.8926
398,44.2948
399,44.5481
400,44.3175
401,43.4198
402,41.7315
403,39.1587
404,35.6629
405,31.3988
406,27.1611
407,23.9568
408,22.2243
409,21.9235
410,22.6017
411,23.0799
412,21.6852
413,17.8663
414,12.4263
415,7.03541
416,3.34175
417,1.57755
418,0.942681
419,0.572017
420,0.379518
421,0.270837
422,0.203375
423,0.160225
424,0.131113
425,0.110505
426,0.0967517
427,0.0868292
428,0.0798264
429,0.075498
430,0.0724802
431,0.0719627
432,0.0726304
433,0.0743211
434,0.0784628
435,0.0839095
436,0.0915762
437,0.101521
438,0.115617
439,0.134575
440,0.159091
441,0.192519
442,0.238751
443,0.304091
444,0.397099
445,0.531599
446,0.734888
447,0.959174
448,1.41266
449,2.15193
450,3.31923
451,5.12587
452,7.76883
453,11.3775
454,15.9786
455,21.5095
456,27.7638
457,34.676
458,42.0004
459,49.6873
460,57.6852
461,65.5521
462,72.9041
463,79.5118
464,84.7616
465,88.612
466,90.886
467,91.927
468,92.2564
469,92.2727
470,92.0757
471,91.6988
472,91.2805
473,90.8633
474,90.5291
475,90.472
476,90.6011
477,90.8672
478,91.2157
479,91.4718
480,91.604
481,91.5161
482,91.2941
483,91.0321
484,90.6487
485,90.3493
486,90.2433
487,90.2513
488,90.4149
489,90.7308
490,91.0141
491,91.1392
492,91.0845
493,90.6983
494,90.0345
495,88.9946
496,87.8127
497,86.4917
498,85.257
499,84.2548
500,83.5568
501,83.31
502,83.5035
503,84.1012
504,84.9271
505,85.8779
506,86.6543
507,87.0223
508,86.8906
509,85.9861
510,84.2657
511,81.7942
512,78.7329
513,75.2371
514,71.5034
515,68.0154
516,64.8888
517,62.4119
518,60.7403
519,59.9612
520,60.08
521,60.9042
522,62.3245
523,64.0998
524,65.761
525,67.0184
526,67.6112
527,67.2513
528,65.7796
529,63.0641
530,59.1723
531,54.2592
532,48.7534
533,42.8875
534,37.0535
535,31.4173
536,26.1771
537,21.4002
538,17.2945
539,13.8741
540,11.1432
541,9.02018
542,7.37647
543,6.12049
544,5.14477
545,4.38827
546,3.79671
547,3.32845
548,2.95067
549,2.65538
550,2.40842
551,2.21013
552,2.0511
553,1.9201
554,1.81309
555,1.72609
556,1.65899
557,1.60572
558,1.56632
559,1.53958
560,1.5258
561,1.52367
562,1.52895
563,1.54735
564,1.57797
565,1.6147
566,1.66702
567,1.73073
568,1.81142
569,1.90786
570,2.01961
571,2.15287
572,2.30771
573,2.49399
574,2.71095
575,2.96351
576,3.26671
577,3.62292
578,4.04162
579,4.54172
580,5.13977
581,5.84394
582,6.69162
583,7.70401
584,8.90622
585,10.3355
586,12.0412
587,14.0435
588,16.3621
589,19.0729
590,22.1215
591,25.5752
592,29.3934
593,33.5084
594,37.9764
595,42.6406
596,47.5211
597,52.4993
598,57.5093
599,62.3988
600,67.1884
601,71.5912
602,75.6964
603,79.3502
604,82.4757
605,85.0663
606,87.1143
607,88.5925
608,89.6084
609,90.2064
610,90.4765
611,90.5351
612,90.396
613,90.2338
614,90.0525
615,89.9186
616,89.7995
617,89.775
618,89.8176
619,89.8997
620,90.0691
621,90.2603
622,90.5121
623,90.8023
624,91.07
625,91.352
626,91.6586
627,91.9311
628,92.1675
629,92.4573
630,92.6764
631,92.9057
632,93.1402
633,93.3181
634,93.4925
635,93.653
636,93.8192
637,93.9577
638,94.0432
639,94.166
640,94.2348
641,94.3177
642,94.3713
643,94.4148
644,94.4399
645,94.4554
646,94.4328
647,94.426
648,94.3583
649,94.3099
650,94.2362
651,94.1402
652,93.9963
653,93.897
654,93.7244
655,93.549
656,93.4054
657,93.2116
658,93.0118
659,92.8343
660,92.6262
661,92.4345
662,92.1919
663,91.9926
664,91.7843
665,91.6192
666,91.3874
667,91.2516
668,91.0896
669,90.9799
670,90.8674
671,90.8121
672,90.7402
673,90.7552
674,90.7838
675,90.8308
676,90.9422
677,91.0486
678,91.1934
679,91.3755
680,91.5868
681,91.7947
682,92.0588
683,92.2685
684,92.5236
685,92.7164
686,92.8706
687,93.0274
688,93.1439
689,93.1434
690,93.0975
691,93.0241
692,92.7856
693,92.511
694,92.131
695,91.6299
696,91.0825
697,90.4634
698,89.7244
699,88.9331
700,88.0872
701,87.1684
702,86.2206
703,85.3068
704,84.2386
705,83.248
706,82.2042
707,81.2448
708,80.2841
709,79.4021
710,78.58
711,77.8098
712,77.1503
713,76.5644
714,76.1374
715,75.846
716,75.6283
717,75.554
718,75.5893
719,75.6811
720,75.8752
721,76.1256
722,76.3221
723,76.4766
724,76.5777
725,76.4325
726,76.1755
727,75.7036
728,74.9158
729,73.9013
730,72.6243
731,71.0776
732,69.4156
733,67.5657
734,65.5606
735,63.6327
736,61.7245
737,59.8859
738,58.1832
739,56.6773
740,55.3162
741,54.0764
742,52.9716
743,51.7979
744,50.6076
745,49.2918
746,47.7279
747,45.9501
748,43.9347
749,41.5859
750,39.0741
751,36.355
752,33.4833
753,30.5654
754,27.6637
755,24.8543
756,22.157
757,19.657
758,17.3618
759,15.2934
760,13.4348
761,11.8037
762,10.3541
763,9.11056
764,8.03944
765,7.08814
766,6.27399
767,5.57472
768,4.96372
769,4.43462
770,3.9716
771,3.56886
772,3.21767
773,2.90615
774,2.63568
775,2.40496
776,2.19179
777,2.0113
778,1.84116
779,1.6956
780,1.56127
781,1.44431
782,1.33828
783,1.24136
784,1.15378
785,1.07999
786,1.01374
787,0.947552
788,0.888461
789,0.944957
790,0.892955
791,0.841109
792,0.795617
793,0.755564
794,0.716054
795,0.681454
796,0.647389
797,0.618794
798,0.591707
799,0.562663
800,0.541367
801,0.516594
802,0.501013
803,0.477458
804,0.465709
805,0.446664
