Type,Dichroic
Maker,"Chroma"
ProductName,"560DCLP"
Comment,""
Public,1
wavedataset
300,0.001
301,0.001
302,0.001
303,0.001
304,0.001
305,0.001
306,0.001
307,0.001
308,0.001
309,0.001
310,0.001
311,0.001
312,0.001
313,0.001
314,0.001
315,0.001
316,0.001
317,0.001
318,0.001
319,0.001
320,0.001
321,0.001
322,0.001
323,0.001
324,0.001
325,0.001
326,0.001
327,0.001
328,0.001
329,0.001
330,0.001
331,0.001
332,0.001
333,0.001
334,0.001
335,0.001
336,0.001
337,0.001
338,0.001
339,0.001
340,0.001
341,0.001
342,0.001
343,0.001
344,0.001
345,0.001
346,0.001
347,0.001
348,0.001
349,0.0013963
350,0.00237405
351,0.00480212
352,0.0104379
353,0.0221902
354,0.0471093
355,0.0940009
356,0.178384
357,0.316539
358,0.52344
359,0.824294
360,1.12251
361,1.60275
362,2.18775
363,2.88432
364,3.69563
365,4.6171
366,5.64085
367,6.77135
368,7.95112
369,9.11238
370,10.2262
371,11.2544
372,12.1407
373,12.7271
374,12.8061
375,12.205
376,10.8
377,8.72444
378,6.20534
379,3.79903
380,1.96457
381,0.920226
382,0.514777
383,0.3135
384,0.228823
385,0.201157
386,0.208823
387,0.25552
388,0.373181
389,0.65115
390,1.2154
391,2.6064
392,5.24088
393,9.44612
394,15.2254
395,22.0837
396,29.1955
397,35.9333
398,41.7137
399,46.7117
400,51.0863
401,54.9196
402,58.0276
403,60.3157
404,62.0129
405,63.7786
406,65.6896
407,67.3997
408,68.5076
409,68.8658
410,68.822
411,68.9186
412,69.6442
413,71.041
414,72.7626
415,74.1373
416,74.9628
417,75.071
418,75.0042
419,75.1878
420,76.1139
421,77.6215
422,79.2399
423,80.2321
424,80.4525
425,79.9347
426,79.236
427,79.0014
428,79.6592
429,80.7085
430,81.5313
431,81.4367
432,80.2249
433,78.2188
434,76.1262
435,74.8287
436,75.0775
437,76.7891
438,79.4351
439,82.3661
440,84.8727
441,86.5942
442,87.4836
443,87.5768
444,86.8716
445,85.1607
446,82.2256
447,78.0039
448,72.912
449,67.6615
450,63.2623
451,60.5442
452,59.9286
453,61.4815
454,65.0709
455,69.8562
456,74.7206
457,78.7969
458,81.0938
459,81.2983
460,79.7638
461,77.3347
462,75.3654
463,74.6638
464,75.4645
465,77.3951
466,79.6289
467,81.1481
468,81.3261
469,80.0843
470,77.7309
471,75.0742
472,73.0687
473,72.4218
474,73.3815
475,75.4722
476,77.9868
477,80.1039
478,81.098
479,80.5457
480,78.712
481,76.1135
482,73.5824
483,72.0347
484,71.909
485,73.2177
486,75.5497
487,77.9622
488,79.8204
489,80.4878
490,79.6386
491,77.4298
492,74.5613
493,71.8681
494,70.0501
495,69.7242
496,70.8286
497,72.7876
498,74.9431
499,76.4167
500,76.6929
501,75.4277
502,72.7201
503,69.1587
504,65.5683
505,62.8021
506,61.4651
507,61.7832
508,63.2929
509,65.3348
510,67.1214
511,68.0417
512,67.5629
513,65.4887
514,62.0231
515,57.6593
