Type,Dichroic
Maker,"OLYMPUS"
ProductName,"DM565HQ"
Comment,""
Public,1
wavedataset
300,9E-07
301,2E-05
302,0
303,-1.3E-05
304,2.1E-05
305,1E-06
306,-1.9E-05
307,6.6E-05
308,6.3E-05
309,7E-06
310,2.7E-05
311,0.000113
312,0.001291
313,0.004474
314,0.009799
315,0.035069
316,0.320987
317,0.97709
318,1.842504
319,2.385934
320,2.344802
321,1.402923
322,0.517474
323,0.581977
324,1.965789
325,3.325504
326,2.182201
327,1.956207
328,2.824976
329,6.129777
330,8.735926
331,10.292582
332,12.731493
333,16.854651
334,18.699491
335,17.326107
336,14.761416
337,11.065851
338,8.685872
339,8.418468
340,8.378813
341,7.599584
342,7.687435
343,7.707518
344,7.083981
345,7.051254
346,6.138241
347,4.855296
348,3.628334
349,2.78376
350,2.322585
351,1.91382
352,1.803389
353,1.78766
354,1.648576
355,1.584526
356,1.306101
357,1.134052
358,1.046993
359,1.218933
360,1.24618
361,1.326774
362,1.13922
363,0.949316
364,0.885889
365,1.037105
366,1.28616
367,1.700085
368,2.141179
369,2.498725
370,2.622208
371,2.307094
372,1.746602
373,0.95653
374,0.460196
375,0.152212
376,0.033384
377,0.003418
378,0.000104
379,5.9E-05
380,3.2E-05
381,-2E-05
382,-1.9E-05
383,1E-06
384,1.6E-05
385,-1.3E-05
386,3.7E-05
387,1.9E-05
388,0.00023
389,0.002389
390,0.054075
391,0.230275
392,1.187705
393,3.509567
394,5.894873
395,7.786975
396,8.731559
397,7.787441
398,5.977664
399,4.842224
400,5.135473
401,5.465256
402,6.153507
403,8.317592
404,10.01489
405,11.453653
406,11.830269
407,9.926709
408,8.716848
409,8.378204
410,9.805037
411,14.057198
412,17.509297
413,18.778654
414,17.955399
415,12.889522
416,8.865265
417,6.163259
418,5.022507
419,4.853
420,5.728391
421,6.863628
422,6.725957
423,5.199287
424,2.898106
425,1.032025
426,0.291669
427,0.099077
428,0.034993
429,0.012486
430,0.004854
431,0.002793
432,0.00186
433,0.001506
434,0.001535
435,0.001462
436,0.00121
437,0.001127
438,0.0009
439,0.000629
440,0.000479
441,0.000448
442,0.00033
443,0.000276
444,0.000233
445,0.000226
446,0.000175
447,0.000132
448,0.000118
449,7.7E-05
450,8.8E-05
451,0.000103
452,8.9E-05
453,0.000121
454,0.000113
455,0.000134
456,9.8E-05
457,7.5E-05
458,7.1E-05
459,6.3E-05
460,8.1E-05
461,8.6E-05
462,4.9E-05
463,8.1E-05
464,6E-05
465,7.9E-05
466,0.000101
467,5.5E-05
468,0.000107
469,4.3E-05
470,4.8E-05
471,6.9E-05
472,7.2E-05
473,0.000103
474,5.6E-05
475,5.6E-05
476,8.4E-05
477,2E-05
478,5.5E-05
479,8.1E-05
480,9.9E-05
481,8.9E-05
482,0.000137
483,0.00012
484,0.00013
485,0.000142
486,0.00014
487,0.000142
488,0.000199
489,0.000181
490,0.000161
491,0.000214
492,0.000242
493,0.000301
494,0.000388
495,0.000538
496,0.000703
497,0.000791
498,0.000731
499,0.000672
