Type,Dichroic
Maker,"OLYMPUS"
ProductName,"DM570(U-MSWG2,U-MWG2,U-MNG2)"
Comment,""
Public,1
wavedataset
300,2E-05
301,-9E-06
302,1.5E-05
303,8E-06
304,3.9E-05
305,-1.2E-05
306,2E-05
307,1.5E-05
308,2.3E-05
309,-2.5E-05
310,2.3E-05
311,4.2E-05
312,-2.7E-05
313,3.4E-05
314,4E-05
315,-2.1E-05
316,-2E-05
317,-2.9E-05
318,2.7E-05
319,2.6E-05
320,-2.5E-05
321,8.6E-05
322,0.000165
323,0.000228
324,0.000354
325,0.000618
326,0.001151
327,0.002189
328,0.00415
329,0.007872
330,0.014452
331,0.025971
332,0.045549
333,0.077539
334,0.127403
335,0.202106
336,0.30735
337,0.447882
338,0.631707
339,0.87112
340,1.17903
341,1.578106
342,2.098391
343,2.765348
344,3.541648
345,4.352496
346,5.128998
347,5.802588
348,6.456871
349,7.201587
350,8.261105
351,9.718919
352,11.767564
353,14.498732
354,17.777859
355,21.012695
356,23.63223
357,25.158126
358,25.649821
359,25.539637
360,25.631394
361,26.321422
362,28.251849
363,32.024765
364,37.830437
365,44.667982
366,50.810574
367,54.460263
368,55.186778
369,53.869157
370,51.608353
371,48.580769
372,45.111872
373,41.902401
374,39.943192
375,39.220868
376,40.31765
377,43.414809
378,48.051825
379,53.019833
380,56.201174
381,56.691069
382,55.373522
383,52.535087
384,50.085474
385,47.805793
386,45.540173
387,42.928552
388,40.417072
389,37.906498
390,36.506549
391,35.994449
392,36.978988
393,39.824242
394,43.649377
395,46.661665
396,47.808631
397,46.90763
398,43.835145
399,40.334004
400,38.373586
401,38.089744
402,39.045097
403,40.024195
404,40.143302
405,39.082569
406,36.736048
407,33.481896
408,30.437642
409,28.395144
410,28.063752
411,28.012766
412,27.200664
413,26.039069
414,23.953224
415,19.971299
416,15.412182
417,12.841286
418,12.075626
419,12.241377
420,13.091111
421,14.589507
422,16.911079
423,20.255455
424,24.30101
425,28.127312
426,30.074142
427,28.729937
428,23.936397
429,17.595792
430,11.983579
431,8.016878
432,5.445452
433,3.798467
434,2.747706
435,2.045986
436,1.566844
437,1.227729
438,0.978775
439,0.794707
440,0.656424
441,0.549133
442,0.465731
443,0.398879
444,0.345124
445,0.301333
446,0.265317
447,0.236319
448,0.211439
449,0.190705
450,0.172936
451,0.157821
452,0.14498
453,0.133708
454,0.124089
455,0.11578
456,0.108621
457,0.10223
458,0.09645
459,0.091609
460,0.087375
461,0.083648
462,0.080248
463,0.077322
464,0.0748
465,0.072571
466,0.070595
467,0.068874
468,0.067386
469,0.066185
470,0.06518
471,0.064358
472,0.063651
473,0.063175
474,0.062874
475,0.062679
476,0.062626
477,0.062671
478,0.062976
479,0.063269
480,0.063741
481,0.064461
482,0.065295
483,0.066202
484,0.067267
485,0.06854
486,0.069997
487,0.07158
488,0.073424
489,0.0754
490,0.077518
491,0.079954
492,0.082441
493,0.085305
494,0.088262
495,0.091607
496,0.095229
497,0.099226
498,0.103546
499,0.108254
500,0.11324
501,0.118746
502,0.12468
503,0.131067
504,0.138243
505,0.145905
506,0.154321
507,0.163293
508,0.173321
509,0.184185
510,0.195931
511,0.20882
512,0.222609
513,0.238004
514,0.255038
515,0.273394
516,0.293658
517,0.316228
518,0.340898
519,0.368023
520,0.3977
521,0.430134
522,0.466129
523,0.506465
524,0.550612
525,0.599861
526,0.655554
527,0.717098
528,0.78558
529,0.861608
530,0.944303
531,1.036762
532,1.144002
533,1.263873
534,1.398238
535,1.550209
536,1.721065
537,1.914961
538,2.136299
539,2.385624
540,2.665449
541,2.98354
542,3.34444
543,3.755222
544,4.221837
545,4.751669
546,5.354752
547,6.041398
548,6.822158
549,7.703967
550,8.684828
551,9.779216
552,11.012915
553,12.374972
554,13.886994
555,15.561611
556,17.372063
557,19.30043
558,21.333322
559,23.455282
560,25.653251
561,27.914939
562,30.160919
563,32.353535
564,34.479504
565,36.51029
566,38.420647
567,40.162926
568,41.711344
569,43.087428
570,44.314606
571,45.400598
572,46.356775
573,47.253052
574,48.027959
575,48.831847
576,49.639812
577,50.460045
578,51.392202
579,52.368203
580,53.505616
581,54.806801
582,56.274321
583,57.986695
584,59.91638
585,62.073531
586,64.440715
587,66.942279
588,69.635985
589,72.41505
590,75.20843
591,77.959839
592,80.578096
593,83.037713
594,85.236817
595,87.323448
596,89.028011
597,90.457262
598,91.661336
599,92.624435
600,93.310487
601,93.796097
602,94.304979
603,94.654339
604,94.910649
605,95.026197
606,95.193073
607,95.276596
608,95.411797
609,95.374651
610,95.456462
611,95.537935
612,95.485394
613,95.616671
614,95.679632
615,95.781598
616,95.777086
617,95.787157
618,95.919629
619,96.077951
620,96.029001
621,96.16319
622,96.378079
623,96.395329
624,96.484771
625,96.448686
626,96.567122
627,96.557017
628,96.657963
629,96.760719
630,96.864112
631,96.86363
632,96.943833
633,96.982627
634,97.014068
635,97.155345
636,97.112394
637,97.06191
638,97.192357
639,97.208442
640,97.336308
641,97.337044
642,97.287678
643,97.320108
644,97.208134
645,97.33528
646,97.36051
647,97.306379
648,97.456353
649,97.434551
650,97.494948
651,97.408373
652,97.363063
653,97.372283
654,97.350506
655,97.477074
656,97.391879
657,97.384156
658,97.293756
659,97.311026
660,97.332679
661,97.296754
662,97.173611
663,97.127297
664,97.196945
665,97.24385
666,97.143241
667,97.155434
668,96.911859
669,96.924698
670,97.104174
671,96.603319
672,96.836549
673,96.724636
674,96.773438
675,96.412773
676,96.340943
677,96.473513
678,96.695412
679,97.00424
680,96.290033
681,96.710509
682,96.689504
683,96.797922
684,96.055901
685,96.566156
686,96.443892
687,95.753284
688,95.98728
689,96.055825
690,96.397897
691,96.30641
692,95.83279
693,95.942103
694,95.898119
695,95.865653
696,95.802329
697,95.645125
698,95.631532
699,95.738185
700,95.903077
701,96.061828
702,95.700093
703,95.56828
704,95.431017
705,95.434038
706,95.637198
707,95.476725
708,95.821215
709,95.642638
710,95.493652
711,95.580316
712,95.255323
713,95.435274
714,95.56652
715,95.646913
716,95.817072
717,95.777115
718,95.516135
719,95.390963
720,95.59886
721,95.375655
722,95.610356
723,95.766943
724,95.29376
725,95.516066
726,95.311778
727,95.494804
728,95.357204
729,95.44207
730,95.540353
731,95.197004
732,94.940375
733,95.203777
734,95.145969
735,95.48061
736,95.371707
737,95.281002
738,94.962592
739,95.099592
740,94.78094
741,94.734353
742,94.728875
743,94.703162
744,94.579118
745,94.755764
746,94.88881
747,94.554493
748,94.402079
749,94.54688
750,94.420652
751,94.237568
752,94.260512
753,94.205886
754,94.070387
755,94.03111
756,93.788526
757,93.73817
758,93.959187
759,93.842505
760,93.807838
761,93.685596
762,93.506381
763,93.518123
764,93.40671
765,93.318966
766,93.262944
767,93.281997
768,93.125729
769,92.859665
770,92.559529
771,92.638008
772,92.724103
773,92.567171
774,92.314091
775,92.108039
776,91.93924
777,91.890739
778,91.917327
779,91.798761
780,91.590579
781,91.585636
782,91.365402
783,90.975171
784,90.931097
785,90.837631
786,90.715104
787,90.589947
788,90.407875
789,90.34187
790,90.139139
791,90.049734
792,90.049075
793,89.724412
794,89.563541
795,89.417882
796,89.472716
797,89.345084
798,89.148891
799,89.338089
800,89.022625
801,88.599886
802,88.442015
803,88.489607
804,88.363671
805,88.231871
806,87.884155
807,87.884087
808,87.953564
809,87.830448
810,87.454704
811,87.358458
812,87.405124
813,87.254784
814,87.031263
815,87.03706
816,86.820398
817,86.976624
818,86.668166
819,86.452279
820,86.427399
821,86.291644
822,86.279833
823,86.134294
824,86.098561
825,85.939212
